accX,accY,accZ,gyrX,gyrY,gyrZ
112.0,13008.0,6796.0,-199.0,36.0,105.0
597.7777777778174,13005.979797979737,6839.595959595983,-265.2929292929257,79.57575757576433,125.04040404039279
387.0707070707067,13058.78787878788,6837.898989898989,-283.59595959595936,-8.08080808080831,139.090909090909
602.424242424313,13097.212121212156,6808.606060606078,-274.7878787878726,12.666666666700621,121.21212121209828
446.8282828282827,13067.959595959597,6863.838383838382,-268.0707070707067,43.434343434342736,123.36363636363603
492.4848484848226,13108.888888888927,6717.414141414109,-269.87878787879436,28.909090909106453,142.11111111111586
-2563.9999999995816,13157.696969696997,6861.454545454548,-299.2121212121192,348.8181818181747,1141.6666666665114
-785.2929292951521,13133.616161616053,7138.787878788295,-11.474747474749165,1864.9393939390466,-351.69696969686447
-9620.76767676705,13326.585858585851,7421.373737373724,175.68686868685836,2590.8282828282754,2269.0707070705794
1936.7272727287345,12942.545454545496,5915.636363636033,-26.090909090964487,-878.1818181822564,1589.9999999995407
2788.1212121212193,13383.959595959594,7265.6969696969245,-15.717171717177735,-2357.828282828341,3827.3030303030437
3131.111111111939,13006.66666666657,6739.555555555227,326.1111111110695,-2077.8888888890797,4054.2222222220844
3052.7272727272066,13077.69696969696,7031.3939393939945,451.81818181818926,-1438.0000000000127,2479.2727272727516
-2035.9595959610197,12935.151515151534,6916.242424242329,720.8686868687773,-1050.8686868688947,3807.1515151520034
805.2525252526029,13007.272727272739,7359.0303030303185,1002.9696969696879,-2082.2020202019958,5008.080808080786
2719.393939393478,13046.6666666667,5864.121212121274,895.0000000000764,-1897.8181818186367,3745.0303030307514
1428.6464646463573,12899.393939393864,6659.272727272735,953.7171717171659,-1575.7878787878435,3338.3535353535335
2195.393939394893,12672.00000000015,5892.888888888723,948.4040404040634,-963.8282828288538,2885.7272727273066
2054.181818181776,13280.000000000022,7289.818181818242,888.0909090909008,-1337.454545454526,2453.454545454517
5239.636363638361,12987.0303030301,4639.111111109931,970.3030303028936,-2499.0808080814313,1652.7878787875889
6352.323232322451,13199.393939393958,4113.333333333794,876.5858585859387,-2291.0505050504034,1138.979797979915
4220.727272728782,13435.151515152222,5556.363636364225,784.8181818179701,-1359.5757575757088,844.5454545451912
4918.222222222208,12966.222222222219,4687.555555555464,959.9999999999955,-1796.1111111111468,890.1111111111231
3870.70707070778,12417.616161616934,4803.51515151604,989.767676767653,-1258.9595959595317,403.68686868682016
3357.5757575757016,11889.939393939334,3049.212121211822,1047.7878787878144,-546.3333333333758,191.90909090906644
3774.262626262338,13872.121212120841,4944.404040402893,1093.6666666665096,-1147.7070707072498,195.4444444444407
4260.0,12997.05050505052,5097.616161616304,1203.3333333333649,-1133.9999999999645,-183.92929292928875
4134.5454545456305,13541.090909090955,5402.181818181925,1118.909090909172,-753.0909090908826,-417.5454545454995
4259.232323232289,14250.02020202011,6232.121212121121,1091.9999999999745,-608.8080808080722,-517.3838383838302
3953.212121212102,13723.838383838302,4797.373737373546,717.595959595913,-1014.707070707017,-952.272727272707
3928.8484848484622,13391.636363636379,5505.454545454577,187.39393939393085,-702.3939393939354,-673.7272727272748
4106.747474747637,13005.616161616112,5391.9191919195655,352.2929292929821,-673.0303030303639,-719.7171717171805
3681.898989899142,13375.919191919325,4094.949494949775,278.78787878788717,-516.0404040404246,-1035.404040404028
4046.6666666668643,13670.666666666664,4772.000000000069,28.333333333340306,-849.3333333332939,-872.3333333333803
