accX,accY,accZ,gyrX,gyrY,gyrZ
-2120.8071126299064,16778.870953362475,4519.141587366563,-1021.4777309678237,-538.2883161701138,-120.98336052211704
-1662.7257257919136,10753.819902686253,4055.330569210448,-325.64180834589524,-212.0485180386009,1204.8249567882701
-2182.773543800431,7523.403799118443,4641.61567646916,-1298.8551906121606,453.6470207688724,1064.5624026390801
-520.2200881241931,17040.772131948394,2566.3455450203896,-1110.6792539876624,-305.31982721420604,1276.6532427048915
-1811.8338435187763,17774.900910548342,4346.416750985372,-436.1725542266365,164.57050307483084,495.81919332381614
-1358.5274827185542,12800.479130473432,4612.960561441888,-1046.2689735540873,540.4040928396672,265.92077759442594
-1810.342271129958,12342.486214457227,4444.6647586782865,-906.1491359762406,683.8050730397416,282.30246114033883
-1699.6735956197465,16104.465551101475,5084.1590070283555,-1385.3778667327367,-126.18359856597203,1369.1164896944854
-1545.1505177897918,14902.670955396969,4719.608610788414,-1011.7142142534622,244.73399172625466,1229.1501788393791
-2137.4318704418984,11909.548807487497,5051.99440345199,-964.2796412461728,-1260.6121997228852,1435.503787937643
-2589.380768783552,9377.64722603119,4283.804484540139,-890.905278906072,-1957.8394989257195,1067.8120330504194
-1603.0537607717422,13659.572272765592,4850.577781067618,-539.6906295325255,-2539.458174975167,2141.362467502993
-3362.4930056481835,13020.851152534548,3164.691754030213,-241.499683703321,1543.76599620247,-3845.2508267769126
-876.8130171253518,12693.23850545535,3511.427378731975,-448.9737168702304,1453.7072635112538,-3434.049537854279
-1766.6999152591272,10491.244310977572,4226.427335843402,-458.59305877181873,3928.637791349911,-2425.4191913203927
-2336.013521701851,13340.835678151114,5670.642790220762,-772.0014846959576,4497.250606885582,-6182.962571402092
-744.5872382942885,15659.668079362666,4215.397556583575,-1363.0568719836558,7167.556417847764,-6533.230480051133
-70.90339086400851,18108.60409311159,4610.669176421257,-1868.8599718721637,7890.435108223478,-6894.66844473196
-4537.415042256289,15380.62058103258,7557.098533040341,-1332.7371019149916,1617.7924577399624,-1526.407769075284
-3472.9816920820026,17773.557913951114,7219.907809271263,-321.74879839970447,-444.2484752133124,834.823449574722
-1468.7002650920883,9111.606532653701,3839.2792193314585,-815.6360325737234,-609.28393536142,214.95507401448106
-4062.1376784526983,12691.547315148015,4731.538824176131,-882.4261183630207,-1322.527589466646,-383.7965493165667
-3283.441841080359,10752.550695740547,6876.20743412169,-735.6448653290428,-222.49867006981117,-885.7678780281765
-1812.9421071982556,11244.493063172995,6162.607737847739,508.711504918395,280.01324710338855,-2368.6696440933697
-7379.389990246965,24477.725124823024,5351.091443045323,4981.205133568819,-6354.493497000851,3954.740733504199
