,time,accX,accY,accZ,gyrX,gyrY,gyrZ
2285,1,3584,13624,5276,-206,114,4
2286,4,3508,13636,5344,-228,155,-42
2287,8,3416,13656,5196,-268,200,-47
2288,11,3476,13568,5360,-258,206,-64
2289,14,3332,13684,5360,-309,273,-87
2290,24,3136,13704,5512,-359,346,-124
2291,27,3052,13756,5468,-361,367,-100
2292,30,2980,13684,5548,-341,341,-79
2293,33,2932,13708,5476,-355,297,-40
2294,37,2996,13632,5432,-364,250,-7
2295,40,2804,13676,5568,-388,253,41
2296,43,3080,13696,5404,-367,237,57
2297,46,3108,13736,5436,-369,239,46
2298,49,3044,13640,5600,-355,233,87
2299,52,2984,13624,5732,-347,203,98
2300,56,2848,13680,5968,-323,191,132
2301,59,2568,13676,5828,-273,94,190
2302,62,2716,13652,5772,-242,-23,243
2303,66,2880,13684,5720,-177,-62,262
2304,69,3188,13644,5748,-154,-115,257
2305,72,3360,13636,5792,-125,-124,254
2306,81,3152,13708,5616,-67,-127,188
2307,84,3172,13712,5772,-29,-164,194
2308,87,3192,13640,5536,-32,-223,185
2309,91,3376,13652,5548,-31,-231,178
2310,94,3524,13672,5556,-48,-272,139
2311,97,3884,13692,5480,-56,-279,41
2312,100,4220,13680,5248,-56,-270,-107
2313,103,4304,13660,5520,-96,-166,-267
2314,108,4160,13692,5448,-58,-213,-357
2315,111,4008,13628,5296,-72,-245,-465
2316,114,4172,13760,5364,-93,-214,-570
2317,117,4168,13616,5488,-103,4,-696
2318,121,3980,13672,5468,-134,124,-784
2319,124,3764,13672,5440,-106,235,-863
2320,127,3084,13632,5644,-144,290,-877
2321,136,2764,13688,5608,-43,184,-801
2322,139,2416,13672,5544,-28,89,-701
2323,142,1784,13652,5896,-12,-221,-589
2324,146,1060,13548,6272,110,-583,-360
2325,150,820,13664,6476,216,-960,-107
2326,153,1188,13584,6364,345,-1314,130
2327,156,1944,13688,6008,432,-1547,278
2328,160,2324,13680,5924,474,-1737,353
2329,163,2836,13676,5912,537,-1769,410
2330,166,3596,13656,5436,526,-1647,390
2331,169,3724,13700,5388,548,-1545,319
2332,173,3636,13692,5560,549,-1506,265
2333,176,3244,13740,5572,571,-1485,228
2334,179,3300,13836,5480,583,-1497,250
2335,182,3240,13780,5280,563,-1431,174
2336,191,-1832,13704,4948,356,-1021,-2777
2337,196,-400,15564,6444,391,-2031,-2353
2338,199,1840,13984,3132,-48,-1786,-3120
2339,202,4200,13848,2880,-199,-2130,-3435
2340,206,3764,13692,4136,-303,-1956,-3086
2341,209,-732,13308,5080,-483,-1757,-2547
2342,212,12,13900,6548,-499,-1884,-1886
2343,216,1048,13944,5616,-591,-1719,-2106
2344,219,1884,13656,5544,-578,-1543,-1917
2345,222,1736,12888,4044,-701,-1369,-1936
2346,226,6520,14272,4276,-658,-1159,-2284
2347,229,2748,13820,5064,-732,-729,-2224
2348,232,1780,13828,4464,-824,-993,-2366
2349,242,1412,13500,4992,-903,-1045,-2556
2350,246,1432,13588,5576,-887,-1288,-2514
2351,249,3020,14072,5432,-882,-1458,-2746
2352,253,1140,13768,5908,-817,-1586,-2259
2353,256,3908,13456,4400,-895,-1455,-2416
2354,259,588,13324,6240,-745,-1945,-1826
2355,263,2128,13060,4248,-853,-1889,-2016
2356,266,1568,13920,5824,-850,-2018,-1837
2357,269,1620,13036,4344,-873,-2269,-1790
2358,273,1696,14064,5824,-889,-2116,-2155
