,time,accX,accY,accZ,gyrX,gyrY,gyrZ
2324,1,-356,12628,7384,-301,-46,141
2325,4,-408,12708,7284,-311,-3,164
2326,7,-364,12664,7416,-270,-18,126
2327,11,-440,12660,7316,-263,-45,142
2328,14,-400,12680,7372,-301,-20,137
2329,17,-404,12716,7284,-273,29,109
2330,20,-632,12572,7212,-301,-26,145
2331,23,-700,12720,7168,-285,-66,147
2332,26,-504,12652,7300,-302,-114,158
2333,30,-444,12696,7368,-305,-167,173
2334,40,-224,12592,7660,-260,-74,124
2335,43,-284,12628,7596,-224,-33,106
2336,46,-384,12672,7596,-203,-2,118
2337,49,-404,12524,7472,-185,-7,89
2338,52,-352,12652,7572,-169,30,83
2339,55,-428,12736,7288,-152,15,93
2340,59,-396,12692,7328,-191,-7,81
2341,62,-388,12728,7312,-193,12,84
2342,65,-428,12684,7264,-224,-30,74
2343,68,-484,12632,7312,-218,-72,100
2344,71,-400,12684,7356,-225,-52,81
2345,74,-468,12696,7324,-239,-27,71
2346,77,-460,12744,7384,-236,-22,80
2347,82,-544,12688,7324,-234,-98,84
2348,85,-584,12636,7384,-253,-59,96
2349,88,-464,12672,7360,-257,-95,103
2350,97,-656,12724,7180,-274,-203,154
2351,100,-560,12792,7224,-321,-239,183
2352,103,-488,12732,7304,-321,-245,178
2353,106,-424,12704,7368,-317,-301,190
2354,110,-504,12656,7356,-305,-307,196
2355,113,-400,12688,7528,-313,-332,205
2356,116,-304,12628,7508,-262,-312,180
2357,119,-272,12580,7428,-256,-297,213
2358,123,-328,12568,7428,-231,-244,186
2359,127,-304,12640,7616,-218,-190,158
2360,130,-108,12692,7544,-160,-192,147
2361,133,-192,12608,7440,-154,-113,119
2362,137,-192,12656,7660,-123,-39,82
2363,140,-300,12648,7448,-122,-35,74
2364,143,-292,12700,7348,-105,-42,62
2365,152,-168,12588,7252,-122,122,24
2366,155,-304,12712,7188,-111,200,16
2367,158,-468,12668,7260,-129,176,18
2368,161,-620,12796,7132,-153,126,32
2369,164,-684,12688,7180,-195,19,34
2370,169,-596,12768,7132,-233,-25,63
2371,172,-516,12712,7212,-232,-60,71
2372,175,-396,12688,7176,-248,-40,68
2373,178,-172,12684,7356,-264,64,33
2374,181,-340,12684,7316,-289,58,41
2375,184,-592,12676,7276,-270,49,69
2376,188,-580,12668,7188,-297,11,70
2377,191,-720,12716,7100,-336,-87,98
2378,194,-540,12656,7336,-317,-136,121
2379,197,-492,12684,7240,-336,-133,113
2380,206,-444,12540,7604,-292,-243,133
2381,210,-368,12648,7680,-256,-235,115
2382,214,-332,12588,7732,-197,-212,128
2383,217,-412,12704,7880,-160,-233,98
2384,220,-440,12644,7524,-151,-234,120
2385,223,-328,12708,7464,-145,-236,126
2386,227,-360,12644,7336,-96,-218,102
2387,230,-304,12692,7300,-112,-223,125
2388,233,-448,12728,7380,-110,-192,89
2389,236,-368,12652,7312,-94,-188,107
2390,239,-368,12680,7280,-105,-124,87
2391,243,-408,12676,7188,-127,-68,92
2392,246,-100,12740,7192,-139,-57,98
2393,249,-244,12768,7336,-173,-18,85
2394,253,-424,12744,7380,-157,-24,53
2395,262,36,12700,7180,-224,-32,21
2396,265,-68,12764,7272,-217,87,-54
2397,268,-88,12816,7332,-218,183,-93
2398,271,-136,12764,7436,-187,221,-125
2399,275,-708,12748,7548,-151,237,-28
2400,278,-6176,13964,8280,149,613,2099
2401,281,-3232,12492,7692,264,-1551,3170
2402,285,1428,12400,6904,172,-2052,2961
2403,288,-1272,13248,7400,264,-957,3463
2404,291,-28,13136,6928,163,-1578,2981
2405,294,-960,13228,7320,163,-999,2815
2406,299,800,12604,7468,190,-931,2746
2407,302,-1416,13056,7568,207,-1112,2900
2408,305,-20,12780,7496,268,-1294,2902
2409,308,1176,12960,7152,134,-1270,2584
2410,317,588,12656,7260,235,-1216,2859
2411,321,-4140,13812,8456,398,-1144,3673
2412,324,-2936,13544,7644,499,-1539,3967
2413,327,-1968,12824,7532,425,-1773,4213
2414,331,-1132,12840,7528,470,-1979,4556
2415,334,-524,12632,7468,500,-2377,4957
2416,338,-472,12880,7320,519,-2704,5032
2417,341,-976,13132,7508,537,-2813,5284
2418,345,-1524,12904,7996,737,-2869,6073
2419,348,-1372,13096,8092,797,-3880,6476
2420,351,2860,12120,6880,863,-4342,6265
2421,355,2612,12308,6976,807,-3911,6068
2422,358,-228,12560,7508,1033,-3279,6567
2423,361,-648,12736,7844,1027,-4180,7041
2424,370,-1504,12264,7356,1305,-5183,9091
2425,374,516,12608,8028,1604,-5879,9735
2426,377,1908,12548,7704,1516,-6113,9594
2427,381,960,12288,7704,1652,-5394,9935
2428,385,1532,12064,8452,1790,-5293,10576
2429,388,460,12496,9708,2132,-5182,11173
2430,391,4156,12656,9408,2042,-6110,10685
2431,395,3304,11744,7756,1912,-5322,10485
2432,398,2352,11892,7000,1874,-4542,10277
2433,401,348,11296,7392,2099,-4009,10394
2434,405,44,11916,8524,2202,-3771,10358
2435,408,2796,12028,6672,2058,-4092,9935
2436,411,5588,12576,5912,1672,-3476,8606
2437,415,5160,12856,6304,1607,-2283,7598
2438,438,2344,13112,5236,1030,-1084,4152
2439,442,836,13464,6792,1024,-376,3986
2440,445,-504,12640,7184,1011,-206,4657
2441,448,-32,12776,7336,1152,-1030,5160
2442,452,-712,12520,7832,1193,-1105,5631
2443,455,128,12948,7600,1260,-1558,6030
2444,458,1632,12200,6628,1312,-2033,6424
2445,462,1620,12488,7232,1267,-1943,6747
2446,466,-316,12092,8892,1518,-1591,7602
2447,469,856,12348,8072,1819,-2437,8483
2448,473,3936,12664,7128,1724,-3036,7918
2449,476,2032,12108,7680,1558,-2050,7848
2450,479,4400,12988,5976,1627,-2626,7023
2451,483,8044,13496,6232,1210,-2035,5194
2452,492,2572,13780,4448,638,883,1470
2453,495,-920,13216,6392,589,1340,2034
2454,498,-2644,13092,4656,408,447,1983
2455,501,-4532,12956,7492,494,162,3540
2456,505,-20,13544,5980,585,-1428,3914
2457,509,4384,13596,6288,477,-1659,3815
2458,512,8164,13764,4852,164,-1211,2062
2459,515,5816,14008,6256,14,-540,1082
2460,519,3068,13564,5960,-108,-346,234
2461,522,464,13176,6504,-196,-735,328
2462,525,992,12868,7036,-145,-1794,472
2463,528,2136,12732,7472,-57,-2331,538
2464,532,2752,12736,7868,94,-2239,485
2465,535,3204,12648,8056,239,-2157,416
2466,538,3512,12752,7800,411,-2103,319
2467,547,4784,12912,7316,624,-2189,-220
2468,550,5528,12836,7024,690,-1753,-540
2469,555,4840,12868,7264,757,-1293,-782
2470,558,4092,12884,7312,836,-983,-955
2471,561,3492,12876,6888,870,-832,-1052
2472,564,3028,13020,6236,845,-682,-1058
2473,568,2476,13168,5788,711,-545,-1033
2474,571,2004,13340,5292,513,-597,-913
2475,574,1916,13396,5100,317,-469,-806
2476,578,1492,13316,4964,75,-336,-661
2477,581,1272,13272,4960,-173,-322,-461
2478,584,1292,13296,5120,-364,-289,-256
2479,587,1468,13212,5488,-577,-303,-90
2480,591,1872,13276,5616,-726,-299,38
2481,600,2140,12964,6520,-891,-250,246
2482,604,2196,12972,6824,-892,-336,287
2483,607,2408,12968,6796,-850,-355,297
2484,610,2740,13052,7004,-824,-291,325
2485,613,3280,13032,7420,-791,-143,284
2486,617,3492,13064,7532,-705,92,197
2487,620,3512,13040,7528,-592,251,84
2488,623,3216,12988,7492,-522,319,16
2489,626,3072,13004,7452,-413,329,-46
2490,629,3072,13152,7268,-398,379,-70
2491,633,3136,13324,6560,-442,502,-99
2492,637,3144,13552,6212,-556,617,-122
