,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1555,2,-664,12716,7288,-234,1,108
1556,5,-660,12824,7324,-244,-17,87
1557,8,-656,12880,7232,-243,-25,89
1558,11,-520,12756,7200,-227,-3,112
1559,15,-584,12724,7252,-249,12,71
1560,18,-644,12772,7276,-231,15,73
1561,21,-548,12760,7264,-234,2,101
1562,24,-592,12816,7204,-250,5,77
1563,27,-748,12916,7124,-245,-20,104
1564,30,-796,12860,7180,-257,-121,105
1565,33,-612,12740,7024,-243,-115,126
1566,37,-424,12756,7280,-258,-69,94
1567,41,-460,12812,7344,-260,-24,55
1568,44,-516,12732,7304,-250,-29,66
1569,47,-564,12880,7112,-236,-41,33
1570,56,-464,12764,7256,-202,-36,24
1571,59,-400,12748,7480,-206,7,-6
1572,62,-532,12768,7280,-187,9,-25
1573,65,-676,12780,7360,-174,-73,-13
1574,68,-684,12728,7428,-160,-129,-47
1575,71,-600,12804,7208,-140,-106,-44
1576,75,-668,12772,7196,-129,-88,-38
1577,78,-612,12760,7116,-153,-45,-22
1578,82,-828,12668,7228,-169,-86,-15
1579,85,-872,12788,7248,-157,-154,-6
1580,88,-884,12892,6976,-203,-203,28
1581,91,-872,12932,7100,-217,-215,84
1582,95,-876,12880,7048,-225,-218,84
1583,98,-832,12760,7156,-252,-164,124
1584,101,-828,12776,6924,-258,-99,161
1585,104,-620,12864,7224,-279,-128,181
1586,113,-352,12696,7224,-289,-8,157
1587,116,-424,12780,7308,-265,20,119
1588,119,-444,12760,7276,-251,44,83
1589,124,-476,12892,7208,-238,26,70
1590,127,-368,12808,7288,-257,58,51
1591,130,-292,12860,7112,-230,78,20
1592,133,-200,12728,7216,-246,103,-41
1593,136,-320,12840,7308,-236,93,-102
1594,139,-312,12732,7272,-193,79,-182
1595,143,-336,12844,7312,-197,60,-180
1596,146,-504,12788,7236,-158,40,-218
1597,149,-428,12792,7100,-204,-1,-206
1598,152,-536,12824,7220,-187,-22,-221
1599,156,-1280,12996,7144,-181,-72,-99
1600,159,-8420,13252,8228,72,424,2876
1601,169,1324,12464,7144,-16,-716,2356
1602,172,1320,13356,6608,-57,-1033,1205
1603,175,-1432,12904,7844,82,97,1739
1604,178,-1636,12504,7288,208,-997,2037
1605,182,2028,12336,6872,166,-1284,1657
1606,185,1764,13092,7424,142,-623,1209
1607,188,-340,13128,7836,289,-37,1102
1608,191,-692,12940,8192,418,146,1404
1609,195,-1592,13392,8276,589,188,1870
1610,198,-3004,12776,8312,782,-396,2704
1611,201,-564,13188,7320,800,-1154,2497
1612,205,1228,13044,7160,744,-441,1939
1613,209,-1348,13280,7080,776,515,2425
1614,212,1012,12416,6808,726,-11,2124
1615,215,-1256,13436,7232,747,650,2566
1616,224,456,12920,6968,700,-834,3292
1617,227,-2088,13248,7724,772,-605,3804
1618,231,-712,13172,6508,699,-865,3619
1619,234,-1560,13044,7452,827,-736,4192
1620,237,2468,12576,6340,754,-1583,3424
1621,241,164,12992,6992,821,-625,3768
1622,244,12,12696,7132,853,-1006,3844
1623,247,-1220,13540,7624,913,-804,3972
1624,251,-3812,13100,7364,1157,-1088,5128
