,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1620,2,660,13540,6112,-176,-230,79
1621,5,604,13636,6144,-176,-205,105
1622,8,532,13576,6184,-183,-231,98
1623,11,672,13472,6036,-156,-220,97
1624,14,664,13584,6180,-184,-188,114
1625,17,716,13540,6160,-171,-197,133
1626,21,756,13456,6208,-151,-161,114
1627,24,892,13516,6108,-156,-161,97
1628,27,784,13536,6088,-179,-141,87
1629,31,624,13584,6084,-183,-116,81
1630,34,632,13604,6240,-167,-171,117
1631,37,668,13528,6096,-194,-232,135
1632,40,608,13500,6112,-191,-238,136
1633,44,772,13568,6092,-220,-187,130
1634,47,824,13504,6176,-188,-155,132
1635,50,720,13460,6236,-188,-205,169
1636,57,828,13508,6148,-199,-187,161
1637,60,768,13504,6236,-176,-123,157
1638,63,800,13480,6212,-185,-174,131
1639,66,668,13456,6268,-190,-188,123
1640,69,740,13616,6016,-215,-215,133
1641,74,724,13580,5984,-216,-186,116
1642,77,820,13528,6040,-218,-166,118
1643,80,884,13480,6100,-237,-142,110
1644,83,756,13580,6128,-259,-126,86
1645,86,824,13540,5920,-262,-102,85
1646,89,804,13516,6116,-249,-108,66
1647,93,1036,13512,6236,-267,-70,63
1648,96,852,13544,6152,-268,-52,4
1649,99,852,13632,6292,-278,-42,39
1650,102,952,13564,6160,-248,-34,9
1651,105,904,13536,6160,-285,66,-11
1652,129,648,13584,6060,-285,239,-123
1653,132,988,13604,5988,-317,282,-142
1654,135,1152,13548,5812,-324,321,-189
1655,139,1352,13588,6012,-354,363,-240
1656,142,1364,13672,5896,-363,421,-334
1657,145,1632,13668,5836,-395,549,-444
1658,148,1660,13652,6012,-451,708,-540
1659,152,1676,13576,5928,-461,983,-639
1660,155,1832,13500,6052,-494,1231,-767
1661,159,1744,13524,6212,-485,1496,-866
1662,163,1264,13544,6216,-461,1609,-930
1663,166,-5680,14372,7364,-183,1161,439
1664,169,-4324,12976,8020,426,-896,2623
1665,172,-996,14136,6604,384,-608,2491
1666,179,4968,13248,5484,274,260,1690
1667,183,7288,13008,5016,38,1340,610
1668,186,-2352,14332,6584,69,2506,725
1669,189,-764,13640,6728,179,1397,1249
1670,192,588,13952,5884,202,2004,821
1671,195,976,13280,6888,356,1431,1489
1672,199,1252,13664,6456,475,1347,1680
1673,203,980,13496,6280,528,1121,2200
1674,206,2712,13376,5668,424,1373,1905
1675,209,-340,13832,5512,341,1688,1540
1676,213,-4748,14024,6728,379,1694,2004
1677,216,4080,13672,5480,302,1620,1537
1678,219,448,13548,5804,255,1639,1524
1679,222,2396,13668,5524,238,1399,1277
1680,226,1212,13560,5808,139,1451,1240
1681,232,-3704,14252,7132,415,1080,2076
