,time,accX,accY,accZ,gyrX,gyrY,gyrZ
2391,1,1096,13848,5696,-227,-184,20
2392,4,1108,13892,5644,-214,-145,14
2393,8,1244,13932,5636,-211,-80,-24
2394,12,1172,13864,5556,-230,-34,-32
2395,15,1120,13968,5604,-228,15,-53
2396,18,1284,13840,5612,-215,62,-80
2397,21,1096,13944,5476,-241,62,-97
2398,24,996,13856,5608,-227,93,-94
2399,28,952,13832,5584,-216,98,-73
2400,31,912,13964,5492,-238,100,-67
2401,34,1008,13924,5584,-234,60,-42
2402,37,1000,13808,5556,-216,103,-63
2403,40,856,13892,5500,-229,126,-50
2404,43,932,13836,5548,-242,132,-18
2405,46,700,13820,5424,-248,122,-7
2406,50,692,13832,5400,-266,55,22
2407,54,396,13820,5484,-256,-34,74
2408,60,360,13812,5680,-240,-320,238
2409,64,696,13916,5632,-264,-352,260
2410,67,968,13916,5588,-254,-370,297
2411,70,1116,13900,5696,-260,-369,273
2412,73,1168,13968,5692,-248,-398,262
2413,76,1400,13864,5840,-202,-361,219
2414,80,1544,13916,5832,-225,-343,151
2415,83,1716,13844,5624,-183,-296,58
2416,86,1620,13888,5728,-154,-303,15
2417,89,1536,13896,5584,-147,-225,-65
2418,92,1456,13876,5528,-155,-191,-113
2419,97,1464,13816,5560,-165,-141,-171
2420,100,1184,13880,5552,-165,-151,-199
2421,103,1204,13880,5672,-154,-126,-231
2422,107,1276,13912,5476,-131,-92,-247
2423,113,1176,13988,5384,-201,45,-301
2424,116,1264,13944,5228,-231,76,-298
2425,120,1036,13856,5304,-245,93,-315
2426,123,1072,13876,5348,-255,104,-281
2427,126,944,13880,5436,-285,131,-296
2428,129,768,13924,5492,-312,90,-281
2429,133,956,13920,5324,-344,133,-252
2430,136,1000,13900,5352,-383,143,-247
2431,140,964,13892,5284,-409,71,-244
2432,143,744,13904,5332,-440,18,-198
2433,146,712,13908,5348,-473,-19,-206
2434,150,756,13868,5420,-499,-43,-191
2435,153,956,13880,5428,-487,-19,-201
2436,156,808,13912,5452,-538,1,-197
2437,159,944,13780,5536,-518,16,-183
2438,166,-4012,11396,1772,-2192,-312,1080
2439,169,2412,12664,5616,-1603,455,819
2440,172,1144,14156,7116,-1731,1331,1023
