,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1600,2,1700,13364,5968,-227,16,-30
1601,5,1636,13556,6140,-232,-27,12
1602,8,1784,13372,6248,-253,-56,69
1603,11,1976,13476,6076,-266,-22,66
1604,14,2016,13472,6080,-278,-1,38
1605,17,2012,13480,6068,-264,-41,65
1606,20,2040,13432,6192,-302,-24,41
1607,23,1980,13404,6236,-287,19,38
1608,28,2060,13424,6180,-320,48,39
1609,31,1940,13344,6288,-315,45,53
1610,34,2068,13424,6292,-296,48,37
1611,37,2152,13300,6196,-313,86,-14
1612,40,2216,13448,6260,-277,99,-22
1613,43,2296,13280,6304,-282,180,-31
1614,46,2372,13376,6448,-246,203,-96
1615,50,2324,13352,6572,-215,223,-142
1616,56,2480,13444,6336,-143,241,-221
1617,60,2492,13348,6348,-114,351,-278
1618,63,2344,13444,6488,-86,396,-355
1619,66,2004,13592,6392,-89,412,-363
1620,70,1976,13548,6348,-97,406,-352
1621,73,1924,13428,6324,-75,424,-359
1622,77,1944,13532,6200,-101,440,-356
1623,80,1804,13496,6160,-104,471,-349
1624,83,1720,13512,6068,-112,410,-323
1625,86,1640,13440,6072,-128,360,-304
1626,90,1536,13448,6120,-134,296,-286
1627,93,1688,13508,6120,-151,241,-229
1628,96,2028,13556,6012,-171,333,-245
1629,99,1824,13396,5992,-189,353,-231
1630,102,1576,13488,6068,-223,365,-197
1631,106,1548,13432,6020,-227,334,-176
1632,113,1716,13500,6060,-278,298,-122
1633,117,1844,13488,6048,-324,347,-101
1634,120,1860,13428,6308,-321,339,-105
1635,123,1772,13484,6228,-318,384,-66
1636,126,1632,13480,6172,-335,368,-57
1637,130,1668,13464,6140,-309,276,-43
1638,133,1684,13436,6380,-335,230,-16
1639,136,1788,13424,6256,-320,236,-13
1640,139,1664,13492,6304,-311,229,-4
1641,142,1616,13428,6240,-303,219,18
1642,146,1732,13436,6056,-347,260,26
1643,149,1872,13500,6144,-312,285,29
1644,152,1904,13600,6132,-334,335,27
1645,156,2260,13404,6000,-357,480,0
1646,159,2364,13412,6176,-357,611,-47
1647,166,2508,13452,6132,-344,857,-166
1648,169,2520,13432,6244,-332,965,-236
1649,173,2300,13516,6136,-353,1026,-296
1650,176,2276,13488,6180,-358,1116,-339
1651,179,2100,13364,6040,-357,1203,-399
1652,183,1976,13452,6092,-382,1250,-388
1653,186,1908,13460,6060,-380,1262,-409
1654,189,1740,13448,6036,-386,1329,-380
1655,192,1708,13380,6080,-417,1280,-353
1656,197,2032,13496,6020,-424,1310,-367
1657,200,2208,13352,6060,-470,1429,-428
1658,203,2352,13448,6132,-471,1600,-478
1659,207,2008,13436,6024,-508,1677,-489
1660,210,1784,13392,6112,-510,1677,-503
1661,217,1608,13404,6164,-538,1656,-477
1662,220,1804,13508,5884,-564,1716,-484
1663,223,1848,13460,5904,-607,1823,-490
1664,227,1808,13412,6024,-627,1908,-521
1665,230,1580,13516,6100,-636,1970,-492
1666,233,1552,13356,5884,-632,1979,-491
1667,236,1496,13512,6152,-673,1974,-451
1668,241,1468,13452,5936,-694,2048,-422
1669,244,1660,13492,6140,-711,2131,-408
1670,247,1300,13372,6344,-705,2187,-371
1671,251,1004,13516,6332,-698,2158,-295
1672,254,1360,13332,6056,-699,2214,-243
1673,257,2000,13488,6024,-749,2420,-256
1674,261,2220,13400,6000,-757,2684,-307
1675,267,1676,13432,6468,-742,2961,-367
1676,271,1412,13480,6456,-716,2911,-340
1677,274,1216,13460,6468,-690,2825,-342
1678,277,-780,13700,6984,-523,2804,101
1679,281,-18124,12588,12116,789,-783,5349
1680,285,3580,12444,4916,641,-2468,5539
1681,288,3352,13480,5012,267,-1215,4320
1682,291,6616,13140,3624,-193,450,2742
1683,295,3324,13600,4672,-462,2218,1722
1684,298,1128,13696,5792,-561,2346,1370
1685,301,5560,13836,4856,-733,2660,-157
1686,305,904,13420,6336,-839,2143,-198
1687,308,2772,13380,6476,-788,2203,-271
1688,311,3368,13532,6780,-685,3087,-399
1689,314,-19512,12844,12980,689,-479,4663
1690,321,9292,13220,4508,509,495,3370
1691,326,3712,13372,5848,360,1347,3139
1692,329,5276,13336,5820,341,2162,2763
1693,332,10784,13740,4220,-92,4234,794
1694,335,-5912,13320,8352,189,2931,2473
1695,339,-968,13500,6836,402,2297,2733
1696,342,1440,13620,6040,375,2695,2294
1697,345,4556,13232,5804,311,2764,2302
1698,348,2852,13376,6504,290,3202,2359
1699,352,484,13236,6120,322,3533,2327
1700,355,620,13512,6636,413,3417,2533
1701,358,3384,13348,6088,370,3423,2563
1702,361,2412,13888,5452,240,3610,2212
1703,365,-1008,13512,6540,454,3408,2996
1704,372,704,13336,5924,409,3238,3002
1705,376,-2156,13292,6100,450,2487,3674
1706,379,2352,13476,5596,454,2194,4022
1707,382,3792,13592,5472,454,2454,4002
1708,385,1676,13096,5392,533,2369,4496
1709,389,1112,13540,6104,413,2723,4282
1710,392,3244,13380,5712,500,3024,4072
1711,395,-648,12816,7036,592,3083,4143
1712,398,2012,13516,7496,708,3109,4106
1713,402,-268,13848,7712,771,3169,4108
1714,405,3960,13420,6668,881,2929,4050
1715,408,-1364,13300,7780,1047,2878,4402
1716,413,6152,13032,5792,1010,3172,3436
1717,416,7576,13576,6072,775,3803,2536
1718,419,5244,13560,5880,614,4548,1874
1719,442,-340,12864,6160,1351,3271,3916
1720,445,3632,13700,6736,1351,3358,3474
1721,449,3756,13248,6052,1318,3494,3130
1722,453,3032,13088,5288,1201,3791,2946
1723,456,6440,13696,4984,1134,4043,2459
1724,460,1740,13284,5452,1141,4553,2750
1725,463,6220,13876,5884,1131,4476,2398
1726,466,1468,13796,5964,946,4840,2173
1727,469,40,13420,5824,967,4976,2616
1728,473,6296,13924,5636,984,4748,2578
1729,476,2696,13660,5000,799,5048,2312
1730,479,108,13564,5720,737,5119,2237
1731,482,10428,13748,3788,569,5851,1159
1732,486,632,13820,6352,548,5974,2131
1733,493,-12,13000,5456,714,4957,3349
1734,497,1252,13660,6776,775,5178,3668
1735,500,1984,13136,5704,601,5494,4013
1736,503,2664,13772,6712,758,5972,4355
1737,507,4668,13552,5596,726,5733,4361
1738,510,4196,14108,5896,681,5947,3960
1739,513,1316,13716,6376,652,5922,4140
1740,516,3168,13152,4636,576,5700,3637
1741,520,412,14180,6860,731,5998,3547
