,time,accX,accY,accZ,gyrX,gyrY,gyrZ
3227,2,880,13608,6384,-255,77,47
3228,5,868,13416,6312,-248,135,11
3229,8,824,13504,6336,-204,141,-7
3230,11,800,13448,6260,-193,168,-17
3231,14,584,13476,6252,-208,162,-22
3232,17,620,13516,6268,-174,160,11
3233,20,528,13480,6268,-165,169,20
3234,23,416,13532,6096,-198,142,30
3235,27,576,13448,6120,-202,86,58
3236,30,440,13576,6124,-218,73,74
3237,33,404,13420,5992,-248,18,101
3238,37,468,13556,6140,-243,-2,134
3239,43,624,13472,6196,-277,-63,138
3240,46,584,13588,6144,-261,-61,161
3241,50,648,13512,6200,-275,-40,151
3242,53,540,13592,6256,-276,-77,160
3243,56,548,13600,6128,-310,-112,177
3244,59,548,13448,6216,-292,-121,159
3245,62,600,13608,6236,-309,-187,190
3246,65,564,13600,6304,-295,-175,165
3247,70,568,13452,6316,-291,-171,183
3248,73,796,13476,6468,-276,-164,159
3249,76,768,13560,6208,-256,-181,135
3250,79,820,13500,6284,-249,-170,120
3251,82,832,13568,6224,-221,-230,97
3252,85,948,13584,6120,-239,-224,80
3253,89,928,13440,6356,-206,-198,38
3254,92,952,13536,6164,-190,-221,13
3255,98,992,13564,6200,-155,-234,-76
3256,102,936,13548,6280,-189,-262,-95
3257,105,880,13492,6352,-173,-259,-116
3258,108,892,13504,6148,-142,-203,-157
3259,112,880,13424,6336,-125,-238,-169
3260,116,1064,13560,6104,-113,-203,-218
3261,119,984,13480,6300,-82,-146,-254
3262,122,936,13644,6344,-69,-106,-309
3263,125,1044,13576,6324,-85,-91,-328
3264,129,688,13548,6296,-59,-100,-343
3265,132,636,13692,6120,-65,-104,-342
3266,135,788,13456,6068,-77,-128,-345
3267,138,628,13520,6104,-68,-124,-341
3268,141,656,13484,6160,-103,-154,-381
3269,145,884,13632,6184,-103,-139,-400
3270,151,876,13552,6116,-122,-95,-473
3271,156,648,13500,6224,-100,-88,-484
3272,159,496,13420,6260,-86,-195,-491
3273,162,444,13536,6252,-82,-250,-465
3274,165,736,13604,6072,-63,-302,-473
3275,169,1036,13540,6104,-72,-278,-512
3276,172,992,13500,6000,-90,-286,-554
3277,175,788,13632,6148,-93,-302,-613
3278,178,768,13564,6196,-94,-336,-626
3279,181,776,13520,6292,-86,-309,-648
3280,185,900,13556,6292,-87,-289,-668
3281,188,780,13320,6028,-130,-288,-705
