,time,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2,1948,14000,5144,-249,-121,146
1,5,1920,14128,5044,-281,-113,150
2,8,2064,14024,5108,-252,-100,150
3,11,2056,13972,5080,-280,-96,152
4,14,2092,13984,5200,-245,-89,117
5,19,2272,14084,5348,-250,-65,123
6,22,2160,14076,5200,-231,-39,91
7,25,2160,14060,5116,-211,-74,80
8,28,2036,14124,5240,-192,-78,69
9,31,2144,14068,5144,-223,-127,45
10,34,2128,14016,5136,-205,-97,10
11,38,2008,14104,5192,-189,-64,20
12,41,1776,14040,5156,-197,-70,28
13,44,1916,14112,5148,-183,-88,48
14,47,1880,14072,5160,-201,-111,85
15,54,1964,14052,5088,-246,-139,102
16,57,2096,14056,5060,-232,-135,101
17,61,2136,14020,4960,-247,-87,116
18,64,2048,14096,5004,-256,-62,88
19,68,2096,13924,5128,-249,-31,64
20,71,1876,14048,5104,-266,-74,105
21,74,1872,14036,5152,-252,-79,109
22,77,2036,14084,5028,-265,-32,105
23,80,2212,14028,4984,-259,3,104
24,83,2276,14036,4916,-292,38,82
25,87,2056,14096,5100,-299,44,78
26,90,1984,13908,5224,-287,33,75
27,93,2080,13984,5384,-247,13,61
28,96,2004,13992,5280,-247,-11,73
29,99,2040,13972,5200,-242,14,45
30,103,2036,14092,5184,-237,60,59
31,110,2016,14056,5152,-262,-23,57
32,113,2128,13972,5140,-215,-5,55
33,116,2232,14064,5196,-236,29,44
34,119,2296,14016,5204,-245,100,12
35,122,2072,14020,5240,-204,95,0
36,126,2048,14036,5244,-211,50,-28
37,129,2020,14040,5096,-197,53,-23
38,132,2000,13980,5192,-218,58,-19
39,135,2056,14004,5160,-203,128,-4
40,138,2044,13984,5040,-188,173,-20
41,141,2140,14004,5184,-221,271,-10
42,146,2180,14100,5052,-200,408,-31
43,149,2344,14008,5036,-229,544,-73
44,152,2396,14024,5024,-244,603,-106
45,155,2196,14024,5076,-253,679,-157
46,162,2016,14108,5160,-208,708,-145
47,165,2124,14060,5076,-228,744,-135
48,169,2128,14092,5148,-214,820,-160
49,172,2080,14088,5192,-195,876,-178
50,175,1716,13980,5308,-194,775,-147
51,178,1604,14096,5220,-201,717,-134
52,182,1408,13896,5276,-164,660,-55
53,185,1308,13960,5192,-154,538,-9
54,189,1292,14056,5224,-186,409,58
55,192,1444,14120,5068,-162,295,100
56,196,1520,13952,5076,-176,222,165
57,199,1536,14116,5180,-171,213,184
58,202,2008,14088,5132,-131,260,208
59,205,2296,14032,5148,-133,393,206
60,208,2324,14084,5000,-141,554,154
61,215,5840,12968,1024,928,-1718,1812
62,218,4620,13768,3048,693,-922,1439
63,222,2916,14780,5196,453,-207,969
64,225,-344,14564,6000,816,-904,1631
65,228,3504,13408,3780,694,-713,1424
66,232,2152,14204,5272,509,-128,1106
67,236,3324,13576,3912,340,9,883
68,239,1512,14476,5712,352,447,799
69,242,2772,14356,4768,361,270,822
70,245,3404,13212,3588,122,466,591
71,248,312,15316,7152,560,587,888
72,251,1112,14312,5464,848,-107,1432
73,255,2764,13532,3988,724,-326,1390
74,258,1708,13792,4588,509,-38,1120
75,261,532,14456,5672,633,28,1282
76,264,3600,14652,5080,489,563,1062
77,271,168,13804,5320,1058,186,1841
78,275,1660,14276,5732,1007,119,1772
79,279,4732,14904,4836,570,835,1041
80,282,696,14292,5436,1034,638,1753
81,285,1148,14436,5748,1255,618,1950
82,288,1036,14132,5552,1384,1001,2047
83,292,3596,14064,4616,1004,1502,1510
84,295,2328,14568,4568,1149,1709,1785
85,298,1292,13440,4132,1352,1548,2079
86,301,980,14072,4932,1470,1677,2271
87,305,2456,14260,4584,1233,1891,2070
88,308,592,14756,5908,1320,2070,2263
89,311,3748,14144,3512,1091,2140,2094
90,316,1584,13136,3620,1056,2362,2086
91,322,492,14348,5508,1218,2224,2315
92,326,1612,13968,4580,1201,1830,2274
93,329,64,14824,5432,1563,1372,2672
94,332,3144,13884,2924,1390,735,2722
95,335,312,14220,5060,1536,682,2937
96,339,2148,14332,4784,1359,872,2967
97,342,1352,14184,5048,1450,1146,3064
98,345,1176,14248,6100,1324,1388,2954
99,348,3376,14428,4452,1058,1199,2886
100,352,3292,14668,5260,1101,1329,2775
101,355,4644,15532,4672,769,1052,2433
102,359,1408,14564,4216,1124,530,2871
103,363,1680,14960,6740,1083,533,2746
104,366,3408,15508,6232,909,557,2593
105,369,3180,14464,4840,1081,695,2654
106,376,4272,14508,4152,1036,849,2399
107,379,2708,14440,4992,1165,1031,2510
108,382,2780,14100,4368,1192,1128,2416
109,386,1624,14504,6240,1485,982,2600
110,389,3800,13888,4532,1119,959,2399
111,392,2344,14196,5452,1367,1176,2538
112,396,2032,14684,6056,1623,1233,2776
113,399,3756,13632,3664,1324,1369,2528
114,403,3108,14124,5136,1367,1684,2518
115,406,2744,14176,4392,1445,2054,2527
116,410,3780,13916,3504,1409,2084,2486
117,413,2404,13300,3792,1415,2070,2560
118,416,3604,14204,4836,1243,2348,2275
119,420,2792,13580,4068,1328,2402,2446
120,442,2436,13832,3568,1242,2112,2255
121,447,1136,13876,5192,1305,1926,2416
122,450,2704,14580,4880,1244,2052,2119
123,453,3372,14184,5760,1127,2144,1923
124,456,1164,13792,4900,1139,2379,2092
125,460,1412,13856,5964,1078,2361,1982
126,463,3064,14332,4444,1011,2199,1902
127,466,-352,14252,6044,1104,2337,2030
128,470,1980,13536,4080,1042,1949,2173
129,473,1612,14996,5388,977,2124,2061
130,476,3516,14496,4248,901,1766,2075
131,479,852,14432,5768,1048,2178,2266
132,483,4388,14136,4244,688,1990,1688
133,487,1356,14556,5008,886,1994,2141
134,494,752,14284,5872,960,1951,2182
135,497,5704,14508,4108,962,1549,2089
136,500,3248,14196,4440,934,2011,1843
137,504,3544,14268,3768,1051,1893,2058
138,507,3264,14236,4180,1178,1888,2229
139,510,2076,14192,4728,1080,1900,2014
140,514,1676,14012,4484,1249,1683,2379
141,517,4980,14712,4240,970,2070,1832
142,520,3460,14324,3624,913,1885,1922
143,523,2908,13836,3460,897,1890,2023
144,527,912,14524,5476,847,1934,1845
145,531,1452,14152,5392,822,1656,1960
146,534,2428,14716,4428,663,1532,1823
147,537,4876,14884,3888,413,1852,1489
148,541,1672,14728,4980,680,1831,1948
149,547,4620,13524,2836,181,1576,1222
150,551,-288,14220,5972,294,2083,1249
151,554,4616,14284,3448,241,1990,1158
152,557,2344,14196,4580,-73,1875,656
153,560,452,14896,6632,95,1882,955
154,564,3672,14144,4076,60,1247,937
155,567,4640,14260,3320,-336,1086,367
156,570,2868,14184,4676,-418,1078,207
157,574,2500,14188,5088,-348,838,215
158,577,1988,14260,5012,-259,371,244
159,581,1868,14268,5000,-228,-101,293
160,584,2356,14232,4984,-168,-356,334
161,587,2780,14252,4564,-141,-501,347
162,590,2972,14332,4472,-109,-639,293
163,594,3156,14308,4480,-106,-713,240
164,600,3036,14288,4364,-76,-885,102
165,604,2916,14304,4308,-111,-886,100
166,607,2792,14380,4148,-124,-916,95
167,610,2840,14300,4220,-176,-903,82
168,613,3016,14388,4256,-186,-887,41
169,618,3136,14348,4096,-210,-858,13
170,621,3024,14392,4124,-238,-878,-20
171,624,3152,14316,4168,-273,-870,-50
172,627,3120,14272,4084,-288,-779,-98
173,631,3260,14244,4276,-290,-681,-115
174,634,3276,14280,4088,-315,-610,-189
175,637,3136,14400,4076,-357,-510,-184
176,640,2740,14264,4052,-397,-565,-193
177,644,2744,14432,3980,-463,-550,-167
178,651,3004,14416,3948,-556,-479,-221
179,654,2884,14368,4120,-557,-422,-231
180,658,2712,14340,4240,-575,-514,-213
181,662,2576,14256,4264,-570,-513,-216
182,665,2980,14340,4276,-588,-457,-210
183,668,3624,14336,4184,-635,-295,-270
184,671,3800,14356,4272,-649,-79,-374
185,675,3820,14280,4624,-626,165,-490
186,678,3424,14140,4800,-573,247,-556
187,681,3236,14264,4860,-519,372,-604
188,684,3280,14292,4816,-432,486,-645
189,688,3212,14304,4780,-382,586,-702
190,691,2876,14228,4912,-316,647,-711
191,694,2792,14300,4676,-267,717,-691
192,697,2828,14244,4508,-285,729,-699
193,705,2288,14232,4556,-263,610,-672
194,709,2076,14232,4508,-240,529,-593
195,712,2052,14292,4608,-246,465,-497
196,715,2128,14368,4412,-219,416,-458
197,718,2032,14328,4428,-217,345,-345
198,722,1864,14316,4612,-188,228,-231
199,725,1792,14224,4656,-177,122,-142
200,728,1892,14276,4552,-146,70,-31
201,731,2108,14404,4404,-118,-14,46
202,734,1992,14348,4260,-146,-120,129
203,738,2048,14364,4328,-153,-171,220
204,741,2024,14304,4540,-146,-240,295
205,745,1880,14272,4316,-152,-367,372
206,748,1824,14236,4384,-134,-550,508
207,752,1868,14256,4284,-164,-732,595
208,759,2200,14308,4484,-154,-869,742
209,762,2176,14316,4476,-161,-949,799
210,765,2140,14332,4580,-122,-1088,824
211,768,2352,14340,4424,-118,-1168,888
212,772,2380,14224,4380,-123,-1212,917
213,775,2616,14328,4472,-103,-1329,923
214,778,2648,14332,4552,-118,-1380,918
215,781,2604,14408,4600,-66,-1555,944
216,786,2720,14276,4500,-28,-1665,947
217,789,2992,14332,4440,-21,-1765,912
218,792,3004,14252,4364,15,-1742,853
219,795,2796,14328,4284,-36,-1981,795
220,799,2992,14292,4168,-30,-1994,811
221,802,3016,14420,4088,-67,-1804,782
222,809,9456,16196,228,-618,96,-3574
223,812,3380,15020,2904,-756,593,-3853
224,815,1160,14556,2804,-738,56,-3754
225,819,2716,15300,3652,-716,-850,-3750
226,822,-1184,14800,4952,-668,-1241,-2988
227,825,72,13196,4188,-740,-932,-2411
228,830,1352,13320,4312,-858,-1088,-1758
229,833,2824,14136,3716,-916,-970,-1944
230,836,1356,14564,5148,-941,-1173,-1257
231,840,6448,15208,4004,-937,-788,-1967
232,843,5904,14260,4236,-951,-1117,-1978
233,846,3696,15232,4588,-981,-1003,-2097
234,850,1580,14620,3672,-1053,-1275,-2112
235,853,1404,14748,3340,-1086,-1218,-2455
236,877,3292,13848,4700,-832,-2018,-922
237,880,2852,14732,5100,-831,-2241,-917
238,884,6032,14744,4384,-777,-2271,-1609
239,887,40,13684,4448,-834,-2474,-1290
240,890,3824,14940,4052,-809,-2379,-2160
241,894,2256,14016,3896,-901,-2522,-2074
242,897,2656,14804,4456,-787,-2627,-2306
243,900,3712,14388,3188,-918,-2576,-2727
244,904,2632,13996,4132,-883,-2667,-2606
245,907,3128,14452,4400,-860,-2610,-2558
246,911,120,14420,4728,-928,-2759,-2151
247,915,2204,14592,4168,-849,-2882,-2412
248,918,1108,14040,4064,-858,-2671,-2298
249,922,3396,14316,5280,-713,-2742,-2302
250,929,3192,14020,4272,-703,-2593,-2289
251,932,2404,14300,4648,-749,-2582,-1997
252,935,1808,14712,4632,-748,-2719,-1651
253,939,1636,14428,4192,-731,-2649,-1818
254,942,1196,14500,3864,-766,-2826,-1718
255,946,2552,14792,4576,-720,-2889,-1869
256,949,4312,14184,4096,-695,-2860,-2126
257,952,2140,14084,4504,-705,-3079,-1756
258,957,2828,14264,4040,-683,-2991,-1911
259,960,3144,14072,4792,-607,-2934,-1683
260,963,3564,13600,4312,-654,-2892,-1489
261,967,2088,13688,4236,-595,-2735,-1338
262,970,1516,13940,5504,-612,-3085,-825
263,977,2812,14116,4300,-500,-2958,-913
264,980,624,14672,5244,-555,-2978,-250
265,984,5200,13952,3876,-438,-2306,-941
266,987,3404,13756,4220,-375,-2571,-698
267,990,2840,14368,5132,-313,-2424,-550
268,994,3080,14780,5684,-311,-2450,-245
269,997,4932,14416,4912,-237,-2120,-836
270,1001,1148,13548,4148,-244,-2088,-437
271,1005,3924,14776,5300,-224,-2286,-318
272,1008,1192,14252,4956,-282,-2270,-183
273,1011,4024,14512,5156,-243,-2251,-41
274,1015,2044,13488,3948,-295,-2014,17
275,1018,2468,14200,4532,-275,-2205,338
276,1021,3652,14488,4672,-237,-2159,65
277,1028,696,14268,3996,-227,-2042,-73
278,1032,5896,14988,4532,-85,-2050,-574
279,1035,204,13640,4052,-172,-1955,-163
280,1038,4036,14864,5112,-115,-2013,-249
281,1043,1792,14296,4524,-144,-1947,-234
282,1046,1552,13644,4752,-226,-1798,289
283,1049,2808,13972,4844,-214,-1828,444
284,1053,3260,14156,5080,-139,-1701,345
285,1056,2824,14264,5032,-46,-1445,327
286,1059,2744,14360,4696,16,-1479,320
287,1063,2696,14340,4568,30,-1556,267
288,1066,2340,14464,4416,22,-1563,280
289,1069,1768,14320,4340,9,-1543,349
290,1072,1552,14408,4264,14,-1755,415
291,1079,2112,15348,1968,292,-1930,-1634
292,1082,-2568,15408,3712,91,-2433,-917
293,1087,3620,14244,2444,29,-2489,-1568
294,1090,904,14292,3332,-157,-2709,-1315
295,1093,196,14408,2824,-300,-2262,-1245
296,1097,2368,14800,4540,-399,-2540,-1022
297,1100,-1128,13660,3844,-586,-2743,-432
298,1104,5832,15152,5100,-599,-2918,-440
299,1107,648,14252,4460,-669,-2591,-654
300,1110,1352,14864,4932,-679,-2602,-311
301,1114,3296,14396,4572,-720,-2770,-223
302,1117,6880,14612,4100,-605,-2776,-1104
303,1120,-8,14252,4024,-725,-2535,-523
304,1124,4332,15028,3672,-676,-2555,-1379
305,1132,3876,13432,3684,-711,-2227,-1512
306,1135,4324,14884,5720,-675,-2305,-1033
307,1139,3844,13236,4660,-691,-1783,-997
308,1142,4092,13680,6064,-650,-1658,-206
309,1145,6508,14028,4948,-611,-950,-656
310,1149,3544,13676,6024,-570,-420,-63
311,1152,6804,14372,5112,-442,271,-663
312,1155,4348,14280,5248,-339,607,-878
313,1158,4524,14480,4952,-236,1004,-1108
314,1162,4228,14352,4760,-190,1206,-1272
315,1165,4160,14272,4636,-156,1574,-1485
316,1170,3868,14336,4392,-132,1986,-1604
317,1173,2944,14316,4188,-136,2173,-1715
318,1180,1176,14556,3752,-290,2006,-1475
319,1183,1272,14484,3540,-380,1949,-1354
320,1187,1328,14524,3420,-550,1890,-1173
321,1190,1576,14476,3720,-636,1803,-1046
322,1193,1704,14544,3544,-788,1732,-948
323,1197,2172,14648,3472,-938,1794,-872
324,1200,2524,14708,3584,-1075,1818,-894
325,1203,2748,14716,3388,-1241,1893,-895
326,1207,3204,14688,3680,-1383,1936,-955
327,1210,3644,14656,3680,-1538,2092,-1061
328,1215,4320,14920,3304,-1765,2292,-1226
329,1218,4540,15100,2968,-2048,2582,-1347
330,1221,4100,15060,3112,-2415,2888,-1297
331,1225,1044,15028,2640,-2883,3158,-609
332,1232,-4704,16248,6128,-3868,2656,4517
333,1235,2064,18720,3744,-4263,1486,5410
334,1238,5396,22984,1596,-5438,937,5000
335,1242,4560,23984,1348,-6461,1047,4410
336,1245,3512,24080,1956,-7124,391,3923
337,1249,2208,22940,2400,-7622,-327,3746
338,1252,1116,20720,2660,-8048,-710,3992
339,1256,644,17048,4240,-8191,-648,4577
340,1260,844,14272,4660,-8071,-241,5274
341,1263,928,10840,5128,-7844,-601,5822
342,1266,1656,8656,5968,-7275,-397,6144
343,1270,2880,6832,7064,-6399,-82,6195
344,1273,4008,6344,7324,-5485,817,6007
345,1297,5164,11836,7964,-1452,3698,6952
346,1300,5344,11812,8000,-1022,3790,7033
347,1303,5564,11516,7732,-549,4088,6921
348,1307,5500,11364,7816,-99,4237,6690
349,1310,5568,10624,7784,446,4289,6239
350,1313,5672,10360,7612,942,4305,5556
351,1317,6228,10144,7460,1498,4633,4634
352,1320,6152,9712,7264,1997,5079,3706
353,1323,6028,9772,7336,2586,5569,2781
354,1327,5440,10268,7488,3027,5942,2029
355,1330,4676,10576,7428,3398,6139,1452
356,1333,3744,11268,7200,3713,6377,1129
357,1337,3284,11648,6872,3892,6536,995
358,1341,2676,12088,6792,4014,6568,931
359,1348,1448,13192,5908,3977,6295,1065
360,1351,1316,13672,5516,3941,6201,1060
361,1354,1164,13728,5464,3809,6089,1055
362,1358,820,14092,4980,3729,5832,991
