time,accX,accY,accZ,gyrX,gyrY,gyrZ
1,3500,12856,6796,-265,10,87
4,3444,12792,6640,-262,-34,96
7,3384,12860,6548,-255,-52,130
11,3512,12836,6712,-253,-30,154
14,3676,12820,6748,-233,-21,158
18,3720,12864,6804,-237,-8,120
21,3628,12744,6680,-244,-14,173
24,3620,12860,6456,-245,-35,149
27,3596,12804,6488,-291,-37,161
31,3680,12716,6488,-299,-39,196
34,3928,12876,6392,-329,41,135
37,4000,12868,6492,-340,86,125
40,3936,12780,6596,-350,125,85
43,3880,12664,6724,-340,192,59
46,3908,12808,6580,-394,205,86
57,3952,12772,6612,-394,114,84
61,3760,12600,6640,-378,176,56
65,3712,12836,6828,-360,118,64
68,3780,12744,6868,-324,91,24
71,3796,12772,6740,-311,49,-12
74,3476,12792,6840,-284,63,6
77,3524,12732,6672,-257,38,-8
80,3608,12728,6636,-234,61,2
83,3480,12748,6632,-227,38,-5
86,3492,12792,6768,-226,30,4
89,3528,12708,6788,-213,10,5
92,3652,12800,6724,-206,162,43
96,3584,12812,6656,-202,162,38
99,3640,12812,6800,-198,184,40
102,3672,12940,6468,-215,207,72
106,3384,12720,6524,-270,226,107
109,3424,12756,6692,-291,112,155
120,3652,12732,6600,-377,235,201
123,3736,12672,6204,-554,265,241
127,4100,13188,7420,-405,230,118
130,4000,12392,6352,-551,380,121
133,3928,13076,6824,-499,404,49
136,3844,12632,6496,-491,396,-4
139,3812,12460,5972,-688,423,-79
143,3832,12976,7068,-638,472,-92
147,3628,12200,6204,-607,515,-43
150,3568,12696,6996,-593,459,-70
153,3564,12488,7484,-497,435,3
156,3892,12228,6700,-671,528,-20
160,4252,12476,6552,-704,736,-120
163,3868,12956,7280,-503,820,-124
166,3044,12272,6676,-415,676,-44
177,3840,13480,7920,-165,737,-176
180,2876,10884,4260,-794,930,4
183,3628,13848,7796,-620,806,-65
187,4136,10952,5912,-1115,1208,49
191,3384,12672,6096,-776,1267,2
194,3368,12416,6452,-733,1368,-62
197,3348,13308,7016,-790,1176,-11
201,3556,11924,5508,-1127,1164,-91
204,2992,12420,6400,-932,1105,3
207,3624,12548,6712,-895,915,-139
210,3724,11948,5848,-1193,1184,-101
214,3360,12444,6864,-1113,1166,-215
217,2996,12312,6496,-965,1235,-102
220,4228,12808,7568,-1105,1114,-294
232,4136,10576,5124,-1472,1302,-3
236,3652,12488,4668,-1319,1286,-86
239,4040,12568,6316,-1162,1424,-234
242,3820,11016,7252,-1459,1855,9
245,3768,12100,6768,-1262,1778,-111
249,4368,13984,9292,-589,2136,-319
252,3652,10572,5516,-959,2601,-324
255,4292,13444,6468,-1034,2350,-546
259,3660,13828,8296,-371,2268,-570
262,3768,11768,5232,-915,2398,-650
265,3008,11824,7328,-1263,2666,-480
269,2500,12872,6152,-926,2500,-408
272,2872,11040,4812,-1003,2893,-331
276,2564,13088,7676,-901,2933,-209
287,3432,11952,6096,-1094,2414,190
290,2832,13384,6296,-872,2351,226
294,1768,13304,6716,-602,2255,550
297,2180,12192,3160,-412,1662,298
300,2216,11644,4788,-949,2270,570
303,3560,13872,8028,-836,1533,505
307,3472,13296,7424,-859,1751,588
310,2660,12332,6588,-1121,1990,761
313,2652,12420,7044,-1219,1923,894
318,2972,12420,5584,-1140,1675,933
321,3264,14108,5984,-1056,1659,880
324,3668,13120,8044,-1428,2018,1098
327,3168,12232,6628,-1305,1271,1154
331,3052,8900,5128,-1699,1737,1435
334,3592,14272,8592,-1155,1379,1373
345,2936,11876,7764,-1304,2299,1582
348,4592,12796,8152,-917,1300,1323
352,5736,11476,9304,-784,1811,1276
355,4232,11528,7412,-613,1961,1178
358,5352,14048,8884,-333,1994,784
363,3516,9344,7076,-905,2463,1280
366,4232,13300,6952,-302,1106,750
369,4504,13876,8088,-192,1718,731
372,2780,11728,5824,-591,2063,986
376,2244,12292,7404,-415,1827,1159
379,2952,12368,7168,-308,1719,1158
382,4424,13416,7304,-125,1924,872
385,3308,13248,4916,-105,2299,527
389,2604,13292,7012,4,2657,612
399,1956,15040,6900,164,2344,286
404,1860,12852,6220,-154,2210,478
407,1812,14088,5660,22,1915,240
410,3080,13812,6172,-82,2038,168
413,2200,13572,6720,-81,2202,295
416,1272,12084,5444,-339,2140,555
420,1800,13172,5648,-366,1761,517
423,2008,13188,7340,-475,1961,904
426,1136,12196,6700,-656,1639,1403
430,3464,13580,7852,-587,1046,1257
433,4340,13656,6888,-502,987,968
436,336,10396,6360,-809,2020,2001
439,2564,12908,7228,-575,446,2099
443,3840,12668,7928,-385,-40,2370
447,4456,12904,7060,-301,-145,1961
476,3816,12492,7260,646,-540,3319
479,6044,13124,7544,689,-451,2671
482,4820,12144,7740,629,492,2795
486,3692,12096,7380,695,423,2953
490,3404,12596,6608,642,95,2673
493,3412,12548,7724,714,160,2810
496,4716,12324,6776,728,-188,2856
500,3160,12560,4576,486,-72,2148
503,3648,12908,8456,707,1184,2415
506,4452,13208,8864,764,325,2935
509,2596,12172,6744,603,-135,2897
513,2620,12576,8568,913,-228,3146
516,820,11076,7516,946,-404,4010
519,2944,13540,7424,1190,-1009,3902
522,5224,12424,6444,1006,-872,3386
534,4396,13080,6800,635,1234,1239
538,2884,13472,4892,406,862,772
541,-116,12684,6544,451,1129,1287
544,3384,13564,6060,450,-245,1207
547,1388,12212,5924,273,453,1816
551,420,12492,7460,417,383,2374
554,-456,12744,8096,845,-225,3678
557,3604,13028,6592,923,-1519,3541
560,5156,12832,6504,806,-1289,3212
564,9228,13508,4592,266,-624,1628
567,3120,12680,7864,514,1217,2513
570,432,12004,7132,786,-51,2981
574,2956,13068,7724,1161,-1113,3605
578,1340,12160,7932,1572,-1763,4525
589,4488,13084,6188,1427,-1643,3918
592,3832,12272,6832,1378,-1446,4044
595,3044,12472,7304,1645,-1562,4467
599,3880,12448,6256,1613,-2292,4441
602,5804,12548,6024,1511,-2194,4126
605,5884,12968,5940,1202,-1674,3292
609,6500,12812,5784,804,-814,2476
612,4416,12608,6536,805,-365,2459
616,2588,12668,7780,948,-669,2560
619,2952,12456,7404,1042,-1027,2656
623,3216,12696,7748,1396,-1327,3138
626,5328,12736,5756,1063,-1354,2744
629,5168,12500,6696,1129,-845,2575
633,2948,12388,7500,1373,-1014,3061
644,3036,12576,7628,1240,-1128,2744
647,5784,12852,6424,1156,-1034,2432
650,4080,12676,6888,1262,-885,2703
654,3336,12280,6948,1323,-1277,2752
658,4588,13016,6856,1299,-1336,2650
661,3404,13056,7256,1402,-1091,2864
665,4396,12164,6732,1576,-1463,2958
668,6976,12836,4352,1239,-1379,2236
671,1836,12288,7484,1613,-764,3107
675,4072,12928,5744,1503,-1846,2860
678,4268,12508,6200,1470,-1514,2944
681,4492,12492,5188,1532,-1828,3111
685,2680,12328,7256,1909,-2260,3866
688,3276,12880,6912,1937,-2626,3698
699,6360,13448,5408,1933,-3245,3613
703,4356,12076,6856,2019,-2503,3725
706,6020,12736,5344,1785,-2633,3273
710,4844,12936,6572,1891,-2094,3387
713,4800,12876,6240,1858,-2264,3100
716,2552,12868,7544,1651,-1695,2875
720,3064,12408,7652,2042,-2145,3279
723,6532,13248,4824,1542,-2726,2537
726,5124,13248,7292,1704,-2009,2719
730,4488,12636,5600,1744,-2437,2666
733,6212,12828,5524,1379,-2300,2064
736,4856,13184,7168,1371,-1463,1996
740,4388,12252,5548,1461,-1709,2066
744,2480,12588,7656,1851,-1979,2617
753,7552,12724,3896,1323,-2387,1850
756,5736,12856,6464,1327,-1377,1835
760,3880,12328,6464,1670,-2019,2248
763,3944,12392,6836,1893,-2410,2459
766,7004,12916,4300,1514,-2612,2041
770,4052,12656,7728,2010,-2222,2580
773,5816,12600,4800,1664,-2842,2330
776,6492,12164,4612,1273,-2124,1800
780,5388,12680,5728,1437,-1523,1858
783,5888,12416,5140,1667,-1806,2167
787,3808,12664,7084,2165,-2322,2621
791,8456,12688,3276,1443,-2565,1853
794,5068,12548,7424,1475,-1530,1735
797,2916,13080,8820,1981,-1436,2081
806,2204,13240,9652,2017,-1583,1930
810,5632,12936,4856,1482,-2298,1623
813,4236,12476,6620,1765,-2003,1790
816,3892,12452,5684,2227,-2895,2272
820,3028,12600,7360,2185,-3167,2357
823,7256,13120,5076,1772,-2574,1661
826,6016,12604,6080,1895,-1702,1765
831,5660,13640,7712,1326,-1645,1200
834,4480,11956,5372,1562,-1359,1459
837,5224,13572,7468,1209,-1479,949
841,4904,13092,6932,1107,-1470,819
844,5784,12680,5604,1088,-1481,756
847,6528,11792,3256,844,-1761,615
850,4620,13916,8860,1505,-1420,850
859,4644,13640,8448,1413,-1664,562
863,5760,12432,4668,1138,-2026,409
866,5096,12604,5356,1473,-2034,476
869,5788,13864,6500,1384,-2426,322
873,5932,13272,6284,1268,-2377,284
877,5776,12220,5256,1087,-1982,221
880,6688,13768,7624,893,-1407,-73
883,3488,13200,8296,1712,-940,375
887,7916,12820,3412,-38,-2038,-276
890,3708,14876,12588,2328,-150,468
893,5136,10804,-944,798,-2390,138
896,6384,13028,7016,757,-865,4
900,5088,12700,5456,1498,-940,143
903,4712,13632,5536,1461,-1544,159
927,5388,13280,6136,1458,-1694,447
930,5936,12664,4120,1047,-1859,358
933,6512,13956,6508,1406,-1345,212
937,5800,11892,2788,799,-1696,150
940,4780,12664,5704,1626,-1213,220
943,6796,14676,7348,1192,-2069,-18
947,4484,13360,6876,1605,-1448,130
950,6580,13968,6260,701,-1997,52
953,3936,10468,2920,1118,-1187,220
957,6484,12608,4604,895,-1433,179
961,5956,13536,7052,1301,-1165,197
964,5880,11512,2388,353,-1583,159
967,5320,11328,3516,926,-626,204
970,6252,15140,8544,1255,-1194,149
974,5264,12464,4008,677,-1362,203
983,5776,12468,4908,885,-1067,-22
986,6416,14724,7536,1064,-1162,-17
989,5208,12304,3580,914,-1245,-24
993,6708,14216,6388,559,-1429,-77
996,5848,13260,7028,897,-1311,-146
1000,6448,13420,4804,961,-1568,-253
1004,6252,13864,6216,767,-1795,-274
1007,6024,12640,4276,731,-1616,-349
1010,6896,14272,6884,1010,-1643,-553
1014,4860,12512,4356,407,-1955,-373
1017,7236,13584,6304,1151,-1434,-729
1020,7224,13992,5920,879,-1636,-800
1024,5904,13092,5012,639,-1622,-788
1027,6032,13044,5396,722,-1263,-814
1036,5728,12732,4232,622,-1259,-646
1039,6332,13692,6460,724,-1019,-724
1044,4880,13080,5304,643,-954,-587
1047,5704,13004,5384,672,-911,-648
1050,5712,13584,5740,563,-1123,-537
1053,4784,12260,4232,619,-955,-474
1057,5576,12968,4160,759,-1025,-609
1060,6420,14556,6580,663,-1166,-512
1063,4588,12420,3560,528,-1247,-451
1067,4200,11656,3984,194,-1160,-272
1070,5760,13008,5000,935,-930,-581
1073,5564,13664,4812,449,-1307,-394
1077,5104,12456,4448,402,-1453,-320
1080,5156,12364,4008,376,-1501,-359
1090,6096,13524,4496,394,-1386,-537
1093,4472,12652,4708,397,-1458,-436
1097,5556,12912,3832,423,-1654,-640
1100,7332,14364,5768,669,-1641,-823
1103,5228,12908,4096,311,-1641,-616
1107,6136,13160,5008,556,-1231,-861
1110,4812,12392,4644,317,-1318,-699
1113,4900,12584,4616,366,-1252,-647
1117,5636,12704,4976,387,-1035,-625
1120,5948,12812,4932,330,-978,-606
1123,5028,12544,5264,327,-831,-429
1128,5764,13296,5160,408,-945,-451
1131,6092,13568,5420,374,-837,-421
1134,5368,13164,5640,131,-1062,-137
1143,5068,12352,4392,216,-1007,-253
1146,6488,13472,5280,358,-1056,-401
1150,5624,12968,4684,159,-980,-383
1153,6660,14224,6280,374,-1139,-350
1156,5024,12720,4496,122,-1199,-240
1160,5312,12480,4344,268,-1127,-259
1163,5324,12744,4104,168,-1338,-302
1166,7588,14640,6408,376,-1273,-475
1171,5344,13532,5700,187,-1368,-247
1174,5660,12820,4244,297,-1421,-413
1177,5808,13644,5452,326,-1478,-429
1181,4936,13288,5104,176,-1780,-254
1184,5436,12940,3912,272,-1699,-484
1187,4732,12948,4488,89,-1800,-247
1196,4900,13228,5000,226,-1759,-468
1200,5372,13032,4944,52,-1930,-182
1203,5544,12424,3764,136,-1682,-438
1206,5792,12484,4076,180,-1566,-558
1210,6904,14224,5468,252,-1679,-569
1214,5908,13168,4332,182,-1247,-563
1217,5608,12852,4428,156,-1468,-570
1221,6908,14500,5388,225,-1483,-669
1224,3420,12296,3748,15,-980,-521
1227,6784,14024,5412,160,-1509,-664
1230,6948,14300,4708,62,-1245,-738
1234,4852,13648,5884,-25,-1179,-395
1237,5224,12708,3632,-23,-1227,-643
1240,6304,13944,5260,-24,-1174,-666
1249,6068,13480,4248,-151,-1209,-835
1253,5624,13708,4732,-183,-1367,-688
1257,5592,12808,3976,-255,-1402,-739
1260,5664,12612,4300,-303,-1286,-892
1264,4812,12900,5128,-336,-1610,-607
1267,5012,12116,3304,-437,-1427,-880
1271,6768,13204,4716,-264,-1394,-1044
1274,6384,13700,5208,-243,-1571,-704
1277,6316,12932,4808,-285,-1248,-759
1281,7192,13280,5244,-144,-1194,-953
1284,5476,13120,5076,-162,-1211,-826
1287,5536,12164,3832,-238,-882,-744
1291,5876,12568,4312,-83,-922,-823
1301,5040,13328,5208,-138,-831,-673
1304,5412,12976,4684,-99,-591,-817
1307,4644,12576,4428,-139,-791,-560
1311,6592,13760,4492,-21,-872,-789
1314,5504,13632,4544,-92,-542,-738
1317,5720,13516,5056,-34,-791,-766
1321,4684,13164,4452,-136,-676,-661
1324,5924,13372,4240,-57,-793,-832
1327,5840,14436,5060,-150,-1038,-802
1331,5536,13972,4904,-161,-946,-716
1334,4524,12080,2176,-347,-764,-891
1337,5000,13028,3956,-317,-1014,-844
1342,7132,14192,4740,-359,-1121,-1043
1345,7280,14712,4812,-414,-1138,-1226
1368,4988,12840,4328,-855,-872,-1107
1372,4632,12612,4560,-788,-954,-1112
1375,5724,13564,5280,-810,-932,-987
1378,5248,12376,5028,-721,-730,-943
1382,5544,13080,5588,-602,-970,-691
1386,5856,12788,5380,-545,-771,-594
1389,4900,12960,5584,-580,-430,-358
1393,6060,13328,4940,-436,-945,-196
1396,6536,13564,4548,-526,-722,-345
1399,5624,13644,5348,-453,-1024,-53
1403,7624,13744,4084,-498,-886,-426
1406,6740,14088,5056,-505,-1043,-493
1409,6052,13756,4616,-540,-975,-489
1413,5336,12908,4320,-538,-1043,-436
1422,5548,12632,3076,-663,-827,-596
1426,4716,12892,5216,-520,-1193,-108
1430,6700,13316,4576,-569,-891,-197
1433,6328,13288,5068,-525,-644,-48
1436,6300,13076,4856,-498,-445,-207
1439,4808,12820,5716,-339,-609,176
1443,5824,12892,4740,-380,-247,149
1446,8416,14360,4480,-338,-517,-255
1449,4704,12840,5128,-375,156,-174
1453,6332,13316,4656,-330,-351,-119
1456,5948,13312,5012,-284,-92,14
1459,6332,13256,4952,-253,-128,1
1462,6140,13164,4884,-221,104,-52
1466,5836,13132,4544,-204,220,-68
1475,5736,13280,4668,-188,107,34
1479,5880,13460,4604,-173,78,-23
1482,9020,14876,3880,-329,-18,-759
1485,2680,12864,5080,-384,555,-454
1488,7196,14152,3888,-393,-530,-677
1492,4876,13312,4752,-504,367,-601
1495,5316,13104,4156,-588,199,-698
1498,3884,12824,5080,-510,-39,-292
1502,4512,12536,4516,-523,50,-184
1505,6236,13588,4540,-505,-209,-255
1508,4032,12632,5332,-427,342,265
1513,6556,13108,4412,-383,-170,262
1516,6184,13168,4808,-346,147,222
1519,6460,13304,4828,-321,166,173
1528,6120,13332,4664,-294,193,-41
1531,6160,13416,4584,-279,163,-100
1534,5952,13284,4680,-298,209,-120
1538,5948,13280,4480,-294,246,-188
1541,5988,13328,4420,-307,319,-191
1544,5816,13432,4432,-349,352,-221
1548,5660,13400,4592,-344,330,-246
1551,5756,13372,4444,-372,362,-212
