time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,1128,9280,11668,356,-142,520
7,1072,9328,11764,463,-172,578
11,1060,9228,11848,522,-266,636
14,1060,9312,11788,562,-310,678
17,1284,9564,11656,619,-339,744
20,1384,9572,11632,694,-328,771
23,1400,9584,11664,732,-297,757
26,1276,9700,11692,746,-258,747
30,1284,9792,11768,744,-278,718
33,1284,9900,11656,735,-258,735
36,1392,10004,11476,708,-267,648
39,1532,10060,11708,663,-178,657
42,1684,10132,11460,662,-125,618
45,1740,10140,11588,636,-38,534
48,1816,10160,11572,616,0,492
53,1728,10252,11568,598,31,442
56,1744,10028,11524,586,71,396
59,1576,9972,11516,557,78,409
62,1584,9896,11544,523,114,421
65,1580,9884,11656,541,147,397
68,1420,9696,11448,580,216,444
71,1488,9580,11564,607,210,448
74,1456,9528,11624,645,239,466
78,1376,9600,11548,665,213,498
81,1260,9552,11424,729,163,543
84,1272,9492,11688,763,130,564
87,1224,9532,11408,815,86,608
90,1292,9448,11468,889,39,637
93,1164,9404,11660,933,77,678
97,1156,9344,11720,983,70,711
100,1168,9488,11676,1054,109,755
103,1284,9536,11592,1124,61,838
107,1408,9464,11576,1199,136,891
110,1424,9552,11520,1253,158,922
113,1288,9672,11564,1264,73,999
116,1172,9780,11724,1273,-37,1074
119,1196,9848,11696,1274,-45,1133
122,1152,9948,11644,1303,-76,1208
126,1508,9992,11572,1290,7,1220
129,1668,10028,11484,1288,96,1203
132,1692,10012,11388,1275,144,1205
135,1788,10044,11404,1244,200,1157
139,1792,10260,11276,1256,240,1087
143,1736,10316,11368,1231,217,1084
146,1800,10452,11184,1195,169,1051
149,1784,10412,11092,1167,176,991
153,1836,10516,11200,1128,138,938
156,1908,10532,11200,1065,79,862
159,1908,10512,11184,1032,28,779
162,1892,10576,11260,990,5,670
165,1840,10652,11168,948,17,644
168,1856,10580,11192,872,39,550
171,1960,10676,11180,849,71,482
175,1852,10656,11016,814,31,449
178,1812,10676,11116,784,57,390
182,1820,10768,11048,711,23,314
185,1792,10780,10936,644,23,267
188,1808,10676,10984,603,27,241
191,1688,10628,10904,507,8,198
194,1648,10624,11044,481,0,212
197,1532,10492,10988,458,35,212
201,1480,10480,11084,426,-20,203
204,1276,10380,11064,359,-4,240
207,1260,10252,11156,353,-11,277
210,1204,10380,11092,349,-38,348
213,1196,10388,11156,356,-119,410
216,1244,10256,11124,328,-113,437
219,1292,10224,11184,366,-130,492
224,1352,10192,11240,357,-150,521
227,1204,10136,11252,400,-177,558
230,1328,10168,11308,387,-178,573
233,1320,10356,11136,378,-193,601
236,1468,10240,11336,416,-203,607
240,1404,10296,11224,390,-178,654
243,1644,10332,11344,427,-134,679
246,1740,10320,11288,459,-50,662
249,1516,10396,11388,496,-76,704
252,1548,10404,11376,480,-139,702
255,1584,10436,11436,488,-194,703
259,1592,10544,11336,503,-263,730
262,1820,10700,11276,493,-281,677
266,2040,10684,11208,441,-283,667
269,2004,10796,11132,386,-310,572
272,2188,10864,10932,308,-278,510
275,2268,10928,10888,190,-263,409
279,2432,11072,10836,70,-187,311
282,2152,11004,10744,-79,-194,195
285,2236,10936,10816,-225,-105,125
288,2124,10844,10792,-345,-40,53
291,2028,10668,10896,-440,-10,-26
294,1940,10624,11068,-507,-12,-76
297,1908,10360,11204,-549,-30,-71
301,1788,10084,11184,-531,5,-65
304,1520,10020,11412,-492,-34,-65
307,1492,9948,11412,-458,-33,-8
311,1420,9948,11552,-381,-59,26
314,1356,9840,11572,-296,-101,72
317,1424,9840,11528,-210,-85,135
320,1416,9772,11508,-145,-118,190
323,1580,9824,11404,-86,-107,260
326,1568,9916,11392,-60,-101,288
329,1532,9944,11348,6,-94,301
332,1540,10068,11376,27,-85,328
335,1648,10076,11312,59,-67,343
339,1628,10112,11444,50,-111,376
342,1648,10184,11308,74,-126,372
345,1744,10212,11316,98,-88,387
348,1616,10304,11292,130,-150,427
