time,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-104,12924,7144,-366,-234,251
4,216,12848,7152,-341,-299,247
8,328,12864,7204,-336,-335,260
11,416,12896,7260,-292,-310,237
14,452,12828,7304,-277,-260,240
17,380,12872,7216,-249,-261,222
20,572,12900,7296,-223,-233,216
23,532,12928,7116,-206,-258,218
27,564,12904,7104,-226,-222,152
30,504,12880,7088,-235,-185,141
33,460,12928,7184,-202,-148,118
37,408,12968,7000,-213,-118,119
40,468,12976,6944,-229,-120,125
44,592,12984,6908,-241,-82,76
47,556,12968,7000,-295,-54,93
59,220,12976,6976,-285,22,-13
63,96,12892,6936,-312,17,-13
66,28,12916,7024,-332,-49,13
69,144,12924,6952,-334,-75,47
72,292,12916,7108,-333,-67,28
75,524,12900,7204,-314,-36,23
79,336,12868,7168,-320,-17,-17
82,304,12848,7320,-277,-19,-16
85,416,12836,7204,-267,-41,-21
88,464,12848,7272,-241,-24,-23
92,400,12864,7180,-217,14,-49
95,304,12884,7264,-197,41,-46
98,272,12868,7304,-170,107,-24
101,392,12924,7036,-166,123,-51
104,252,12908,7052,-178,195,-25
107,116,12900,7000,-201,212,-20
118,320,13004,6852,-315,273,29
122,288,12908,6872,-341,288,56
125,264,12912,7008,-357,291,27
128,172,12976,7060,-346,271,53
132,220,12880,7184,-345,302,78
135,328,12920,7128,-340,243,58
138,288,13016,7180,-316,175,35
141,296,12900,7300,-340,133,44
144,376,12872,7216,-284,74,27
147,524,12872,7208,-276,68,24
150,604,12888,7364,-211,46,-10
154,468,12804,7328,-233,35,-71
157,416,12936,7380,-180,21,-77
160,460,12828,7200,-145,35,-87
163,240,12924,7168,-111,43,-65
167,160,12904,6968,-110,-6,-47
178,-160,12860,6708,-220,68,43
181,-556,12888,6716,-221,-41,128
184,-340,13004,6608,-325,-111,227
187,-400,12936,6472,-384,-185,266
191,-4,12936,6568,-455,-163,317
194,68,12968,6676,-496,-124,367
197,-240,12908,6796,-535,-111,402
200,-424,12892,6968,-519,-254,489
204,-504,12992,6996,-544,-385,561
208,-384,12964,7020,-544,-453,643
