time,accX,accY,accZ,gyrX,gyrY,gyrZ
2,1676,13776,5584,-302,136,217
5,1780,13764,5580,-309,124,170
8,1732,13804,5740,-325,137,164
12,1712,13768,5636,-290,114,144
16,1588,13792,5716,-291,112,137
19,1640,13748,5648,-302,159,120
22,1696,13788,5736,-282,173,106
25,1712,13756,5616,-262,217,87
28,1616,13844,5716,-270,201,60
31,1552,13772,5668,-247,189,63
34,1456,13844,5612,-213,173,92
38,1356,13816,5644,-228,177,80
41,1480,13840,5756,-218,128,99
44,1468,13756,5700,-233,106,119
47,1264,13808,5584,-231,5,155
55,1436,13812,5720,-218,-113,198
58,1464,13928,5684,-206,-107,207
61,1536,13804,5680,-226,-96,226
65,1556,13844,5524,-201,-87,212
68,1712,13840,5560,-185,-49,218
71,1576,13736,5580,-226,-56,197
74,1468,13692,5724,-226,-140,217
77,1468,13792,5648,-200,-200,245
80,1496,13800,5616,-179,-209,271
84,1544,13816,5592,-213,-200,245
87,1588,13888,5384,-249,-193,240
90,1668,13872,5488,-215,-217,226
93,1464,13816,5532,-207,-195,223
98,1540,13904,5612,-233,-217,237
101,1504,13820,5604,-232,-283,247
108,1764,13740,5688,-216,-351,247
111,1880,13876,5644,-213,-263,215
114,1956,13828,5568,-228,-197,151
117,1916,13836,5624,-199,-113,134
121,1644,13912,5508,-200,-59,85
124,1548,13764,5588,-224,-64,76
127,1408,13808,5600,-229,-130,103
130,1400,13776,5696,-221,-139,124
133,1452,13924,5444,-249,-138,124
137,1476,13876,5316,-265,-208,148
141,1496,13824,5628,-260,-196,165
144,1268,13848,5664,-276,-226,193
148,1324,13792,5484,-270,-273,209
151,1356,13916,5636,-269,-317,267
154,1552,13812,5568,-271,-322,251
161,1688,13828,5488,-308,-326,238
164,1764,13832,5488,-294,-269,239
167,1976,13860,5472,-310,-153,197
171,2072,13780,5564,-318,-4,150
174,2096,13840,5640,-334,100,92
177,1912,13828,5620,-321,218,42
180,2128,13880,5728,-290,372,0
184,2032,13836,5728,-295,494,-34
187,1792,13808,5528,-301,551,-72
191,1676,13848,5620,-297,544,-81
194,1536,13788,5544,-308,546,-53
197,1548,13856,5600,-283,524,-75
200,1552,13888,5448,-345,476,-54
204,1444,13808,5524,-359,431,-69
207,1224,13792,5528,-335,372,-15
218,1480,13824,5460,-430,291,123
221,1520,13832,5612,-424,336,142
225,1768,13916,5504,-429,400,102
228,1852,13848,5548,-431,476,74
