,time,accX,accY,accZ,gyrX,gyrY,gyrZ
6155,1,748,13432,6416,-215,172,-68
6156,4,652,13296,6332,-239,183,-73
6157,8,528,13368,6300,-231,159,-59
6158,11,492,13380,6260,-245,125,-26
6159,14,528,13308,6192,-243,45,5
6160,17,352,13308,6192,-276,1,44
6161,20,340,13416,6320,-306,-131,116
6162,23,368,13264,6304,-312,-175,170
6163,26,428,13392,6400,-304,-244,208
6164,29,524,13240,6412,-349,-309,251
6165,33,684,13256,6400,-313,-269,270
6166,36,604,13404,6596,-305,-310,305
6167,39,564,13324,6588,-310,-393,335
6168,43,728,13304,6636,-274,-440,335
6169,52,584,13264,6468,-253,-547,396
6170,55,632,13268,6440,-258,-592,413
6171,58,716,13356,6248,-259,-641,442
6172,61,952,13384,6448,-258,-683,419
6173,65,724,13332,6488,-290,-668,444
6174,68,992,13304,6360,-296,-580,438
6175,71,1020,13428,6436,-302,-518,410
6176,74,856,13416,6500,-298,-624,430
6177,77,1084,13268,6592,-283,-554,382
6178,81,1240,13400,6500,-275,-371,376
6179,85,1152,13332,6588,-260,-303,345
6180,88,992,13328,6328,-252,-269,336
6181,91,1072,13368,6336,-270,-230,315
6182,94,1120,13420,6348,-289,-175,298
6183,98,976,13352,6452,-308,-173,272
6184,101,796,13400,6416,-293,-226,270
6185,123,1032,13316,6568,-256,93,193
6186,128,880,13236,6508,-243,55,170
6187,131,828,13416,6440,-215,71,178
6188,134,996,13236,6548,-209,126,172
6189,137,760,13368,6408,-231,132,169
6190,140,940,13328,6368,-223,103,191
6191,143,832,13344,6380,-205,147,211
6192,147,876,13240,6416,-209,137,187
6193,150,760,13372,6356,-244,146,222
6194,153,792,13216,6252,-232,119,200
6195,156,1144,12996,5852,-368,34,140
6196,159,2000,12688,5416,-893,4,-230
6197,162,1088,12624,6376,-660,557,-60
6198,166,2832,10760,2896,-1554,256,-731
6199,170,-528,14388,9220,-523,1126,-1
6200,179,1328,15688,8712,-1239,828,-601
6201,182,-1120,14548,8296,-139,903,-23
6202,185,1904,10340,2480,-1154,62,-466
6203,189,3040,11736,5444,-1515,449,-807
6204,192,-188,11940,6704,-275,1028,-173
6205,195,1824,12348,4448,-987,427,-530
6206,199,1268,13908,7412,-638,864,-453
