,time,accX,accY,accZ,gyrX,gyrY,gyrZ
774,2,1056,11376,8752,-272,51,51
775,5,940,11364,8908,-251,25,90
776,8,996,11408,8928,-244,-62,112
777,11,1116,11472,8852,-210,-113,111
778,14,1196,11492,8824,-201,-165,175
779,17,1232,11484,8832,-196,-165,181
780,21,1192,11504,8888,-164,-121,199
781,24,1204,11540,9048,-160,-164,201
782,27,1356,11396,8952,-109,-142,204
783,30,1488,11456,8868,-97,-97,215
784,33,1524,11556,8656,-88,-15,160
785,43,1296,11564,8644,-173,140,128
786,46,1188,11444,8412,-217,94,135
787,50,1308,11540,8384,-216,68,140
788,53,1524,11468,8452,-282,96,131
789,56,1636,11532,8500,-281,128,97
790,59,1684,11584,8536,-315,249,66
791,62,1744,11684,8540,-317,330,56
792,65,1408,11424,8564,-335,357,11
793,68,1380,11460,8700,-344,348,21
794,72,1508,11444,8636,-368,392,-36
795,75,1544,11480,8728,-332,452,-24
796,78,1320,11416,8724,-353,470,-6
797,81,1212,11396,8756,-347,473,-13
798,85,1216,11532,8720,-321,407,-23
799,88,1448,11320,8848,-321,445,3
800,92,1416,11400,8780,-258,534,-44
801,100,920,11428,8840,-204,424,-15
802,104,996,11556,8780,-216,346,26
803,107,1152,11472,8796,-176,275,28
804,110,1272,11572,8792,-196,253,41
805,113,1208,11536,8880,-184,265,47
806,116,1300,11472,8796,-164,239,41
807,119,1256,11544,8788,-135,259,42
808,123,1096,11488,8756,-166,219,41
809,126,1044,11432,8584,-151,198,47
810,130,1028,11536,8588,-156,183,96
811,133,1072,11468,8504,-175,152,107
812,136,1108,11520,8520,-237,139,148
813,140,1224,11456,8484,-259,114,151
814,143,1120,11580,8488,-268,66,193
815,146,1280,11488,8572,-287,30,148
816,155,1412,11536,8780,-309,62,140
817,158,1480,11428,8836,-271,107,119
818,161,1392,11604,8896,-241,124,87
819,164,1728,11564,8932,-226,143,67
820,168,1804,11540,9060,-193,184,-4
821,172,1760,11548,8860,-180,247,-46
822,175,1644,11420,8832,-163,307,-91
823,178,1640,11512,8768,-140,418,-151
824,181,1540,11368,8668,-138,568,-168
825,185,1484,11532,8652,-159,643,-199
826,188,1488,11512,8560,-163,695,-191
827,191,1556,11620,8440,-171,825,-250
828,194,1484,11500,8512,-187,962,-238
829,198,1532,11532,8484,-226,1103,-267
830,201,1376,11512,8708,-225,1228,-276
831,225,2664,10936,8196,289,-1251,3218
832,228,7144,11692,7040,80,-458,1600
833,232,4624,11340,8192,-41,275,1224
834,235,804,11996,8952,25,231,1141
835,238,-2020,12056,9520,149,-330,1542
836,241,-4408,12536,11240,751,-1438,3331
837,245,2116,11124,7436,470,-2774,2804
838,248,1588,11640,8332,358,-2319,2843
839,251,4332,11244,8668,523,-1812,2622
840,254,704,12208,9296,678,-1605,3015
841,259,1156,10976,9176,801,-1964,3449
842,262,11408,10224,5688,-59,-1916,687
843,265,-1584,13028,10156,346,153,2020
844,269,-2772,11848,9940,639,-645,2533
845,272,-4480,11212,10064,901,-1881,4007
846,281,1032,11368,7964,938,-2420,4027
847,284,9368,10908,7248,619,-2025,2894
848,288,1728,11580,8252,678,-918,3235
849,291,-1800,11700,9160,860,-699,3297
850,294,508,10764,7864,580,-1122,3050
851,298,2936,11516,8756,486,-1095,2530
852,302,1680,11768,8864,669,-1218,3622
853,305,120,11108,8452,669,-2352,4154
854,308,-3144,11264,8888,862,-2582,4900
855,312,-3556,10904,10544,1211,-3322,5930
856,315,5084,10784,7540,1070,-3640,5657
857,318,5464,11084,6268,780,-2611,4258
858,322,3564,12316,8464,951,-1558,4228
859,325,6568,11888,8512,695,-1866,3104
860,334,-3472,10652,9964,740,-1330,4110
861,337,-1260,11728,10172,1255,-2519,5141
862,342,2572,10768,7924,1104,-2980,4850
863,345,5796,10876,6920,761,-2423,3806
864,348,644,10808,9028,803,-700,3912
865,351,4152,12412,8256,683,-888,3060
866,355,4156,11856,9528,828,-851,3656
867,358,1940,11644,7544,732,-1279,3480
868,361,2824,11284,8632,725,-1241,3773
869,364,1260,11360,9452,959,-1348,4495
870,368,-352,11456,8852,1096,-1784,4774
871,371,6676,11716,7564,1038,-1892,4380
872,374,5916,12308,7780,837,-1365,3173
873,378,-2096,11448,10412,1232,-635,4451
874,388,2956,11096,7324,994,-938,3825
875,391,4256,11916,6724,610,-879,2450
876,394,-196,11132,9120,707,351,2623
877,397,-1104,11632,8896,891,-95,3217
878,401,836,10848,7968,732,-953,3369
879,404,-140,11460,8796,981,-819,3899
880,407,11352,12500,5648,513,-1379,2265
881,410,4636,12596,9320,732,116,2832
882,414,6612,11764,7216,630,-267,2260
883,417,2920,11992,6512,177,514,828
884,420,-312,11740,10928,524,1019,1940
885,423,-3248,11016,9644,704,-108,2919
886,428,1576,11196,8768,953,-1688,4015
887,431,4124,11940,7432,887,-1954,3952
888,434,4212,11644,8048,854,-1099,3766
