,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
3570,2,-440,12196,7712,-216,161,114,-0.835077016116961,0.21103828444268935,1.77017671079839
3571,5,-592,12204,7684,-201,79,95,-1.642766813653322,0.05533683346100447,2.1905508414486623
3572,8,-480,12304,7584,-244,101,135,-2.4813591759634326,-0.4716859883145233,2.44280245352774
3573,11,-376,12220,7648,-247,79,150,2.7028765885970576,-1.0211465046812949,2.162334039410267
3574,14,-416,12304,7708,-263,110,150,0.9751292611931832,-0.7763641076394876,1.1969694560445372
3575,17,-248,12224,7644,-276,129,134,0.06676107126441246,-0.171088181770496,1.3596994285923918
3576,21,-440,12244,7736,-279,63,138,-0.9324273919887648,0.1695561979512585,1.744426883330826
3577,24,-484,12320,7580,-283,22,143,-2.02366071205436,0.14238893619850554,2.2387756744869867
3578,27,-752,12296,7688,-298,-28,169,-3.0532343649166114,-0.2708863352584761,2.633110705423798
3579,37,-584,12216,7848,-267,-149,188,2.517783299135667,-1.0104955310667503,3.011570903671933
3580,40,-632,12296,7724,-286,-215,212,-0.8840588421452436,-1.1173002662490812,0.5384766803613614
3581,43,-796,12164,7804,-284,-254,270,-1.5256919837797556,-0.06256809563822802,1.1079844640172527
3582,46,-724,12248,7808,-259,-278,257,-2.6410518880640574,0.3399733382057044,2.2280513408946843
3583,50,-444,12380,7984,-244,-305,286,2.851403413426454,-0.5033498567453702,-3.0628528453334596
3584,53,-456,12272,7812,-215,-322,281,-1.7836341770246291,-1.2793974815659344,-0.5196959348454195
3585,56,-468,12252,7908,-199,-365,302,-1.5290889303296582,-0.0546433899292803,0.7271574605894614
3586,59,-236,12296,8000,-164,-331,265,-2.5493708081209814,0.591359493777837,1.9803091768567098
3587,62,-236,12192,8040,-134,-318,243,2.885376887080505,-0.09982767138554523,-3.1335227901432146
3588,66,-212,12248,8044,-91,-315,228,-2.9802136519070754,-1.0328281009804772,-1.9567196163944394
3589,69,-216,12248,7976,-78,-298,205,-1.659201623066482,-0.5970032983461244,-0.048680738239967276
3590,72,-264,12352,7832,-72,-258,209,-1.7642333080830168,0.23302906240710844,0.7819157981270352
3591,76,-444,12232,7572,-87,-262,204,-2.6475998730247325,0.5897653968101667,1.9902278368087007
3592,79,-264,12208,7624,-81,-225,206,3.0279139802224386,-0.01907626312045065,2.928531039493037
3593,83,-156,12308,7652,-117,-190,189,2.8412564291894187,-0.8337313272516041,-2.7985838954906845
3594,86,-236,12268,7664,-125,-156,178,-1.770173347507453,-1.4022182673012427,-0.5989575733065318
3595,95,-736,12288,7600,-137,-210,225,-1.192022140985096,-0.4602912317799397,0.5963951336800207
3596,98,-632,12280,7728,-147,-231,260,-1.743008635790276,0.4411585832164395,1.355492918097636
3597,101,-536,12320,7560,-167,-240,290,-2.943303473720675,0.3219700710808148,2.687235220006862
3598,104,-772,12288,7540,-220,-290,330,2.772420537607683,-0.818822644131312,-2.817039163568423
3599,108,-864,12432,7528,-226,-295,364,-0.9796012483909772,-0.9205762615724238,0.49142517425485827
3600,111,-976,12304,7444,-279,-372,452,-1.6854580366389107,0.44667388045850714,1.3992503836364185
3601,114,-1148,12276,7484,-285,-519,522,2.9513891523091993,0.040628791830795645,-3.0368401428540586
3602,118,-988,12260,7656,-336,-587,644,-1.2197007008715413,-1.2626200469179134,0.19678103910759093
3603,122,-1148,12172,7624,-367,-712,689,-1.742193383721224,0.5768008209994693,1.3937111296801137
3604,125,-1224,12252,7556,-354,-909,781,2.7197652727666997,-0.26029849287228385,-2.7487107030980784
3605,128,-1028,12260,7736,-376,-1089,878,-1.3375105463460237,-0.5789596098789827,0.5383492474105367
3606,132,-984,12296,7732,-379,-1150,928,-2.930202938583657,0.7213830621364152,2.6559724675247223
3607,135,-956,12192,7724,-399,-1293,1010,-3.016112920273905,-1.2292032525590688,-1.6114566707214144
3608,138,-1116,12308,7700,-357,-1463,1099,-1.7106471096362452,0.5970509025395995,1.2091857615581247
3609,147,-896,12224,7700,-361,-1795,1295,2.6672620258902078,-0.40833444434816507,-2.525727891340046
3610,150,-856,12068,7764,-365,-1990,1338,-1.4925005214891744,-0.10026081087933647,0.6721630534877241
3611,154,-916,12164,7848,-335,-2247,1432,2.7113218418163325,0.30263929130045286,-2.880662130517159
