,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
768,1,1752,12352,7680,-272,-30,108,-1.2417421969082334,0.08166947195435549,-1.4839216129783295
769,4,1940,12272,7792,-277,-2,122,-2.255714638783021,0.01270132706888984,-1.0779797018932145
770,8,2012,12336,7640,-269,47,85,3.0509200233572247,-0.3175561695731339,-1.1162861639921182
771,11,2000,12280,7764,-237,63,72,2.0564991862566626,-0.4038691057182879,-1.4640248068337833
772,14,1752,12272,7680,-234,15,99,1.0583850861914423,-0.34400650716674547,-1.8358683365061172
773,18,1660,12360,7568,-216,-3,93,0.21205918063205847,-0.08267042606551436,-2.0432882820786054
774,21,1804,12292,7576,-231,-82,114,-0.6102068294048598,0.3641127244039854,-2.2449160570400517
775,30,2172,12392,7652,-212,37,25,-1.4493349853842958,0.2938840336293519,-2.091249268122498
776,33,2084,12340,7740,-218,88,-8,-2.2415494107385108,-0.002465453176553236,-2.2078145578226325
777,36,2072,12360,7700,-164,153,-12,-2.9302828843667674,-0.261162802030196,-2.711059370102332
778,39,1904,12336,7656,-208,211,-29,2.4950840019029377,0.008242238294687001,2.8774523869097406
779,42,1728,12440,7324,-178,174,-23,1.921489026428341,0.5610274762548519,2.5640960187721538
780,45,1672,12352,7580,-210,121,2,1.130382784739882,0.9922528133914839,2.5798700762822944
781,49,1696,12380,7460,-238,62,-4,-0.08330291857126118,1.0917053938988892,2.9716139921507514
782,52,1776,12420,7456,-253,77,14,-1.387378315075155,0.9444478974120996,-2.866860876651543
783,55,1804,12308,7488,-257,143,22,-2.277361216193438,0.450991572718595,-2.9367795803957684
784,59,1764,12308,7444,-283,158,37,3.1307296496022956,0.11752295319128668,2.8987617399275662
785,62,1588,12444,7512,-278,111,53,2.1935919960064005,0.1297490873532904,2.479657896255361
786,65,1716,12328,7512,-303,71,67,1.1847197552431492,0.3386331077555368,2.221182459853684
787,68,1828,12480,7536,-311,89,105,0.06779644800389588,0.7908652405494409,2.260324825603767
788,71,1720,12364,7560,-314,80,117,-1.5647535126164531,0.900373081575027,2.9515112791707914
789,75,1940,12416,7676,-336,94,83,-2.7764603337421994,0.49836982660513485,3.019072985974534
790,78,1972,12308,7716,-318,90,87,2.5305542335920834,0.24758452590082208,2.6697872929601987
791,86,1896,12352,7784,-260,124,51,1.745985251597035,0.5143225969024704,2.2647258264723185
792,90,1884,12408,7752,-259,111,49,0.8634315396463818,0.9275415024253744,2.1804892036654984
793,93,1888,12260,7576,-229,81,33,-0.39938424729012845,1.1133548889229075,2.6654243544968272
794,96,1996,12260,7512,-210,83,30,-1.59668137852519,0.9165199095508655,-3.1358653306520434
795,99,1828,12316,7640,-214,90,17,-2.3316631125287337,0.5951108465630829,3.0566207800919885
796,103,1864,12352,7552,-201,94,3,-2.9147197344305016,0.414966337611471,2.731244315840393
797,106,1836,12312,7492,-226,84,13,2.673176637161237,0.4021428938312129,2.404455601704278
798,109,1892,12496,7580,-218,-14,12,1.8694012425487792,0.3330015646826976,2.403411030499088
799,112,1724,12420,7760,-226,-87,31,1.0633654820943466,0.03563441834610775,2.2582583291933154
800,116,1864,12252,7728,-227,-44,15,0.22754291496857745,-0.015601715870956821,2.098690609668026
801,119,2256,12416,7612,-239,24,-11,-0.646426251073103,-0.0694255930611846,2.173327651836626
802,122,2060,12308,7724,-223,49,-36,-1.4767196073511575,-0.283194229998791,2.14738507048841
803,125,2028,12252,7832,-187,47,-57,-2.267419894788881,-0.3855108625942104,1.8860338632556506
