,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
3894,1,1096,12632,7280,-328,128,102,2.169095070530002,0.8222005038707104,0.00672675353539002
3895,5,952,12572,7368,-372,175,108,1.821556641796206,1.2223486501248426,-1.0223977301163802
3896,8,1200,12556,7344,-362,269,145,-2.755296591070394,1.0080468660274406,2.3080653997121683
3897,11,1280,12516,7320,-383,259,112,3.002233051154519,0.5327833568886914,1.2952860507488704
3898,14,1224,12600,7436,-410,214,112,2.1220503996859255,0.6046177104861645,0.4525232553561027
3899,17,1020,12472,7384,-413,132,129,1.193369208667819,0.9749399355182868,-0.14009316553888862
3900,20,976,12652,7560,-398,32,142,0.4722743277221393,1.3556366307213241,-0.7854201784827285
3901,23,1064,12468,7456,-403,-32,152,2.2559494754266045,1.3175610819591403,2.3830004166004053
3902,27,1236,12360,7644,-391,-30,151,1.8289559955318975,0.9921322572520848,1.4429709713283538
3903,30,1064,12440,7712,-360,-77,123,1.1148772977157102,0.7789959999858265,0.7892010280676379
3904,33,1004,12496,7648,-363,-141,136,0.49128456121014163,0.7563723430827395,-0.06861652085934393
3905,36,1008,12488,7780,-342,-206,152,0.31121490965450593,0.9749202409703026,-1.2978701773701653
3906,39,1208,12512,7652,-306,-203,165,0.8738241165070612,1.0888990915078165,-3.0873354420158208
3907,44,1360,12372,7488,-308,-195,157,1.0098749054273173,0.8226952402145336,1.7860489335242533
3908,47,1400,12548,7700,-265,-188,125,0.7138110987328447,0.5985406571662191,0.8191055776706696
3909,50,1392,12548,7696,-245,-162,106,0.31592903703690506,0.6467826164426645,-0.0029343225820558654
3910,57,1424,12484,7788,-169,-185,38,0.19885069757927756,0.6071545351518627,-0.8439017799083949
3911,60,1192,12508,7712,-134,-255,17,0.2518426197075168,0.44495595485890943,-1.8828559702241228
3912,63,1208,12404,7632,-119,-294,6,0.17756982606400648,0.2228694177111632,-2.94767682702115
3913,67,1260,12548,7540,-73,-243,11,0.0686564851519245,0.14879047907048618,2.4402069486177456
3914,70,1064,12420,7672,-88,-192,24,-0.12039121154910974,0.2623670717475378,1.7167701902407584
3915,73,1124,12476,7512,-55,-149,51,-0.10329492726193915,0.5286469324511089,1.132318363392662
3916,76,1120,12536,7356,-80,-94,31,-0.16638015325501243,0.70311386202319,0.7122334794166311
3917,79,1112,12532,7264,-60,-24,85,-0.39434187053548536,1.0476866614811664,0.7123106218429277
3918,82,1104,12512,7248,-83,7,80,-1.2624815415954,1.2470610559187705,1.3134466623913232
3919,86,1068,12544,7384,-114,83,106,-2.282278029975794,0.8451326586968306,1.974278940732859
3920,89,956,12664,7268,-122,99,94,-2.6936346451682107,0.3410574926883567,1.8837951336589158
3921,92,876,12596,7356,-157,94,146,3.008022022318156,-0.240690345335103,1.636518997637665
3922,96,1132,12540,7488,-177,168,144,2.095283099501882,-0.3429429178804535,0.8287037613055784
3923,99,1388,12520,7256,-193,199,143,1.348974022257399,0.27608456366943285,0.24459649472588774
3924,102,1316,12612,7244,-236,231,119,0.26193328482496037,1.114423603039746,0.5538031724415713
3925,105,1256,12472,7132,-262,286,109,-1.8571869522134445,0.5946837980165542,1.969662854281145
3926,112,876,12528,7352,-338,280,164,-2.981513677821554,-0.3391776325185765,1.6771976537724307
3927,115,764,12456,7168,-364,241,170,1.731932871541203,-0.3332508902821757,0.7414027114813363
3928,118,916,12580,7340,-400,224,207,0.42399136661684295,0.5207744251337291,0.5233694795770091
3929,121,1080,12540,7384,-438,155,242,-1.6566404062790587,0.8620801246978773,1.5073576065890113
3930,125,1260,12592,7484,-432,102,213,3.108543336085761,0.2054650467699316,1.7249993524444684
3931,129,1380,12492,7692,-437,118,179,1.7637438668166183,0.02482936757568737,1.1279596876157398
3932,132,1332,12528,7504,-404,172,147,0.4907398549537845,0.6723315840944217,0.9423407004038027
3933,135,1324,12472,7596,-368,142,155,-1.4126734107551198,0.9298839583952129,1.8184434989196705
3934,139,1188,12548,7520,-371,111,134,-2.8143756864224914,0.4197048631768149,2.049807681556919
3935,142,1060,12604,7644,-366,-2,132,2.2515137985661946,0.015816757834452105,1.9400638728601747
3936,145,1096,12544,7696,-321,-120,139,1.0427536446023058,-0.41223494184462073,1.515336016833904
3937,148,1432,12520,7568,-309,-60,117,-0.14596491283946852,-0.14512608002407865,1.1531065963812333
3938,151,1596,12444,7684,-293,129,99,-1.1109044626373965,-0.12672664217775806,1.6974867808823682
3939,155,1540,12524,7676,-277,187,43,-2.0363086612569274,-0.7490989736497765,1.853973581139122
3940,158,1196,12472,7656,-240,168,28,2.68375743829297,-1.0495277362159434,1.0116668670659659
3941,165,1356,12520,7460,-229,275,-18,1.513849999890487,-0.21176229472306063,0.5165769809576587
3942,168,1408,12528,7556,-220,325,-54,0.5328572483629809,0.633910298304788,1.2076544204863844
3943,172,1192,12528,7484,-219,246,-63,-0.7267875379827881,0.3212856519905517,2.1174210506114317
3944,175,1188,12520,7428,-203,269,-72,-1.455213127687668,-0.5954126378821042,2.31730472778773
3945,178,1216,12532,7448,-210,281,-75,2.8707121801231947,-1.130335711165316,0.9148102890616239
3946,182,1264,12488,7448,-244,381,-75,1.5807933986290088,-0.01172236505123756,0.30680019824331134
3947,185,1412,12516,7484,-225,466,-78,0.02059868242214978,0.9746602872106708,1.5588888546722959
3948,188,1004,12400,7436,-263,432,-78,-1.3985855241437128,-0.10177266223064092,2.456158133883789
