,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
2289,2,3468,12156,7636,-281,300,-48,0.006491066727465761,0.42193732562380815,0.89904320283976
2290,5,3172,12108,7672,-273,346,-35,-1.0564715350120062,-0.25007123874274495,1.7633930555671211
2291,8,3140,12228,7480,-266,259,-43,-2.1628980137489515,-1.091477539052227,1.5516785398990252
2292,11,3300,12220,7448,-279,155,-57,2.2523871202075165,-0.904132382053971,0.5506773530326534
2293,14,3112,12180,7600,-275,78,-75,1.4229919768596648,-0.5795619285834772,0.7865449064487173
2294,18,3100,12240,7692,-276,105,-49,0.6008332061981165,-0.3626976559660257,1.1504234691249942
2295,21,3016,12176,7780,-239,150,-8,-0.10614161026148031,-0.25682211360533724,1.6839239594118791
2296,24,2948,12068,7820,-221,162,37,-0.7333546386580434,-0.37044174177041517,2.28317147566345
2297,28,2936,12108,7772,-203,70,33,-1.380488010678702,-0.5318482696882744,2.538159314174555
2298,31,2896,12124,7668,-192,-17,85,-1.9236361056117373,-0.49440178767888715,2.9003926977764536
2299,34,2944,12224,7800,-188,-1,104,-2.4109372637423583,-0.7072631184837447,-2.996660213620139
2300,37,3008,12228,7972,-123,12,117,-2.5832175257887435,-1.088199912245609,-2.6311579119709907
2301,41,3144,12076,8016,-101,37,173,-0.3780296428290116,-1.3816257670581829,-0.01975541483564406
2302,49,3072,12148,7764,1,35,177,0.06338823134169816,-0.7282268213736861,0.4475329515850055
2303,52,2992,12192,7788,23,-40,220,0.0844329531115695,0.07361321424594158,0.2322463687208302
2304,55,3132,12240,7772,30,-84,201,0.42923876995751675,0.7291460797645788,-0.2926899837554739
2305,59,3200,12200,7656,25,-101,210,1.5082370173207733,0.8843527784102011,-1.555530311050134
2306,62,3172,12232,7456,12,-162,181,1.9187707698628527,0.17806640961938833,-2.20201383189587
2307,65,2984,12172,7636,26,-283,233,1.7772029455886722,-0.9900387043673143,-2.712849132444131
2308,68,2944,12152,7680,12,-269,299,-0.2920354456388383,-0.68642700319909,1.2286831318223903
2309,72,2924,12148,7452,0,-251,315,-0.31910009292428393,0.5851561586054913,0.7789095230090795
2310,75,2916,12220,7468,8,-290,350,1.863826272181028,0.9769730825223232,-1.619511721887095
2311,78,2952,12164,7340,-48,-293,373,1.9874061815590784,-0.36561136605609595,-2.378987314039094
2312,82,2924,12300,7404,-63,-339,426,0.12978955132943973,-0.844309812340787,1.7850050992669633
2313,85,2900,12164,7404,-89,-364,461,-0.31684537180756694,0.6795156610364373,0.9414530642744945
2314,88,2996,12208,7564,-100,-424,521,2.099688939427395,0.6230090162484351,-1.9911999945329042
2315,91,3300,12232,7588,-99,-420,514,1.458769134077913,-0.9489328149785631,-3.036060545821296
2316,94,3604,12164,7704,-98,-328,468,-0.20934096899695084,-0.09981794114813326,1.3676606224382244
2317,97,3856,12180,7572,-106,-260,455,0.1257080997331768,1.4306538406223428,0.5125607887544377
2318,121,3820,12132,7252,-82,205,-26,-1.4074033480889123,0.7851251083660049,1.7890748027214316
