,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
1507,2,288,12300,7808,-401,514,-36,1.9829754312965426,1.2264735759532661,2.1197606063758507
1508,5,304,12264,7888,-428,567,-52,-2.037594867739625,0.4737951973740526,-1.443103028016844
1509,8,172,12244,7964,-413,629,-25,3.018534264181018,-0.31814323793289173,-2.7941963421152445
1510,11,332,12212,7856,-398,642,-32,2.072671538962714,0.7766354187185144,2.256895045750013
1511,14,288,12256,7992,-397,571,-46,-1.8829860065189752,0.8824726351776886,-1.2637381843996665
1512,18,372,12180,7984,-371,587,-74,-2.6877343928965933,-0.25937134258461686,-2.3938547295755033
1513,22,376,12196,8032,-341,609,-86,2.4291178579475408,0.2661618552188171,2.38744999984758
1514,25,312,12304,8040,-307,596,-103,-2.4138795686666046,1.253731766465311,-0.26251658533930106
1515,28,172,12248,8128,-282,540,-83,-2.240260838859214,0.03980880791508007,-1.7470201709793785
1516,31,124,12336,7968,-271,475,-113,2.9582484876083623,-0.16863354770011735,3.14080330901149
1517,34,96,12200,7972,-247,387,-90,2.3536882385534583,0.6995013772124316,2.208975566081776
1518,37,-28,12196,8032,-241,342,-74,-2.1935665858794047,1.3090554951446314,-0.4665445962102128
1519,41,-104,12292,7768,-232,214,-47,-2.115449967343997,0.7170227607348206,-1.4990928057916708
1520,44,-132,12228,7892,-226,179,19,-2.7213887920761617,0.24782926565035074,-1.9739110196188892
1521,47,-216,12288,7824,-246,131,57,2.73338395813587,0.0488135873230867,-2.432650511237636
1522,50,-260,12256,7664,-248,77,94,1.8518140766858073,0.03729132454216121,-2.853791476598711
1523,60,-200,12300,7812,-282,-167,229,0.726785485789141,-0.29233909089111515,2.575227381277701
1524,63,-24,12232,7896,-269,-295,256,-0.23721452916905839,0.3036588162467198,1.527454829078996
1525,66,76,12340,7820,-297,-378,281,0.6046469203476618,1.390658620184371,-0.491473491123324
1526,69,136,12264,7904,-293,-431,247,1.4058885576971965,0.24283036164868824,-2.4598572918978863
1527,73,224,12244,7856,-262,-435,269,0.38048883794160027,-0.33514919070215343,2.4654028460824855
1528,76,176,12236,8000,-271,-416,247,-0.46318695630917023,0.5247996385222048,1.3230981546009728
1529,79,292,12324,7884,-239,-433,275,1.4913026438632078,1.1267925854224297,-1.5767196076513352
1530,82,552,12252,7892,-231,-419,213,1.255240457097987,-0.08025540103874682,-2.5288888689459235
1531,85,508,12264,7912,-226,-387,196,0.06365895767588017,-0.3780922976385799,2.420533010973973
1532,88,336,12248,8036,-212,-372,174,-0.6355940995986155,0.5384066866296651,1.4901215281263078
1533,92,260,12260,7924,-199,-340,157,1.061498190102858,1.36527331624565,-1.021655486463562
1534,95,340,12172,7856,-196,-296,159,1.4804080799128643,0.4189180986006352,-2.2902238165693936
1535,98,344,12184,7892,-190,-211,152,0.9048239998438635,-0.08519109860793282,-3.042763024668392
1536,102,492,12336,7900,-164,-163,113,0.2298351857369575,-0.05654637677029145,2.530239463994426
1537,105,420,12260,7912,-180,-130,130,-0.3615390666629772,0.445490071239744,2.0940350995477415
1538,114,408,12256,7712,-215,-185,48,-0.7617990960296004,0.9501590856889406,1.502150390725716
1539,117,304,12312,7924,-232,-240,18,0.5351297777051308,1.2948927606892624,-0.7171060271543617
1540,121,156,12224,7896,-217,-318,31,0.9548047408198849,0.49382032186651803,-2.092466251364816
1541,124,240,12272,7708,-226,-316,27,0.32019341259970574,-0.08947875581845788,-2.9783616511547057
1542,127,292,12280,7772,-249,-299,36,-0.5541017154754712,0.15781913730886735,2.3584276988953774
1543,130,256,12284,7640,-273,-324,53,-1.0993828614656689,1.0633383388132829,1.6848225146585132
1544,133,40,12236,7620,-277,-420,46,1.2839444970387117,0.8132538489159102,-1.64406470679179
1545,136,-108,12276,7540,-298,-505,64,0.5506493485462632,-0.29801871954617004,-2.6301952078617803
1546,140,204,12184,7692,-326,-534,65,-0.7622948380478193,0.0971839116612079,2.2369182816664264
1547,144,256,12176,7608,-330,-514,89,-1.13030547956252,1.4893965507308187,1.4017033615863208
1548,147,196,12200,7820,-353,-470,113,1.2395601691615092,0.3227533895597774,-2.145636181653141
1549,150,152,12212,7824,-354,-357,134,0.1645805257044491,-0.08632211462724934,3.1004826292741074
1550,153,152,12196,7740,-369,-435,128,-0.7268578807321296,0.6632227911984774,2.0208159979775844
1551,157,224,12168,7840,-382,-468,109,1.2205365818571294,1.1846317297405833,-1.1968066299989215
1552,160,416,12228,7952,-353,-422,129,0.8924891766609638,0.19357295738398425,-2.344980876711813
1553,163,396,12352,7952,-322,-332,88,-0.1023400549140644,0.03815523310379358,2.9069984055717843
1554,172,632,12160,8048,-267,-156,10,-0.9818105361352627,0.3456790518013423,2.4649011636495834
1555,175,740,12248,7936,-251,-62,-24,-1.8430807803279496,0.5486385340955969,2.3375386590162726
1556,178,488,12268,7984,-227,41,-45,-2.552516447085988,0.5240016355794063,2.094197928692179
1557,181,476,12156,7952,-212,31,-91,3.0992273077144272,0.8066254737104199,1.8515544828098327
1558,185,624,12280,7992,-210,68,-135,2.3889513055282476,1.3385925003080184,1.7761523345512993
1559,189,712,12240,7896,-206,114,-164,-0.7498987467830405,1.0635104166922977,-2.0946648679951347
1560,192,592,12240,7936,-178,135,-217,-1.1480419226662746,0.23171439024680787,-2.5079449540566805
1561,195,484,12140,7824,-199,225,-217,-2.019901469067246,-0.5409312207029181,3.052681802217889
1562,198,392,12192,7844,-208,319,-253,2.9149839689188655,-0.20578406415616335,1.7122535141248159
1563,202,324,12188,7784,-185,390,-258,2.668595175150634,1.0263579758729982,0.8386380089534817
1564,205,324,12356,7920,-184,420,-249,-1.5210474229241886,0.6347685921022126,-2.03505837343207
1565,208,152,12372,7752,-206,411,-235,-2.175999722299396,-0.4494745400039813,-3.011571324700376
1566,211,48,12292,7648,-221,419,-233,2.8061980388333296,-0.11075864713505561,1.8128653792017466
1567,214,-8,12320,7728,-242,403,-201,2.3826007304731207,1.0986671631931981,1.0397458272375764
1568,218,108,12260,7624,-270,422,-168,-1.6472460373699023,0.7092317842540599,-2.1713075672956177
1569,226,-36,12232,7676,-345,320,-133,-2.4985246816013977,0.02441497559272893,-3.017856939477963
1570,231,-44,12292,7516,-377,285,-96,2.6518211664357523,0.25787089764057114,2.4003002447646993
1571,234,-92,12264,7508,-456,246,-40,1.321876568129031,0.9353344871496125,2.189434593276984
1572,237,-352,12300,7320,-492,171,8,-0.9534208303579549,1.0545067345677612,3.054300456452071
1573,240,-44,12320,7284,-555,169,41,-2.620918338659154,0.6016687739738238,3.0688308933287622
1574,243,424,12344,7408,-606,277,58,2.3865617375332118,0.5356934600670017,2.2515863828255154
1575,246,788,12232,7340,-678,409,35,0.4123950793319479,1.4353762340483887,2.3849273802429
1576,250,1056,12312,7320,-712,439,-52,-2.276686483063169,0.5501279346281641,-3.052904499085056
1577,253,1004,12232,7688,-752,515,-173,2.8553649824435063,0.5954644148856255,1.9180842236231004
1578,256,828,12084,7980,-765,737,-232,-2.2443960751368595,1.1488233072839822,-1.2286649951951978
1579,259,1540,12260,7868,-703,915,-351,-2.5330439071368764,0.053810786426781776,3.058035621044152
1580,263,1696,12268,7944,-670,967,-496,3.0088457200686207,0.7313524220302511,1.0943221543709765
1581,266,1676,12144,8116,-628,1144,-705,-1.9051185343180232,0.35281186967898115,-2.0499742166182915
1582,269,1400,12208,8200,-579,1176,-862,-2.931059018620501,-0.006077752598124579,2.0226069267826654
1583,273,796,12140,8180,-504,1031,-969,-2.0043056880503536,0.9038781991310937,-0.7919946679978234
1584,282,-9840,13832,8912,1771,-10731,7913,-2.956153548628395,-0.6342806520023858,2.423635163672843
1585,286,11552,11752,6500,1217,-8742,6171,-1.929859732157665,0.7858416291256339,-0.9737490161792711
1586,289,4876,12096,7188,1211,-6828,5690,-2.9404648058140928,-0.4939473376152186,2.2066153283590504
1587,292,4712,12444,7132,960,-4446,4570,-1.5465543698832036,0.6224767043325384,-1.3045426710410415
1588,296,-1464,11736,7464,1166,-4235,5418,-2.8777398461851016,-0.267839818119187,1.9380803332279946
1589,299,-1076,12948,8240,1237,-4127,5486,-1.4244599847282473,0.4382757600081178,-1.5723063756492373
1590,302,692,11776,7632,1256,-4235,5150,-3.0496618866852225,-0.07217934923735748,1.7399230241944754
1591,306,512,13720,7312,1090,-2936,4588,-1.1800922561219964,0.159106102322333,-1.8308329773638308
1592,309,-192,11944,7356,1459,-3737,5772,-3.1160560070962284,0.19984871888200392,1.5704707009101775
1593,312,4608,12984,6940,1301,-3032,5106,-1.1657350284525017,-0.09628874953872721,-2.0268672118487685
1594,317,-2528,11944,7584,1625,-2800,5966,-2.9445110738799185,0.5211433988933526,1.405812244860127
1595,320,-1532,13020,8292,1903,-3663,6789,-1.37094725742214,-0.266702000607906,-2.20461868173549
1596,323,3720,11672,6316,1655,-3754,6572,-2.9138218814303114,0.6693203614068153,1.164773013166779
1597,327,-1052,12168,7088,1753,-3190,7051,-1.3357388261557823,-0.44278654953975716,-2.456223128875134
1598,336,856,13684,8880,2331,-1576,8049,-2.3340763825188677,0.9887592154034948,0.8928028767124997
1599,339,3488,12644,8200,2693,-1396,8671,-1.459782579875923,-0.48602924345456694,-2.7237995354917652
1600,342,584,13392,8452,2934,-1064,9223,-1.9634102886058864,1.105033896117831,0.4870890779937348
1601,346,1712,12368,7688,3164,-75,9846,-1.4668463843056287,-0.5191595058087821,-3.0135479465490875
1602,349,-1628,12472,8816,3553,217,10880,-1.5673510719075388,1.1540107565792375,0.04169620680133906
1603,352,4700,12284,6292,3617,398,10714,-1.5938441757277297,-0.5014347343731123,3.0626096416846615
1604,355,9136,11508,5880,3398,2084,9896,-0.7684774699948977,1.0701427257009937,-0.5686904510518115
1605,360,6196,11720,6348,3383,3661,9176,-1.4827297554904246,-0.4152173542401395,2.756198207592007
1606,363,5928,11740,6528,3422,4249,9120,-0.4382026533990988,0.9492170808510353,-0.9118866545558878
1607,366,6100,12400,7588,3446,5725,8327,-1.3462961058970444,-0.312359696532849,2.474337890936499
1608,370,-232,12648,9976,4136,5763,9410,-0.3922998781101512,0.9232700506000089,-1.161485894433117
1609,373,2856,9572,7464,4074,5267,9308,-1.505487685609317,-0.24869226755231977,2.3423692795707916
1610,376,4316,10924,8024,3952,5841,7740,0.01196942849209291,0.7642795782640062,-1.486553513615932
1611,380,9732,11700,5776,2925,7026,4722,-1.0733285531204924,-0.13095468773907423,1.9213393670063539
1612,388,-2388,11852,8024,3342,6070,5734,-0.22147153821666518,0.7886407437482812,-1.6815041575701162
1613,392,4868,12212,7036,3055,6104,4872,-1.0398560761888407,-0.053215661591358314,1.6553555249073346
1614,395,5244,11324,5672,2314,5898,3332,0.16283793442763336,0.5238047059643093,-1.9945405684043742
1615,398,3160,11824,5248,1820,6497,2034,-0.7433061616756191,0.009528421324949818,1.2460037748209212
1616,403,-2196,14264,8380,1527,6031,1757,0.2379790948452301,0.3394214331243811,-2.2634611355047753
1617,406,-6656,13364,7388,1942,5063,3802,-1.4951295784160794,0.1692991388584569,1.2273222706291365
1618,409,2972,11480,5536,1597,4084,3160,0.15810145521278585,0.10269891570894737,-2.482361514794981
1619,413,-6312,12716,7412,1615,4557,3618,-1.5430090398006249,0.3853409214364827,0.9527258257298615
1620,416,-276,12152,5652,1133,4409,2295,0.407032389962422,-0.2990609605524347,-2.7019404826080198
1621,419,-1820,12984,7852,1126,4306,2823,-1.7202479838848255,0.6810190931617243,0.7561320375924931
1622,423,-1820,13260,7488,1423,3810,3615,-0.1277458027807624,-0.43862536865567703,-2.9880721351188853
1623,426,-2776,12064,7228,1621,2234,4920,-2.5255019258958384,0.8338782451271364,0.743377560741368
1624,429,-1008,12988,8164,1496,2827,4456,-0.13665629898238746,-0.8036549401893518,3.0190743347748876
1625,433,3644,12976,7320,1017,3006,3387,-1.892591847775887,1.2621972836636648,0.2613265851912275
