,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
694,2,-240,11244,8928,154,-1024,272,-2.6003854308214676,0.1843742159400955,0.0639844764350622
695,5,816,11396,8376,142,-1350,89,2.7729965657030564,0.32403048065055223,2.652263000820156
696,28,180,11520,8144,-199,263,-84,2.624255852839371,1.012606319075034,1.7882298777127825
697,31,-196,11580,8168,-266,131,-149,-0.32643744092437743,1.3814927704337825,-2.4558544712586983
698,35,-888,11560,8616,-266,-178,-136,0.15538739401011054,0.8378367442534758,2.310464278356352
699,38,-952,11620,8864,-246,-553,-75,0.25855922298627365,0.11838518004139449,0.6297010489115599
700,41,108,11524,8288,-258,-665,-93,-0.4740054561066822,0.049506839090831756,-1.108395622073682
701,44,620,11476,8052,-309,4,-164,-1.6062129783427392,-0.2419524016508865,-1.566738107254934
702,47,124,11584,8076,-357,471,-177,2.7397977411240007,-0.5919015759790508,-3.0450034486309
703,52,-632,11568,8284,-424,296,-190,1.3685471186586569,0.3809815386062566,-2.9628226361428767
704,55,-928,11620,8504,-469,80,-137,-0.23346167307610496,0.17197978252199317,-2.546762764763338
705,58,-964,11420,8644,-429,-7,-49,-1.6152930253524511,0.09927315916251594,-2.6780383132247176
706,61,-888,11428,8888,-393,-74,-3,-2.956808776918794,0.27851248871061257,-2.535292891964521
707,64,-232,11380,8904,-370,-81,15,2.0345504539440906,0.1267389425976714,-2.3245008033234296
708,67,-116,11536,8900,-316,-10,-15,0.9225172955522477,0.09043167118142999,-2.2751777551245804
709,71,-528,11540,8924,-299,-54,-20,-0.1343697009098516,-0.042877954114389126,-2.4157770679657458
710,74,-884,11556,8852,-237,-228,34,-0.8732754583643711,0.4438794422857434,-3.0409715470827257
711,77,-800,11532,8984,-185,-252,87,-1.5197126615699545,1.3561292146901724,-3.1007869896862945
712,86,-164,11416,8732,-42,-51,171,3.117278907934251,0.92594402085365,-1.551398061993648
713,89,-288,11436,8612,-47,25,169,3.0315451358941288,0.29852771565927355,-1.718146664364865
714,93,-324,11576,8612,-41,13,140,2.877709510446558,-0.21321939204335652,-1.866731500768709
715,96,-700,11492,8668,-45,-23,164,2.609084391097757,-0.8160623033042271,-2.049150213970884
716,99,-640,11492,8596,-27,-106,192,0.21904176278169912,-1.4920287071973084,1.9246064745200904
717,103,-452,11504,8536,-19,-93,192,-0.4259157618852969,-0.7142142087078045,1.3329266456613977
718,106,-348,11456,8576,-7,-53,209,-0.40586963764615885,0.07771308519704156,1.4691588024963462
719,109,116,11552,8464,-32,57,163,-0.6874482805010059,0.5056505489421907,1.9906665659485647
720,112,-48,11452,8564,-26,125,104,-1.090906548124338,0.38513184822056223,2.6635011813948957
721,115,-96,11548,8528,-49,84,93,-1.4181757184869417,0.18851116975899707,3.121058238033264
722,118,-368,11488,8568,-61,76,60,-1.6712577148447925,-0.09886905233889255,-2.9245099390167284
723,121,-496,11492,8424,-95,-36,54,-2.0291537871093053,-0.02365222702631107,-2.6894324725550236
724,124,-288,11556,8324,-105,-92,48,-2.456777244383515,0.13772634361545633,-2.3363305218232395
725,128,-268,11532,8352,-126,-222,27,-3.1362704000296917,0.330550203704916,-1.5355052917399887
726,131,-332,11660,8460,-169,-299,9,2.3869026992905,-0.09773137814085589,-0.6026156711686139
727,134,-280,11532,8428,-175,-416,-3,2.533854166740021,-1.060895389647703,0.6110828869101773
728,144,-352,11500,8616,-209,-727,-76,-2.3781226656876076,-0.12697208699498433,3.1004367415205296
729,147,-452,11448,8868,-165,-936,-83,2.5700512058762506,0.5313114499020314,-1.069578061112322
730,150,-460,11576,8980,-110,-1048,-78,2.75450011114957,-0.8539273731696552,0.9033966800884397
731,154,-380,11472,8772,-93,-1152,-52,-2.4260816751916963,0.2569085262741422,-2.972000080243216
732,157,-328,11536,8816,-58,-1109,-56,2.335931129560326,0.29173424278247867,-0.5147586870833077
733,160,-748,11524,8600,-36,-1101,-35,-2.881046041085197,-0.8229784452378586,1.785759419318723
734,163,-1012,11540,8756,-1,-1143,60,-2.4944004325162394,0.6343388699525803,-2.485167060821933
735,167,-1348,11460,8544,-13,-1206,137,2.4457897222339557,-0.13331782474313061,-0.02599688798631224
736,170,-1380,11564,8524,-28,-1486,256,-2.158082099130723,-0.38420359397498827,2.708631838480632
737,173,-1372,11696,8428,-53,-1885,361,2.8017422984802267,0.6674113407155801,-0.9458318649774028
738,178,-1588,11496,8372,-73,-2358,460,-2.786005586216752,-0.8726558559178464,1.6743472575127534
739,181,-1776,11580,8552,-50,-2792,583,-2.6818628990604454,0.8173598122778354,-2.0006239489363318
740,184,-1876,11488,8764,-38,-3246,755,2.8517915190612335,-0.7259069915119571,0.7332106157754553
741,187,-1292,11500,8688,-15,-3657,871,-2.21957489145408,0.5642479073363995,-2.6799530414283743
742,196,732,11800,8228,-67,-3524,836,2.563563114864545,-0.3994089736994455,0.2017444870386765
743,200,1548,12660,8064,75,-3042,600,-2.0941696524198017,0.1939176371721667,3.073287903931305
744,203,4060,18196,9492,1223,-3085,-589,1.6704093856583906,0.34212178901371554,0.5333276750474847
745,206,-3516,14036,7376,1494,-3521,-1105,-2.504305271425322,-0.18232856783388343,2.8520844484876227
746,209,-5328,14316,8972,1940,-5381,-858,1.961216327853777,0.7564526562100241,0.1845936712581784
747,213,-4184,14752,7996,1947,-6556,-638,-2.5592107919875997,-0.49633022176575375,2.6593579236363527
748,216,-2644,15880,5180,2377,-7494,-1039,1.902406609224582,0.9878832790596012,0.058539905912307455
749,221,-4288,13060,4788,2043,-8641,-1124,-2.6801699376970882,-0.7600426476279399,2.537620537252921
750,224,-2316,13368,6764,2203,-9104,-1196,2.0384302958259592,1.1806152574750974,-0.15472771824233938
751,227,-1996,13620,5492,2198,-9344,-1235,-2.9216800651003645,-0.8668185094296268,2.27687902071925
752,231,-2896,12000,3712,2240,-9739,-1415,2.4102653883195932,1.3146474222162097,-0.6196315540628158
753,234,-1652,13632,7516,2274,-9919,-1138,3.1203291716155452,-0.9148526571387834,1.9523320990488582
754,238,-1876,13168,6936,2179,-9812,-1172,-3.1134075778168167,1.3494673446509833,-1.4525854711551003
755,241,-1732,12744,7728,2445,-10295,-899,2.879567291529541,-0.876001777406116,1.6244854049212236
756,250,-776,11892,7024,2286,-11094,-977,-2.6340651250547342,1.226177339709419,-1.9926659375781843
757,253,1368,11872,7592,2214,-10344,-1138,2.617367418486942,-0.8117121895626266,1.38141059810299
758,257,960,10272,6780,2160,-9306,-969,-2.277817400397234,1.1055862939540877,-2.4137563634171664
759,260,1608,11384,8512,2007,-8608,-922,2.3877045152851295,-0.7006287067612972,1.1292918490533328
760,264,3420,10980,10028,1649,-8244,-968,-2.238917010564065,0.8813659997173009,-2.541688385181222
761,268,3876,10560,8592,1620,-7325,-1178,2.150561698836441,-0.5163638386241554,0.9503057213486896
762,271,3684,10720,10844,1404,-6289,-940,-2.1524256644034843,0.6253800450109424,-2.7264836013723146
763,275,1116,9200,9376,934,-5798,-478,2.080383911655977,-0.3111747204419661,0.6172637749198875
764,278,3224,8760,8352,917,-5169,-498,-2.139489333864132,0.3237259729162697,-2.9439325140384933
765,281,3236,10496,9664,836,-4987,-430,1.9983495287063275,0.01170558814255203,0.39215381597878357
766,284,340,9204,8944,640,-4518,-516,-2.237909962869202,-0.05703478269593024,-3.1026520602483134
767,288,876,9012,9500,564,-4187,-289,2.0795266746643555,0.40468643707138346,0.12795526820885145
768,291,3316,10124,9384,745,-4134,-579,-2.527221444038964,-0.34778706855320835,2.81526294521894
769,294,1292,10184,10060,796,-4089,-434,2.265239014464854,0.7936606201765125,-0.23389547714465964
770,303,3360,10876,10364,769,-3769,-638,-2.957743097754733,-0.5793013658729814,2.355855630184985
771,307,1856,11072,10668,765,-4020,-318,2.9867137695803727,0.9918726652956261,-1.0427274314296309
772,311,1852,9984,8240,800,-3592,-573,2.7612239979006707,-0.5292758116854857,1.7912791124341632
773,314,-1620,10032,9864,616,-3637,7,-2.469799905276277,0.682439537662463,-1.8458706457326408
774,317,2128,10196,8704,678,-3015,-130,2.3982687784706167,-0.13541040139543978,1.33217764469738
775,321,4776,11976,10028,770,-2570,-113,-2.335384759647418,0.285683186715621,-2.498617450888162
776,324,5988,12060,9684,582,-2315,-125,2.223380354396587,0.3530048974618664,0.7323151921463873
777,327,3888,10584,8908,321,-1736,-45,-2.5772730270003033,-0.47875750165513686,-3.1296369643199213
