,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
0,2,2268,12540,7352,-247,32,119,-0.6086917161042308,0.9846112712222022,-0.8483715200843183
1,5,2268,12452,7424,-262,31,122,-2.197072464567693,0.9462887261794942,-0.08080227616864778
2,8,2140,12408,7244,-256,-32,137,2.905889507673689,0.5377233568548986,0.27866680881255773
3,11,2216,12428,7340,-243,-106,161,2.028388072511202,-0.1173030768442098,0.21753565966152233
4,14,2384,12468,7168,-253,-83,172,0.9526728801623333,-0.35877584302601334,-0.403392848560699
5,18,2432,12476,7440,-261,-18,186,-0.024349755596476192,0.1764850982193799,-0.7306573350175142
6,21,2324,12488,7444,-256,-29,145,-1.0212596141071295,0.6539771247702003,-0.5559466077906501
7,24,2368,12416,7432,-235,-91,178,-2.535445703178608,0.8500052921896817,0.36023450403031987
8,27,2364,12552,7436,-226,-126,175,2.618315212899782,0.2533758184955968,0.889190442361468
9,30,2476,12500,7424,-230,-60,170,1.7675848226048612,-0.2645420602888623,0.5355721344624452
10,34,2524,12456,7336,-221,-52,154,0.7828369574761772,-0.28254285364277293,-0.058576214047766036
11,37,2612,12492,7360,-245,9,119,-0.11247106013670895,0.11915775901694493,-0.167180791407286
12,41,2492,12520,7432,-252,72,105,-1.105046080235465,0.2762022471154426,0.2509836088825198
13,44,2504,12452,7400,-211,71,98,-1.9440357955669105,0.03746684738656495,0.6158813109381488
14,47,2428,12484,7608,-219,101,97,-2.7560705548562776,-0.4569773452538414,0.6099878257133328
15,58,2440,12548,7392,-260,232,42,2.2153321056414805,-0.3817100510532953,-0.24602491184246644
16,61,2300,12476,7428,-225,214,58,1.3657595541994076,0.2952822478833875,-0.5918687973634961
17,64,2488,12464,7504,-245,238,41,0.08181038160905776,0.9469864077489808,0.02736104652972612
18,67,2560,12436,7388,-232,228,-12,-1.3013560149835615,0.4404306712041231,0.8193623878087491
19,71,2532,12488,7492,-261,273,-2,-2.243313103697575,-0.43102373917377373,0.6426755103375844
20,74,2288,12508,7416,-259,287,-23,2.576253414121203,-0.5218149280041502,-0.4132014609920671
21,77,2152,12420,7276,-251,179,2,1.5786925235768277,0.013358685165660382,-0.7212550342613598
22,80,2156,12532,7332,-265,116,-1,0.5811948849973791,0.36418136904665893,-0.5244820641462572
23,84,2252,12500,7304,-256,88,16,-0.4694305384984834,0.43369471878799803,-0.19548714978771953
24,87,2476,12416,7360,-273,160,14,-1.5213078996832252,0.0019974283312704064,0.1419719458118095
25,90,2460,12408,7440,-280,204,20,-2.612280380641886,-0.6264962196152912,-0.1297922666524054
26,94,2120,12480,7424,-267,212,29,2.194570651486366,-0.570107587072636,-0.9979739118999507
27,97,1984,12476,7448,-254,89,63,1.1550329600611249,-0.282630938450144,-1.2692916550674893
28,100,2004,12560,7460,-265,-58,107,0.12134650081918195,-0.10566085554500095,-1.6505259169447386
29,103,2252,12532,7392,-278,-18,118,-0.8851590460574416,0.28529999645877346,-1.557502949551069
30,106,2380,12436,7260,-300,91,110,-2.0115797578401025,0.024883415111228407,-1.157402697557572
31,117,2388,12484,7408,-304,146,118,3.141109884329615,-0.5558966141352317,-1.3606354683586284
32,120,2460,12496,7460,-265,142,120,1.7747574969704605,-0.5649944484672923,-2.103642989818755
33,123,2524,12524,7332,-271,167,120,0.7455092916659207,0.08894758083173582,-2.3140348890607383
34,128,2544,12564,7192,-279,191,60,-0.40898597250153784,0.39916660856914704,-1.7059260842955386
35,131,2332,12520,7364,-314,174,65,-1.61755845811938,0.022509549200076064,-1.2224944884371949
36,134,2176,12448,7376,-275,78,103,-2.5749364616470936,-0.38297973433367893,-1.054551255624313
37,137,2532,12412,7592,-282,15,73,2.6761435640051072,-0.6323026709688071,-1.1001495896361522
38,140,2712,12404,7516,-275,-4,41,1.5972682174148338,-0.7179132949462744,-1.24245612387435
39,144,2672,12464,7476,-262,31,8,0.6644721771765236,-0.6077863249698521,-1.2134499788855129
40,147,2556,12388,7672,-256,90,-11,-0.060049568957310465,-0.5527402961794063,-0.8388665656051721
41,150,2536,12444,7496,-214,166,-22,-0.4005726379898066,-0.7769955830011716,-0.13629765879150768
42,153,2476,12416,7368,-210,181,-25,-0.3398214887444154,-1.1258311956862461,0.8471861840061987
43,156,2264,12408,7260,-179,206,-23,0.6658976698359532,-1.0657506783059063,2.640121697337983
44,159,2176,12468,7216,-203,165,-30,0.636595697765681,-0.7708779401247737,-2.757156833092485
45,163,2056,12512,7344,-234,140,26,0.09726964716953312,-0.5039421246324121,-2.228617509410488
46,167,1964,12512,7224,-258,142,70,-0.5818570444546859,-0.3865372414653346,-1.6419221238551192
47,178,2160,12432,7444,-250,-112,137,-1.4714120569703488,0.17997874389318533,-1.4436575840999128
48,181,2284,12504,7380,-247,-90,159,-2.509691465279826,0.24100631941643483,-0.8118343332226927
49,184,2476,12504,7372,-241,2,161,2.8929905399460134,-0.305116232715893,-0.7153327325700025
50,187,2468,12560,7436,-238,115,155,1.7720496520053648,-0.38829448661575033,-1.4134995636362702
51,191,2476,12444,7492,-258,136,146,0.8004205548962917,0.19541509968915446,-1.7505925209334539
52,194,2564,12400,7656,-212,99,163,-0.05711886761857653,0.8489751120582736,-1.6166836138842686
53,197,2572,12460,7584,-203,138,99,-1.4598008736955295,0.7580049297594735,-0.7467399654095346
54,200,2816,12620,7468,-204,254,92,-2.2408353376468253,-0.15463736474324108,-0.6855259460755713
55,203,2656,12516,7436,-206,362,27,2.7748647149235897,-0.6016785482030713,-1.8718242370945026
56,206,2648,12448,7376,-209,439,19,1.889268637946001,0.41179321600138835,-2.806631350168699
57,211,2644,12552,7220,-196,467,4,-1.8026912936919912,1.3122688725384248,0.18297635797896397
58,214,2608,12452,7272,-218,546,-39,-2.07224249790772,-0.1828962416544978,-0.5382498319884051
59,217,2784,12516,7376,-219,627,-80,2.581034796253303,-0.49461714006358504,-2.361300683984594
60,220,2792,12424,7260,-238,713,-116,2.2295663932184944,1.1150091590929472,2.837664794545868
61,223,2560,12460,7144,-243,843,-149,-1.8568485385059221,0.05111702155907155,-0.2666371498875074
62,234,-3320,12608,8292,-98,914,1087,-0.01146141067571755,-0.6859186646292812,2.5475485620406135
63,238,-8720,12136,11252,922,-179,4649,2.66822566384714,0.8110876695302411,-0.005350463801593735
64,241,1292,11572,6796,796,-4386,4614,-1.3699178985283216,-0.8477134759799294,2.7012771928839623
65,244,4944,12060,6464,728,-2974,4399,-3.09144249998715,1.1698499486283902,-0.28765264111302913
66,248,12256,13648,5080,-118,-2134,1099,2.8924898459597235,-1.2107931119829907,1.6350877924680456
67,251,7860,12712,6692,-449,1904,-95,1.3716527242250773,1.153812400393391,0.6751287887724057
68,255,672,12632,8256,-262,1835,160,-1.8590338888941078,-0.5955057746918855,-2.8569078067223312
69,258,-3704,12584,9444,287,281,1686,-0.5384614102277757,0.49123260381118755,-0.4835600768710029
70,262,-2752,12448,9056,918,-2127,3443,2.7335587266992527,-0.21080475905742962,3.112242776837103
71,265,1156,11996,6884,940,-3654,3877,-1.0340976422813033,0.13710464446856502,-0.42557679803550397
