,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
2986,2,-1332,12252,7532,-366,80,-109,-2.1218055228420636,-0.44780631934616755,-2.899786792181785
2987,11,-1776,12144,7552,-369,113,-27,2.729872825013613,-0.46967755236348385,2.972418301798488
2988,14,-1728,12212,7420,-403,51,-36,1.4077823032033117,-0.27973307430368244,2.995299509647493
2989,17,-2096,12152,7560,-462,-80,4,-0.13320876104355608,-0.4083200916804279,2.7898712385748934
2990,20,-2140,12220,7564,-459,-102,67,-1.609741807211224,-0.058135024005011096,2.747485508674848
2991,23,-2160,12176,7796,-444,-124,131,-3.0152296864977117,-0.0492981094873943,-3.0126962795623995
2992,28,-2548,12144,7728,-440,-312,251,2.179558156333579,-1.03114040153266,-2.461441021308433
2993,31,-2140,12224,7724,-404,-347,371,-0.9371953174392353,-0.5537735363555958,1.7533748617402949
2994,34,-1636,12256,7816,-411,-371,390,-2.2386792688605777,0.4621525786340733,2.7279942129741417
2995,37,-1268,12096,7888,-396,-420,362,2.6377160708822838,-0.33655573903154024,-2.3445101879733814
2996,41,-1276,12308,8036,-343,-394,326,-0.5591859187351204,-1.3137413134703393,1.7638682994798591
2997,44,-1476,12192,8192,-300,-343,313,-1.428284239053501,0.009075678431626202,2.0163175685786165
2998,47,-1684,12204,8080,-264,-319,323,-2.728664512385091,0.4330182584267871,-2.9471854808923523
2999,50,-1620,12112,8008,-224,-313,334,2.833803696617917,-0.5986044504967697,-1.9956790970306932
3000,54,-1680,12124,7892,-200,-323,351,-1.2344119519170484,-1.1079341305675439,1.0046363029421652
3001,57,-1720,12212,7812,-159,-449,344,-1.5080968023245935,0.42723592249216025,1.695488408142699
3002,81,-1796,12176,7608,-48,-855,327,2.2618755493875335,0.5223396671209153,-1.8356566380689987
3003,84,-2368,12108,7632,-43,-1086,403,-2.140650558849337,-1.2748616110013824,0.6149409738672028
3004,87,-2708,12180,7460,-43,-1336,524,-1.754230321165888,0.9897913240741816,2.02730244651109
3005,90,-2872,12244,7516,-66,-1597,655,2.2462246180577803,-0.48700537598896576,-1.5249765390056889
3006,94,-3072,12268,7636,-77,-1977,839,-1.4293953481528,0.01850586669126639,1.5603205384343795
3007,97,-3064,12168,7624,-112,-2384,1026,2.2730294252768894,0.33184397196622045,-1.771817811508973
3008,100,-3376,12168,7608,-132,-3040,1189,-1.5424124103866474,-0.6510821741163858,1.3392062133015272
3009,104,-2860,12120,7348,-163,-3328,1401,2.5365292004756634,0.8625214771939221,-2.0867262359005063
3010,107,-2576,12156,7264,-220,-3639,1532,-1.8308968929143183,-1.1368708810595098,0.9478070021134986
3011,111,-2588,12136,7448,-282,-3935,1678,-3.0296090840995467,1.1636576973990107,-2.864876489638387
3012,115,-2648,12284,7376,-319,-4142,1842,-3.0866949017384826,-1.3047558965683554,-0.42829164590335295
3013,118,-2992,12300,7432,-324,-4511,2008,-2.063326971555198,1.0875504071278164,2.3978889669619403
3014,121,-3200,12176,7632,-355,-5023,2191,2.493851333610282,-1.0280908791378043,-1.1919818591481899
3015,125,-2964,12212,7596,-376,-5431,2401,-1.6931372127418327,0.8167366204979184,1.9892185223656467
3016,134,-3732,12116,7748,-371,-6661,2997,2.3877500793279,-0.7373723228606628,-1.3675296352391442
3017,137,-4168,12088,7956,-360,-7651,3321,-1.5915912046031802,0.5907618378954742,1.8109926990093543
3018,141,-3612,12132,7472,-378,-8582,3595,2.313212265191271,-0.518958593548885,-1.467040383921387
3019,144,-3248,12076,7684,-337,-9032,3823,-1.5267873085192853,0.3978355591266872,1.7068484907005024
3020,147,-3352,12172,7876,-299,-9677,4091,2.294391636320602,-0.3251283845637786,-1.526557896758105
3021,151,-1840,12176,7836,-281,-9808,3923,-1.5383171178564592,0.21632365706192827,1.6330249056723365
3022,155,32767,9876,-544,-801,1915,-5699,-2.221667380952678,-0.02271118035799921,-1.260052472745273
3023,158,18300,11676,2416,-1738,11524,-9937,-2.6528270745332594,0.23074777756631437,1.9961508500328284
3024,162,-8856,13292,10416,-1016,11429,-9413,-2.2462043641273506,-0.08275247672926551,-1.1051418652715692
3025,165,-15040,12108,9068,-484,7182,-6790,-2.536740716365943,0.16466929568944455,2.153408888738636
3026,169,-7340,12144,9856,-444,2340,-4836,-1.5022726622322418,0.0718218705619437,-0.9048602234585427
3027,172,220,11708,7096,-576,1615,-5643,-2.1947674934146955,0.053536385703308265,2.465351011496682
3028,175,1696,11544,6344,-720,3326,-6586,-1.8877849174753507,0.15968180056215098,-0.5696544227020005
3029,184,-5596,11220,6984,-1070,5641,-6989,-2.599045676072248,0.02360545896888874,2.760438539306192
3030,188,-1268,12076,5612,-1062,6059,-7166,-1.9495706448486918,0.22416878704394752,-0.3498097702312283
3031,191,-6864,11272,8872,-1140,4028,-5781,-2.3914645321881913,0.057926434571097515,3.0017950905019544
3032,195,2720,10744,7148,-1092,3187,-6622,-1.6494559812203151,0.2665153131798733,-0.11762357913192892
3033,199,-276,11756,7012,-1238,4270,-6991,-2.5499485790321375,-0.04946470590348562,-3.015158103944816
3034,202,1256,11756,8100,-1171,5546,-7352,-1.888496612611455,0.32405819885093945,0.14951447344141017
3035,206,5620,10760,6600,-1237,7861,-9083,-2.641363141216762,-0.16408289817938385,-2.8335005972593064
3036,209,432,11580,6200,-1096,10455,-9702,-2.153907328659965,0.32994189875252217,0.3417094148087553
3037,212,-4196,9960,8288,-1231,10924,-9473,-2.671188113424974,-0.18363898159801464,-2.6847681462716158
