,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
2298,1,828,12432,7760,-187,188,94,-1.6903299090919544,0.31537507143609916,-3.063609872821553
2299,4,764,12344,7792,-177,198,107,-2.359621299438935,-0.4731262232099058,-3.0320430600422887
2300,7,884,12360,7736,-200,229,62,2.5828654182728226,-0.8009451573220027,2.298728752631978
2301,11,876,12308,7640,-181,259,70,1.5677070553418906,-0.11181658545532451,1.5953416240030398
2302,14,812,12344,7752,-200,247,2,0.717015651297775,0.6692917313927771,1.9421095097773338
2303,17,696,12384,7764,-214,199,31,-0.7297647023195025,0.7844151264211751,2.880260096039379
2304,25,888,12396,7748,-219,22,24,-1.6493008819152244,0.7434692915440566,3.032811709560342
2305,28,976,12324,7772,-232,113,-31,-2.332510686295421,0.42236965091761725,2.722601728741079
2306,33,884,12436,7688,-213,166,-44,-2.9059722838730937,0.25820322107788807,2.111535954466236
2307,36,1040,12284,7728,-217,267,-36,2.8994906485093512,0.3887696310888201,1.1655761130071696
2308,39,900,12376,7504,-255,311,-75,2.7896866400420097,0.9895877112560091,0.011336031220031998
2309,42,876,12344,7484,-266,351,-68,-2.3459190204952565,0.9125146039676046,-2.265759197122699
2310,45,748,12308,7508,-306,417,-96,-2.565115966070871,0.23820167745384965,2.6690681679385424
2311,48,580,12368,7564,-316,423,-58,2.9166101514705596,0.1780947414575273,1.4055596943634352
2312,51,336,12316,7500,-324,336,-29,2.2866678776979645,0.8263821868459201,0.4706332456313911
2313,55,292,12292,7504,-366,304,3,-2.619884349811413,1.39698447420043,-2.1852815559339325
2314,58,568,12392,7668,-351,235,46,-2.6159085274206695,0.7985490765122534,2.818758147870134
2315,61,640,12308,7840,-341,230,53,3.0170489028342145,0.47070573077718547,1.9863282312941133
2316,64,732,12292,7772,-373,209,37,2.1811520591431997,0.7133170958162368,1.2537234604211496
2317,67,576,12364,7760,-332,214,52,1.7178349558314905,1.3198139935286315,0.4851221518455387
2318,70,392,12392,7908,-362,140,91,-2.8637613601181027,1.2979021609666923,-2.4598921849203417
2319,74,120,12288,7736,-335,-11,116,2.380720192300608,0.9302731708282048,-2.588439830729136
2320,77,28,12380,7856,-307,-123,191,1.6014621280919799,0.3069180025385566,-3.0703257571363545
2321,86,332,12364,7748,-236,-419,379,0.6364202735375266,-0.4139060767720564,1.7753700019259175
2322,89,448,12284,8056,-223,-499,390,-0.14571709205563266,0.4532912666459326,0.2612474966808621
2323,92,460,12364,7964,-193,-609,442,1.3216983457026437,0.6911632786572838,-2.3273646768438407
2324,96,256,12276,8000,-174,-732,455,0.7808506418272265,-0.6101029320460138,2.2703707131931554
2325,99,60,12228,8032,-131,-926,537,-0.23280859838355042,0.3545110599744658,0.1343254302368552
2326,102,-1000,12376,7916,-89,-1419,639,1.1276761556289518,0.13604923680976624,-2.5834777503377597
2327,105,-616,12216,7708,-79,-1619,809,-0.06499696251600194,-0.37986194616815444,1.0764671184178665
2328,109,-1480,12240,7964,-49,-2038,1003,0.7696894484992678,0.6011166711761801,-1.6263751573741123
2329,112,-2224,12284,8040,-9,-2655,1306,0.3933316676876018,-0.6605283066449006,1.933165670950335
2330,116,-2296,12080,8132,45,-3220,1657,0.3457419136611833,0.628676033582622,-0.8585371420993776
2331,119,-1620,12204,7660,-4,-3965,1860,0.6913110954191706,-0.5872087497714841,2.5619216764897095
2332,123,-1656,12232,7824,46,-4373,2161,0.1077085617342994,0.5088819211499812,-0.3521523920936957
2333,126,-952,12280,7516,-5,-4736,2363,0.9081920646556813,-0.43239350209693805,2.988132287306472
2334,129,-732,12032,7696,38,-5196,2551,-0.056331790924178546,0.3390675594477181,0.00801235859812883
2335,152,6260,13848,3932,-1634,4124,-5334,2.0840000221653443,-0.7025117570617784,-2.7377954317726445
2336,155,-1652,13580,7416,-1627,5888,-6261,-0.13915810879397464,0.6404293237700714,-0.0922283146676861
2337,160,-1128,13472,7008,-1512,5580,-5971,2.0468040669786607,-0.9222147548373975,-2.8575463414223594
2338,163,-6408,14120,8072,-1333,3653,-5315,0.3583898920414035,0.7619300540562313,-0.3325963321203301
2339,167,-7400,13576,8036,-1141,934,-4355,2.971390170927991,-1.1304343152445675,-2.743852881649039
2340,170,2944,12344,6816,-1122,571,-4983,0.9307041262793846,1.062268343841562,-0.6911554333366501
2341,173,-1728,12992,7636,-1450,2386,-5112,-0.48378716334645017,-1.4991558119282786,0.6112438101919482
2342,177,224,12764,7704,-1431,2306,-5353,1.643200137236946,1.0382014131748747,-1.3436266044185976
2343,180,984,12708,5932,-1548,3822,-6180,-0.4702706044712772,-1.1333604126649286,0.8412940692978916
2344,183,-3716,13100,8040,-1544,4698,-5571,1.7424268131893952,0.8123889925928913,-1.7453575903690965
2345,187,-3320,12608,7748,-1546,3525,-4982,-0.44870276587005475,-0.8991561000118813,0.5990903057979475
2346,190,-3404,12952,8044,-1449,2153,-4718,2.268199130961057,0.5830667902932485,-1.8745318617915216
2347,194,-1240,12308,8568,-1412,1433,-4496,-0.16809179181348902,-0.5865178924990222,0.5232345270849676
2348,197,6272,11640,6240,-1422,1946,-5469,2.4281944996989697,0.2860064736368805,-2.1615916451972175
2349,207,-1848,12444,8768,-1245,3548,-5788,-0.4770574430957167,-0.17984138736494548,0.5928316654793678
2350,211,-184,12988,7264,-1262,3065,-6087,2.6474321575532604,0.027063763007738297,-2.1831858733166234
2351,214,-424,12408,7584,-1318,3128,-5965,-0.4541907764433345,0.11644164339068552,0.5699666655620037
2352,217,-1096,12552,7788,-1280,3193,-6074,2.699553921385511,-0.2629646853685432,-2.196457955510341
2353,221,-2196,12684,8824,-1212,2259,-5336,-0.21140974424584205,0.39000807163909695,0.49288593213834886
2354,224,-144,12424,8328,-1314,1885,-5698,2.9396975670517067,-0.5591225007975699,-2.164399253126184
2355,227,1640,11804,7900,-1369,2318,-6148,-0.20947546987796445,0.7176254691336316,0.46621753895617846
2356,231,3892,11128,7500,-1125,3163,-7152,2.80182133503894,-0.8681765653209408,-2.28122893059459
2357,234,3684,11668,6964,-1153,4547,-7713,-0.3830854733931607,0.9893412978791617,0.4358231042491704
2358,238,-5872,11000,7776,-1030,4108,-6462,2.8777036047253044,-1.1102722085080476,-2.150201019857454
2359,241,-2932,11824,8588,-1014,1156,-5491,0.6844035263273474,1.1068705253981983,0.07053849766604747
2360,245,1972,11300,6872,-998,265,-5702,-3.009307186237722,-1.4031123700202988,-2.1299970242760287
2361,249,-372,12000,7564,-1039,988,-5910,1.4260790651821482,1.2789781255286583,-0.9014492224019047
2362,258,-2108,11796,8308,-879,2568,-6299,-0.2491627948400113,-1.3522661423519924,1.019724732867485
2363,261,-2044,12732,7940,-838,1385,-5690,2.294302958255924,1.0905083904720143,-1.4710887497929654
2364,264,3496,11052,7456,-691,458,-5757,0.14530942013543446,-1.046746982284182,1.0556441161587158
2365,268,-2272,12152,9520,-689,1081,-4681,2.346677721671612,0.7286979705632157,-1.8372655693921536
2366,271,2412,12016,7180,-640,540,-4852,0.28871197424832207,-0.6837150281590615,0.8702815607583694
2367,274,-1900,11928,9416,-421,99,-3561,2.728885594391258,0.3365804838642123,-2.132958403325001
