,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
3663,2,1588,13540,6140,-145,380,-147,2.3936629532513405,-0.22493493259064828,2.9317930374884535
3664,5,1392,13420,6000,-145,259,-149,1.8560121064915795,0.7998678196090813,2.8989125315067006
3665,8,1108,13528,5884,-185,323,-76,-1.1457081163881042,1.1696988119455063,-0.9612634139002119
3666,11,1156,13564,5904,-221,229,-61,-1.8204363025632635,0.3721852500957215,-1.1504723334861193
3667,20,1176,13464,5840,-296,102,48,-2.8483017243645716,0.014500694904827983,-1.2746091573098937
3668,23,1136,13532,5932,-342,79,99,2.2197719343371363,-0.20853812547261225,-1.6153495567772642
3669,27,1120,13508,5908,-362,77,138,0.9466065894105279,0.03234183527582542,-2.04822041958929
3670,30,1172,13460,6120,-370,107,191,-0.3659941231075671,0.6844629860293431,-1.893121229484916
3671,34,1184,13464,6060,-371,150,223,-2.146881685541721,0.4424450079707307,-0.9704479023240895
3672,37,1400,13436,6040,-400,151,241,2.8132872022571047,-0.36422551277475496,-1.1525162437275887
3673,40,1392,13384,6144,-377,195,268,1.2487022833388435,-0.1854150895151804,-2.1393741080011557
3674,43,1316,13452,6108,-377,198,276,-0.02925208600247967,0.7968207289038521,-2.1250626061899545
3675,46,1408,13520,6132,-372,187,284,-2.238104995899658,0.6208057996081147,-0.7937789900671567
3676,49,1416,13436,6268,-370,200,309,2.8248276864588955,-0.4010563796237053,-1.0770984161906172
3677,53,1468,13468,6316,-355,160,319,1.15544796446004,-0.3456434456039493,-2.202873885782461
3678,56,1572,13480,6108,-310,153,280,0.08040442465971052,0.6294537999015162,-2.3132209911535675
3679,59,1624,13384,6240,-305,149,312,-2.0575669014613447,0.8109789878772578,-0.86531839310897
3680,62,1740,13484,6148,-290,155,273,-3.107432103914472,-0.17005426140716745,-0.8240439175576612
3681,65,1452,13508,6104,-323,149,259,1.7152078253416678,-0.5111959278563099,-1.7383285866095752
3682,75,1504,13520,6088,-317,136,242,0.5240066637201298,0.21451197967186775,-2.2251986521626765
3683,78,1384,13484,6168,-318,90,257,-0.8969963655860688,0.9683865139797737,-1.7223601467493996
3684,81,1272,13392,6132,-305,69,272,-2.737970713823923,0.4938828750049915,-0.6663557075452535
3685,85,1236,13456,6188,-316,13,306,2.4403253872490325,-0.4337572879449415,-0.8399586969870226
3686,88,1380,13456,5972,-324,-14,313,0.7694587389216289,-0.5172796503693584,-1.9224837739255851
3687,91,1488,13516,6096,-316,-33,309,-0.3599967074334323,0.39690424082426123,-2.2041043583012248
3688,94,1388,13460,6352,-317,-116,320,-2.336695879701013,1.045122811023733,-1.035184036686563
3689,97,1384,13492,6032,-288,-110,335,2.6002263477249197,0.04199316290006098,-0.506820443218533
3690,101,1316,13580,6076,-302,-123,348,1.1935655303879342,-0.7003078378753168,-1.4151434250697563
3691,104,1396,13556,6124,-291,-127,358,-0.14839931751656182,0.10208423288005132,-2.3064972932579293
3692,107,1584,13568,5956,-308,-121,359,-1.7357035225002584,1.0828928415056505,-1.5403643447284856
3693,111,1516,13456,6180,-300,-146,352,2.694702378209341,0.24108357099239128,-0.43458157111385876
3694,115,1628,13460,6232,-293,-92,352,1.499050236923594,-0.5812638818663749,-1.210823164360831
3695,118,1676,13408,6212,-256,-24,346,0.31052441249176355,0.08114403096772181,-2.1267964644635096
3696,121,1532,13412,6188,-250,-71,331,-0.5075108015880296,1.1492999871457852,-2.267091314239964
3697,124,1584,13428,6140,-260,-30,315,3.038035060583313,0.782965131553237,-0.3039841340720232
3698,147,1656,13560,6012,-383,-366,368,1.7430156680245945,-0.5814743570551633,-0.26395757990697366
3699,150,1560,13392,5972,-412,-304,362,-0.3288110206571936,-0.3302676798996248,-1.65720259486487
3700,154,1812,13476,5976,-425,-236,324,-1.8044290740089806,0.6684106041916849,-1.2115813976119054
3701,158,1720,13456,6096,-407,-192,283,2.729208152771634,0.15685527501562635,-0.2982721120918582
3702,161,1796,13444,6164,-393,-175,268,1.2846388218053593,-0.6423141129902505,-0.7868312593622243
3703,164,1784,13376,6180,-375,6,263,-0.12205497024747805,0.035001566618351465,-1.2135998047353267
3704,167,1620,13480,6096,-368,80,232,-1.5079373019966995,0.3498864120134636,-0.526562701704165
3705,171,1508,13492,6060,-395,-67,253,-2.9683193772621324,0.02989921164153044,0.1903229559786128
3706,174,1412,13464,5892,-389,-65,241,1.944706764344082,-0.6917112236151638,0.0014395917889418685
3707,177,1480,13508,5980,-437,-41,277,0.08210658526005135,-0.3539836485190311,-0.8366567812480793
3708,180,1492,13456,6040,-450,-76,271,-1.3618231059251478,0.3789904178157555,-0.5629618807536693
3709,183,1540,13512,6192,-477,-120,266,-3.0997231594580597,0.18307629602472045,0.2376067942278839
3710,187,1652,13436,6144,-429,-70,264,1.7238077171251944,-0.5306074165440162,-0.08397587420959465
3711,190,1612,13532,6340,-412,-18,260,0.14177246334244584,-0.10645784616324223,-0.7507615971617765
3712,193,1540,13344,6368,-421,24,244,-1.3132409690393874,0.44941484984439856,-0.30218632141586654
3713,203,1500,13440,6036,-390,122,272,-2.6872039336768654,-0.22288428589909481,0.2634424369340412
3714,206,1412,13524,6024,-389,103,279,1.896745959978862,-0.8897734669761371,-0.42434262860106553
3715,209,1412,13444,6140,-418,56,285,0.09805111472652153,-0.2839966006736682,-1.1344846414273992
3716,213,1440,13428,6176,-369,47,292,-1.1864820967919802,0.3988701893360109,-0.576576433340356
3717,216,1512,13320,6012,-394,-26,315,-2.738981897348834,0.10015143752690667,0.31738349993379716
3718,219,1552,13456,5976,-385,-79,319,2.249130528195022,-0.8499144093446706,0.31521308285627186
3719,222,1316,13400,6080,-401,-143,328,-0.19136652520226596,-0.6810192369197676,-1.1367053783832308
3720,226,1404,13528,6052,-455,-234,330,-1.5906940161833936,0.3508699461239132,-0.8582375136580878
3721,229,1520,13424,6024,-439,-352,371,2.910149554178927,0.11898442620522329,0.465367731848944
3722,232,1640,13396,6216,-414,-318,346,1.3405234159697488,-1.0921515602780543,0.10813447706789114
3723,235,1696,13380,6316,-373,-288,360,-0.8269032657554066,-0.18925707300112427,-1.1538633205051763
3724,240,1700,13328,6384,-357,-263,333,-2.2808557859837975,0.6288468973606716,-0.23045500417074075
3725,243,1828,13464,6356,-315,-198,297,2.6940286804346365,-0.1646431225798349,0.5381780239899288
3726,246,1776,13460,6312,-317,-146,290,1.1205924463438197,-0.9248153775257223,-0.2555459214531623
3727,255,1708,13464,6108,-285,-103,278,-0.33688437007304795,-0.197606118781484,-0.9962710110689459
3728,258,1712,13436,6120,-274,-19,269,-1.3952301392802282,0.4287109324445293,-0.38150829481560233
3729,261,1608,13452,6384,-280,-46,284,-2.6716459349281294,0.13397707877067733,0.5299029611169093
3730,265,1600,13536,6260,-242,-14,264,2.7517613345128638,-0.7392768992035939,0.6127752178567716
3731,268,1520,13364,6208,-231,49,261,0.9198321831118222,-0.8253565071895792,-0.6806294145496855
3732,271,1540,13480,6180,-211,11,237,-0.026613830069190384,-0.07241431319638415,-1.0201746120657573
3733,274,1396,13384,6036,-226,13,280,-1.041722166907799,0.720873410595654,-0.4953023075288531
3734,277,1452,13428,6120,-212,-16,310,-2.6017261879176936,0.4815055435881201,0.7466083965573459
3735,282,1472,13380,5976,-213,-72,300,2.8887529317027045,-0.4761099722615072,1.1097931575591158
3736,285,1228,13532,6064,-213,-119,325,0.660589486291407,-1.3030251488424591,-0.48978507667186644
3737,288,1328,13424,6000,-249,-159,377,-0.6974590771645478,-0.10629388322689057,-1.0652970313433738
3738,291,1372,13484,6144,-234,-186,393,-1.9991884386159178,0.8022860512947849,0.009139724642236783
3739,295,1076,13440,6056,-223,-212,426,2.9783634261438228,-0.14250747043582424,1.1959467858926969
3740,298,1016,13396,6152,-262,-354,487,-1.0515532563479906,-1.3784410199623343,-1.8935668337403007
3741,301,912,13464,6136,-261,-423,554,-1.2744423394610533,0.31240363527105025,-0.9878815094329935
3742,310,840,13480,6096,-281,-879,801,2.729104874960705,0.2544785641017304,1.4301017900694102
3743,313,924,13368,6136,-267,-998,877,-1.240512081672552,-1.0705828458125368,-1.6426487565952035
3744,316,776,13384,5936,-265,-1092,971,-2.0961326612664,1.0198819322968822,-0.13928095273631227
3745,320,976,13436,6220,-268,-1160,1038,2.629848045921991,-0.7807811078168325,1.8741157161954534
3746,324,1200,13300,6144,-291,-1283,1118,-1.2453471209582596,0.12266527112910823,-1.1595411984987865
3747,327,1488,13404,6000,-292,-1303,1154,2.735146536100595,0.27138938029979215,1.4580386563156826
3748,331,1528,13456,6076,-325,-1285,1165,-1.1744931406133983,-0.9324489652028662,-1.5378205655160333
3749,334,1732,13420,6152,-309,-1311,1159,-2.5696005466369716,1.056923798182724,0.35153543617572375
3750,337,2224,13356,6344,-290,-1141,1134,2.704515403483522,-1.069214891634284,1.9290102076846463
3751,341,2532,13364,6512,-235,-1011,1048,-1.145784174433525,0.33395767704105667,-1.1424534012859746
3752,344,2740,13352,6596,-187,-772,936,2.888097626920444,0.2729738795344497,1.4049910954934015
3753,347,2828,13380,6652,-114,-418,827,-0.6680505550417237,-1.2994972644364609,-1.7188895957059742
3754,350,2720,13400,6500,-40,-219,717,-0.5139115582201288,0.6075153153301173,-1.2044892130240963
3755,354,2680,13464,6444,-33,28,631,-2.5583536987192463,0.5635832526421025,1.1960731899500463
3756,357,2736,13332,6344,8,273,531,-2.3910277562209026,-1.148161795535241,1.5016461498260782
3757,365,2264,13484,5864,-16,482,283,1.1427120113633793,-0.3097524982399612,-1.303167161038492
3758,370,2028,13524,5768,-51,407,231,0.9209273598746149,1.16886956654941,-1.2657008384697628
3759,373,1936,13500,5704,-105,407,178,-1.988355580021646,0.5197418746539652,1.3720247064867537
3760,376,1988,13460,5568,-197,399,151,-2.786175677813047,-0.7041612861984019,0.8253393039817197
3761,379,1892,13468,5688,-217,421,129,1.7677969496207813,-0.3371204342769502,-0.7279803413920946
3762,382,1696,13544,5756,-294,309,100,0.7167783128865464,0.6704511746982049,-0.7104577912317587
3763,386,1768,13428,5764,-344,177,112,-1.122453617862162,0.9195595583813642,0.17896788881399855
3764,389,1732,13412,5688,-376,114,106,-2.5787000924018866,0.48640549940694744,0.4630934309809799
3765,392,1696,13496,5796,-416,13,101,2.3609272707434243,0.18729288020587634,0.38715783211586885
3766,395,1624,13476,5688,-483,-74,97,0.8638183635857137,-0.033800934313867013,0.12156116344900962
3767,398,1424,13572,5692,-516,-235,146,-0.6220222460476398,0.28692157323039236,-0.5425811099180772
3768,402,1476,13568,5916,-562,-353,189,-2.8254078622850805,1.1121134667430033,0.20589815903708475
3769,405,1508,13496,5912,-610,-439,223,1.3970851990086035,0.06044008618200743,0.6869335782931665
3770,408,1596,13476,5988,-619,-456,203,-0.3642705478360568,-0.05831674659766101,-0.4217486134588233
3771,412,1736,13452,6060,-643,-414,217,-2.288528879323809,0.954403251569291,-0.1631550992176356
3772,421,1908,13440,6284,-554,-290,224,1.9022336166671263,0.23760936181322836,0.5487368450439051
3773,425,1732,13440,6128,-557,-251,188,0.28651713373335325,-0.12022081685657023,-0.15808235440383328
3774,428,1488,13528,6192,-555,-265,215,-1.2603754989126115,0.6693361210039099,-0.4956040919843093
3775,431,1232,13384,6240,-523,-315,276,2.569760333425682,0.5883015825619536,0.8253295548877478
3776,434,1404,13408,6328,-535,-395,309,0.9760803714362131,-0.5033994014013579,0.3187372418526062
3777,438,1616,13368,6252,-466,-430,326,-0.689329703120826,0.22472102743676972,-0.8315627872090012
3778,441,1816,13364,6360,-463,-461,309,2.9249180158989523,1.1376836175194274,0.7110397873365221
3779,444,1892,13424,6400,-402,-401,289,1.5536656676170224,-0.162504556912574,0.7710975640467566
3780,447,1924,13364,6416,-373,-366,287,-0.0491525408442384,-0.2905076733794464,-0.5327761996869038
3781,452,1768,13456,6272,-342,-389,293,-1.0024060764600935,0.9742131292910675,-1.0524211969710897
