accX,accY,accZ,gyrX,gyrY,gyrZ
3808.1457687484312,13807.34474112077,8148.57951157075,-1193.3629405591223,136.88291076255916,-416.433699419433
2676.7712411387856,13235.479272258994,8023.779134239666,-598.364541841207,-272.902248006167,691.8503573598457
2527.5053749639264,12952.160305041987,9350.263249017251,-713.9164073523377,387.32807498435915,930.5439340038431
3577.716717521327,14685.685887959613,9125.832940866469,-401.74587979762856,138.03810617141608,311.25554743501124
2621.502140593555,16109.386122802358,9516.415145890234,-164.520510938764,-232.52314430714722,446.17582273509896
2322.2857448399295,12612.951184479478,9785.449096882367,-119.52906742047641,-344.7420323009044,55.04420224400159
4274.229284125331,10924.07686926956,5676.205154304946,1079.483832294843,-4893.983211953496,3925.731739725776
2739.8969950359583,11740.473020226465,8137.400644709189,1365.8107874822294,-3474.0344190042138,6624.913255781727
1297.0535354395968,13046.66209319248,7791.739450668564,3351.001328263199,-3403.523062945093,6456.0825028630825
3997.0957612437633,12463.013596320707,6142.16195631078,3418.9466449888105,-3678.384435983748,6634.766886132612
2697.7951636135112,7618.37438534771,9211.044846037883,4100.025213890346,-4684.973928867729,4166.082920598116
5779.96434035089,12094.732309952806,7239.59011253617,3239.0927357158016,-4636.973601751455,4358.549064498696
2066.195706598542,9630.96179539082,5598.174342294721,2847.723726752424,-2540.034701412539,4813.769886696305
6877.137515326398,13689.167505406223,9033.585614429343,1216.780844909277,-2664.720444503917,3609.787253752235
7998.0168275044125,11651.806333462244,6822.140910442435,2142.736089616101,-1424.0247893385285,3222.5560713510304
4627.186168301764,10019.325623670058,4561.109784371491,-191.3593772632004,448.7032247245836,375.13985234053337
3845.100901719078,12546.508956167721,5364.193802183297,-592.9722928106884,-695.0035185676672,3.811284793774064
6236.7045476105295,12206.485312988443,7625.397945506578,-713.7614143342134,100.874623166579,267.24222354007054
4617.945343115474,10666.061643879657,5090.1238954253395,-945.8282413558122,92.8952945215303,-46.436490480606736
5377.834763136455,14981.818096218754,2832.594204120611,-2715.442030594153,-2260.8125270321307,95.81018501694837
5578.58832544827,17052.89362835484,3086.6151687948814,-18815.931357803776,-1005.6088185686115,-2889.9556275375985
4645.568657216196,3739.121195343598,11239.277419283853,-8031.917545479672,1589.6390943017811,-1749.8330856418784
6484.533561826928,4497.308287968986,10522.981599391125,-5667.653268457474,1948.253783576234,-4451.416799714081
7851.93746762823,6075.027859081298,8256.574412936396,-1140.815865343609,6748.714982042442,-5212.23851206968
5543.81995313602,9926.449198639417,7947.271317701894,2600.574913692711,8960.853258957697,-7108.838769233956
3213.3542834726595,10585.362563781382,7667.201008248761,2636.897335122104,8676.591161102839,-6020.320135940623
1214.4219016810434,8382.478406659802,8695.399055193138,1628.1472228272953,3039.35549808507,-4129.676911924629
2747.831414278115,10516.318910952377,6553.744782296092,2955.2702742254605,3387.4546314428326,-1560.453245706023
4304.465315341731,13061.16865653736,11162.195713170879,747.0851217213535,3216.5021126421775,-1161.8105678291918
3385.175612783492,10621.526302747074,8440.35235933102,422.3187693101418,3950.039499659639,-2416.128642303342
1848.9090376128634,11047.12482295088,10099.757046994973,852.1712161522285,4080.2665482939356,-1916.8945833863986
1284.788649781447,14634.111427409227,7223.701520288761,855.4789774287904,803.4321241968463,-306.4134580200304
-205.93154286582265,12285.179755462656,8679.116554282873,-112.2118280549818,4913.744304136636,-5543.05331172982
319.7309769702479,15342.715536565323,9370.159481476163,-51.62383710447719,197.59889051997723,-3555.975272581785
1543.9541824500016,14832.142252084574,8793.372559484564,1783.8263274627925,-2911.3887792356413,-2744.216631196916
953.8504820097155,6196.573318250118,8978.623515211746,2376.3420597997406,-7553.848355701365,-60.015068554874915
3501.306904671625,7749.230724418809,7448.90285637914,3569.000911308768,-7500.679083859704,2921.6107323741776
1339.2634670343987,12187.1471249911,6823.643793752726,3043.828551047327,-6458.265243965978,5479.454272204831
2289.659113754723,8105.704098263312,8245.326005549541,4375.6014424785035,-5863.497730151215,8164.544561372528
9037.7807695431,14717.1497695485,6468.741949791831,2813.5036781983704,-975.1159476442732,7480.172615519148
-35.88432639277602,10207.074671756714,4784.417515942746,-733.3072787543396,1837.909118180029,3438.2223011978103
2882.13149436445,16266.977465620506,7731.623565922727,-1877.2325869016456,2713.6988778488103,1252.4040584908216
3510.501959171395,12418.390125917778,7999.861175618794,-1770.729827527689,820.9221395686804,407.896406347522
1205.1665382852393,9850.732797062938,3766.117126793506,-470.78342030271426,631.041772831696,215.07272040977313
5685.418628202753,11360.100383679044,6464.8431997145935,85.81345848536546,40.899115858764596,345.21066605498095
2050.633867567005,10276.08111778269,6466.634173991393,-106.00051829235485,-635.336278361527,-423.42999839642255
3342.2809196559897,14662.395011024077,7534.68182675148,1190.5508473912819,-1775.2453187974604,-421.143232731235
2744.8929030141635,10254.90936465616,6747.926576660987,652.0919893830614,-1504.5145908723239,-438.8843697918544
4584.631118750665,12776.235417012116,5732.5245298129275,1320.5354390173447,-1852.071473731251,-24.335826558983072
3271.8967705912924,8021.519261846229,6355.933272827118,815.6711669801211,-2414.7311663025366,1136.7965877820927
3152.9209542552485,11365.486068657225,7188.954953999742,3463.2058715347644,-1324.510793983436,2960.818820625984
6716.375132659177,8832.973982613235,4570.0954587282,3634.3380773118806,-1264.4443962576029,2691.5794815704353
6176.152114905559,12764.478617422525,7179.160652528165,1790.6435194136902,-1239.2614332542448,2371.8442117309764
4673.632997880138,11429.187927259329,6193.054151399447,1325.1167893662673,-1079.9407256815261,4496.179359033503
4380.561316781951,13673.603458585736,7351.445969230887,2759.4204772723715,213.2366483091546,5394.425564887063
5069.69442131815,9632.724036007114,6446.449832969413,-371.40054655429446,-3.461561856948151,2917.549189413214
8191.095782714474,11725.72562589802,5815.046196101396,-1805.068297187654,1200.5705285935753,1910.0391816645913
5943.245323711572,12724.69985035683,8283.577038805828,-1468.074379622683,958.3636745908149,-512.023518214393
4590.174722044974,15593.122882421036,8033.154370236924,-1223.1459725803024,-208.08977928471953,498.8757621026973
3986.480481027817,15494.630547748435,8940.650722080894,-1600.4182875386946,2089.2475803649636,-577.5213054001783
5555.277647980579,10435.772786521118,8468.440185332407,-877.7785991032949,-1058.0149337106798,695.8708713773333
4391.729782934668,11518.209601182367,9470.082064680533,-719.6521341535989,261.09590804728316,-192.2134858845252
5871.710343845954,9691.68838074069,4811.84547827205,-55.60661973165362,13.643608639589758,571.2120032142645
2891.2508093636966,13629.390247101774,5659.201486195077,-509.8387018676674,-69.23089811173415,780.3527185927885
3492.890292606262,12826.746078229049,8711.287885743008,776.0457726230158,858.8621547598317,-343.4966828678023
5443.51766380518,15890.739532512542,8435.273515384995,112.02567196626879,594.7845922561968,17.819751994563035
5879.562116019655,8566.623899062837,6080.76985370843,469.37288619340165,479.87747246414165,314.26082386800243
6912.714793459985,10738.6851934726,3990.972235365339,362.55712189297645,560.3157062783957,273.0722780613389
5118.874688094096,12653.669876136897,7775.252269957254,-963.7745234099893,1407.129425059355,-836.7463605675786
4082.2311416196126,10525.54342348939,5725.230655481037,-124.86826633824154,1118.2524347962312,-238.71123774027072
6260.560068846195,11443.392109668812,10178.407119087819,-979.4079270040032,722.9395246375238,-462.34959908399367
5280.069162787021,12003.864303897239,6655.84503221065,-78.14527984491212,540.1759132618685,-413.1440049640609
4145.161943445479,9863.778770171251,7475.428208500887,-1012.1078012285243,1733.2920868083306,151.33938813923797
4267.1858262209325,7277.342666656827,6633.6965513960195,-40.5278389852417,961.9203953564157,-207.28083779947468
4213.691224720326,12481.911994188778,9494.6141810923,-467.66741131269066,319.28453745971404,-246.4796532660031
4595.265185467693,12848.426354115072,6784.7916666814135,-777.8437657946915,-33.73528305180554,-264.6725137280714
4130.73193221401,12100.754283303762,7258.1661638099495,-181.65509342385837,-56.15804496835434,120.47016746698503
3837.844939923436,10504.414375157447,6599.7794775414495,-571.6918616569496,350.1199925943651,330.57949954406524
3262.441958302004,12680.560455817875,7272.051649931188,-648.9607976141854,87.82648156277514,268.6496140319871
5516.487766443,5905.813889891536,5022.401600051967,239.6988429321044,636.2947213901014,-26.401805355324782
5088.810446940329,15702.21679030963,4669.058304496276,-677.710326113451,404.38111994099484,30.90357961510011
3020.179819223894,6987.124785281054,5242.973042345304,-402.271639740212,708.0315740234532,667.5478432807395
5626.631714337688,12469.508756283645,4916.309112489789,-323.7560667738654,569.4117429197836,88.38037834823695
5073.844839725525,14621.628410027271,7215.124027065756,-35.43062045750219,16.731130814344738,280.69275085311506
6567.557319808466,11352.285430456708,9794.707977639655,-770.256357871505,-68.6539000251509,-238.66730045392046
2872.97144531234,14520.956853683361,9160.32970785115,-1050.568417977407,409.8830414596507,26.622955039849145
4284.046206690324,11518.460928837045,6331.327148350765,-659.1987302513702,-133.67999370993851,153.34915952364923
3838.0378990934123,12040.96948615747,6983.829504069163,-295.9263840623502,271.19440769295886,136.27400348202644
5234.9399391194775,11564.37021551804,6935.657240487499,-651.2863905564952,266.5872905872983,311.76227601480156
6858.581605453875,11099.970494311445,9507.193162531821,-423.51437348116826,500.2872372107867,-389.8801584516701
5373.425046484475,12336.121961272549,6798.7273878511305,-858.0302708556494,18.42752102342243,20.033671117706987
4278.426372458057,13322.063194878136,7798.590706503927,-113.96043745041777,411.5177139159005,-207.1265255612803
5325.3523450452785,11198.290541226212,7616.191357849844,42.915299113168544,-74.89348385559303,-336.1543270973246
5500.951377272828,12027.46607432608,5387.60173717296,-809.6326827910267,594.3769992649327,-145.53006455860103
