accX,accY,accZ,gyrX,gyrY,gyrZ
2118.151412139597,11896.01591793314,8384.62060032016,-272.39402483793003,40.817353633828326,175.73807958005088
2234.5564644401265,11833.167623170784,8312.521639786095,-252.08571506513167,34.15408579474313,147.5689026228643
2230.292335359978,11861.463548322523,8201.602908846264,-249.22429182876388,-80.66628367726445,136.09754792174834
2119.5448919194705,11831.000786764185,8255.557728982742,-231.4274601684599,-139.50510929036065,131.69466715369654
2192.1630373123076,11820.070235736735,8359.244290592691,-202.78500727778447,-176.1862526420071,125.44478584032647
2167.6649913123833,11815.050456481142,8147.165363805353,-216.19263740793895,-209.08557598858403,141.33989902050737
2168.929426869195,11877.486356684314,8160.668850111847,-217.0023522461308,-203.68935688582766,128.05516574906468
2107.238891091886,11770.786668251743,8196.232610761352,-216.02297545495676,-248.25191322165958,144.8033168033105
2003.5996567541329,11878.840601087819,8112.0259913428745,-221.73337713982355,-254.89614888186802,174.16160180730597
2038.6167464360892,11910.849997739879,8103.133591745736,-251.3192456334641,-289.1909479706261,195.95358988052214
2353.2854946248212,11863.237073133318,8252.369307439834,-235.01105749520246,-178.94857314165787,213.77051066724627
2273.2839237113594,11832.435968442252,8021.803882299432,-260.80530432233314,-111.35297120079733,194.163229768741
2280.9066719902876,11713.24348984343,8070.399499014356,-293.0874552901943,-103.6447812539117,194.31009698364323
2372.5739155313167,11785.644439968773,8081.833617174127,-287.33884540025116,-102.23120374776447,167.65321237339595
2438.3050329836196,11846.693432739603,8214.73512524096,-299.48202754331777,3.6098653969212458,128.30545307283364
2315.481492295301,11853.586307198244,8154.884297557599,-299.75162661210396,8.975697661829695,103.84632388191125
2098.1808005187145,11810.50436634245,8179.830482663308,-287.37715384374906,-62.33789264605074,94.5780444301392
2079.227847628677,11942.780307463874,8389.144483260845,-282.21606804571144,-100.71705351347502,104.6572683839555
2255.658746095814,11849.784140413904,8200.314640397706,-277.1014424961654,-137.70820688439088,124.30386358905393
2241.489379366577,11919.119694683752,8191.194542605934,-276.9990262910294,-120.69550853228922,94.63111522449027
2205.3922568619705,11940.632777695584,8043.661902381454,-261.46842482341384,-93.70947434492945,87.79634047422034
2111.7844596612163,11895.022587379222,8187.943825725851,-292.0164374929354,-106.30563084207144,109.42070723637642
2235.873021198648,11887.812593291075,8052.770610407321,-309.50917819575324,-50.22855800132887,144.78777831854183
2289.867943814069,11880.571978042886,7930.4418714080675,-370.3276708532646,-23.189170732987712,136.95022310590102
2417.810327084757,11884.515629899932,7962.634661961198,-414.45770519038246,139.8574115986985,110.71728614433297
2349.0989191569943,11912.56881573045,8173.547703771297,-435.05734881621987,389.59869411694274,106.68659226563227
3197.3531093324477,11882.671833762914,7815.586283107291,-490.2109590848849,1022.0021093817587,37.04021895772486
2858.3770142846843,11653.240203081603,7998.513825964787,-537.5716453393377,1198.9380448824063,-119.68843520662469
