accX,accY,accZ,gyrX,gyrY,gyrZ
1684.3326011418667,12354.95253525534,7789.185592247022,-189.45531905586316,171.5058596894026,-59.141420332223426
1475.6997869877996,12394.48332156948,7815.752190312676,-165.5517571330648,98.44184797121208,-42.49154522869519
1621.7050101854802,12371.310137975079,7709.65858901339,-195.17645757267306,74.82072550433361,-27.80963311594828
1717.6598985666005,12346.153924225011,7791.567186241376,-166.06990446652145,170.64393903057177,-42.78337990067796
1732.1827802938149,12259.144477843574,7603.58498169788,-156.55550592997702,218.7600505508258,-75.11294989009933
1825.6899267586214,12396.393794617561,7606.643106219595,-163.75793360022138,326.75488463786036,-121.27865415842561
1655.7281176309293,12336.189912796206,7657.776030473739,-177.87081536685392,451.48636388057315,-120.3842731423761
1429.6079701618003,12363.974988467626,7511.312926069119,-182.51986743876114,461.0092658096279,-98.99550038667488
1549.1635698053683,12459.719087789974,7534.87909794068,-202.0715221079063,442.6567450564186,-83.37818706692069
1669.076970780631,12419.878365617153,7562.131640816743,-248.71401295102984,500.44056268149143,-94.77515694715
1447.9025373435784,12369.654711599991,7541.815745053738,-238.27626466883436,511.90168325806275,-103.06516396665867
1360.3200614134448,12343.772924482308,7443.000032262479,-291.91082236791146,378.1604201591094,-90.36893813080594
1417.469081464979,12365.100908533477,7586.174622615149,-310.4761696475615,376.3822563162292,-57.78575164518662
1467.3506687807308,12339.236646725829,7884.4467797873585,-259.58417155803687,146.09605033436117,-34.86336934913593
1434.7674984936523,12296.881070102998,7840.002295933816,-240.10409116824948,174.45663358811782,4.270781015668704
1482.331678948989,12167.332146569805,7760.608602377436,-198.24443130567025,174.2556300428596,12.697844117000942
1561.4296001230066,12329.057248830464,7907.696484801908,-161.0573793533963,214.6474489339302,-1.8081260810587714
1471.9533458157719,12375.180990036592,7771.642497479709,-133.29131485307428,238.74941967868622,5.916978367936364
1476.7191104234414,12243.841350632274,7659.896270957346,-138.66206166777522,267.8983236705701,-6.76832889794511
1478.037443392813,12306.683467189998,7708.2259488761565,-124.19973586143898,258.34239195310664,2.451730442900801
1740.560155524176,12357.092606439164,7676.247393944749,-149.2465890358016,323.5874036216401,-11.95662587255606
1676.669210676201,12354.855999486554,7661.212430820179,-149.9660260333332,408.213309388587,-26.14608936255352
1486.7485688509207,12284.707703051059,7661.134651534399,-142.4335144297797,429.3881057398934,-41.68448735651565
1503.6094687308687,12335.854505918365,7475.638137067292,-193.7136439226844,325.4920723968496,-54.581042537689854
1374.0133681114726,12398.593908000686,7426.3976580675335,-219.71712422123903,333.16396624843844,-35.675268094503416
1380.4939401026536,12341.504362562413,7542.851610238817,-247.36422245074274,333.27958149963683,-28.52965880035308
1525.902558242836,12373.476394440573,7631.401041332866,-263.40268988770976,262.58843849019956,-47.51149586815905
1540.3247342165373,12343.93080819127,7729.834879169872,-251.5851525390975,282.660162785217,-24.2933802331523
1106.9299128633368,12236.716651262546,7437.122650256501,-242.9021105796179,209.20215591154374,-40.30230237932494
1545.5560108184134,12360.691188503526,7848.2727151762565,-241.17644226533668,81.99928964807388,-54.917226893511994
1867.9153659265867,12316.300336803566,7850.0406440489105,-206.38057078319545,379.0109706739596,-77.87423951159819
1594.8488098367366,12276.663657629237,7865.696022074032,-166.0161615096009,494.08972632262,-144.76625124290888
1442.0821756693676,12326.273767896371,7814.728271193042,-144.05683406618246,568.412969601502,-149.35320693125763
1185.2808223650493,12403.656335102507,7579.588409946702,-175.74083609662566,626.8678726520446,-128.41339047296054
1049.4502653257491,12385.279981283127,7564.996280911873,-193.7863120526846,597.348011002148,-59.11542038759327
1183.7838448011912,12307.420594710578,7603.727535905511,-212.13808061152,531.7200540492923,2.022601100648985
1267.563562172128,12333.566586611647,7683.644717333405,-207.12930389047213,524.2340414259736,24.02244503049807
1426.1248651526587,12345.284071349733,7714.8473454962095,-198.37644725984862,591.4669248658956,22.52014286390747
1635.434999734894,12365.859353810809,7721.531502352011,-198.6932259209157,615.8016517969008,-4.106223574452405
1370.8092755094824,12406.08802387115,7711.944257282211,-193.031055943627,497.60255042064625,-29.60263062857973
1450.4581839521636,12421.085703626126,7529.127423909405,-215.66741767191286,344.8626168963075,-58.325188513880605
1535.8119772944892,12257.589993771007,7544.136653840038,-256.7170533459104,327.44389236899764,-72.36691000318149
1699.0191187086596,12300.32797715273,7701.3724095216285,-264.9003195470551,364.80704177051996,-154.46611114221764
1798.216709475072,12362.118085178789,7794.324887533611,-241.95831808955228,482.5749944970325,-248.17485627664155
1250.8796849247926,12330.03945134708,7759.256209273452,-223.7657953653888,479.1062835662783,-276.43981040776293
1200.8795814617015,12348.931164136811,7526.716310468949,-235.51011574659614,410.683227343016,-251.3771525024205
1366.907481513068,12396.971757023779,7597.598902857647,-272.5026252929293,407.70047589074915,-229.58661285652184
1276.1910756514899,12456.73622295304,7669.743515994336,-246.39358443610556,329.4516279219846,-233.2416400755713
1300.675201904931,12337.014299974684,7817.520586182943,-232.7973753126004,262.45825032212525,-237.7153542788403
1196.2950121718704,12327.155165977165,7856.88626308321,-191.63995349607785,259.0529450028621,-225.7761661583948
1280.7346650073787,12234.45140453259,7803.588015548953,-157.60679881315374,265.7856935898867,-196.0832870459466
1261.5442257333452,12260.16037272974,7855.027049780278,-124.05065714813114,138.39563594964466,-196.5219967810379
1552.0030255808615,12383.587643548759,7795.189862597879,-50.6229476967387,307.2746953079603,-170.30252773461285
-2592.817766414471,12247.770673049627,7921.202464502831,-0.13434262245711215,438.83450983995584,882.3853673196814
-14492.237529313452,10428.528018294232,11901.114474034302,902.4663571401492,-1821.2417295132166,7741.146326262009
5133.139576378543,11903.858392031361,7935.88806801754,1096.0675808509275,-6113.735727356172,7964.558200015047
12802.930017882325,12736.637333157027,5886.230519174412,692.3585250751893,-2177.5514233041777,3927.7900815803937
4256.251343828107,12580.920724878293,6874.85443913969,436.2708510822022,1631.342471223021,1168.8719587663986
-152.6835734861141,12742.393605450578,7720.20121868077,504.4294496755718,868.1525317202571,1080.621517562891
-3858.743289957413,12860.269746667112,8264.15669039893,909.6677064674153,-1199.3205401219673,3426.68807250854
-136.66770725243202,12065.813353285897,7697.737231731049,1025.7867065513678,-3221.2994418375447,4429.007102952006
5307.8095686765655,12528.093275244188,6513.789006283512,900.8170399763897,-2073.0532752862596,3512.620679211456
2255.5187562505325,12651.627274554545,6954.607847554104,591.0231288259631,-1334.2410652878102,2442.355953659485
-1295.104742053401,13392.60676050414,7893.737892501546,902.7817754631022,-1508.9964332992595,3006.3768676010836
313.50385224008244,11936.115635720396,7724.772557504939,1127.5028100517625,-2476.5050142655355,3791.487589361163
657.5446199443562,12056.270919490733,6700.436913220888,1201.1030449546215,-3753.8896841626893,4212.359790001673
712.8942346400015,12668.918414171632,8171.140352406326,1558.6682380606821,-2954.577723589751,4810.29626915948
2353.7512667612464,12098.356916074124,7383.158431192793,1764.041303075999,-3440.2908840728805,5334.494064556143
5342.9955591958915,12361.068514930157,6309.079042807273,1623.2111819497652,-3491.9895185577166,4755.062211558449
852.2188117475943,12639.862363353193,9227.737388548041,1924.9904398304875,-2383.644554204533,5725.446921407909
2214.685399769254,12313.872470155733,7363.811332677815,2340.8303432162656,-3604.463265271419,6943.098167455639
4765.527596475729,12111.46273989116,6780.047640867518,2284.404871493915,-3501.165622841813,6672.894732077312
3503.491292610008,11957.198779107643,7898.819191442974,2545.0025776864372,-3090.165217961164,6599.718472157199
5513.6349498263735,12949.973205324304,6757.7693571213795,2466.9610910738193,-2999.6295219750377,6032.593721456843
4190.307756459014,12071.065315547909,8260.87907115653,2458.677537548288,-1962.0619432647318,5761.789104903226
4766.778050155615,12212.949372020386,6245.77201932415,2125.8036731046686,-2050.9239596622565,5106.005559504234
6791.848846037258,12511.75058117976,6229.826867030343,1690.336599542853,-1627.4519135083733,4025.7806189555317
1893.5658566662273,11840.737103373105,7585.546121657455,1499.5598661912893,-759.3825639993943,3976.63934159342
1414.3102000454667,12158.413532552686,6870.5911789334,1622.7190143091575,-1511.3836726540528,4249.581624381104
4931.515460835703,12343.84894032612,6540.975054393044,1622.6807508383113,-1386.554558810528,4256.347957853699
5919.966064861911,12111.028263140732,6522.267349637236,1562.2773889602124,-762.0192204896467,3753.391297907636
3260.2508529322595,11724.570070535694,7731.281680765556,1448.6021491345916,388.0746151932839,3367.964394511491
-260.4400365675248,12053.772232970457,8159.835799773252,1612.6883302570868,175.26189771530142,4348.910583100546
1593.222677451233,12096.771453342088,7367.557426153803,1908.5403639554977,-553.5322233039939,5594.677584658848
2571.4600056179734,11925.641498335008,7172.860841008863,1928.1316170608015,-837.7365359933763,5943.443632368788
3634.084699407617,12320.556280588926,6218.749548134385,1889.1596293444752,-821.763305417526,6127.838625868813
4782.206817288922,11947.411897866912,6169.9135355272665,1865.533320637134,-291.8336582874215,6262.426463907803
6030.322555836555,13158.538295847768,7276.270529200186,1668.6431425383876,59.356403506526796,5533.615479461228
1403.6684610561576,12141.041405135964,6676.554576079824,1451.3908789739864,295.8076124087483,4960.864487355314
3884.707317083126,12976.091893012395,5976.046507556551,1029.9825959003815,-301.52965959869135,3273.5094400726693
2707.7605599919134,12658.525848776379,6329.251070229383,786.2210373577325,376.24208430981884,2400.999652646015
4122.692713840453,13211.582727429923,6154.831242600993,590.6578071882617,228.10463306397315,1522.6805027316896
5201.994116265695,13018.779492552501,6583.834682968464,317.4504283730908,767.8506205955488,386.9709801220512
5245.352900389062,12908.708750881748,6938.357170212787,235.85050822271026,1062.218640916648,-266.1826779784331
4985.984773868858,12735.159788295843,7009.19957424604,21.24182436848681,1733.9208124865147,-1201.2444084996769
3084.2558571187465,12362.849224074811,7480.374587758651,169.94069077682846,1710.827309703225,-932.8387148652258
-4472.965812671956,11003.272654192062,11514.777654367994,1408.1575116509698,1382.8151028715079,2701.5875170108334
5247.006009009183,11702.344193108385,7550.314703594151,1818.0446810207377,-1039.5561747558784,3758.1366324124865
3780.051196995074,12852.32873330607,6631.735930283476,1096.4725944554152,1404.5074044193314,1429.3784741053562
1689.5793642498663,12871.534040726448,5831.292866336841,923.614790865827,-15.759202118833786,1743.8911049586004
6750.82040894602,13546.263925944519,6875.829466653844,643.8818226603717,-188.21486106156075,1134.7036803831963
2115.486924351908,12461.685475555163,6845.368786050011,432.4528465134955,560.5178025993132,609.8444864281994
3406.2966277807227,12734.976460623595,6250.212687616752,700.0205171576458,-1319.432221831323,1167.606455866261
3426.5873271249375,12743.167817391903,6163.308837487533,393.5409651083126,106.38963399855882,370.56460649304245
6004.342911527425,13433.9048881879,5181.175790443982,165.35522793008954,-497.90245389608845,-352.8224846991362
2199.8078472204243,12883.948711376024,5845.204637502667,-98.76066661903718,505.19289093221425,-583.4563465403537
1273.0016497049548,12735.416007051139,6203.496340113452,-219.9761279029278,-376.79217696250646,-182.32961733545002
1546.296019893056,12741.071357691968,6311.548901621267,-296.4881884461509,-834.676770423559,240.68726252234114
2441.950083820234,12662.627903633886,7005.819792083375,-353.235590843156,-1392.0937731824,748.8937805962897
3053.0866915470315,12590.796257965932,6950.0223261365545,-294.30757291670795,-1851.6667578302463,864.3203325352665
3766.4972782226523,12579.259998434654,6967.737961857614,-251.72138815268255,-2208.4990862293416,893.7560909011052
4112.307404561826,12559.266355547486,7137.983958343988,-177.07683305463564,-2227.4074043996175,810.9410537368955
4135.997518424056,12618.442813086718,7306.459651323534,-49.86587600703151,-2288.018908254363,736.4615712245117
4330.795582339088,12573.864074945634,6948.958682315461,27.072582555878885,-2212.3530595649972,648.9765351751905
4489.737544724992,12600.965057474592,6727.130662032096,2.20454314963073,-2034.7069967543403,546.2540272691039
4969.724504255856,12730.830595067398,6875.807747746397,13.599808952895714,-1664.947291892742,442.05942249438453
4696.995198196747,12658.270341299085,6968.411032497926,69.86192011783317,-1339.8179055624007,239.6981436055379
3809.3586867694135,12701.265622839743,6507.646466717955,32.79427999565542,-1225.488009948741,209.06865976651193
4591.09886885319,12718.487516651512,6569.325985292717,-16.03836515428312,-939.9925341739861,147.83862191959471
4800.99824485406,12778.597209796842,6770.010790591833,-20.247408590189433,-464.2412841951731,-10.523757329664148
4640.442607980687,12750.342765617841,6755.244947370681,5.385197100638552,-69.45655051325937,-112.34182675422635
4386.238083239827,12734.606133952424,6609.980620281466,-18.517725355885464,273.65357882546715,-207.70348011583872
3976.588873273304,12790.049465591694,6424.4498451206155,-70.25124550058607,481.5541092021781,-227.73758024934745
3396.3367878121453,12972.007215933703,6163.963237418062,-203.41770872442916,515.5663339214086,-151.17321872534035
3011.0421682994684,12939.94358359349,5985.475282106637,-370.79661748580617,437.1262075190714,-30.888411407777188
2971.4047439745586,13095.713047380566,5390.134065220036,-633.2195082933084,466.36181245380686,132.38357463355092
2959.680859710093,13227.596454810602,5296.046339561759,-1027.3642688153416,744.6475488521132,378.71173737667306
3794.0840533549276,13839.494006097062,5421.874368954122,-1591.670956917892,1033.82884342116,431.8201893977347
7004.829214074844,15471.329456949083,4271.961883614261,-2538.0208716751445,919.7372023765502,-798.4999908251893
15629.931824735682,17660.505602346897,22.968317031731956,-4941.43696142449,1973.112133607061,-6371.586091464501
3405.8463152005465,20809.854281016982,2422.068700351611,-7208.176622258718,4590.742140073991,-9127.249443383878
-6368.087826355272,22203.03273399862,3032.3368333326166,-9531.342378399513,1094.4246202175013,-5530.666248324549
-3582.6867671722935,21609.148152275582,2450.393893313852,-11831.225049425182,-3535.0803556561705,-2021.1669783379177
367.7282845721891,19211.041756303937,2861.721014759828,-13830.269085864305,-5695.104879797454,-406.9527820112961
1580.3702182109225,16777.452096508066,5077.039289154533,-14458.362713554734,-7198.95824737531,779.1869966164221
3322.883288136884,12438.45355460395,4768.266794182549,-15376.459034892425,-6007.029256269265,598.278266835046
3191.581759255175,6565.350308083331,7706.334839583328,-13039.32528030738,-3728.1366587224948,-218.37906073251952
2808.7455139614995,5735.674981090613,9158.674314932392,-11654.334298904556,-3409.208633910653,-620.9949184884307
3416.6024686504247,5684.836977307429,10089.3760470612,-9942.628505754124,-3194.062438733793,-955.3116624326285
4744.1274712444565,6319.7578149207575,10541.600082454492,-8399.049524650618,-2944.2397195896456,-1525.6943125369355
6051.568141990199,6873.9767928991505,11243.844303320615,-7010.431295182231,-2523.940591141251,-2365.0298175431935
6841.6686157930235,7265.16235723561,12121.035314784096,-5576.68836823413,-1509.7133519081333,-3147.9546867676313
6679.367564913949,7170.763758939789,12323.350888703126,-4144.577171123252,-813.0967736578176,-3865.638324052737
6866.855278689298,7417.636763260421,12349.733456642463,-2886.8267704476407,-28.768057504421222,-4590.679409092724
6041.521823398732,7591.514274109377,11617.259246110163,-1308.0863371819837,779.0648764898835,-5735.1826989806505
5173.352031434747,8010.005290036171,10819.346104328788,-290.49025333343087,1066.8717970936993,-6608.816566347674
5079.362639791232,8345.705927647618,10834.480448244149,411.6624054381097,1373.9989987859967,-7148.628847995264
5171.3549726886995,8391.688457821387,10888.323418301015,1211.8453344355594,2058.899540401414,-7525.852732324964
4624.557828567254,8587.538485448931,10552.918179458788,2008.9534985556058,2673.357274436903,-7707.28728068395
4236.554006915044,9251.469300523455,10109.414254826659,2551.192445127977,3016.851374591208,-7654.875513909943
4211.978672672735,10292.14461133812,9733.44454259458,2801.557602367489,3504.6820085669087,-7373.095829760804
3022.8773768163614,11278.90635466097,9504.104716031541,2845.6825718813534,3823.035130993998,-6670.998085760565
1724.4758460481114,11775.862901034556,9309.651060395105,2943.0977970936915,3684.9784760639254,-5585.477028465047
1481.553756735039,12186.787846666743,7976.042507068017,2860.065432872756,3007.974825975215,-4297.111172844361
1658.3934064665134,12481.930412727359,6944.108703473638,2590.553236223832,2440.777992984601,-3486.939287715415
1857.49658427164,12702.606645284579,7185.626081203472,2484.6289843994823,2162.959536312308,-3200.432504238223
2667.7334937160103,12773.01849711725,7362.919749824244,2442.504234098749,2214.696366919263,-3082.640794681617
2713.9392343203763,13007.085611610239,7026.171426341755,2393.025326900117,2168.0291120265656,-3181.1701550670678
2504.473681710038,13288.008826337618,6943.048459300916,2292.3464067563236,2128.2647247299938,-3284.7762799003453
3002.5693247797362,13467.607583075476,6455.919178260095,1981.4643150911888,2303.9539391354774,-3495.7227876125735
3252.793782413485,13640.033685988348,6346.700230927988,1528.0988110243327,2603.537426673803,-3879.7169097737433
2919.5165866185575,13978.85594401421,6350.459192142512,1006.3818640718581,2829.77191764801,-4212.6438753828215
2057.346362157927,13789.042276818287,6666.318324988159,93.349198273356,2491.1166643347283,-3829.7888642090666
1158.5741000482788,13079.118670477746,7005.416186578838,-1169.5401829161392,1666.4906597376232,-2631.9825737346214
1182.7140312740225,12977.163074082435,7172.88393839242,-1337.0009715619942,1249.7300597279548,-2181.3626625413526
1262.205129424859,12829.271347459753,7266.100012790723,-1425.323089968391,828.4727854436092,-1811.234953137393
1774.8251476174466,12712.947417224546,7513.205657156203,-1417.834223815775,453.04028527658033,-1536.8903886476917
2320.444055281085,12478.969058788301,7568.347591330431,-1357.8598802483098,397.4993345498152,-1477.3044990030364
