accX,accY,accZ,gyrX,gyrY,gyrZ
-572.4596552591752,12920.372439669796,6891.3117884134645,-129.60495738425814,-239.56078178900216,93.03701941030751
-576.2339591198976,12925.69968273591,6926.504012065751,-133.09130928456707,-121.155324170253,109.53225526377881
-565.3603287330977,12952.5068221909,6809.969391555296,-128.94441763205438,-17.10236629317476,99.92442608177798
-678.4043174095319,12913.104352970367,6834.155205643148,-161.84277813446238,24.839928222142944,137.52667896526282
-880.7939177302951,12861.743042496872,6724.706202743142,-203.9533885381917,9.001233932883093,146.6950123307162
-737.4910950395648,12898.610808837058,6751.210969409314,-246.23819958718147,41.28794460185947,199.1478865535919
-780.0018499925417,12872.099835652503,6772.596726332199,-281.3813464730463,48.51712160581701,221.65566022449897
-917.204456765234,12868.771466109725,6704.355279768872,-336.10969759537943,-50.48779847484302,259.9487811258256
-725.7962379581617,12857.75515153063,6766.8763698631365,-369.2976669370987,-164.42776918806405,286.4946937782495
-499.945206080346,12831.26453847436,7084.604854542319,-357.0352749257051,-201.63472707468233,288.9675593043484
-377.2949195228529,12808.603890158478,7235.376427606282,-278.1036371134692,-150.229234501175,259.77343208670095
-468.83219189739,12836.619359635015,7205.686503539795,-242.30345170348585,-182.81874580652428,237.63043969829835
-437.54601489126173,12769.088975497767,7125.078652346354,-231.6734209958908,-216.15376098696012,225.6517948543771
-519.5424462929616,12747.290371744099,6972.848098036829,-207.33195278393794,-224.85201018625244,204.51384483951117
-544.3007094243255,12742.179249642772,6986.523128251611,-220.15441949746184,-261.0529807534573,186.4262720048961
-238.1784387907149,12814.661072610526,7082.267508349389,-205.969892228623,-169.89175961011955,149.65691852508792
-321.2315203882242,12895.63577034757,7030.228146943334,-159.81520745147932,-35.77538484453754,106.05096962264147
-535.3941114627797,12865.35782199504,7089.026311488802,-150.3498335988906,70.5481036706826,85.19707895807933
-512.4282101044965,12825.214693016349,6917.217782897396,-175.50411327385058,107.27615889574479,68.0077239113348
-627.0765548497151,12849.295471257672,6829.779353039033,-201.32110278476375,48.39801891131671,66.59998910367783
-578.2770219243749,12931.07418440541,6954.72848432582,-252.36937226885297,36.39332928492255,85.83075004916398
-537.7386725728363,12836.713276026974,6987.324720047385,-271.1046490818603,30.13011885076025,84.2643590649048
-485.9440968070706,12807.932968639108,7072.505852545505,-276.4015313604734,57.01658085718756,65.72547493672549
-532.1612599654121,12874.562210538326,6968.817886728999,-259.05275006218864,83.45822524790566,61.56460857403403
-561.5585431650161,12907.778366915338,7000.606752028496,-254.32875659337085,90.74443274882906,61.640940485748956
-614.6337077866001,12867.682204850158,6985.281637009734,-234.46355909083877,87.20716191894098,61.93681357362414
-587.5544640515296,12832.548798444795,7004.017672386249,-247.7978807121874,115.61095874524588,70.21057664171607
-772.9198390218357,12885.122391748722,6913.9835439382805,-265.2943151069263,19.508298752808308,95.26826133060555
