,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
48,3,7,70.859,-28.178,-2.111,575.56,-72.69,983.22,-13.62,0.91,18.88,-0.71995,-0.15069,0.19196,-0.64971
49,3,26,70.724,-28.944,-1.963,583.68,-18.92,971.44,-3.56,11.12,4.78,-0.71937,-0.15577,0.19608,-0.64792
50,3,16,70.32,-28.917,-1.369,573.91,7.39,987.73,-2.39,13.63,-1.26,-0.72088,-0.15866,0.19311,-0.64643
51,3,15,69.507,-28.404,-0.391,547.3,25.27,1020.81,-1.79,9.73,-11.98,-0.7249,-0.16059,0.18551,-0.64368
52,3,15,68.739,-28.268,0.136,541.5,5.86,988.46,0.01,6.61,-21.6,-0.72867,-0.16193,0.18277,-0.63985
53,3,16,68.039,-28.568,0.312,566.16,-21.91,962.65,3.25,6.07,-30.71,-0.73183,-0.1636,0.18471,-0.63525
54,3,15,67.106,-27.98,-0.01,529.05,-82.89,1009.77,7.13,6.16,-54.97,-0.73838,-0.15679,0.18401,-0.62957
55,3,16,64.751,-27.721,1.959,524.78,39.67,971.98,9.51,2.12,-74.84,-0.74887,-0.16448,0.17491,-0.6177
56,3,15,61.353,-27.561,5.605,515.99,214.05,920.72,-0.63,-2.94,-87.31,-0.7617,-0.18272,0.1596,-0.60079
57,3,15,57.606,-26.887,10.012,441.28,387.76,849.85,-19.62,-12.03,-87.47,-0.77495,-0.20408,0.13854,-0.5819
58,3,16,55.114,-25.918,12.833,356.63,493.47,836.49,-67.95,-30.02,-50.56,-0.78433,-0.21589,0.12213,-0.56859
59,3,15,55.798,-27.851,10.022,445.86,210.57,771.67,-113.62,-59.71,-2.73,-0.78198,-0.20644,0.14848,-0.56907
60,3,16,62.096,-29.958,1.949,573.0,-99.67,975.1,-106.65,-63.93,112.51,-0.75896,-0.17187,0.19368,-0.59743
61,3,16,69.574,-31.745,-6.138,713.44,-309.57,1048.03,-70.56,-57.88,140.53,-0.72702,-0.14318,0.2382,-0.62785
62,3,15,76.649,-32.686,-11.017,570.74,-99.79,849.49,-47.87,-54.18,181.46,-0.69193,-0.13395,0.26267,-0.65901
63,3,15,82.602,-33.3,-13.761,661.07,-65.61,1009.64,-35.36,-54.82,191.7,-0.65957,-0.13556,0.27516,-0.68621
64,3,16,89.206,-32.233,-17.734,628.48,-245.36,1141.48,-23.09,-54.62,202.27,-0.62435,-0.12248,0.28662,-0.71627
65,3,15,97.21,-31.787,-23.696,664.06,-521.0,1067.81,4.15,-50.83,210.0,-0.57942,-0.10906,0.31453,-0.74394
66,3,16,104.116,-29.362,-26.408,542.48,-620.42,1140.2,70.05,-47.28,173.55,-0.53524,-0.09746,0.31656,-0.77705
