,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
1003,40,7,39.689,41.679,12.472,-728.27,150.21,817.5,29.56,-12.78,28.62,-0.84705,0.06849,-0.3615,-0.38358
1004,40,27,40.358,41.557,13.449,-769.59,157.78,839.36,23.96,-1.24,16.32,-0.84565,0.0629,-0.36353,-0.3857
1005,40,15,40.912,41.797,14.205,-806.34,189.88,833.44,18.47,-3.19,15.5,-0.84364,0.06006,-0.36747,-0.38682
1006,40,16,41.208,40.602,14.538,-736.45,214.48,898.68,10.89,-4.43,11.89,-0.84547,0.05368,-0.36007,-0.39071
1007,40,15,41.013,40.097,14.048,-731.75,178.71,871.64,4.91,-3.59,11.67,-0.847,0.05463,-0.35493,-0.39195
1008,40,15,39.929,39.243,11.627,-642.64,40.53,851.5,3.91,-0.9,18.65,-0.85132,0.06585,-0.34114,-0.39311
1009,40,17,41.053,38.162,13.671,-744.87,306.03,1015.01,17.07,1.58,6.05,-0.8508,0.04967,-0.33991,-0.39767
1010,40,15,42.652,38.871,17.67,-975.65,926.7,948.73,-16.08,0.21,-53.69,-0.84519,0.02789,-0.3582,-0.39568
1011,40,16,41.688,39.847,17.039,-1040.22,949.28,849.12,-113.34,-28.8,-119.51,-0.84638,0.03362,-0.3631,-0.38815
1012,40,15,39.425,41.514,11.467,-960.02,478.82,609.13,-201.21,-56.45,-110.95,-0.8477,0.07444,-0.35712,-0.38513
1013,40,15,34.666,41.744,-0.719,-816.89,-99.67,580.63,-243.0,-87.79,-62.26,-0.85111,0.15157,-0.32247,-0.38554
1014,40,16,28.779,38.222,-14.774,-594.54,-487.79,662.84,-225.03,-101.68,-53.67,-0.85782,0.23108,-0.25841,-0.37945
1015,40,15,25.006,33.602,-24.682,-453.06,-625.12,777.53,-166.82,-70.34,-35.18,-0.86155,0.28679,-0.19836,-0.36895
1016,40,16,23.513,29.619,-27.451,-439.21,-447.39,922.24,-105.47,-42.95,-4.2,-0.87042,0.29677,-0.16188,-0.3579
1017,40,17,23.958,28.808,-25.13,-540.83,-228.58,961.24,-50.56,-25.06,8.44,-0.877,0.27794,-0.16156,-0.3571
1018,40,15,24.484,28.435,-22.056,-535.16,-166.5,965.76,-25.6,-15.4,8.35,-0.88346,0.25422,-0.16694,-0.35638
1019,40,16,26.071,28.963,-17.532,-556.21,20.94,929.38,-16.13,-11.9,18.27,-0.88658,0.22298,-0.18202,-0.3621
1020,40,15,26.917,29.282,-14.388,-548.22,-45.96,919.92,-14.52,-7.95,12.95,-0.88894,0.20084,-0.19296,-0.36363
1021,40,15,26.893,29.672,-12.421,-577.21,-122.44,956.24,-5.45,-1.79,6.43,-0.8914,0.18656,-0.20231,-0.3601
1022,40,15,27.398,31.095,-9.525,-634.64,24.6,897.89,0.64,5.28,-1.98,-0.89087,0.16885,-0.22189,-0.35861
1023,40,15,25.882,31.162,-10.678,-573.18,-206.12,911.62,-4.88,-0.29,-5.57,-0.89365,0.17508,-0.22114,-0.34903
1024,40,15,23.761,30.302,-12.695,-492.74,-351.87,942.02,17.93,13.08,0.22,-0.89894,0.18466,-0.21158,-0.3362
1025,40,17,22.258,30.514,-13.214,-535.89,-341.67,946.9,48.45,27.47,6.22,-0.90192,0.18645,-0.21421,-0.3254
1026,40,15,22.346,32.326,-10.452,-594.06,-191.59,910.83,78.83,39.99,13.89,-0.90142,0.16917,-0.2364,-0.32083
1027,40,15,23.42,35.074,-6.582,-736.88,-58.78,902.71,79.32,38.79,12.84,-0.89665,0.14788,-0.26763,-0.32018
1028,40,16,25.255,36.985,-2.05,-778.08,93.51,920.84,65.9,25.89,4.52,-0.89178,0.12199,-0.29322,-0.3223
1029,40,15,26.58,37.402,1.256,-712.52,96.8,931.76,50.1,12.02,-8.3,-0.89016,0.10091,-0.30449,-0.3236
1030,40,15,26.443,37.448,1.743,-700.74,1.28,926.27,38.54,5.91,-14.05,-0.89085,0.09689,-0.30634,-0.32119
1031,40,16,26.526,37.29,2.4,-695.25,28.5,925.78,33.43,1.63,-16.69,-0.89156,0.09155,-0.30689,-0.32024
1032,40,15,26.759,37.712,2.507,-754.33,19.47,920.96,21.87,-2.53,-15.04,-0.88991,0.09257,-0.31026,-0.32129
1033,40,17,26.38,37.319,1.786,-742.07,-2.62,955.32,15.67,-13.44,-24.02,-0.89139,0.09602,-0.30551,-0.32072
1034,40,15,25.721,36.277,0.582,-710.94,-28.56,985.9,11.06,-19.48,-28.05,-0.89487,0.10071,-0.29461,-0.31979
1035,40,14,25.066,35.319,-0.737,-678.71,-51.82,951.9,7.92,-24.01,-27.34,-0.89793,0.10671,-0.28403,-0.31886
1036,40,16,24.414,34.271,-1.814,-626.4,-49.01,906.98,7.93,-27.52,-34.26,-0.90133,0.11073,-0.27341,-0.31717
1037,40,15,24.329,34.762,-2.026,-709.84,-9.77,842.22,2.34,-29.14,-30.54,-0.90013,0.1135,-0.27679,-0.31666
1038,40,15,24.435,33.764,-2.527,-589.29,-27.34,847.9,-4.71,-33.79,-25.54,-0.90181,0.11502,-0.26741,-0.31937
1039,40,16,23.45,32.628,-5.152,-521.79,-149.72,839.9,-10.83,-18.88,-19.9,-0.90452,0.1305,-0.25214,-0.31817
1040,40,15,22.28,32.748,-7.866,-578.06,-201.9,848.51,-9.44,-4.0,-15.51,-0.90414,0.14967,-0.24704,-0.31481
1041,40,16,22.541,35.107,-8.347,-839.9,-123.6,838.81,-12.21,-3.4,-2.34,-0.89664,0.15973,-0.26416,-0.31739
1042,40,16,23.704,37.563,-7.765,-906.68,-22.64,797.67,-23.61,-9.9,5.16,-0.88743,0.16397,-0.28356,-0.3243
1043,40,15,24.893,39.468,-8.063,-897.4,-55.54,768.37,-47.19,-20.23,16.09,-0.87806,0.17402,-0.29587,-0.33345
1044,40,16,25.294,40.145,-10.338,-781.98,-192.81,748.54,-63.44,-29.52,32.8,-0.87118,0.19411,-0.2938,-0.34212
1045,40,15,25.51,40.108,-13.031,-746.22,-273.68,787.29,-65.91,-28.7,49.57,-0.86584,0.21497,-0.28499,-0.35056
1046,40,15,25.916,38.023,-15.127,-610.66,-312.32,862.0,-61.58,-32.64,60.08,-0.86693,0.22674,-0.26145,-0.35869
1047,40,16,27.124,36.432,-14.919,-563.48,-216.06,843.87,-52.83,-17.8,64.01,-0.86823,0.22389,-0.24728,-0.36728
1048,40,15,29.146,34.831,-12.204,-505.13,-57.86,940.55,-45.81,-3.62,52.22,-0.87125,0.20333,-0.23982,-0.37691
1049,40,16,29.629,33.86,-10.664,-518.07,-54.63,925.29,-44.48,7.88,26.41,-0.87492,0.18987,-0.23648,-0.37756
1050,40,16,29.593,32.417,-9.336,-526.06,-36.13,1090.76,-37.18,12.34,10.04,-0.88087,0.17546,-0.2296,-0.37493
1051,40,15,29.238,31.2,-8.911,-615.91,-143.92,1185.91,-29.02,7.8,24.4,-0.88566,0.16795,-0.22197,-0.37166
1052,40,15,28.888,29.467,-8.123,-531.62,-147.58,1134.34,-5.29,-0.65,22.95,-0.89197,0.15613,-0.21135,-0.36789
1053,40,16,29.411,28.031,-5.231,-473.51,30.58,1081.18,8.0,-3.73,11.96,-0.89705,0.13024,-0.20864,-0.36715
1054,40,15,28.457,25.951,-6.499,-370.42,-206.05,1022.4,-2.66,-2.42,17.78,-0.90291,0.13233,-0.1892,-0.36256
1055,40,16,28.199,23.891,-7.183,-294.8,-268.31,1131.35,12.12,15.34,37.54,-0.90693,0.13125,-0.17089,-0.36202
1056,40,15,28.263,23.007,-6.617,-337.4,-219.42,1172.24,30.66,40.9,42.12,-0.90898,0.12424,-0.16553,-0.36183
1057,40,16,28.255,23.495,-4.192,-416.99,-66.28,1223.08,39.58,62.93,15.89,-0.91057,0.10643,-0.17706,-0.35802
1058,40,16,27.097,25.961,-2.949,-511.54,-54.57,1137.45,36.48,81.74,-20.67,-0.91072,0.10195,-0.20164,-0.34574
1059,40,15,25.696,29.933,-2.745,-682.13,-91.31,1014.53,41.08,77.62,-28.11,-0.90691,0.10901,-0.23518,-0.33215
1060,40,15,25.599,33.664,-1.456,-752.81,-28.81,922.49,44.11,60.07,-7.02,-0.89983,0.10905,-0.2685,-0.32608
