,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
420,59,8,34.031,-4.487,39.258,39.06,771.73,735.78,1.89,-25.57,-42.67,-0.85503,-0.3218,-0.10237,-0.39356
421,59,26,32.892,-2.643,43.382,-175.23,711.0,550.17,-5.39,-80.71,-1.24,-0.84951,-0.34774,-0.12675,-0.37595
422,59,15,32.299,-4.648,43.838,-51.39,722.11,708.44,-10.56,-121.08,32.85,-0.84702,-0.35794,-0.11142,-0.37685
423,59,16,31.583,-7.49,45.875,-1.95,770.75,571.23,-7.0,-130.77,51.06,-0.83801,-0.382,-0.09453,-0.37799
424,59,15,32.235,-9.822,46.11,-67.81,689.51,657.1,-5.26,-132.06,95.87,-0.83066,-0.38991,-0.08007,-0.38932
425,59,16,33.942,-13.455,46.251,4.03,680.6,639.28,-0.21,-128.09,156.07,-0.81657,-0.40028,-0.05933,-0.41167
426,59,16,37.076,-18.731,44.551,164.98,649.11,761.96,11.87,-116.26,200.23,-0.79802,-0.40243,-0.02466,-0.44788
427,59,15,42.134,-24.375,40.654,302.25,554.5,972.9,23.66,-84.69,233.93,-0.77516,-0.39274,0.01561,-0.49462
428,59,15,48.171,-29.474,36.276,590.94,610.17,1264.47,38.05,-49.39,232.66,-0.74713,-0.38256,0.05225,-0.54104
429,59,16,55.682,-34.435,31.162,867.19,551.76,1272.09,47.4,-0.67,248.95,-0.71076,-0.37331,0.08809,-0.58966
430,59,15,64.161,-34.227,25.539,725.46,364.69,1584.47,85.65,80.19,217.12,-0.68365,-0.34474,0.09021,-0.6369
431,59,15,68.052,-32.038,23.507,925.29,228.39,1467.47,127.11,151.12,79.69,-0.67417,-0.32491,0.07587,-0.65892
432,59,17,67.049,-27.346,25.627,905.09,414.31,1314.51,137.08,191.13,-42.72,-0.68727,-0.31351,0.03573,-0.65429
433,59,16,65.455,-21.023,27.199,649.66,441.47,1202.39,113.6,226.26,-73.86,-0.70869,-0.29115,-0.01088,-0.64255
434,59,16,63.711,-15.26,28.061,638.85,502.99,1211.12,75.41,239.88,-87.26,-0.72971,-0.26802,-0.04997,-0.62705
435,59,15,61.708,-9.157,26.99,482.73,358.7,1082.46,35.06,249.99,-118.96,-0.75496,-0.23144,-0.08105,-0.60819
436,59,15,59.9,-2.699,27.576,173.58,394.71,738.83,14.63,237.62,-87.67,-0.77357,-0.20438,-0.12459,-0.58677
437,59,16,57.648,5.2,26.097,-67.44,330.38,778.2,-10.9,190.32,-99.3,-0.79604,-0.1573,-0.16757,-0.5599
438,59,15,52.995,8.738,26.152,4.27,596.01,953.67,-30.51,100.3,-173.26,-0.82035,-0.14749,-0.18612,-0.52022
439,59,15,48.984,10.806,27.51,44.49,751.28,908.33,-21.97,71.3,-184.5,-0.83712,-0.15442,-0.20137,-0.48459
440,59,16,43.352,13.078,27.744,-88.2,605.59,832.09,-27.46,39.81,-172.18,-0.86008,-0.1563,-0.21103,-0.43737
441,59,16,38.903,14.809,28.068,-152.83,614.44,782.96,-30.26,11.64,-173.9,-0.87596,-0.15999,-0.21878,-0.39903
442,59,16,35.806,16.103,29.007,-236.63,694.46,781.68,-28.76,-11.37,-149.11,-0.88488,-0.16821,-0.22711,-0.37029
