,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
128,66,7,7.775,33.036,-17.19,-758.48,-252.44,920.84,24.37,-28.32,-6.76,-0.92326,0.19337,-0.24934,-0.21917
129,66,26,8.889,27.34,-17.478,-414.12,-357.36,962.71,23.23,-31.81,-9.74,-0.93456,0.1907,-0.19998,-0.22412
130,66,16,9.282,25.756,-18.172,-410.34,-377.62,911.5,25.38,-9.96,4.61,-0.93611,0.19487,-0.18483,-0.22708
131,66,16,10.008,26.636,-18.048,-514.83,-361.94,885.19,36.03,-0.85,19.22,-0.93294,0.19627,-0.19113,-0.23359
132,66,16,11.203,28.092,-16.593,-566.47,-286.07,885.5,39.74,-1.65,21.51,-0.92961,0.18865,-0.20416,-0.24199
133,66,15,13.273,26.635,-13.254,-469.42,-189.15,1150.27,38.11,-4.28,25.74,-0.93353,0.16274,-0.19617,-0.25209
134,66,15,15.06,24.956,-10.986,-272.95,-133.67,947.02,20.7,19.62,35.61,-0.93608,0.14411,-0.185,-0.26223
135,66,16,16.903,26.943,-9.211,-426.21,-126.4,845.89,11.52,42.77,48.49,-0.92981,0.13677,-0.20325,-0.27466
136,66,15,19.234,28.908,-6.999,-452.58,-73.06,862.0,-2.44,52.72,62.24,-0.92233,0.1275,-0.22205,-0.2894
137,66,15,21.102,31.533,-6.255,-525.15,-93.32,870.48,-21.05,60.13,73.14,-0.91227,0.13145,-0.24308,-0.30232
138,66,16,21.863,34.599,-7.86,-750.31,-233.58,1002.44,-29.18,54.88,59.08,-0.90052,0.15314,-0.26238,-0.31108
139,66,16,22.126,36.585,-8.343,-783.45,-168.15,1017.27,-19.99,36.89,35.0,-0.89375,0.16224,-0.27648,-0.31376
140,66,15,23.542,37.984,-7.044,-887.82,-12.7,1028.08,-33.85,4.91,25.31,-0.88771,0.15902,-0.28913,-0.32108
141,66,16,24.523,38.885,-6.375,-1068.97,136.84,1008.48,-66.13,-38.04,-6.12,-0.88328,0.15861,-0.29672,-0.32652
142,66,15,24.405,38.855,-8.363,-1144.17,-7.39,929.14,-98.81,-91.48,-10.78,-0.88082,0.17354,-0.29096,-0.33072
143,66,16,24.302,36.625,-11.683,-968.02,-193.12,925.6,-114.2,-141.53,12.75,-0.88226,0.19336,-0.26391,-0.33849
144,66,16,23.874,30.36,-14.723,-587.16,-260.44,948.3,-97.6,-170.01,7.85,-0.89505,0.20089,-0.20586,-0.3408
145,66,15,23.761,22.069,-16.506,-175.54,-288.21,927.12,-70.1,-157.91,1.84,-0.91079,0.19437,-0.13397,-0.33873
146,66,16,22.934,14.202,-16.265,-19.84,-220.64,971.44,-34.64,-109.59,-21.97,-0.9268,0.17179,-0.0719,-0.32614
147,66,16,21.307,10.614,-14.521,-124.88,-135.01,984.5,-10.93,-52.51,-49.16,-0.93821,0.14765,-0.04953,-0.30904
148,66,15,19.331,11.585,-14.021,-365.42,-202.58,995.79,-3.5,-26.6,-58.65,-0.94296,0.14495,-0.0614,-0.29334
149,66,16,17.023,11.396,-15.52,-282.17,-363.65,1021.85,8.88,-18.86,-63.48,-0.94693,0.15567,-0.05913,-0.27494
150,66,15,14.038,9.205,-16.057,-46.94,-427.61,1101.87,48.26,21.91,-89.98,-0.95533,0.15424,-0.04363,-0.2483
151,66,15,11.058,8.152,-17.523,74.04,-561.95,951.72,74.15,73.43,-84.59,-0.9604,0.16349,-0.0359,-0.22275
152,66,15,8.677,10.068,-16.978,-80.14,-387.15,1011.23,86.9,126.79,-74.99,-0.96381,0.16115,-0.05646,-0.20472
153,66,15,6.03,16.707,-17.887,-496.15,-553.77,832.46,107.0,142.25,-65.37,-0.95887,0.17623,-0.11488,-0.19054
154,66,15,3.869,23.858,-17.503,-623.41,-458.5,801.94,120.9,133.48,-43.12,-0.95071,0.17847,-0.179,-0.17959
155,66,18,1.952,29.018,-18.33,-593.99,-519.1,749.39,116.35,123.65,-27.26,-0.94126,0.18664,-0.22388,-0.17049
156,66,15,3.723,35.372,-16.116,-765.2,-312.07,757.39,94.42,115.88,45.56,-0.92583,0.17781,-0.27695,-0.18578
157,66,16,6.754,38.927,-12.872,-644.65,-211.43,799.62,78.83,95.79,44.72,-0.91522,0.16306,-0.30694,-0.2039
158,66,15,9.544,40.181,-10.528,-631.29,-231.2,891.72,64.87,86.06,50.1,-0.90948,0.15358,-0.31755,-0.22006
159,66,15,12.687,40.714,-8.045,-616.27,-198.12,917.79,51.86,78.05,65.43,-0.90477,0.14352,-0.32272,-0.238
160,66,16,18.729,41.595,-2.566,-687.62,16.17,949.71,22.99,66.9,98.4,-0.89498,0.11952,-0.33491,-0.26939
161,66,15,22.744,41.88,0.667,-757.02,22.16,961.12,2.81,48.07,73.22,-0.8875,0.10689,-0.34107,-0.29085
162,66,14,25.79,42.352,2.168,-855.29,28.44,961.73,-11.1,24.57,46.45,-0.87953,0.10571,-0.3458,-0.3093
163,66,17,26.405,42.008,1.823,-975.52,31.25,1078.55,-18.46,-7.32,10.09,-0.87853,0.10923,-0.34166,-0.31547
164,66,15,27.079,41.92,2.411,-1201.97,242.68,1083.74,-36.19,-48.04,-21.38,-0.87747,0.10649,-0.34198,-0.31898
165,66,15,26.289,40.568,1.398,-1124.51,282.84,947.81,-68.62,-105.57,-63.22,-0.88255,0.10806,-0.32957,-0.3175
166,66,16,25.777,38.537,-0.567,-1107.6,258.42,828.49,-108.1,-157.66,-55.39,-0.88768,0.11611,-0.30892,-0.32112
167,66,16,25.071,34.834,-4.286,-763.61,49.19,706.05,-134.45,-197.01,-36.84,-0.89543,0.13317,-0.2702,-0.32782
168,66,16,23.099,27.605,-12.284,-433.41,-349.61,774.72,-145.36,-206.65,-10.69,-0.90784,0.17363,-0.19214,-0.32978
169,66,15,22.549,19.107,-19.212,-181.09,-524.35,790.59,-122.6,-198.87,6.32,-0.91516,0.2074,-0.10415,-0.32959
170,66,15,22.26,10.525,-22.987,53.04,-579.77,905.27,-71.15,-142.7,13.53,-0.92224,0.21649,-0.02405,-0.31941
171,66,17,21.808,5.896,-23.728,-74.52,-440.25,941.59,-42.85,-99.91,6.41,-0.9273,0.21087,0.01485,-0.3089
172,66,15,21.451,3.93,-22.349,-122.13,-349.61,1046.81,-29.79,-67.45,8.98,-0.93242,0.19478,0.02659,-0.30322
173,66,15,21.059,4.906,-21.702,-257.57,-361.15,1006.16,-23.09,-41.98,12.48,-0.93376,0.19204,0.01624,-0.30159
174,66,16,20.495,6.881,-21.739,-360.78,-412.84,985.78,-15.11,-30.47,9.82,-0.93338,0.19725,-0.00082,-0.29984
175,66,15,19.671,7.183,-21.009,-201.05,-396.85,1019.96,-6.07,-25.14,13.77,-0.93646,0.19198,-0.00659,-0.29351
176,66,16,19.131,9.913,-20.006,-375.73,-344.73,1029.72,-0.95,5.12,15.8,-0.93663,0.19007,-0.03255,-0.29248
177,66,14,18.86,12.58,-18.931,-442.57,-311.34,1018.13,-0.58,-2.98,18.46,-0.93583,0.18725,-0.05775,-0.29296
178,66,15,18.884,13.725,-17.294,-329.71,-291.2,1052.55,-2.35,-6.9,28.21,-0.93684,0.17648,-0.07136,-0.29342
179,66,17,19.331,12.279,-16.29,-154.48,-294.74,1055.97,-3.92,-0.27,43.98,-0.93906,0.1652,-0.06131,-0.29514
180,66,15,19.822,11.893,-14.723,-138.43,-251.77,1120.06,0.85,32.8,48.29,-0.94043,0.15171,-0.0615,-0.298
181,66,15,20.494,12.812,-11.84,-183.29,-48.83,1208.68,-9.28,53.37,39.52,-0.94113,0.13066,-0.07583,-0.30241
182,66,16,20.722,14.231,-10.186,-228.21,-87.34,1210.02,-23.13,69.17,28.41,-0.9406,0.12073,-0.09169,-0.30378
183,66,15,20.183,17.208,-12.095,-338.07,-316.59,1148.01,-25.13,86.34,38.19,-0.93572,0.1431,-0.11184,-0.3024
184,66,15,19.639,21.167,-13.688,-465.58,-369.08,1104.98,-15.55,93.09,49.0,-0.92843,0.16465,-0.14095,-0.30174
185,66,16,19.723,25.888,-13.74,-639.47,-317.08,1065.31,-2.92,84.01,62.78,-0.91875,0.17576,-0.17932,-0.3047
186,66,16,21.129,31.11,-11.785,-819.82,-152.34,949.71,1.5,54.9,70.88,-0.90585,0.1744,-0.22477,-0.31385
187,66,17,23.243,34.481,-9.338,-850.04,-80.51,910.1,-5.87,16.17,78.51,-0.89493,0.16755,-0.2554,-0.32525
