,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
869,99,8,82.63,-34.382,-3.055,472.96,29.42,1173.58,2.11,21.82,14.42,0.64222,0.20333,-0.21586,0.70683
870,99,27,81.324,-33.902,-3.026,609.38,-43.7,967.22,-2.49,2.69,0.89,0.65093,0.19805,-0.21531,0.7005
871,99,15,80.975,-34.67,-3.249,673.4,-60.67,926.21,-1.11,0.7,-0.12,0.65224,0.20087,-0.22156,0.69652
872,99,15,80.157,-34.411,-2.92,596.56,-47.55,908.08,1.63,3.68,-11.73,0.65704,0.19958,-0.21955,0.69301
873,99,16,79.678,-34.657,-2.742,639.04,-47.49,925.54,2.72,-0.9,-6.11,0.65922,0.20119,-0.2207,0.6901
874,99,15,78.973,-34.214,-1.654,592.41,18.07,924.87,3.35,1.5,3.65,0.66228,0.20343,-0.21287,0.68897
875,99,16,79.908,-34.467,-2.356,726.07,-35.34,1058.96,-0.08,-2.38,32.71,0.65746,0.20269,-0.21689,0.69254
876,99,15,80.869,-33.65,-3.824,662.54,-140.75,1067.63,7.53,9.68,14.71,0.65545,0.19108,-0.21954,0.69691
877,99,14,80.708,-31.731,-4.871,631.9,-266.54,1218.2,21.8,24.34,-25.25,0.66083,0.17284,-0.2154,0.69787
878,99,17,78.149,-28.328,-3.969,507.75,-243.41,1205.26,41.26,53.08,-78.67,0.67954,0.1525,-0.1941,0.69086
879,99,16,73.626,-27.218,-1.546,572.27,-155.76,1089.23,51.2,46.04,-136.45,0.70464,0.15311,-0.17912,0.66929
880,99,15,69.427,-24.356,-0.341,408.81,-200.01,995.91,47.74,60.75,-156.72,0.73123,0.13792,-0.15964,0.64868
881,99,16,66.25,-24.294,2.558,527.53,38.21,848.63,36.24,51.98,-99.75,0.74541,0.152,-0.14705,0.63217
882,99,15,62.207,-21.79,6.107,295.47,104.98,779.72,26.28,34.54,-134.88,0.76648,0.15742,-0.11651,0.61168
883,99,15,57.312,-23.93,9.403,568.66,120.91,748.96,26.31,-11.24,-178.25,0.78332,0.18538,-0.12147,0.58077
884,99,16,52.371,-24.984,15.221,661.87,495.0,800.54,9.03,-10.39,-160.02,0.79518,0.22537,-0.10905,0.55227
885,99,15,48.319,-24.669,20.961,552.37,806.15,724.12,-41.48,-13.91,-123.66,0.80285,0.2606,-0.08826,0.5289
886,99,16,42.733,-24.485,26.0,440.37,807.19,555.6,-99.63,-45.44,-139.89,0.81608,0.29147,-0.07787,0.49295
887,99,16,44.614,-31.249,20.956,682.5,223.08,517.7,-163.33,-96.97,11.91,0.80269,0.28211,-0.14571,0.50485
888,99,15,53.769,-36.624,11.063,925.05,97.29,908.69,-146.92,-76.36,174.5,0.76853,0.24996,-0.20903,0.55063
889,99,16,61.196,-40.718,5.279,1042.79,227.48,817.63,-92.0,-55.78,163.74,0.73327,0.24581,-0.24944,0.58281
890,99,15,71.337,-41.301,-1.794,798.58,179.5,864.14,-81.83,-29.23,249.05,0.6928,0.22775,-0.2696,0.62887
891,99,15,80.476,-42.435,-8.697,730.04,101.56,678.83,-90.09,-32.35,249.99,0.65241,0.21643,-0.29728,0.66268
892,99,16,91.248,-40.012,-18.511,735.6,-249.21,971.56,-76.52,-34.09,249.99,0.60794,0.17602,-0.32538,0.70253
893,99,15,100.982,-36.835,-27.14,760.31,-472.05,1000.18,-47.99,-19.38,249.99,0.55947,0.13874,-0.35303,0.73696
894,99,16,109.024,-30.767,-31.117,609.92,-491.03,1083.98,-9.32,-3.39,249.99,0.50694,0.10066,-0.34937,0.78155
895,99,17,114.771,-25.649,-30.868,327.21,-273.01,1076.05,23.18,-15.79,249.99,0.46103,0.08018,-0.32663,0.82118
896,99,15,120.242,-22.441,-30.708,190.55,-431.15,1075.74,59.09,-57.11,203.48,0.4167,0.07136,-0.31236,0.8507
897,99,16,124.545,-21.464,-30.51,169.92,-675.9,1277.47,95.15,-87.61,136.09,0.38282,0.076,-0.3055,0.86853
898,99,15,124.97,-24.246,-29.132,249.63,-742.49,1171.33,140.29,-100.99,-20.22,0.3826,0.10367,-0.30171,0.86709
899,99,15,119.81,-29.865,-24.2,463.56,-777.04,1199.77,193.58,-81.02,-198.1,0.42175,0.15182,-0.28541,0.84712
900,99,17,109.064,-33.696,-12.728,612.85,-375.92,1293.58,216.61,-27.98,-250.0,0.48307,0.20224,-0.23092,0.82001
901,99,15,97.21,-33.067,-0.731,578.92,-136.47,1290.59,213.29,28.94,-250.0,0.5444,0.23107,-0.16621,0.78905
902,99,15,86.876,-30.828,6.872,711.91,-253.11,1185.06,195.85,88.6,-250.0,0.60193,0.24112,-0.12486,0.75097
903,99,17,79.108,-28.424,11.043,564.45,-199.04,731.93,152.54,121.19,-250.0,0.64763,0.24139,-0.10075,0.71565
904,99,15,70.703,-21.122,17.656,178.34,127.2,714.54,136.6,93.34,-250.0,0.70013,0.23345,-0.03262,0.67399
905,99,16,61.433,-19.326,27.782,509.77,692.63,641.6,100.4,29.04,-250.0,0.73344,0.28692,0.01539,0.61604
906,99,16,55.048,-13.249,33.471,154.36,504.88,609.25,54.76,34.41,-250.0,0.76589,0.29839,0.07057,0.56516
