,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
78,134,8,36.841,41.724,-4.846,-966.55,-42.24,849.61,-13.8,-5.03,21.56,0.83748,-0.18788,0.30472,0.41289
79,134,27,39.248,42.339,-11.235,-863.77,-402.34,1515.87,-31.81,-61.2,12.18,0.81457,-0.24217,0.28081,0.44607
80,134,15,36.068,33.478,-17.329,-440.19,-506.59,1637.45,-21.19,-64.0,-2.57,0.84017,-0.25085,0.19736,0.43845
81,134,15,26.076,25.882,-24.085,-98.88,-436.04,1299.32,6.45,-52.31,2.0,0.88009,-0.26584,0.13655,0.36895
82,134,16,25.726,13.845,-26.427,-23.44,-145.02,1090.09,22.44,-23.7,3.01,0.90019,-0.25322,0.0337,0.3527
83,134,15,30.235,12.325,-19.992,-105.71,83.5,932.37,18.64,-3.24,9.27,0.90074,-0.19962,0.03331,0.38434
84,134,16,29.017,17.007,-13.772,-448.97,53.96,826.9,8.67,-0.45,21.84,0.90765,-0.16398,0.09339,0.37491
85,134,15,33.078,25.585,-4.672,-612.79,-54.2,893.07,4.23,-31.78,29.74,0.89038,-0.12447,0.18717,0.39586
86,134,15,25.334,25.297,-8.604,-544.19,-86.91,1060.06,3.99,-59.98,3.86,0.91129,-0.14209,0.18123,0.34133
87,134,16,29.883,18.005,-10.308,-343.75,-183.59,1238.04,2.16,-69.16,-10.34,0.90785,-0.14034,0.11165,0.37902
88,134,15,30.19,13.852,-9.224,-155.76,-170.17,1276.37,5.08,-52.17,6.51,0.91384,-0.11903,0.08155,0.37958
89,134,15,23.511,11.679,-14.221,-121.34,-80.32,1232.91,4.28,-28.8,13.41,0.93127,-0.14896,0.05627,0.3277
90,134,17,31.115,17.082,-10.746,-182.13,-106.69,1052.73,9.59,-10.41,7.91,0.90458,-0.14206,0.10127,0.38896
91,134,15,32.93,21.656,-3.915,-332.28,-181.15,991.21,21.61,-2.25,4.46,0.89858,-0.10525,0.15905,0.39519
92,134,15,36.683,17.961,-3.126,-383.06,-187.74,964.36,36.21,-7.52,-12.55,0.89128,-0.09091,0.12965,0.4249
93,134,16,30.59,14.969,-7.667,-310.79,-184.57,979.98,51.67,-6.1,-41.32,0.91267,-0.11047,0.09529,0.38176
94,134,15,37.549,19.081,-5.484,-276.61,-141.11,978.52,62.16,-0.72,-50.78,0.88435,-0.11425,0.12877,0.43392
95,134,16,28.486,19.277,-8.943,-237.3,5.13,1030.27,54.89,8.38,-43.17,0.91201,-0.1319,0.12796,0.3667
96,134,15,36.168,16.368,-6.875,-187.99,13.18,1098.14,40.63,24.44,-41.56,0.89198,-0.11382,0.10373,0.42504
97,134,15,36.563,14.173,-3.898,-226.07,83.25,1217.53,11.12,18.09,-57.44,0.89575,-0.083,0.09722,0.42579
98,134,16,38.124,7.818,-9.658,-175.54,-168.95,1058.59,0.26,26.86,-35.61,0.8913,-0.10525,0.0243,0.44036
99,134,15,41.587,15.452,-9.516,-81.54,-388.18,1105.71,3.42,45.98,14.63,0.8692,-0.13504,0.08043,0.46881
100,134,15,37.961,15.482,-16.998,-194.82,-155.76,1185.06,0.69,61.05,54.0,0.87303,-0.1899,0.05593,0.44568
101,134,16,43.969,17.196,-12.745,-505.37,16.11,1135.5,-10.6,51.15,63.6,0.85239,-0.16786,0.07708,0.4892
102,134,16,48.763,21.759,-10.775,-609.62,104.49,1071.04,-53.59,19.53,86.5,0.82636,-0.17637,0.11272,0.5228
103,134,15,48.838,26.396,-16.494,-766.6,-0.73,1041.5,-81.47,-14.67,122.15,0.8061,-0.23675,0.12044,0.52882
104,134,16,56.337,23.05,-19.023,-687.74,-16.11,1222.9,-69.36,-53.39,122.5,0.77197,-0.24574,0.06825,0.58225
105,134,15,67.204,20.376,-18.817,-705.57,155.27,1073.0,-60.01,-86.72,77.61,0.71955,-0.23568,0.02819,0.65262
106,134,16,73.064,16.537,-15.926,-336.18,104.49,1043.21,-48.23,-133.07,15.72,0.69802,-0.19747,0.00918,0.68825
107,134,16,66.293,13.783,-15.116,182.13,208.01,1177.73,-27.47,-77.19,-11.99,0.74324,-0.17649,0.00704,0.64529
108,134,15,71.905,12.419,-10.936,112.55,175.29,1175.54,-22.24,-30.02,-60.42,0.71848,-0.14267,0.01451,0.6806
109,134,16,67.714,13.511,-10.506,-193.85,-37.11,1168.46,-15.99,-11.26,-74.96,0.74204,-0.14534,0.02938,0.65376
110,134,15,56.022,12.441,-12.206,-188.48,-281.98,1176.76,-1.39,0.8,-83.72,0.804,-0.14833,0.02787,0.57515
111,134,15,57.371,5.573,-18.687,-206.79,-465.82,1019.29,39.38,5.08,-86.88,0.79692,-0.15979,-0.05535,0.57994
112,134,16,62.56,11.484,-12.697,-216.8,-321.29,1135.99,66.26,18.65,-75.81,0.7705,-0.14795,0.01016,0.61995
113,134,15,54.623,13.49,-17.29,-176.51,45.41,1142.33,61.33,35.9,-68.97,0.80199,-0.18873,0.0121,0.56661
114,134,16,48.944,16.934,-17.741,-228.27,-185.06,1046.14,46.82,47.48,-49.35,0.82258,-0.20596,0.0448,0.52814
115,134,16,57.147,15.632,-14.925,-220.46,-99.12,1060.06,38.34,52.06,-18.25,0.78974,-0.18304,0.03514,0.58445
116,134,15,63.527,13.675,-16.792,-416.75,-179.69,1080.08,33.5,47.94,-14.31,0.75611,-0.18678,0.00139,0.62723
117,134,16,57.026,14.425,-11.732,-558.84,-137.94,1112.55,28.84,34.0,-3.33,0.79688,-0.155,0.04303,0.58233
118,134,15,60.265,19.434,-0.608,-476.56,-76.9,1104.0,22.0,11.22,-1.05,0.78629,-0.10583,0.13158,0.59433
119,134,15,54.793,17.358,0.609,-419.68,-126.95,1123.78,18.99,-7.13,8.54,0.81712,-0.08068,0.12762,0.55635
120,134,17,54.541,12.664,0.614,40.77,-95.21,1168.95,14.87,-11.41,41.6,0.82264,-0.05754,0.09424,0.55774
121,134,15,65.189,13.462,1.69,106.45,-92.77,1155.52,17.13,32.52,76.29,0.76739,-0.06323,0.09975,0.63021
122,134,15,76.063,19.902,6.016,-723.39,389.65,1072.02,-4.53,42.1,74.34,0.70274,-0.08528,0.15867,0.68826
123,134,16,68.513,25.268,1.692,-1254.64,413.09,1054.44,-60.09,-57.71,42.91,0.73673,-0.13308,0.17414,0.63968
124,134,15,65.293,22.853,-10.934,-823.49,52.25,947.51,-89.28,-122.92,18.98,0.74037,-0.19757,0.09261,0.6358
125,134,15,64.655,17.376,-17.616,-302.73,-201.17,917.72,-99.52,-156.16,-11.94,0.7421,-0.21165,0.01991,0.63569
126,134,17,71.519,7.438,-20.871,72.27,-408.69,1107.42,-70.85,-121.59,-6.74,0.71374,-0.17615,-0.07557,0.67367
127,134,15,71.55,0.913,-19.701,55.66,-240.23,1114.5,-47.52,-91.65,-12.84,0.72343,-0.13109,-0.11019,0.66883
128,134,16,64.911,2.135,-24.746,-141.36,-72.75,1089.11,-42.05,-84.97,-41.43,0.7526,-0.17719,-0.12179,0.62238
129,134,15,63.918,-1.591,-20.83,-156.25,-81.3,1071.53,-43.45,-87.65,-42.31,0.76736,-0.13219,-0.12404,0.61506
130,134,15,64.51,0.396,-10.237,-187.01,57.62,1006.35,-52.22,-84.37,-57.69,0.77215,-0.07135,-0.05366,0.62914
131,134,16,65.661,-5.232,-14.336,-171.14,-157.71,1091.8,-52.7,-86.16,-51.27,0.76589,-0.06692,-0.1145,0.62914
132,134,15,68.889,-3.482,-9.728,-35.4,-329.35,1177.0,-46.3,-82.76,-53.94,0.7494,-0.04363,-0.07872,0.65597
133,134,15,68.217,-6.836,-13.82,57.13,-317.87,1151.37,-31.01,-70.5,-49.79,0.75251,-0.05179,-0.12347,0.64483
134,134,16,67.424,-6.505,-16.096,91.8,-435.3,1163.09,-7.75,-42.96,-36.05,0.75562,-0.06955,-0.13363,0.63745
135,134,15,58.248,-4.333,-17.774,-15.14,-283.2,1165.53,-1.95,-28.63,-23.72,0.80193,-0.10289,-0.121,0.57592
136,134,15,61.528,-10.077,-20.662,-53.96,-94.24,1132.08,-5.58,-22.09,-24.1,0.78539,-0.08862,-0.17755,0.58633
137,134,16,67.643,-12.103,-21.244,1.46,-17.58,1115.72,-13.44,-16.07,-31.24,0.75343,-0.07132,-0.19811,0.62291
138,134,15,59.802,-14.588,-12.576,426.03,-91.31,1142.58,-46.52,12.11,0.38,0.79779,-0.01139,-0.16613,0.57948
139,134,17,54.688,-19.013,-12.034,1078.61,-477.29,1313.72,-52.96,82.79,64.7,0.82055,0.00696,-0.19395,0.53762
140,134,15,55.433,-17.454,-14.799,1151.12,-491.94,1346.19,-31.62,180.02,156.2,0.81777,-0.01929,-0.19614,0.54074
141,134,15,48.662,-9.533,-10.654,424.56,-119.87,1601.81,-1.57,248.8,175.92,0.85245,-0.03622,-0.11872,0.50787
142,134,17,55.42,-3.717,-11.218,-414.06,210.45,1284.91,23.66,247.16,126.13,0.82047,-0.06207,-0.08205,0.56236
143,134,15,59.277,3.678,-9.887,-864.5,181.15,1036.13,27.3,190.93,59.74,0.79841,-0.08824,-0.02559,0.59506
144,134,15,66.843,16.716,-4.441,-1040.04,86.67,926.27,31.21,116.25,-21.29,0.75012,-0.12321,0.08594,0.64402
145,134,16,63.022,23.069,-7.159,-786.62,-20.51,902.34,31.46,62.84,-77.03,0.7585,-0.17192,0.11837,0.61734
146,134,15,61.524,23.196,-10.048,-410.64,-232.18,927.98,30.18,32.74,-101.72,0.76173,-0.19028,0.10613,0.61017
147,134,15,48.697,21.565,-10.135,-210.94,-346.19,951.9,43.14,49.55,-73.77,0.82798,-0.17085,0.1143,0.52172
148,134,17,41.322,18.884,-9.099,-186.52,-388.92,1013.43,52.24,63.16,-63.61,0.86573,-0.14503,0.10877,0.46652
