,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
351,147,7,92.528,-3.676,-35.519,-21.48,-709.47,874.69,-2.53,-0.98,-0.64,-0.57849,0.15833,0.26231,-0.75596
352,147,27,93.078,-3.151,-33.951,-23.44,-661.74,872.74,-3.22,3.47,24.8,-0.57596,0.15273,0.25008,-0.76315
353,147,16,93.55,-3.372,-34.25,-0.37,-671.51,872.68,-4.81,5.69,29.61,-0.57283,0.15169,0.25379,-0.76449
354,147,16,93.991,-3.571,-34.714,10.93,-697.39,872.19,-4.14,8.75,28.94,-0.56967,0.15168,0.25843,-0.7653
355,147,14,94.419,-3.731,-34.764,20.81,-680.66,876.22,-3.78,12.61,32.39,-0.56705,0.14987,0.2601,-0.76704
356,147,16,94.738,-2.241,-34.314,-65.06,-649.17,865.05,-4.71,18.48,33.31,-0.56257,0.15707,0.25033,-0.77213
357,147,15,95.068,-0.948,-34.081,-117.92,-656.8,856.02,-9.03,14.03,33.13,-0.55806,0.16401,0.24297,-0.77629
358,147,15,95.198,-0.593,-34.531,-125.0,-720.4,858.09,-9.43,10.11,24.38,-0.5558,0.16833,0.2445,-0.77652
359,147,16,95.055,-0.916,-34.822,-107.3,-730.04,856.69,-5.56,7.29,12.69,-0.55701,0.16786,0.24781,-0.7747
360,147,15,94.722,-1.503,-34.581,-85.57,-709.17,860.17,-2.57,6.05,5.71,-0.56082,0.16342,0.24854,-0.77266
361,147,16,94.641,-1.675,-34.569,-80.26,-705.32,855.29,-2.16,5.32,11.63,-0.56173,0.16237,0.24918,-0.77201
362,147,15,94.825,-1.647,-33.974,-68.97,-661.99,857.18,-4.3,5.45,25.31,-0.56127,0.15925,0.24529,-0.77424
363,147,15,95.438,-2.179,-33.103,-29.05,-615.05,863.46,-9.67,9.07,43.93,-0.55933,0.15006,0.24278,-0.77826
364,147,15,96.79,-0.05,-32.626,-213.44,-675.6,976.68,-12.32,2.91,64.9,-0.54653,0.15958,0.23115,-0.78893
365,147,16,98.567,1.314,-33.145,-306.95,-822.14,954.41,-4.34,-18.94,70.37,-0.53067,0.16786,0.23084,-0.79808
366,147,15,100.817,2.074,-32.899,-375.06,-848.45,987.85,8.18,-45.32,74.62,-0.51361,0.16753,0.2289,-0.80978
367,147,15,102.914,0.655,-33.413,-293.21,-894.29,877.08,25.39,-78.46,47.84,-0.50107,0.15547,0.24185,-0.81625
368,147,16,106.156,-0.814,-32.492,-181.64,-771.67,936.16,37.12,-94.47,68.23,-0.48207,0.13406,0.24563,-0.83024
369,147,16,109.599,-1.903,-29.991,-154.91,-667.05,1047.06,45.15,-102.48,78.07,-0.46167,0.10853,0.23539,-0.84834
370,147,16,113.479,-2.562,-30.074,-222.17,-792.66,1010.74,52.69,-113.94,82.71,-0.4339,0.09582,0.242,-0.86254
371,147,15,117.255,-2.263,-30.259,-443.3,-831.85,893.01,74.79,-138.53,61.51,-0.40451,0.09075,0.24541,-0.8763
372,147,15,120.241,-2.741,-30.771,-552.67,-863.53,715.33,98.05,-173.93,8.45,-0.38214,0.08232,0.25319,-0.88492
373,147,16,122.003,-6.45,-30.126,-285.03,-759.89,745.12,126.89,-213.07,-64.69,-0.37625,0.04728,0.26085,-0.88778
