,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
259,179,9,20.273,21.064,-15.64,-457.03,-265.38,973.14,4.15,-16.82,3.43,0.92398,-0.18096,0.13394,0.30915
260,179,26,5.842,15.571,-20.236,-405.76,-138.43,1098.14,8.76,-11.62,5.83,0.95702,-0.19425,0.10172,0.18982
261,179,16,2.727,10.68,-22.297,-398.93,-3.42,1121.83,6.83,-5.75,3.14,0.96414,-0.20364,0.06269,0.1582
262,179,15,4.343,20.61,-15.808,-430.66,38.57,1131.84,-2.07,-0.69,-5.12,0.95846,-0.16154,0.15364,0.17794
263,179,15,-1.42,19.852,-18.635,-463.87,-21.97,1086.91,-7.12,0.83,-12.18,0.96336,-0.1769,0.15192,0.13256
264,179,16,5.339,26.426,-17.829,-505.13,-81.05,1043.7,-6.64,-0.94,-17.7,0.9425,-0.1863,0.19759,0.19482
265,179,15,14.062,24.775,-16.241,-487.3,-143.31,1009.03,-4.29,-4.44,-20.01,0.93119,-0.18504,0.17291,0.2622
266,179,15,19.301,26.696,-17.148,-489.75,-187.01,1037.11,-0.45,-9.74,-15.53,0.91245,-0.20408,0.1775,0.30706
267,179,16,20.089,22.414,-17.968,-459.96,-215.09,1086.43,-1.21,-12.66,-10.3,0.91799,-0.20248,0.13899,0.31142
268,179,16,22.085,26.856,-12.96,-412.11,-250.0,1085.69,-3.43,-12.5,-1.79,0.91137,-0.17551,0.1857,0.32266
269,179,16,29.804,28.769,-12.447,-374.02,-291.99,1054.44,-0.15,-8.67,-0.27,0.88406,-0.18922,0.1903,0.38264
270,179,15,35.829,23.409,-11.285,-374.51,-254.39,1027.1,3.38,-3.76,5.34,0.87612,-0.17211,0.14283,0.42707
271,179,15,37.498,26.896,-4.256,-379.15,-185.79,1054.44,4.63,1.38,4.23,0.87241,-0.13315,0.19387,0.42848
272,179,16,42.129,30.005,-5.367,-398.44,-110.84,1075.2,2.95,7.26,-3.47,0.84651,-0.1612,0.20718,0.46315
273,179,15,34.018,28.783,-6.294,-407.23,-130.13,1096.44,3.75,12.49,-13.32,0.87864,-0.1492,0.20532,0.40445
274,179,15,35.606,31.795,3.092,-392.09,-138.67,1118.9,8.26,19.18,-24.94,0.87651,-0.09086,0.2596,0.39507
275,179,16,38.882,35.207,0.293,-392.58,-82.28,1060.79,8.79,24.63,-36.61,0.85455,-0.13201,0.2721,0.42224
276,179,15,44.907,40.765,7.067,-444.34,-45.17,1025.15,0.38,28.36,-33.11,0.82601,-0.12005,0.33132,0.43992
277,179,15,45.11,36.432,2.848,-496.09,-260.74,1002.93,5.13,21.8,-31.61,0.83067,-0.13312,0.28372,0.46019
278,179,16,41.287,35.087,-1.367,-496.58,-268.07,987.55,12.92,14.3,-23.35,0.8437,-0.14946,0.26199,0.44407
279,179,15,41.139,36.906,-4.78,-470.7,-195.56,995.36,13.15,11.27,-22.93,0.83482,-0.18098,0.26235,0.44889
280,179,16,39.265,34.202,-6.441,-457.76,-232.18,958.01,13.47,9.55,-17.03,0.8464,-0.17919,0.23868,0.44106
281,179,16,29.546,30.058,-17.954,-482.42,-312.26,948.73,20.45,6.54,-20.26,0.87158,-0.23464,0.18237,0.38991
