,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
826,192,8,91.896,-29.383,5.18,613.95,141.6,983.34,-56.65,-4.76,85.85,-0.57446,-0.22833,0.11817,-0.77711
827,192,27,94.47,-28.929,-1.203,580.32,1.16,1048.65,-60.01,14.72,66.28,-0.5694,-0.19645,0.15457,-0.78313
828,192,15,96.67,-27.494,-4.357,505.25,-70.25,1063.17,-52.96,19.27,60.61,-0.5609,-0.17402,0.16574,-0.79224
829,192,17,97.982,-26.128,-6.255,462.59,-81.54,1060.0,-41.04,15.73,50.35,-0.55566,-0.15707,0.17057,-0.79842
830,192,15,98.843,-25.536,-7.339,472.41,-67.26,1005.37,-33.33,11.86,46.68,-0.55148,-0.14892,0.17425,-0.80208
831,192,15,99.633,-25.196,-8.692,451.17,-147.83,978.09,-20.0,4.21,34.65,-0.54785,-0.14122,0.18118,-0.80442
832,192,16,100.152,-25.418,-8.898,506.29,-80.69,1000.73,-15.62,3.14,41.87,-0.54434,-0.14267,0.18298,-0.80613
833,192,15,99.743,-25.607,-7.95,512.82,-1.95,1033.94,-15.7,3.66,27.53,-0.54592,-0.14789,0.17769,-0.80531
834,192,16,98.981,-25.961,-7.242,550.72,-15.93,1049.44,-18.64,7.39,11.92,-0.55012,-0.15263,0.17534,-0.80207
835,192,15,98.533,-25.682,-6.619,511.11,-26.92,1034.3,-20.52,11.79,4.67,-0.55261,-0.15297,0.17029,-0.80139
836,192,16,97.996,-25.043,-5.939,455.44,-9.03,1016.91,-22.1,11.31,2.02,-0.5559,-0.15092,0.16327,-0.80096
837,192,16,97.484,-24.647,-5.521,444.58,-16.42,997.31,-24.07,6.78,-1.49,-0.5592,-0.14943,0.15916,-0.79977
838,192,15,97.321,-24.752,-5.575,468.87,-36.87,983.64,-25.79,1.73,3.01,-0.56033,-0.14969,0.16024,-0.79871
839,192,15,97.505,-25.404,-5.871,530.33,-44.98,982.6,-26.58,0.94,11.22,-0.55897,-0.15311,0.16515,-0.79802
840,192,16,97.874,-26.52,-6.297,603.76,-54.08,955.08,-25.78,6.07,15.5,-0.55618,-0.15949,0.17285,-0.79709
841,192,15,98.136,-27.717,-6.956,701.35,-115.05,939.21,-18.52,23.89,4.94,-0.55441,-0.16517,0.18262,-0.79499
842,192,15,97.755,-27.529,-7.036,658.02,-153.75,1034.48,-5.08,38.38,-17.23,-0.5573,-0.16285,0.18284,-0.79339
843,192,16,96.232,-24.542,-5.999,389.65,-141.54,1230.35,2.43,23.87,-50.05,-0.5686,-0.14458,0.16358,-0.79312
844,192,17,95.126,-25.696,-6.366,668.58,-287.6,1089.78,11.48,5.07,-66.89,-0.57585,-0.14921,0.1731,-0.78497
845,192,16,94.842,-24.627,-6.783,552.61,-393.86,1115.42,44.24,35.78,-57.21,-0.57908,-0.13922,0.17111,-0.78486
846,192,15,93.767,-24.114,-5.098,644.35,-268.13,1102.11,70.88,53.37,-63.61,-0.58472,-0.14266,0.15838,-0.78273
847,192,15,92.297,-23.005,-4.085,598.45,-425.11,1079.35,93.77,66.25,-98.21,-0.59437,-0.13826,0.14771,-0.77832
848,192,16,90.519,-20.252,-1.39,367.25,-226.01,967.16,116.92,75.81,-97.92,-0.60555,-0.13151,0.11727,-0.77605
849,192,15,88.372,-17.196,3.835,262.88,21.12,909.61,131.55,68.14,-86.79,-0.61685,-0.13704,0.06811,-0.77206
850,192,15,85.878,-13.092,10.844,69.21,331.36,920.96,115.25,46.05,-80.3,-0.62963,-0.14728,0.00145,-0.76281
851,192,16,82.28,-11.865,18.176,225.4,660.28,951.66,76.44,18.1,-65.8,-0.64454,-0.18094,-0.04859,-0.74126
852,192,16,80.665,-11.359,22.703,216.13,718.38,971.01,35.26,1.65,-21.09,-0.64817,-0.20422,-0.0779,-0.72945
853,192,15,80.93,-9.942,25.4,-59.88,653.5,838.81,2.23,-25.86,50.1,-0.64425,-0.21053,-0.10387,-0.72789
854,192,16,82.095,-11.968,25.392,82.64,530.7,876.22,-30.33,-75.17,103.53,-0.63286,-0.22192,-0.09418,-0.73577
855,192,15,84.638,-16.317,20.907,199.04,246.58,901.86,-58.88,-105.63,146.79,-0.61633,-0.22298,-0.04484,-0.75392
856,192,17,88.717,-24.061,14.897,543.7,115.84,907.53,-76.26,-120.0,184.89,-0.58582,-0.24055,0.03045,-0.77332
857,192,15,94.285,-31.217,7.063,723.57,-29.48,922.18,-86.02,-112.18,196.59,-0.55104,-0.25221,0.10966,-0.78786
