,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
888,218,8,134.668,-47.269,26.161,1085.33,177.49,945.8,-70.35,-144.52,53.44,-0.15514,-0.43215,-0.09344,-0.88343
889,218,27,132.721,-45.146,25.201,1052.43,344.18,906.01,-27.98,-9.11,63.07,-0.17936,-0.41676,-0.08501,-0.88708
890,218,15,130.677,-42.152,26.18,848.88,382.26,801.33,-15.61,41.95,14.54,-0.19969,-0.39804,-0.0944,-0.89038
891,218,16,129.857,-35.847,26.135,392.88,340.64,862.43,-2.53,51.6,2.22,-0.22293,-0.35192,-0.11091,-0.9023
892,218,15,127.216,-34.16,28.573,677.37,551.51,941.89,7.77,-6.07,-9.11,-0.24077,-0.34702,-0.1274,-0.89743
893,218,15,125.563,-33.437,29.038,784.85,410.89,962.34,6.5,5.74,-34.67,-0.25431,-0.34452,-0.12846,-0.8945
894,218,16,124.749,-32.456,29.141,868.71,316.71,1046.02,40.95,33.07,-55.05,-0.26311,-0.33845,-0.13019,-0.89402
895,218,16,126.176,-30.124,28.464,867.0,338.07,1239.01,66.41,81.96,-21.08,-0.26029,-0.31793,-0.13687,-0.90135
896,218,15,126.031,-26.83,30.173,1094.54,288.94,1282.41,123.3,139.78,-110.42,-0.26581,-0.29733,-0.16086,-0.90281
897,218,16,124.844,-22.368,35.189,1450.81,390.99,967.71,178.54,242.64,-212.91,-0.27535,-0.27769,-0.21215,-0.89558
898,218,16,124.611,-16.345,41.011,736.21,511.29,665.77,191.76,249.99,-228.02,-0.28259,-0.24758,-0.27688,-0.88441
899,218,15,126.611,-7.351,47.119,181.27,627.01,477.66,171.79,249.99,-191.28,-0.28567,-0.19037,-0.35541,-0.86939
900,218,16,131.586,1.164,52.59,-66.41,836.49,341.25,107.09,249.99,-115.57,-0.27099,-0.12308,-0.42562,-0.85455
901,218,15,138.378,6.119,56.99,18.55,842.41,280.4,62.35,249.99,-72.3,-0.23571,-0.069,-0.47371,-0.84574
902,218,16,145.353,11.059,60.176,-80.44,876.28,344.85,38.98,249.99,-71.51,-0.20332,-0.00828,-0.50585,-0.83828
903,218,15,151.07,15.831,61.635,-135.86,867.74,489.69,27.19,229.64,-95.55,-0.18193,0.05044,-0.51858,-0.83393
904,218,15,155.687,19.1,62.321,-228.03,716.55,450.68,11.8,180.1,-40.51,-0.1628,0.09463,-0.52113,-0.83245
905,218,17,157.144,19.752,59.423,-236.69,659.3,761.9,12.79,109.38,-3.37,-0.1523,0.10996,-0.49853,-0.84628
906,218,15,156.537,17.889,56.13,-82.4,659.91,869.81,14.0,50.64,-1.23,-0.14631,0.09756,-0.47465,-0.86243
907,218,15,155.026,14.877,53.056,59.08,752.62,1009.64,8.61,18.56,-11.46,-0.14392,0.07217,-0.45205,-0.87734
908,218,16,152.384,12.45,50.0,153.44,681.52,946.23,4.85,4.51,-63.45,-0.15386,0.04703,-0.42889,-0.88891
909,218,15,148.454,16.729,47.193,-497.74,503.17,762.63,12.5,-38.47,-84.18,-0.19738,0.07062,-0.41186,-0.88681
910,218,15,142.573,15.296,44.205,-399.41,551.03,803.16,25.24,-177.8,-44.02,-0.23701,0.04435,-0.39026,-0.88857
911,218,16,136.438,10.439,41.958,-242.07,618.1,812.13,23.83,-249.32,-40.18,-0.27027,-0.00948,-0.3664,-0.89029
912,218,15,131.918,3.239,41.1,-2.14,726.38,823.55,11.8,-250.0,-16.48,-0.28534,-0.07813,-0.3431,-0.89149
913,218,15,128.324,-2.155,40.82,-120.79,861.69,890.87,-5.68,-250.0,7.26,-0.29791,-0.12983,-0.32408,-0.88846
914,218,16,125.602,-8.356,40.206,91.86,938.23,986.51,-25.41,-230.59,24.51,-0.30143,-0.18309,-0.29777,-0.8871
915,218,15,125.127,-15.282,37.693,405.94,807.43,1061.1,-56.79,-166.43,65.12,-0.28882,-0.23015,-0.25567,-0.89344
916,218,17,125.055,-19.836,35.217,510.8,691.47,1038.51,-53.89,-97.6,36.35,-0.28114,-0.25841,-0.2213,-0.89733
917,218,15,124.626,-20.422,33.862,369.32,708.01,1010.8,-46.84,-43.45,1.87,-0.28587,-0.26027,-0.20776,-0.89854
918,218,15,124.405,-17.839,32.916,81.24,636.41,892.27,-42.77,-17.45,-3.49,-0.29691,-0.23875,-0.20844,-0.90078
919,218,16,124.091,-15.334,33.939,40.47,832.76,850.95,-32.7,-5.55,-2.72,-0.3042,-0.223,-0.2241,-0.89862
920,218,15,124.359,-13.127,34.577,68.42,746.22,769.59,-30.8,13.16,-8.09,-0.30698,-0.20737,-0.2368,-0.89816
921,218,15,125.816,-12.598,35.823,212.22,800.48,722.47,-16.65,38.61,20.32,-0.29479,-0.2035,-0.25087,-0.89931
922,218,16,127.539,-12.838,37.613,537.78,846.62,700.01,4.49,99.22,-13.31,-0.27738,-0.2059,-0.26726,-0.89958
923,218,15,129.521,-10.982,41.19,391.11,882.14,479.74,17.47,145.16,-28.2,-0.26124,-0.19519,-0.30418,-0.89506
924,218,15,132.774,-6.506,47.949,12.45,940.12,91.74,32.88,165.57,4.53,-0.24026,-0.16632,-0.37363,-0.88035
925,218,16,137.203,-1.195,51.873,-247.92,848.63,324.28,45.71,140.25,28.52,-0.22071,-0.11857,-0.42108,-0.87173
926,218,15,141.16,2.279,53.685,-317.87,840.15,557.92,55.34,87.02,51.12,-0.20215,-0.08054,-0.44456,-0.86891
927,218,16,143.823,2.203,53.828,-150.76,839.05,727.54,50.17,33.0,67.07,-0.18152,-0.071,-0.44729,-0.87289
928,218,15,144.495,2.658,51.524,-306.82,809.27,1026.37,30.88,-23.82,53.25,-0.17942,-0.06129,-0.43068,-0.88236
929,218,15,143.689,0.994,49.332,-116.03,739.32,909.61,16.65,-73.0,42.0,-0.18092,-0.07372,-0.41082,-0.89054
930,218,16,143.029,-3.513,44.679,134.22,575.38,1209.05,-9.44,-94.08,67.91,-0.17425,-0.10407,-0.36648,-0.90802
931,218,15,142.173,-10.242,40.2,888.55,474.73,1503.6,-23.99,-77.42,30.78,-0.16468,-0.15323,-0.31735,-0.92124
932,218,15,142.256,-12.055,35.274,484.86,196.17,1179.75,-10.73,7.98,-8.0,-0.16547,-0.16039,-0.274,-0.93371
933,218,16,141.325,-9.767,32.834,249.57,550.29,1588.99,0.88,30.09,-32.17,-0.18235,-0.14039,-0.2574,-0.9385
934,218,15,137.75,-6.552,32.048,579.83,917.48,1668.09,-31.07,81.73,-155.88,-0.22051,-0.12096,-0.25364,-0.93403
935,218,15,134.998,-1.789,29.656,271.67,477.78,1096.44,-38.84,135.48,-174.03,-0.2561,-0.08335,-0.24241,-0.93204
936,218,16,134.383,3.246,27.316,93.87,477.42,924.74,-67.93,166.6,-108.33,-0.27268,-0.03823,-0.23453,-0.9323
937,218,15,133.001,10.91,26.222,-120.79,276.0,438.84,-64.25,160.85,-136.86,-0.29764,0.02422,-0.24285,-0.92296
938,218,17,133.274,15.955,29.932,-179.75,711.24,466.61,-37.73,126.11,-110.7,-0.3055,0.0561,-0.28326,-0.90735
939,218,15,136.634,22.247,34.71,-534.73,747.62,364.5,-17.25,111.43,-24.42,-0.29461,0.10337,-0.32999,-0.89086
940,218,15,138.301,26.226,39.78,-527.71,940.86,404.85,11.68,57.89,-80.35,-0.29568,0.12718,-0.373,-0.87021
941,218,16,139.653,25.948,43.705,-300.42,978.94,529.48,16.33,15.71,-59.13,-0.28899,0.11953,-0.40087,-0.8611
942,218,15,140.976,22.784,45.754,-168.03,1075.87,803.53,13.84,0.27,-10.06,-0.27214,0.09438,-0.41164,-0.86463
943,218,15,142.407,22.937,47.865,-404.42,799.07,508.12,6.73,0.02,-4.3,-0.26358,0.09588,-0.42648,-0.85991
944,218,16,143.473,22.614,49.942,-668.88,790.89,488.16,24.52,-64.81,63.23,-0.2563,0.09269,-0.44087,-0.85519
945,218,16,142.298,19.782,49.992,-591.86,773.44,660.46,34.67,-138.58,75.02,-0.2559,0.06611,-0.43949,-0.85848
946,218,15,139.07,14.252,47.176,-284.61,564.03,864.14,61.08,-180.21,58.97,-0.26155,0.01738,-0.41265,-0.87236
