,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
266,228,9,44.699,32.292,20.021,-604.55,297.18,894.35,10.93,0.76,3.3,-0.84894,-0.01187,-0.32052,-0.42002
267,228,26,45.102,32.621,20.61,-621.7,320.31,884.58,11.6,-1.79,2.17,-0.84695,-0.01364,-0.32502,-0.42053
268,228,17,45.313,32.622,20.899,-627.08,327.27,892.7,11.95,-4.62,4.75,-0.84614,-0.01517,-0.32612,-0.42127
269,228,15,45.262,32.347,20.91,-600.22,313.42,889.28,13.76,-6.94,2.53,-0.84669,-0.01662,-0.32423,-0.42155
270,228,15,45.329,32.42,21.027,-596.37,294.74,849.0,16.65,-5.62,6.62,-0.84633,-0.01697,-0.32519,-0.42153
271,228,16,45.696,32.904,21.502,-650.57,303.04,844.79,19.65,-7.17,14.42,-0.84427,-0.01726,-0.33034,-0.42165
272,228,15,46.169,33.022,22.232,-671.26,333.31,865.97,21.35,-14.76,18.17,-0.84225,-0.02074,-0.33392,-0.42271
273,228,15,46.366,32.295,22.64,-622.19,327.94,878.17,23.61,-23.96,20.48,-0.84236,-0.02646,-0.33047,-0.42488
274,228,16,47.281,31.491,23.471,-616.82,329.96,843.99,27.13,-31.2,29.21,-0.83967,-0.0336,-0.32831,-0.43132
275,228,16,48.883,32.183,25.988,-824.46,476.32,738.71,23.44,-44.33,33.94,-0.83202,-0.04404,-0.34303,-0.43374
276,228,15,49.195,26.004,25.377,-319.4,553.71,1412.29,3.29,-61.04,49.74,-0.83633,-0.06781,-0.29897,-0.45449
277,228,17,48.538,25.506,21.651,-545.1,98.14,925.42,-13.83,-38.7,52.92,-0.84114,-0.04452,-0.28033,-0.46034
278,228,15,47.721,21.523,18.001,-260.62,31.92,1027.83,0.03,-55.24,54.79,-0.84875,-0.03775,-0.23708,-0.47117
279,228,16,48.715,18.673,24.006,-128.6,1211.61,997.31,14.5,-20.75,-16.9,-0.84258,-0.09309,-0.24213,-0.47198
280,228,15,49.619,18.024,27.953,-248.78,1999.94,939.64,-89.57,7.75,-42.38,-0.83523,-0.12304,-0.25469,-0.47157
281,228,15,51.888,19.045,27.826,-312.5,1988.89,702.94,-250.0,57.55,-20.65,-0.82584,-0.11214,-0.26352,-0.48577
282,228,16,53.018,24.865,25.703,-521.55,710.88,346.44,-250.0,67.16,-38.62,-0.82113,-0.06575,-0.29481,-0.48426
283,228,16,47.982,28.506,8.238,-519.04,-829.04,663.09,-250.0,38.99,5.07,-0.83866,0.06633,-0.24647,-0.48115
284,228,15,40.866,28.398,-8.771,-654.48,-1687.62,1066.28,-223.31,-5.58,-32.34,-0.85008,0.17815,-0.18323,-0.46049
285,228,16,36.371,26.441,-17.567,-704.71,-1079.28,1102.72,-93.91,-49.73,-16.43,-0.85652,0.23046,-0.14167,-0.43953
286,228,16,37.387,22.394,-14.891,-386.17,-139.22,1129.52,-26.66,-79.18,22.8,-0.86638,0.19782,-0.11874,-0.44289
287,228,15,36.76,20.128,-12.803,-438.29,-193.3,1127.93,5.57,-51.54,-5.7,-0.87645,0.17343,-0.11015,-0.43547
288,228,16,36.323,21.071,-12.125,-618.04,-271.18,957.76,27.79,-49.61,9.89,-0.87742,0.17107,-0.12072,-0.43161
289,228,15,37.636,15.629,-7.859,-52.55,-36.99,973.51,56.66,-68.82,32.36,-0.88643,0.12003,-0.09275,-0.4373
290,228,16,39.475,9.667,-1.197,345.7,294.74,1018.31,54.19,1.24,59.56,-0.89024,0.04708,-0.07064,-0.44751
291,228,16,39.584,8.724,0.95,68.54,28.44,1493.47,49.47,68.47,20.3,-0.8911,0.02678,-0.07166,-0.44732
292,228,15,39.607,9.327,1.919,145.08,-71.47,1447.2,55.8,133.86,16.48,-0.89088,0.02162,-0.08012,-0.4466
293,228,15,39.612,11.213,3.101,172.91,-56.95,1170.65,68.1,195.9,12.19,-0.88991,0.01984,-0.09934,-0.44474
294,228,15,38.786,20.973,3.344,-512.63,-129.03,929.08,73.55,228.45,-7.27,-0.88355,0.05486,-0.17581,-0.43061
295,228,15,39.643,32.492,7.69,-939.33,194.4,699.77,83.72,219.5,4.13,-0.86404,0.06801,-0.27827,-0.41397
296,228,16,36.466,42.267,6.68,-1247.01,-336.91,629.33,104.94,156.6,-30.97,-0.85192,0.10367,-0.34894,-0.37646
297,228,16,38.523,50.704,12.62,-1456.3,176.39,528.5,130.2,134.06,7.11,-0.82695,0.0985,-0.42578,-0.35379
