,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
499,275,7,16.673,24.151,-7.038,-531.07,-88.01,1040.1,7.48,-3.46,-11.39,-0.93835,0.11279,-0.18569,-0.2689
500,275,26,15.315,25.257,-10.002,-550.35,-225.04,989.26,11.22,-9.54,-51.08,-0.93609,0.13708,-0.18942,-0.26279
501,275,16,15.466,25.079,-10.382,-507.75,-212.1,1011.41,25.63,-13.11,-34.15,-0.93565,0.14007,-0.1869,-0.2646
502,275,15,16.353,24.694,-8.672,-491.58,-139.47,1037.84,48.44,-12.7,-29.72,-0.93634,0.12677,-0.18667,-0.26897
503,275,16,17.699,24.83,-5.32,-505.49,-23.62,1022.83,58.7,-9.68,-25.42,-0.93623,0.10192,-0.19439,-0.2744
504,275,17,19.126,25.21,-1.183,-529.17,159.36,1017.03,55.89,-6.97,-32.78,-0.9352,0.0715,-0.20642,-0.27871
505,275,15,19.592,25.619,1.423,-555.3,165.59,1016.72,37.45,-12.56,-57.75,-0.93472,0.05209,-0.21583,-0.27748
506,275,16,19.301,26.143,1.726,-569.03,69.4,985.96,19.2,-20.76,-64.77,-0.9346,0.05035,-0.22095,-0.27418
507,275,15,18.79,26.541,0.286,-590.15,-39.0,948.55,5.79,-34.35,-51.0,-0.93436,0.06208,-0.22101,-0.27254
508,275,15,18.399,25.678,-2.029,-512.08,-143.49,950.81,6.22,-44.86,-31.6,-0.93552,0.07819,-0.20867,-0.27411
509,275,16,18.981,24.048,-3.293,-463.5,-130.74,991.76,12.78,-51.22,-10.68,-0.93624,0.08572,-0.19185,-0.28162
510,275,15,19.937,21.815,-3.347,-415.89,-72.63,1045.47,13.5,-52.84,-13.76,-0.93768,0.08233,-0.17269,-0.2901
511,275,15,20.353,17.196,-4.124,-160.77,-116.52,1363.1,-2.98,-42.05,-17.55,-0.94298,0.07788,-0.13237,-0.2953
512,275,17,20.14,15.686,-5.668,-211.67,-174.56,1218.02,-2.29,10.6,-28.44,-0.94438,0.08663,-0.11606,-0.29524
513,275,15,18.717,19.541,-7.907,-751.1,-249.15,1114.2,-12.18,17.53,-57.56,-0.94056,0.11262,-0.1435,-0.28648
514,275,15,18.833,22.59,-9.948,-921.75,-281.86,1102.84,-27.47,-24.73,-10.7,-0.93282,0.13642,-0.16338,-0.29076
515,275,16,20.741,23.544,-9.479,-803.22,-46.08,1058.65,-38.86,-76.23,14.96,-0.92663,0.1376,-0.17014,-0.30574
516,275,15,22.602,23.149,-10.452,-660.77,-112.79,895.69,-68.28,-114.64,27.44,-0.92107,0.14717,-0.16194,-0.32208
517,275,17,24.1,18.159,-12.485,-302.67,-175.05,863.53,-83.14,-132.2,31.88,-0.92284,0.15249,-0.1135,-0.335
518,275,15,25.409,12.827,-14.52,-91.98,-271.12,968.32,-69.62,-94.01,42.5,-0.92389,0.15548,-0.06225,-0.34405
519,275,15,26.344,9.585,-14.636,-138.37,-240.6,1082.58,-46.27,-54.49,39.22,-0.9247,0.14766,-0.03427,-0.34921
520,275,17,26.778,10.63,-12.488,-317.87,-120.48,1146.97,-10.75,-10.69,25.34,-0.92489,0.13351,-0.04882,-0.35267
521,275,15,26.928,13.137,-9.361,-476.87,-13.37,1116.52,18.9,0.34,10.19,-0.92499,0.11567,-0.07867,-0.3533
522,275,15,27.431,16.687,-4.277,-682.37,320.74,1056.58,29.43,4.72,-2.52,-0.92351,0.08561,-0.12272,-0.3532
523,275,16,27.644,17.084,-2.805,-452.33,14.59,1086.67,2.85,-37.16,5.8,-0.92337,0.07518,-0.13032,-0.3532
524,275,15,27.359,13.726,-2.617,-61.16,-144.65,1136.66,37.17,-12.26,8.31,-0.92828,0.06321,-0.10387,-0.35145
525,275,15,26.257,11.387,-2.402,52.12,-209.9,1068.85,73.92,33.83,-18.36,-0.93397,0.05357,-0.08605,-0.34268
526,275,16,25.089,11.194,-0.749,8.3,-121.4,1016.3,104.37,85.11,-35.39,-0.93824,0.0386,-0.0898,-0.3319
527,275,15,25.134,16.061,3.172,-271.73,40.71,990.72,112.25,118.83,-30.43,-0.93452,0.02069,-0.14079,-0.32622
528,275,17,25.156,22.015,5.733,-546.45,55.05,989.32,99.24,109.94,-32.96,-0.92745,0.01731,-0.19615,-0.3179
529,275,15,25.158,26.737,7.499,-793.82,96.56,1044.8,76.04,56.27,-33.68,-0.9203,0.01696,-0.23873,-0.30948
530,275,15,24.521,27.903,6.503,-672.24,59.02,1184.75,25.05,11.03,-40.56,-0.91975,0.02701,-0.24545,-0.3051
531,275,16,21.863,27.282,1.194,-558.9,-311.28,1094.73,-5.57,-23.54,-48.84,-0.92581,0.06257,-0.22759,-0.29523
532,275,15,20.503,24.87,-2.778,-408.2,-328.37,1119.14,4.33,-35.34,-23.94,-0.9313,0.0861,-0.19871,-0.29288
533,275,15,21.132,23.395,-4.784,-468.81,-221.25,1104.0,0.68,-37.61,12.83,-0.93073,0.09979,-0.18096,-0.30172
534,275,16,22.158,22.837,-5.609,-553.1,-141.36,1108.89,-9.48,-51.65,11.88,-0.92824,0.10666,-0.17328,-0.31141
535,275,15,23.263,23.548,-6.223,-759.64,-93.99,1036.62,-29.08,-76.39,11.4,-0.92331,0.11514,-0.1763,-0.32118
536,275,16,24.399,21.988,-7.033,-623.84,-62.26,987.43,-57.01,-127.68,9.03,-0.92204,0.11918,-0.16017,-0.33165
537,275,16,25.373,17.025,-9.444,-351.5,-140.26,964.78,-84.34,-150.4,17.5,-0.92451,0.12616,-0.11169,-0.34189
538,275,15,26.037,10.952,-13.459,-117.07,-358.22,1002.38,-78.62,-136.05,23.06,-0.92563,0.14195,-0.04936,-0.3473
539,275,17,27.001,8.293,-16.376,-176.27,-405.7,1044.37,-52.42,-82.4,42.93,-0.92171,0.15809,-0.01756,-0.35377
540,275,15,27.869,6.492,-14.661,-139.89,-217.04,1145.26,-14.32,-51.1,35.99,-0.92292,0.13903,-0.00718,-0.35895
541,275,15,28.485,6.473,-12.493,-153.81,-195.5,1133.0,8.9,-13.24,38.19,-0.92345,0.12156,-0.01316,-0.36371
542,275,16,29.019,7.247,-9.432,-206.91,-62.93,1118.71,19.47,-5.77,28.04,-0.92409,0.09938,-0.02869,-0.3679
543,275,14,29.794,8.544,-6.38,-226.14,-18.74,1128.23,19.74,8.58,31.23,-0.92295,0.07914,-0.04846,-0.37356
544,275,16,29.739,6.471,-4.746,77.7,-36.13,1279.42,16.04,22.22,7.42,-0.92554,0.0593,-0.03704,-0.37214
545,275,16,29.294,5.399,-3.812,170.96,-8.67,1306.15,0.36,68.3,-8.16,-0.928,0.04819,-0.03158,-0.36811
546,275,15,28.25,7.049,-6.035,9.4,-233.09,1258.36,-18.33,112.27,-19.17,-0.9292,0.07107,-0.03845,-0.36062
547,275,15,27.207,11.376,-9.312,-231.93,-393.74,1183.78,-20.97,128.86,1.33,-0.92614,0.11026,-0.06424,-0.35493
548,275,16,26.116,16.504,-10.945,-450.07,-343.51,1170.23,-5.26,113.55,10.48,-0.9213,0.13748,-0.10208,-0.34912
549,275,15,25.231,20.431,-11.394,-498.05,-248.66,1136.35,-7.9,80.72,11.24,-0.91715,0.15103,-0.13371,-0.34374
550,275,16,24.811,22.968,-11.601,-473.69,-214.42,1076.6,-19.54,57.91,21.77,-0.91349,0.15895,-0.15419,-0.34131
551,275,15,24.358,24.867,-12.657,-455.81,-238.53,978.58,-27.95,44.46,35.57,-0.90952,0.17168,-0.16705,-0.33969
