,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
83,206,8,54.989,-25.228,-9.572,425.17,-1027.34,1397.77,-34.0,-57.46,-43.57,-0.81274,-0.05575,0.22557,-0.53429
84,206,27,51.576,-24.893,-2.158,427.55,-117.0,1074.22,92.18,-1.9,-17.88,-0.82389,-0.1009,0.19129,-0.52386
85,206,16,49.413,-23.179,4.37,322.81,311.28,1231.93,95.61,3.88,-8.29,-0.82968,-0.13702,0.1514,-0.51955
86,206,15,50.016,-24.209,4.769,681.7,-187.99,1238.83,102.05,23.88,-0.51,-0.82469,-0.14528,0.15636,-0.52376
87,206,15,49.231,-26.705,10.439,1647.77,119.26,911.07,172.26,135.24,-17.3,-0.81503,-0.19567,0.14979,-0.5244
88,206,16,46.687,-17.027,20.739,208.07,1084.66,1204.59,148.48,230.22,-57.43,-0.827,-0.22713,0.03614,-0.51301
89,206,15,43.296,-4.221,27.45,-397.03,976.68,922.85,48.87,178.61,-150.33,-0.84858,-0.22537,-0.08189,-0.47161
90,206,16,38.757,4.581,26.563,-237.18,475.83,1019.71,-14.08,103.95,-213.32,-0.87604,-0.18861,-0.13651,-0.42232
91,206,17,32.702,6.195,18.751,208.19,-172.0,1081.91,-39.44,51.54,-233.83,-0.90866,-0.12841,-0.1132,-0.38083
92,206,15,28.765,8.2,20.274,-19.9,765.08,1032.84,-39.56,34.25,-199.73,-0.91948,-0.13803,-0.1293,-0.34466
93,206,16,23.23,11.397,9.41,-280.7,-346.74,971.56,-106.96,-10.67,-197.36,-0.94296,-0.04597,-0.11975,-0.3072
94,206,15,21.173,8.573,11.362,-4.27,568.66,872.86,-43.0,-68.97,-136.36,-0.94867,-0.07181,-0.1006,-0.29111
95,206,15,22.162,7.42,16.551,-234.13,1276.37,692.75,-53.94,-88.01,-48.28,-0.94216,-0.11685,-0.10525,-0.29599
96,206,16,24.196,0.265,15.163,247.5,630.8,912.48,-139.85,-141.68,23.12,-0.93736,-0.12401,-0.04511,-0.3224
97,206,15,31.48,-4.394,10.935,224.91,202.45,1123.41,-72.75,-62.49,159.45,-0.91666,-0.10256,-0.00143,-0.38628
98,206,16,38.801,-2.937,3.812,-347.47,-327.76,1000.0,-57.06,-71.49,208.34,-0.89531,-0.04116,0.00823,-0.44345
99,206,16,46.189,-0.291,-1.186,-495.48,-322.45,430.05,1.27,-132.81,249.99,-0.86604,0.0077,0.00738,-0.49987
100,206,15,52.241,-8.677,0.901,388.92,64.58,1432.01,46.01,-166.27,241.01,-0.83572,-0.0478,0.05915,-0.54386
101,206,15,57.784,-18.813,-0.257,899.11,-134.22,1131.9,28.51,-147.19,207.69,-0.80045,-0.09379,0.13387,-0.57668
102,206,16,64.285,-23.139,-0.046,773.38,238.77,1698.85,25.04,-77.93,249.99,-0.76095,-0.12602,0.15602,-0.61703
