,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
860,294,7,20.669,-11.036,-31.57,178.47,-545.23,973.02,-9.45,15.09,36.05,-0.92258,0.23119,0.1686,-0.2588
861,294,27,21.382,-6.154,-31.141,39.37,-539.79,984.44,-15.19,14.01,29.72,-0.92129,0.23987,0.1303,-0.27698
862,294,15,21.433,-4.308,-31.003,15.32,-571.9,988.77,-19.58,6.83,17.3,-0.92082,0.24359,0.11535,-0.28186
863,294,15,21.298,-3.584,-31.256,44.49,-605.04,970.09,-19.48,2.7,14.31,-0.9203,0.24765,0.1099,-0.2822
864,294,17,21.256,-4.674,-31.292,127.08,-575.81,936.46,-18.97,2.08,15.6,-0.92079,0.24513,0.1186,-0.27929
865,294,15,21.312,-5.684,-30.782,167.97,-563.42,1004.52,-19.42,4.89,19.48,-0.92207,0.23831,0.12554,-0.27791
866,294,15,21.353,-6.43,-31.01,165.41,-586.43,977.29,-18.81,7.14,15.82,-0.9217,0.23812,0.13212,-0.27624
867,294,16,21.251,-6.295,-31.601,128.36,-618.1,976.01,-17.91,9.25,10.88,-0.92067,0.24335,0.13225,-0.27506
868,294,15,21.041,-5.773,-32.121,98.27,-619.87,947.2,-16.01,9.12,9.08,-0.9199,0.24914,0.12889,-0.27404
869,294,14,20.871,-5.57,-32.741,96.56,-629.52,910.71,-12.51,6.58,9.99,-0.91888,0.25483,0.12838,-0.27247
870,294,16,20.65,-5.986,-33.025,121.95,-626.4,904.05,-9.35,5.16,9.3,-0.9189,0.25628,0.13186,-0.26935
871,294,15,20.27,-6.707,-32.607,145.51,-618.71,931.58,-7.03,5.83,11.08,-0.92092,0.2515,0.13578,-0.265
872,294,17,20.041,-6.957,-32.514,142.64,-630.0,942.57,-5.45,6.52,12.57,-0.92171,0.25038,0.13705,-0.26265
873,294,15,19.795,-6.889,-32.303,130.86,-617.49,940.55,-4.96,6.52,11.87,-0.92271,0.24915,0.13549,-0.26109
874,294,15,19.634,-6.176,-32.44,96.01,-608.7,906.74,-6.05,7.22,13.47,-0.92261,0.25225,0.12977,-0.26138
875,294,15,19.472,-5.577,-32.728,84.41,-622.56,896.48,-4.9,6.69,13.98,-0.92216,0.25626,0.12529,-0.26124
876,294,15,19.363,-5.628,-33.092,110.53,-641.54,889.04,-1.94,7.32,16.64,-0.92161,0.25919,0.12627,-0.25983
877,294,15,19.265,-5.93,-33.158,134.34,-633.06,885.99,0.8,11.46,20.77,-0.92178,0.25907,0.12861,-0.25821
878,294,16,19.21,-6.227,-33.121,157.9,-647.58,905.7,4.56,17.1,24.68,-0.92207,0.25809,0.13077,-0.25707
879,294,15,19.062,-6.422,-33.46,175.54,-732.85,894.47,13.05,22.47,27.68,-0.92168,0.2605,0.13275,-0.255
880,294,16,19.217,-6.089,-33.997,182.19,-830.51,887.45,28.38,29.21,40.03,-0.92001,0.26547,0.13166,-0.25647
881,294,16,19.723,-3.626,-33.459,27.59,-872.56,965.15,54.89,33.74,63.48,-0.91915,0.26675,0.11198,-0.26732
882,294,15,17.828,-3.127,-26.116,39.12,-104.61,1254.64,51.8,36.12,-18.89,-0.9386,0.21007,0.08712,-0.25944
883,294,15,16.927,-0.143,-28.53,-511.05,-1130.62,1130.98,22.46,-7.79,-35.37,-0.93461,0.23728,0.06645,-0.25648
884,294,16,17.743,1.7,-27.829,-333.37,-841.61,1048.83,77.63,-42.38,22.38,-0.93304,0.23531,0.05149,-0.26723
885,294,15,17.699,2.582,-26.94,-536.07,-1042.97,1041.56,121.06,-78.37,-25.15,-0.93432,0.23008,0.04212,-0.26895
886,294,16,16.561,-1.51,-26.08,-159.55,-1081.12,951.17,163.37,-135.57,-96.47,-0.94091,0.21438,0.07147,-0.25222
887,294,15,17.071,-5.466,-24.168,51.51,-987.61,903.87,232.56,-128.2,-78.13,-0.94416,0.18916,0.1006,-0.25034
888,294,16,17.581,-12.031,-20.378,364.69,-497.25,666.81,249.99,-123.99,-84.73,-0.94735,0.14147,0.14688,-0.24687
889,294,16,16.264,-17.78,-8.052,584.72,351.44,743.77,249.99,-84.71,-78.7,-0.95464,0.02701,0.16687,-0.24513
890,294,15,15.874,-19.105,1.811,433.41,350.34,789.79,205.35,-62.4,-84.1,-0.95247,-0.05755,0.15641,-0.25502
891,294,15,17.563,-17.405,7.969,320.98,353.15,922.61,143.3,-45.23,-62.01,-0.94655,-0.10693,0.12676,-0.27666
892,294,16,20.532,-14.151,9.312,151.79,155.58,967.53,92.12,-40.89,-53.19,-0.9421,-0.1132,0.09352,-0.30148
893,294,15,22.865,-11.239,10.81,82.28,325.99,1073.18,44.64,-48.86,-46.29,-0.93759,-0.11965,0.06305,-0.32038
894,294,15,24.322,-9.876,11.9,167.42,511.72,1135.01,-19.6,-52.85,-57.69,-0.93368,-0.12558,0.0472,-0.33204
895,294,16,27.309,-10.111,8.379,255.37,233.28,1001.77,-95.34,-61.94,-73.21,-0.92794,-0.099,0.05674,-0.35482
896,294,16,30.707,-14.134,0.813,583.68,-85.39,756.04,-151.16,-49.62,-45.42,-0.91813,-0.05311,0.1112,-0.37663
897,294,16,34.221,-18.316,-6.898,838.93,-130.55,728.58,-176.49,-23.78,-22.78,-0.90409,-0.01039,0.16929,-0.39224
898,294,16,38.289,-20.406,-14.711,869.57,-163.94,761.47,-193.53,17.04,25.28,-0.88693,0.03607,0.21317,-0.40819
899,294,15,43.004,-19.506,-22.91,702.7,-248.11,763.37,-205.86,58.41,93.19,-0.86565,0.09319,0.23914,-0.42985
900,294,16,47.43,-14.889,-32.232,470.46,-611.51,872.13,-198.44,79.99,132.35,-0.83814,0.17348,0.2473,-0.45418
901,294,15,50.526,-9.065,-40.637,226.2,-1009.4,878.3,-160.81,83.4,149.22,-0.80599,0.25358,0.247,-0.47442
902,294,15,53.257,-3.988,-45.24,156.68,-964.84,883.48,-114.76,73.78,200.42,-0.77641,0.30269,0.23909,-0.4984
903,294,16,55.546,-1.059,-42.107,243.9,-648.5,960.75,-80.92,75.19,249.99,-0.76937,0.29052,0.21146,-0.52816
904,294,16,56.283,0.807,-37.683,138.98,-339.78,1013.06,-94.68,91.87,183.94,-0.77354,0.26823,0.17997,-0.54525
905,294,15,57.254,1.076,-36.49,276.86,-524.11,950.32,-116.45,102.23,191.05,-0.77119,0.25997,0.17466,-0.55424
906,294,16,58.775,6.079,-33.302,-73.49,-346.5,980.22,-105.35,141.6,231.86,-0.76218,0.26071,0.1284,-0.57847
907,294,15,59.728,9.138,-31.94,-70.19,-464.11,892.4,-114.42,137.76,212.36,-0.75462,0.26555,0.1028,-0.59115
908,294,16,58.964,10.655,-33.857,-49.93,-952.33,976.38,-104.55,143.69,181.5,-0.75083,0.2861,0.10046,-0.58678
909,294,15,56.153,12.968,-34.459,-199.28,-954.22,931.15,-58.33,167.57,136.69,-0.75844,0.30298,0.08033,-0.57143
910,294,15,50.409,15.853,-33.701,-446.78,-940.25,958.37,-7.15,174.74,44.27,-0.78172,0.31334,0.04079,-0.53765
911,294,17,38.856,17.662,-32.733,-579.96,-1004.21,914.98,33.94,157.39,-79.84,-0.83057,0.31488,-0.00853,-0.45927
912,294,16,27.524,19.125,-31.715,-705.93,-1027.1,924.5,85.14,124.0,-136.54,-0.87155,0.3085,-0.05444,-0.37718
913,294,15,17.138,19.689,-30.07,-776.61,-896.48,1055.79,97.69,75.61,-179.68,-0.90525,0.29037,-0.09097,-0.29654
914,294,16,8.03,16.724,-29.874,-463.99,-1028.08,1035.52,120.98,24.29,-190.93,-0.93155,0.27701,-0.08968,-0.21781
915,294,15,1.161,15.733,-27.151,-460.33,-656.62,962.04,147.72,9.81,-175.7,-0.95054,0.24786,-0.10164,-0.15721
916,294,17,-4.414,12.426,-26.008,-278.63,-662.48,943.73,147.64,-18.81,-180.47,-0.96339,0.23157,-0.08679,-0.10352
917,294,15,-8.238,7.986,-25.332,-56.52,-750.79,939.94,159.54,-29.66,-151.1,-0.97141,0.22177,-0.05725,-0.06247
918,294,15,-8.615,5.578,-22.253,-83.01,-403.99,887.94,176.06,-29.16,-99.73,-0.97861,0.19471,-0.03897,-0.05371
919,294,17,-8.401,7.1,-20.581,-340.94,-428.83,782.29,173.16,-46.6,-75.52,-0.98042,0.18097,-0.05246,-0.0573
920,294,14,-5.959,6.543,-15.924,-161.8,-134.34,770.75,152.73,-74.84,-35.34,-0.98589,0.14183,-0.04693,-0.07549
921,294,16,-2.508,4.7,-10.868,-112.24,46.69,746.46,107.87,-108.14,-9.07,-0.98946,0.09818,-0.03131,-0.10172
922,294,15,1.394,0.139,-7.6,84.47,115.48,864.07,54.83,-123.53,13.43,-0.98903,0.06585,0.00757,-0.13199
923,294,15,5.127,-3.557,-11.632,143.8,-257.51,750.24,2.96,-102.41,23.57,-0.98136,0.09483,0.04711,-0.16039
924,294,15,8.774,-4.657,-15.329,5.98,-302.92,861.08,-13.37,-105.73,31.96,-0.97216,0.1228,0.06557,-0.18851
925,294,16,11.474,-10.039,-17.394,511.17,-318.6,1160.28,-24.73,-95.13,19.34,-0.96375,0.12806,0.11734,-0.20252
926,294,15,14.932,-11.025,-22.501,242.37,-401.98,876.28,-45.29,-63.93,12.83,-0.95037,0.16474,0.13945,-0.22406
927,294,17,17.912,-11.578,-24.486,290.41,-324.95,1025.39,-54.12,-40.82,34.01,-0.94112,0.17602,0.15246,-0.24507
928,294,15,19.876,-10.793,-27.289,280.88,-545.17,1231.57,-56.24,-18.4,20.43,-0.93242,0.19831,0.15551,-0.25901
929,294,15,21.549,-8.035,-30.888,75.44,-784.06,1139.22,-46.39,5.52,37.73,-0.9218,0.2326,0.145,-0.27415
930,294,16,22.697,-5.314,-32.344,46.94,-722.9,1125.79,-28.92,15.4,50.06,-0.91519,0.25028,0.12941,-0.28816
931,294,15,22.773,-2.673,-32.343,-81.97,-725.28,1059.88,8.62,14.5,19.21,-0.91372,0.25735,0.10864,-0.2951
932,294,15,22.568,-1.01,-29.233,-66.89,-407.41,1005.37,18.03,12.86,12.76,-0.91997,0.23707,0.08685,-0.29984
933,294,16,22.603,-0.638,-26.054,-3.36,-273.01,1011.66,2.08,3.54,8.86,-0.92589,0.21243,0.07556,-0.30313
934,294,15,22.8,-0.4,-24.503,-9.34,-397.77,1021.91,-7.61,-5.27,10.49,-0.92803,0.2004,0.06987,-0.30614
935,294,16,23.138,-0.428,-25.116,-4.39,-496.89,1026.61,-9.54,-11.45,11.94,-0.92606,0.20507,0.07233,-0.30844
936,294,16,23.141,-0.274,-25.9,-38.33,-544.74,1024.48,-3.83,-16.17,-0.05,-0.92453,0.21182,0.07321,-0.30825
937,294,15,23.213,-0.476,-27.08,-46.88,-755.68,1215.82,3.4,-22.53,0.74,-0.92223,0.22073,0.07814,-0.30767
938,294,14,23.536,0.546,-28.101,-189.21,-894.78,1185.24,26.89,-22.21,11.8,-0.91867,0.23148,0.07332,-0.3116
