,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
57,274,7,13.162,26.037,41.155,-460.39,525.21,716.31,-51.32,-30.6,-79.44,-0.90546,-0.28384,-0.28491,-0.13564
58,274,27,5.26,20.844,25.536,-23.68,-4.33,1774.35,-34.82,-35.82,-118.82,-0.95256,-0.18515,-0.20998,-0.11937
59,274,16,4.991,25.358,23.994,-657.41,237.43,933.9,18.16,33.16,-108.6,-0.94895,-0.16502,-0.24492,-0.11078
60,274,16,7.111,27.792,25.481,-770.94,477.42,887.82,7.13,-1.53,-50.97,-0.94072,-0.16802,-0.2692,-0.11974
61,274,15,8.656,28.411,26.775,-578.98,476.99,804.93,-0.05,-17.16,-63.61,-0.93609,-0.17368,-0.27787,-0.1279
62,274,15,7.49,30.196,25.282,-580.99,285.4,789.67,18.46,-19.97,-111.98,-0.9364,-0.1607,-0.28881,-0.11801
63,274,16,6.851,32.664,24.909,-755.43,281.01,783.94,34.76,-24.12,-98.93,-0.93276,-0.15439,-0.30723,-0.1083
64,274,16,5.349,34.375,22.183,-724.18,-98.33,722.35,68.51,-42.23,-44.54,-0.93389,-0.13299,-0.31651,-0.09988
65,274,15,7.262,34.979,23.631,-741.82,-67.87,626.34,124.77,-59.85,50.17,-0.92909,-0.13824,-0.3249,-0.11012
66,274,15,15.479,32.084,32.522,-667.79,305.11,604.37,144.77,-63.52,189.45,-0.91222,-0.19332,-0.32469,-0.15831
67,274,17,22.677,24.782,40.254,-438.72,718.38,823.36,107.11,-43.52,229.7,-0.8941,-0.25615,-0.29655,-0.21689
68,274,15,27.816,19.308,43.194,-482.79,715.39,904.66,60.46,-6.42,249.99,-0.87877,-0.2838,-0.27466,-0.26792
69,274,16,33.034,13.604,46.521,-260.25,1057.62,874.27,16.11,39.28,249.99,-0.8557,-0.3166,-0.25569,-0.31963
70,274,15,35.962,13.063,47.079,-340.45,1114.01,892.64,-37.2,100.84,152.95,-0.84541,-0.31609,-0.26155,-0.34201
