,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
20,22,7,18.833,3.469,-33.669,-477.36,-1046.02,1244.51,139.12,-128.51,110.15,-0.91571,0.28595,0.05352,-0.2772
21,22,28,9.271,-22.963,-22.766,556.09,-410.52,317.87,249.99,-164.69,-250.0,-0.94916,0.15049,0.22987,-0.15363
22,22,15,-0.631,-31.879,-3.83,1017.4,1316.47,579.96,249.99,-106.22,-241.16,-0.95573,0.00044,0.27634,-0.10108
23,22,16,-6.623,-30.258,5.52,413.94,784.18,778.2,33.92,-17.17,-167.0,-0.96154,-0.06271,0.25727,-0.0729
24,22,15,-5.745,-30.469,-3.822,813.11,-1344.85,1033.02,-42.06,-54.12,-250.0,-0.96256,0.01365,0.26424,-0.05899
25,22,16,-10.063,-31.591,-1.838,1382.39,72.33,1123.11,16.09,50.53,-250.0,-0.96175,0.00655,0.27253,-0.027
26,22,16,-14.364,-21.642,-2.38,-170.29,55.24,836.67,-62.39,54.7,-250.0,-0.98198,0.02132,0.1876,0.00873
27,22,15,-16.857,-20.078,-6.398,291.63,-121.34,930.73,-65.44,-9.73,-250.0,-0.98255,0.05957,0.17252,0.03595
28,22,16,-19.89,-19.046,-12.14,470.58,-89.6,954.1,-118.74,45.4,-250.0,-0.97837,0.11288,0.15875,0.06957
29,22,16,-21.547,-20.178,-20.414,397.77,-644.29,678.65,-41.34,-2.05,-250.0,-0.96465,0.18571,0.16023,0.09642
30,22,15,-23.192,-24.283,-17.135,839.6,290.41,930.24,29.02,0.71,-114.69,-0.96091,0.16218,0.19536,0.11038
31,22,16,-25.758,-23.189,-11.958,371.22,446.66,942.69,30.24,17.51,-124.42,-0.96679,0.12231,0.18817,0.12231
32,22,15,-21.424,-22.293,-16.242,513.55,-166.2,1161.25,-0.02,-27.84,-30.63,-0.96733,0.15101,0.18175,0.09182
33,22,15,-14.277,-21.13,-22.002,627.01,-440.98,1114.99,15.43,-6.88,82.86,-0.96483,0.18834,0.1792,0.03901
34,22,16,-7.21,-16.207,-25.473,253.66,-543.09,1142.33,50.36,6.58,138.32,-0.96585,0.21,0.14981,-0.02448
