,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
609,426,7,16.958,7.658,-18.199,-342.53,-462.77,1260.5,110.22,-27.54,22.74,-0.94713,0.16963,-0.02173,-0.27147
610,426,27,14.028,6.67,-17.522,-215.82,-885.01,1427.49,108.76,-13.3,-3.76,-0.95558,0.16142,-0.01924,-0.24586
611,426,16,12.748,7.207,-15.247,-228.88,-567.38,1378.91,124.78,1.07,-4.92,-0.96086,0.14317,-0.03023,-0.23524
612,426,16,11.296,7.287,-9.928,-150.94,-143.07,1153.75,116.26,11.5,-44.01,-0.96929,0.09805,-0.04304,-0.22137
613,426,15,10.069,6.646,-6.666,-89.9,-116.94,943.12,83.4,11.11,-55.1,-0.97439,0.06875,-0.04461,-0.20939
614,426,16,9.69,5.106,-8.558,12.94,-327.39,873.66,41.42,-0.65,-20.97,-0.97469,0.08202,-0.02832,-0.20604
615,426,15,9.014,3.941,-13.144,14.89,-795.9,959.78,33.47,-6.62,-26.08,-0.97245,0.11888,-0.01086,-0.20022
616,426,15,7.885,2.163,-15.968,106.38,-821.17,1047.79,65.93,-1.11,-44.87,-0.97196,0.13991,0.00777,-0.18882
617,426,16,7.591,-0.468,-15.565,209.53,-481.38,1067.08,82.44,2.62,-24.93,-0.97367,0.13231,0.0291,-0.18334
618,426,15,7.995,-3.517,-13.417,343.38,-261.35,1053.59,73.61,20.0,-13.72,-0.97546,0.1089,0.05201,-0.18415
619,426,16,8.367,-4.25,-11.466,249.02,-181.88,1030.64,56.41,54.35,-14.16,-0.97648,0.09087,0.05539,-0.18751
620,426,16,9.58,-2.285,-12.443,94.12,-272.77,936.16,27.43,72.67,11.84,-0.97373,0.10208,0.04136,-0.19927
621,426,14,10.838,1.997,-14.95,-143.01,-481.51,1022.64,9.92,73.33,37.16,-0.96804,0.13076,0.01087,-0.21372
622,426,15,11.941,2.896,-13.588,-0.92,-144.71,940.12,-13.32,43.32,32.41,-0.96706,0.12088,0.00188,-0.22403
623,426,16,12.123,1.414,-15.831,125.61,-318.3,999.76,-43.67,26.09,7.12,-0.96478,0.13693,0.01898,-0.22379
624,426,15,13.614,1.253,-19.749,86.12,-464.11,936.34,-59.81,24.72,63.8,-0.95663,0.16915,0.03017,-0.23525
625,426,16,14.219,0.557,-21.774,53.59,-332.15,856.69,-64.88,15.27,48.19,-0.95256,0.18441,0.04109,-0.23862
626,426,15,15.611,0.55,-21.556,41.81,-300.23,1130.13,-69.02,0.93,77.72,-0.94994,0.18207,0.04291,-0.25024
627,426,16,15.73,3.344,-22.919,-194.82,-377.69,913.09,-56.07,1.09,43.42,-0.94582,0.19932,0.02296,-0.25527
628,426,16,14.447,3.764,-27.295,-346.31,-1017.33,1078.67,-36.08,-40.75,-18.55,-0.93999,0.23648,0.0266,-0.24451
629,426,15,13.916,3.606,-28.406,-316.53,-910.03,1289.86,5.52,-66.5,-2.66,-0.9389,0.24541,0.02913,-0.23958
630,426,15,11.853,5.605,-26.235,-580.08,-611.76,1173.95,60.21,-38.14,-61.49,-0.94601,0.23159,0.00389,-0.22677
631,426,16,9.053,7.287,-25.141,-688.35,-717.9,1074.77,84.4,-47.86,-101.36,-0.95201,0.22519,-0.01777,-0.20653
632,426,15,7.543,9.107,-22.567,-762.33,-589.97,1095.7,113.09,-67.69,-79.32,-0.95779,0.20609,-0.04039,-0.19629
633,426,15,6.888,5.165,-20.625,-123.17,-584.35,1141.48,121.1,-87.54,-59.77,-0.96542,0.18389,-0.0115,-0.18442
634,426,16,5.661,-1.24,-14.243,155.46,-161.87,982.67,149.43,-89.56,-103.77,-0.97818,0.12037,0.03154,-0.16638
635,426,16,4.478,-8.413,-10.857,427.61,-118.77,854.0,102.2,-76.73,-109.71,-0.98133,0.08156,0.08708,-0.15084
636,426,16,5.27,-16.367,-12.096,737.67,-382.51,809.69,58.01,-96.41,-76.42,-0.97319,0.0794,0.15687,-0.14826
637,426,15,7.455,-20.663,-13.294,695.56,-401.98,905.21,67.55,-43.98,-30.63,-0.96424,0.07907,0.19609,-0.15981
638,426,15,9.991,-22.101,-16.277,358.15,-412.29,739.44,42.58,-49.44,-31.81,-0.9563,0.09685,0.21431,-0.17372
639,426,16,13.509,-22.044,-16.951,383.24,-284.61,1066.41,27.6,-66.46,36.28,-0.95005,0.09594,0.21791,-0.2018
640,426,15,14.843,-21.835,-14.078,419.56,-10.31,1304.5,19.43,-45.63,34.28,-0.94996,0.07009,0.21189,-0.21857
641,426,15,14.016,-17.22,-9.099,-176.27,375.18,1077.82,-5.32,-14.08,0.38,-0.95957,0.04026,0.16371,-0.22538
642,426,16,14.077,-7.923,-6.629,-790.89,349.12,493.65,-43.24,-16.14,-10.89,-0.96758,0.03936,0.08084,-0.23603
643,426,16,17.889,-11.542,-15.59,330.51,-686.71,1198.85,-139.43,-112.63,53.1,-0.95201,0.10262,0.13268,-0.25601
644,426,15,20.088,-15.226,-18.276,764.77,-344.48,1267.94,-76.21,-20.48,59.26,-0.94226,0.11246,0.171,-0.26508
645,426,17,20.756,-18.433,-17.352,1065.98,242.37,1166.93,-91.55,38.9,73.06,-0.93894,0.09515,0.19541,-0.26675
