,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
499,435,7,30.868,3.38,38.217,-99.0,746.46,931.4,16.17,-20.72,2.6,-0.87731,-0.29208,-0.15012,-0.34998
500,435,27,32.694,5.434,38.21,-178.47,641.11,832.76,1.38,1.45,16.13,-0.87335,-0.28271,-0.17019,-0.35828
501,435,15,33.648,6.853,39.103,-270.14,696.59,816.71,8.96,-6.2,24.99,-0.86921,-0.28317,-0.18597,-0.36014
502,435,17,34.408,7.424,39.874,-265.44,716.49,835.63,11.88,-16.87,34.85,-0.86532,-0.28575,-0.19452,-0.36296
503,435,15,35.304,7.869,39.631,-266.05,612.85,807.56,10.19,-17.97,53.49,-0.86338,-0.28079,-0.19925,-0.36883
504,435,15,36.666,7.429,39.243,-223.94,582.95,803.65,14.81,-14.93,81.69,-0.85954,-0.27711,-0.19805,-0.38102
505,435,16,38.409,3.443,39.715,56.27,779.17,972.47,16.06,0.47,95.89,-0.84871,-0.29246,-0.17477,-0.4045
506,435,14,39.823,1.263,41.007,370.79,1124.57,1112.24,6.69,73.88,33.63,-0.83765,-0.30793,-0.16719,-0.41901
507,435,15,40.65,3.79,40.448,478.45,1053.77,1140.87,-30.2,200.75,-92.09,-0.83917,-0.29304,-0.18565,-0.41888
508,435,16,39.805,9.118,39.327,569.34,1244.75,1110.6,-84.11,249.99,-212.42,-0.84992,-0.26564,-0.21806,-0.39941
509,435,16,38.185,16.345,38.666,363.1,1474.49,667.24,-163.35,249.99,-250.0,-0.86018,-0.23576,-0.26419,-0.36704
510,435,16,37.508,24.392,35.463,-31.68,869.75,434.75,-250.0,249.99,-250.0,-0.86708,-0.18122,-0.31026,-0.34506
511,435,16,29.402,41.9,18.43,-943.05,-510.74,331.24,-250.0,249.99,-250.0,-0.87818,-0.00912,-0.38321,-0.28613
512,435,15,18.88,49.741,1.209,-1175.17,-501.1,773.86,-184.75,149.21,-182.71,-0.87182,0.10913,-0.40625,-0.25097
513,435,16,16.114,51.171,-3.638,-840.88,117.19,809.39,-87.34,97.59,-147.63,-0.86741,0.13906,-0.40963,-0.24591
514,435,16,12.722,47.425,-7.88,-568.18,4.03,1003.3,-42.3,34.32,-140.84,-0.88272,0.15326,-0.37607,-0.23642
515,435,15,10.745,44.019,-6.958,-566.53,329.53,1006.35,14.18,17.96,-197.38,-0.89943,0.13449,-0.35356,-0.21893
516,435,16,2.217,38.803,-14.424,-666.81,-619.14,1076.05,70.64,-45.85,-206.21,-0.92082,0.16317,-0.30985,-0.17166
517,435,15,1.021,37.587,-12.256,-840.82,-398.44,851.68,157.39,-59.02,-36.54,-0.92898,0.14153,-0.30461,-0.15551
518,435,16,6.75,37.506,-2.5,-974.06,-93.99,741.64,212.07,-114.09,91.02,-0.93025,0.07766,-0.31257,-0.17577
519,435,16,13.595,38.976,9.006,-1469.79,130.13,224.67,226.27,-172.1,142.58,-0.91928,0.00685,-0.34064,-0.1971
520,435,15,23.055,36.631,24.536,-928.83,463.68,111.51,213.69,-211.83,221.67,-0.9012,-0.09431,-0.35509,-0.22989
521,435,17,30.01,32.264,38.877,-480.16,434.94,45.59,186.26,-185.15,234.38,-0.87496,-0.19886,-0.36236,-0.25216
522,435,15,32.523,23.583,47.492,-371.46,704.16,469.97,158.26,-139.55,249.99,-0.85617,-0.28884,-0.32701,-0.27677
523,435,15,32.212,16.1,51.087,-484.92,1021.18,786.44,89.0,-115.39,249.99,-0.84591,-0.34361,-0.28316,-0.29357
524,435,16,31.428,8.302,49.267,-219.36,758.3,986.15,39.15,-91.81,249.99,-0.84851,-0.35846,-0.22059,-0.32075
525,435,15,35.063,0.275,45.843,-28.5,554.99,1108.76,25.8,-54.69,249.99,-0.83895,-0.35368,-0.1631,-0.38009
