,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
146,427,7,75.984,-30.611,-5.205,589.42,-116.27,968.93,-16.68,10.74,6.84,0.69107,0.15508,-0.21772,0.67155
147,427,28,76.217,-30.544,-6.397,573.06,-134.16,945.62,1.13,10.25,-1.64,0.69137,0.14794,-0.224,0.67078
148,427,15,75.705,-28.441,-6.209,504.39,-126.28,1125.06,1.81,11.23,-6.69,0.69675,0.13542,-0.21115,0.67203
149,427,16,74.434,-27.87,-5.099,487.61,-62.44,983.22,0.74,8.08,-14.06,0.70356,0.13648,-0.20277,0.66728
150,427,16,75.119,-27.858,-6.952,641.05,-289.37,1204.83,6.61,5.87,0.11,0.7017,0.12629,-0.21271,0.66814
151,427,15,75.859,-27.565,-9.524,833.62,-937.26,1429.26,60.52,25.7,-37.8,0.70035,0.11019,-0.22522,0.66831
152,427,15,75.219,-25.24,-6.854,655.21,-1194.95,1354.8,249.99,81.06,-84.41,0.70381,0.11129,-0.19642,0.67355
153,427,16,74.048,-24.402,-6.444,427.43,-906.68,366.27,249.99,116.65,-120.64,0.71112,0.10681,-0.19009,0.66841
154,427,15,63.968,-23.258,12.456,307.07,467.53,250.67,249.99,135.83,-176.5,0.74422,0.2085,-0.08928,0.62825
155,427,16,54.97,-15.92,30.139,259.16,1339.05,654.85,249.99,127.07,-250.0,0.76887,0.28801,0.03506,0.56979
156,427,15,50.149,-6.337,41.364,-44.13,1147.58,876.22,201.19,101.62,-208.02,0.78207,0.32652,0.14287,0.51122
157,427,17,48.475,0.08,45.136,-121.7,806.88,819.4,104.0,58.24,-138.28,0.79053,0.32815,0.199,0.47726
158,427,16,46.142,0.595,41.272,212.65,211.49,995.48,56.22,3.19,-138.44,0.8116,0.30287,0.18026,0.46592
159,427,14,43.04,0.631,39.906,354.0,668.64,1352.17,48.45,-11.18,-179.23,0.82757,0.29766,0.16696,0.44571
160,427,15,39.871,5.04,40.602,-568.54,1560.61,1107.06,-70.05,-53.38,-174.13,0.84296,0.29067,0.19327,0.40937
161,427,16,37.216,3.608,37.466,-557.01,1839.36,868.04,-250.0,-184.84,-79.26,0.85864,0.27687,0.16514,0.3985
162,427,16,37.069,-4.277,36.69,-7.57,1031.37,244.51,-250.0,-250.0,70.13,0.85154,0.29925,0.10309,0.41797
163,427,14,41.329,-23.259,31.113,1196.59,600.52,190.25,-250.0,-234.12,249.99,0.81147,0.32273,-0.0506,0.48457
164,427,18,53.675,-34.122,12.85,1217.77,-738.4,487.67,-250.0,-55.13,249.99,0.77176,0.25089,-0.18304,0.55492
165,427,15,69.373,-34.794,-9.888,841.98,-1340.27,878.66,-250.0,10.43,249.99,0.72819,0.1362,-0.27739,0.61176
166,427,16,77.372,-30.215,-23.064,524.41,-1688.29,1288.02,-117.83,32.22,116.45,0.69923,0.04734,-0.31658,0.63923
167,427,15,76.799,-27.894,-19.196,383.36,-74.46,1061.52,19.06,8.46,52.34,0.70167,0.0551,-0.28218,0.65192
168,427,15,76.405,-24.776,-16.702,97.78,-79.71,1135.01,-0.66,-25.46,37.97,0.70417,0.05023,-0.25031,0.66255
169,427,17,77.33,-24.1,-18.302,235.66,-472.47,1107.79,11.12,-55.69,20.81,0.69967,0.03828,-0.25535,0.66618
170,427,15,75.507,-26.86,-14.726,471.44,-253.66,1101.32,63.45,-67.6,-23.8,0.70713,0.07321,-0.25147,0.65679
171,427,15,72.205,-30.982,-7.349,639.16,193.79,926.94,62.07,-64.87,-35.02,0.71498,0.13662,-0.23704,0.64338
