,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
0,422,9,77.08,-21.176,-17.327,365.11,-313.96,1019.71,-3.33,-0.89,-5.99,-0.70156,-0.02553,0.23295,-0.67297
1,422,26,76.051,-22.511,-17.928,404.79,-349.61,1015.99,0.59,-10.36,-15.07,-0.7074,-0.02796,0.24443,-0.66261
2,422,16,75.158,-23.554,-17.472,450.81,-309.81,994.14,0.43,-10.86,-23.56,-0.7121,-0.03526,0.24812,-0.65582
3,422,15,74.411,-24.59,-17.248,491.82,-304.38,970.4,-2.72,-5.89,-25.25,-0.71588,-0.04133,0.25315,-0.6494
4,422,16,73.692,-25.084,-16.583,499.33,-260.8,962.04,-7.22,2.47,-17.84,-0.71945,-0.0469,0.25257,-0.64529
5,422,15,73.349,-24.916,-16.435,485.72,-267.88,966.37,-12.86,7.15,-10.56,-0.72141,-0.04606,0.25089,-0.64381
6,422,15,73.479,-25.07,-17.308,526.86,-314.51,946.9,-15.85,14.8,-4.66,-0.72094,-0.04178,0.25664,-0.64236
7,422,17,73.941,-25.162,-18.283,588.62,-332.09,927.31,-15.36,27.47,2.4,-0.71865,-0.03725,0.26249,-0.64285
8,422,16,74.142,-24.51,-18.449,529.3,-291.99,914.49,-13.63,37.74,8.23,-0.71782,-0.03273,0.25955,-0.64521
9,422,15,73.104,-19.725,-16.051,166.75,-130.8,1416.99,-13.15,41.52,7.55,-0.72466,-0.01679,0.21772,-0.65359
10,422,16,73.618,-18.741,-18.361,338.68,-420.72,992.55,-18.48,20.73,9.72,-0.72203,0.00273,0.22496,-0.65426
11,422,15,73.787,-17.375,-18.887,281.86,-331.48,1000.92,-15.11,13.11,21.35,-0.72104,0.01397,0.2198,-0.65696
12,422,15,74.2,-16.847,-19.082,285.34,-305.05,998.84,-22.97,3.66,38.67,-0.7186,0.0176,0.21782,-0.6602
13,422,16,75.621,-16.942,-21.358,323.49,-457.15,1013.98,-19.35,-2.02,48.89,-0.70995,0.02841,0.23182,-0.6644
14,422,15,77.911,-15.381,-24.192,108.58,-661.25,992.31,9.9,-26.25,56.72,-0.695,0.05073,0.24015,-0.67581
15,422,17,80.145,-17.642,-25.034,360.05,-630.37,1053.89,45.3,-47.71,59.46,-0.68255,0.0367,0.25871,-0.68253
16,422,16,81.447,-20.052,-23.378,411.13,-484.07,1068.42,69.62,-47.01,45.92,-0.676,0.00852,0.26229,-0.68859
17,422,15,82.71,-22.567,-21.778,459.78,-463.99,1018.43,85.78,-49.31,32.33,-0.66877,-0.02001,0.26615,-0.69391
18,422,16,82.658,-24.02,-17.675,414.25,-305.18,1033.94,96.61,-46.69,16.02,-0.66768,-0.05325,0.24904,-0.69953
19,422,15,82.153,-25.173,-14.072,417.3,-274.35,1008.54,98.99,-41.71,0.87,-0.66826,-0.08063,0.23359,-0.70169
20,422,15,81.656,-25.211,-11.614,414.12,-276.98,1067.93,93.78,-29.56,-7.5,-0.6694,-0.09424,0.21911,-0.70357
21,422,16,80.769,-25.255,-9.821,420.65,-274.35,1079.96,86.69,-20.39,-24.4,-0.67327,-0.10337,0.20912,-0.70164
22,422,16,78.991,-25.143,-8.243,406.49,-257.81,1040.16,77.1,-8.94,-54.57,-0.68273,-0.10882,0.20052,-0.69414
23,422,15,75.342,-25.435,-3.731,504.82,-54.38,1096.31,59.8,3.23,-75.05,-0.69956,-0.13179,0.17903,-0.67911
24,422,17,72.146,-26.562,-0.808,662.11,-13.43,990.36,38.4,29.23,-85.88,-0.71319,-0.15157,0.17276,-0.66222
25,422,15,68.377,-23.844,3.527,423.52,208.44,989.75,12.45,60.52,-84.48,-0.73291,-0.1584,0.13583,-0.64753
