,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
532,488,8,23.645,25.733,-1.9,-569.76,-72.81,1042.42,10.53,-7.1,-19.71,-0.92199,0.08678,-0.20568,-0.31638
533,488,28,24.384,27.823,-1.158,-609.99,-16.66,1007.39,11.15,-3.06,-8.03,-0.91644,0.0879,-0.22398,-0.31977
534,488,15,25.376,28.485,0.158,-593.26,59.69,986.45,5.25,-5.63,-2.53,-0.91328,0.08122,-0.23223,-0.32463
535,488,15,25.778,29.356,0.166,-593.87,2.2,938.05,0.12,-4.64,-1.07,-0.91036,0.08447,-0.2389,-0.32716
536,488,15,25.273,29.742,-1.201,-561.22,-65.43,915.83,-3.56,-6.18,-9.92,-0.90991,0.09537,-0.23847,-0.32573
537,488,15,24.68,30.098,-2.867,-569.34,-124.51,917.36,0.86,-4.82,-3.58,-0.90934,0.10835,-0.23711,-0.32426
538,488,15,24.327,29.948,-4.062,-521.36,-120.48,905.09,5.83,-1.84,0.03,-0.9095,0.11669,-0.23287,-0.32398
539,488,16,23.587,30.322,-5.495,-545.1,-160.46,887.02,9.04,-0.08,1.5,-0.90921,0.12755,-0.23262,-0.32087
540,488,16,23.234,30.704,-6.398,-549.13,-180.91,876.65,18.42,-0.18,11.92,-0.90828,0.13498,-0.23356,-0.31979
541,488,16,24.141,30.02,-5.321,-520.81,-102.66,944.52,21.26,-0.4,24.42,-0.90853,0.1265,-0.23008,-0.32502
542,488,15,25.313,28.602,-3.022,-413.82,22.71,1023.13,14.91,17.1,12.6,-0.91061,0.10673,-0.22413,-0.33039
543,488,15,24.984,28.666,-3.322,-512.82,-84.11,1028.2,10.66,29.52,1.75,-0.91114,0.10865,-0.22409,-0.32832
544,488,16,25.482,29.278,-2.141,-508.0,-32.65,970.15,19.33,34.63,9.38,-0.9095,0.10196,-0.23191,-0.3296
545,488,15,25.547,28.573,-3.306,-490.72,-194.46,1158.51,9.95,29.84,31.64,-0.90973,0.10937,-0.22286,-0.33281
546,488,15,27.84,31.865,-0.494,-977.05,36.74,1247.56,30.1,40.4,58.67,-0.89837,0.10144,-0.25511,-0.34288
547,488,16,30.145,35.635,3.617,-1486.51,382.02,1123.47,29.0,-5.42,17.26,-0.88606,0.08656,-0.29486,-0.34708
548,488,16,31.127,35.442,6.489,-1430.48,606.02,1029.85,-8.02,-116.08,-27.99,-0.88545,0.0663,-0.30144,-0.34746
549,488,15,32.058,30.641,8.329,-781.56,525.51,1013.43,-52.13,-175.26,-19.91,-0.89339,0.03816,-0.26999,-0.35708
550,488,17,30.729,27.927,6.576,-813.17,295.17,687.26,-96.42,-217.09,-43.82,-0.90186,0.03976,-0.24403,-0.35427
551,488,15,29.791,20.736,2.912,-366.58,89.72,735.29,-117.62,-234.95,-13.84,-0.91476,0.04359,-0.17633,-0.36087
552,488,16,29.891,9.967,-2.635,74.65,-132.14,836.55,-121.88,-211.11,26.07,-0.92369,0.05357,-0.07208,-0.37245
553,488,15,31.381,0.882,-8.636,318.91,-349.67,916.63,-112.57,-151.41,55.6,-0.9204,0.07246,0.02183,-0.38358
554,488,15,32.128,-3.649,-14.927,208.44,-562.19,896.55,-78.46,-79.65,23.72,-0.9141,0.10722,0.07972,-0.38284
555,488,16,32.587,-5.715,-18.222,208.25,-491.58,1004.58,-36.9,-10.77,28.38,-0.90956,0.12598,0.10753,-0.38113
556,488,16,31.384,-3.588,-18.784,44.01,-393.13,1032.29,-9.05,52.25,9.5,-0.91241,0.13872,0.09117,-0.37411
557,488,15,29.824,0.679,-19.393,-94.06,-461.79,963.68,17.39,97.69,8.18,-0.91476,0.15854,0.05716,-0.36718
558,488,16,26.933,5.714,-19.388,-172.24,-493.1,949.95,51.21,137.71,-16.94,-0.92003,0.17477,0.01247,-0.3505
559,488,15,24.452,13.694,-17.296,-492.98,-378.97,959.72,83.41,162.01,-2.29,-0.92152,0.17966,-0.06244,-0.33855
560,488,16,23.079,22.23,-13.17,-723.69,-193.54,931.64,114.02,152.55,9.14,-0.91773,0.16732,-0.14608,-0.32929
561,488,15,23.132,29.073,-8.868,-801.03,-86.49,909.12,101.95,110.43,20.24,-0.90925,0.15025,-0.21366,-0.32409
562,488,15,24.992,33.321,-3.202,-780.64,85.63,1007.39,90.0,80.28,30.16,-0.90064,0.12042,-0.26143,-0.32558
563,488,16,26.889,35.469,1.303,-721.07,80.81,1039.25,68.92,58.55,16.77,-0.89421,0.09574,-0.28935,-0.32788
564,488,16,27.437,37.202,3.053,-799.01,39.55,1025.76,48.96,38.84,1.96,-0.88973,0.08866,-0.30733,-0.32568
565,488,15,26.876,38.199,2.563,-897.09,-28.5,1076.54,26.66,12.0,-7.6,-0.88836,0.09388,-0.31408,-0.32148
566,488,16,25.748,35.696,0.282,-571.11,-159.97,991.09,13.64,-23.6,4.94,-0.896,0.10148,-0.28921,-0.32131
567,488,15,27.305,34.865,2.276,-641.42,76.35,984.68,15.68,0.33,11.77,-0.89526,0.08741,-0.28711,-0.32931
568,488,15,29.118,34.882,4.113,-722.11,247.44,949.04,-32.47,-14.95,1.74,-0.89126,0.07772,-0.29129,-0.33878
569,488,16,29.918,34.455,2.533,-669.74,100.28,897.4,-84.98,-31.65,13.01,-0.88869,0.09065,-0.28267,-0.34946
570,488,15,28.627,32.045,-2.829,-558.78,-70.92,917.6,-120.41,-55.18,1.46,-0.89329,0.12196,-0.24865,-0.35404
571,488,15,27.305,28.515,-7.986,-419.8,-173.1,965.64,-109.29,-43.82,-1.73,-0.89928,0.14945,-0.20636,-0.35549
572,488,17,26.56,26.036,-11.521,-380.74,-237.37,935.67,-80.43,-27.57,16.65,-0.90207,0.1691,-0.17662,-0.35563
573,488,15,26.551,24.705,-12.832,-447.88,-238.83,1046.2,-52.91,-11.02,37.09,-0.90292,0.17578,-0.1619,-0.35724
574,488,16,27.174,23.29,-11.302,-402.71,-128.97,1119.57,-23.19,-6.64,27.48,-0.90605,0.16065,-0.15441,-0.35975
575,488,15,27.431,21.912,-8.663,-343.81,-25.57,1100.89,2.59,-0.07,5.64,-0.91123,0.13613,-0.15127,-0.35813
576,488,15,27.513,20.14,-5.718,-254.46,65.19,1156.56,12.2,9.12,-7.55,-0.91707,0.10756,-0.14608,-0.35506
577,488,16,27.184,18.772,-3.504,-200.32,67.75,1226.07,13.49,36.17,-18.09,-0.922,0.08532,-0.14214,-0.3499
578,488,15,26.128,18.92,-2.473,-264.83,16.3,1149.23,8.04,63.23,-40.05,-0.9257,0.07611,-0.14718,-0.34004
579,488,15,24.151,22.6,-4.142,-472.78,-121.77,1057.98,-3.49,78.56,-35.71,-0.92442,0.09719,-0.17365,-0.32535
580,488,17,22.674,27.11,-6.3,-731.57,-231.99,996.46,-6.44,66.16,-17.05,-0.91789,0.12398,-0.20555,-0.316
581,488,15,21.727,30.118,-7.985,-749.94,-214.42,992.31,-10.99,35.1,-7.17,-0.91187,0.1431,-0.22631,-0.31113
582,488,15,21.802,31.4,-9.351,-646.48,-218.44,996.28,-18.5,19.59,23.7,-0.90681,0.15717,-0.2328,-0.31433
583,488,17,21.755,31.303,-11.1,-584.72,-224.37,978.88,-34.52,5.91,23.67,-0.90468,0.17066,-0.22727,-0.31746
584,488,15,21.718,30.963,-12.929,-557.37,-231.38,950.81,-48.62,3.03,26.55,-0.90279,0.18423,-0.21949,-0.3207
585,488,16,21.164,31.156,-15.353,-573.55,-272.64,911.74,-57.85,1.42,20.3,-0.89976,0.20268,-0.21519,-0.32099
