,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
1030,537,7,-1.419,28.871,-10.707,-580.63,-224.79,1035.34,48.65,-2.52,31.3,-0.95607,0.11659,-0.23702,-0.1271
1031,537,27,2.137,28.063,-3.022,-544.56,29.24,1039.67,45.94,-12.57,28.02,-0.95957,0.05894,-0.23649,-0.14078
1032,537,16,1.712,26.197,-1.178,-427.06,77.51,1050.78,14.21,-12.46,-29.6,-0.96471,0.0405,-0.22319,-0.13374
1033,537,15,-0.137,23.927,-5.818,-284.85,-459.9,1026.0,-4.84,-10.22,5.87,-0.96883,0.07392,-0.19965,-0.12666
1034,537,15,0.902,22.638,-5.885,-348.75,-174.44,1035.58,23.19,10.6,30.94,-0.96992,0.075,-0.18796,-0.13529
1035,537,17,2.634,26.044,-3.39,-779.48,140.26,951.97,-5.23,3.28,17.49,-0.96291,0.06071,-0.21879,-0.14578
1036,537,15,4.415,27.908,-2.861,-778.81,74.83,940.06,-48.5,-35.19,32.59,-0.957,0.06208,-0.23419,-0.15951
1037,537,16,4.417,27.489,-5.059,-590.7,-77.33,983.83,-65.64,-52.06,13.6,-0.95652,0.07991,-0.22758,-0.16398
1038,537,14,3.984,24.471,-7.955,-378.85,-150.09,981.14,-70.64,-44.8,8.18,-0.96094,0.09965,-0.1984,-0.16522
1039,537,15,3.254,22.571,-11.554,-403.14,-272.16,1023.19,-66.4,-36.03,12.5,-0.96198,0.12649,-0.17792,-0.16415
1040,537,17,2.672,19.357,-13.759,-245.97,-332.4,1133.67,-41.93,-27.95,7.51,-0.96569,0.14077,-0.14827,-0.16013
1041,537,15,2.609,17.859,-12.207,-301.09,-129.21,1126.71,-12.81,-12.23,-3.2,-0.96987,0.12599,-0.13777,-0.15651
1042,537,15,2.924,18.897,-8.2,-440.98,145.14,1070.13,0.73,0.24,-15.31,-0.97174,0.09359,-0.15174,-0.1547
1043,537,17,3.026,20.856,-4.334,-591.37,306.7,1071.29,-1.62,3.43,-34.63,-0.9712,0.06325,-0.17348,-0.15056
1044,537,15,2.545,21.771,-1.789,-547.61,246.4,1107.67,-9.03,-5.88,-52.81,-0.9715,0.04201,-0.18473,-0.1425
1045,537,15,0.66,22.525,-3.663,-508.48,-108.95,1098.51,-2.69,-4.25,-52.64,-0.97166,0.05566,-0.18971,-0.12956
1046,537,16,-1.654,23.228,-7.255,-565.86,-518.01,1026.49,37.35,-6.95,-33.74,-0.97073,0.08288,-0.19323,-0.11609
1047,537,15,-2.644,20.524,-6.989,-221.07,-282.9,1173.77,72.33,5.95,-33.21,-0.97647,0.07698,-0.17115,-0.10628
1048,537,15,-3.138,22.399,-7.089,-398.13,-221.5,926.39,67.02,47.06,-20.42,-0.97373,0.07839,-0.18738,-0.10292
1049,537,16,-2.689,28.5,-6.497,-957.15,-243.9,772.4,61.36,42.69,9.91,-0.96178,0.07845,-0.23928,-0.10756
1050,537,15,-1.906,30.745,-6.047,-676.21,-188.6,888.92,41.9,6.22,17.52,-0.95625,0.07802,-0.25803,-0.11367
1051,537,17,-2.562,31.185,-8.897,-567.63,-372.25,871.22,12.12,5.63,17.36,-0.95364,0.10059,-0.25938,-0.11477
1052,537,15,-3.328,32.13,-12.291,-743.29,-518.31,955.69,-0.98,-1.16,20.0,-0.94874,0.12755,-0.2646,-0.11669
1053,537,15,-3.943,28.99,-15.99,-347.6,-743.35,1064.39,7.0,-19.42,35.81,-0.95222,0.15546,-0.23538,-0.11706
1054,537,16,-3.088,24.417,-16.336,-22.89,-549.74,1085.33,39.49,-2.45,51.96,-0.96044,0.1578,-0.19545,-0.12022
1055,537,15,-0.563,22.595,-11.266,-151.49,-15.44,1029.54,50.16,29.3,47.44,-0.96717,0.11808,-0.18256,-0.13158
1056,537,15,2.502,26.565,-4.701,-741.27,513.55,936.16,7.58,36.07,23.96,-0.96127,0.07206,-0.22158,-0.1472
1057,537,16,4.505,29.427,-1.87,-994.14,444.03,948.85,-54.0,-22.65,3.72,-0.95411,0.05598,-0.24821,-0.15792
1058,537,15,2.714,26.812,-8.248,-434.33,-380.07,1010.01,-76.74,-40.14,3.95,-0.95778,0.10244,-0.21881,-0.15584
1059,537,16,1.62,25.398,-12.438,-452.39,-298.28,940.67,-65.12,-32.35,-0.39,-0.95783,0.13404,-0.20239,-0.15371
1060,537,16,2.182,25.772,-12.668,-578.06,-114.38,988.53,-64.67,-35.09,0.11,-0.95604,0.13732,-0.20455,-0.15906
1061,537,15,2.598,26.929,-13.985,-666.56,-157.71,905.09,-73.88,-45.59,8.89,-0.95137,0.15014,-0.21186,-0.16571
1062,537,16,2.553,24.493,-16.243,-499.94,-280.09,1057.43,-79.52,-55.64,19.81,-0.95335,0.16652,-0.18822,-0.16725
1063,537,15,2.529,23.902,-17.459,-491.7,-257.26,947.51,-68.83,-57.8,13.23,-0.95273,0.17604,-0.18151,-0.16844
1064,537,15,3.663,21.529,-16.276,-361.15,-113.83,996.77,-61.77,-59.51,14.35,-0.95722,0.16552,-0.16164,-0.17377
