,id,time delta,yaw,pitch,roll,ax1,ay1,az1,ax2,ay2,az2,ax3,ay3,az3,c
1509,528,7,127.976,37.938,14.334,-735.11,-84.96,993.9,-70.98,-1.79,-2.49,0.34553,-0.26611,0.21708,0.87331
1510,528,26,113.736,29.252,10.218,-268.07,-136.72,728.52,5.3,-17.12,111.93,0.44615,-0.18752,0.18846,0.85456
1511,528,17,118.318,26.951,14.708,-348.14,381.84,949.46,19.09,-8.52,80.42,0.41864,-0.16072,0.20756,0.86939
1512,528,15,119.548,27.021,10.274,-281.74,583.98,1124.51,16.4,-17.33,-37.64,0.40267,-0.17919,0.17208,0.88099
1513,528,16,119.228,30.848,15.73,-429.44,704.1,1089.6,-18.18,-9.23,36.74,0.41393,-0.18907,0.22598,0.8613
1514,528,15,112.621,28.011,16.876,-239.75,435.3,1085.69,-37.9,-1.57,47.23,0.46428,-0.14953,0.23499,0.84075
1515,528,15,122.536,26.792,23.837,-291.75,326.66,1060.55,-34.76,26.61,45.12,0.39838,-0.13571,0.2708,0.86576
1516,528,17,113.564,27.065,21.567,-440.19,184.57,986.82,-20.48,31.93,39.81,0.46267,-0.12539,0.26496,0.83667
1517,528,15,113.376,30.64,11.084,-523.19,171.88,877.2,-3.66,27.44,17.24,0.44986,-0.1941,0.2004,0.84841
1518,528,15,106.949,28.2,12.166,-558.11,285.16,822.51,7.01,11.72,-3.23,0.49918,-0.15977,0.20909,0.82558
1519,528,16,98.156,26.797,14.062,-569.58,270.02,884.28,13.47,-8.83,-5.11,0.5637,-0.12399,0.22737,0.78433
1520,528,15,98.164,27.479,16.266,-456.79,335.69,988.28,14.96,-20.88,6.88,0.56583,-0.118,0.24544,0.77825
1521,528,15,95.555,26.528,17.373,-348.39,325.68,1032.23,18.86,-23.18,-14.03,0.58457,-0.10006,0.25108,0.765
1522,528,16,99.85,23.456,24.796,-287.11,287.11,1034.18,30.27,-15.87,-48.77,0.55981,-0.05114,0.28459,0.77654
1523,528,16,96.21,18.11,31.129,-384.03,343.99,960.69,34.0,-11.29,-63.89,0.58018,0.02777,0.30402,0.75511
1524,528,16,91.17,21.03,30.693,-652.83,510.99,905.03,28.55,-17.77,-79.29,0.6157,0.01887,0.31357,0.72265
1525,528,15,98.685,22.184,30.72,-620.85,504.64,920.17,-1.65,-55.37,-35.58,0.56819,-0.0098,0.3192,0.7584
1526,528,15,96.439,13.578,34.611,9.77,541.5,1423.34,-32.68,-48.62,-23.29,0.571,0.07634,0.30685,0.75761
1527,528,16,95.729,10.865,28.933,116.21,120.61,1234.13,-14.34,-6.3,-24.88,0.57546,0.06861,0.25602,0.77369
1528,528,15,95.23,11.816,25.479,-287.11,252.44,1201.17,-11.73,-29.76,-6.85,0.58168,0.04558,0.23689,0.77683
1529,528,15,100.143,9.201,17.01,-182.86,283.94,1277.1,-13.21,-35.82,-8.73,0.54727,0.01384,0.16683,0.82004
1530,528,16,97.98,11.675,14.918,-456.54,136.23,942.63,-12.63,-31.59,-31.02,0.56409,-0.01108,0.16348,0.80929
1531,528,16,96.629,9.076,12.309,-199.46,142.58,1278.81,-24.35,-45.22,29.89,0.57241,-0.00364,0.13266,0.80916
1532,528,15,101.033,10.779,14.592,-96.92,159.42,1100.83,-11.76,-18.2,0.52,0.54186,-0.01041,0.15671,0.82566
1533,528,16,90.92,16.581,13.566,-476.56,323.97,952.15,1.72,-3.22,-23.44,0.61357,-0.042,0.17999,0.7677
1534,528,15,93.877,19.091,11.32,-597.66,449.46,906.01,-7.17,-7.89,-6.22,0.59226,-0.07584,0.1759,0.78265
1535,528,16,94.929,22.346,12.13,-625.0,253.66,938.72,-6.13,3.57,6.37,0.58502,-0.09621,0.19651,0.78095
1536,528,15,102.359,23.342,19.975,-821.53,205.32,1010.99,0.85,-13.86,47.0,0.53974,-0.07929,0.2495,0.80009
1537,528,15,100.222,20.737,17.726,-516.11,207.52,1063.23,-8.51,-29.66,55.61,0.55245,-0.06664,0.22395,0.80013
1538,528,16,106.255,17.845,17.515,-192.87,332.28,1042.72,-16.11,-12.28,46.78,0.50824,-0.05765,0.20687,0.83401
1539,528,16,99.211,19.116,18.064,17.33,543.7,1011.72,-35.76,28.12,27.42,0.55919,-0.05132,0.2196,0.79778
1540,528,15,99.591,18.329,20.275,-126.95,686.52,921.39,-59.25,74.04,17.91,0.55705,-0.03562,0.23132,0.79682
1541,528,16,104.833,17.244,16.099,-267.58,503.66,908.94,-88.33,85.39,-8.61,0.51761,-0.05701,0.19481,0.83119
1542,528,15,96.447,17.838,13.145,-509.03,190.43,913.57,-97.89,68.61,-7.51,0.57574,-0.0617,0.18084,0.79499
1543,528,15,87.84,19.717,10.818,-743.16,127.2,863.04,-80.25,52.92,-40.76,0.63217,-0.07346,0.17967,0.75012
1544,528,17,92.762,19.916,2.655,-605.96,-59.33,1277.1,-57.64,5.07,-6.75,0.59193,-0.12493,0.12165,0.7869
1545,528,15,92.785,18.899,1.329,-340.82,-250.73,1196.78,-25.31,-25.65,-1.41,0.59111,-0.12477,0.1073,0.78963
1546,528,16,89.557,15.068,-1.725,147.46,-340.58,1162.84,22.94,-40.61,-38.06,0.6131,-0.11211,0.06958,0.77891
1547,528,15,95.004,12.246,3.788,154.3,616.94,1197.27,29.95,18.99,-103.62,0.58132,-0.06756,0.08878,0.80599
1548,528,15,88.302,8.215,12.151,-265.63,685.3,1222.41,-21.18,-1.53,-95.35,0.62939,0.01097,0.12688,0.76659
