,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1529,1,-1380,13528,5640,-37,5,-52
1530,4,-1336,13540,5616,-37,5,-36
1531,7,-1564,13616,5572,-63,63,-26
1532,10,-1468,13536,5520,-78,68,-16
1533,14,-1556,13604,5576,-127,76,4
1534,17,-1540,13580,5548,-148,64,27
1535,25,-1636,13588,5460,-217,57,103
1536,29,-1728,13564,5432,-262,-10,108
1537,32,-1700,13560,5484,-308,-67,164
1538,35,-1692,13504,5512,-320,-56,209
1539,39,-1472,13560,5644,-365,-104,221
1540,43,-1588,13588,5360,-408,-113,231
1541,46,-1528,13616,5696,-405,-140,274
1542,49,-1524,13520,5576,-463,-207,274
1543,52,-1272,13560,5600,-483,-150,257
1544,56,-1192,13468,5812,-448,-139,256
1545,59,-1224,13432,5880,-433,-79,241
1546,62,-1140,13440,5932,-400,-40,221
1547,65,-1268,13564,5816,-367,-24,169
1548,68,-1208,13556,5896,-387,-60,178
1549,72,-1272,13532,5748,-331,-97,157
1550,81,-1152,13564,6192,-245,-52,82
1551,85,-1060,13472,6172,-182,17,36
1552,88,-1244,13516,5980,-176,20,19
1553,91,-1476,13564,6004,-132,-1,38
1554,94,-1548,13544,5736,-116,6,32
1555,97,-1528,13568,5648,-139,-65,81
1556,100,-1472,13520,5712,-91,-90,78
1557,104,-1472,13620,5772,-107,-78,46
1558,107,-1600,13548,5668,-122,-68,101
1559,110,-1384,13624,5756,-102,-62,100
1560,113,-1408,13600,5696,-89,-35,103
1561,116,-1648,13556,5672,-117,-48,117
1562,120,-1512,13552,5644,-110,-43,182
1563,124,-1568,13600,5620,-141,9,166
1564,127,-1448,13552,5644,-157,-9,184
1565,136,-1508,13560,5408,-246,-81,248
1566,139,-1560,13660,5316,-302,-134,253
1567,143,-1560,13584,5360,-350,-252,251
1568,146,-1772,13616,5464,-390,-359,310
1569,149,-1392,13548,5508,-426,-351,306
1570,152,-1404,13632,5564,-459,-307,306
1571,156,-1520,13500,5632,-468,-311,330
1572,159,-1316,13476,5896,-463,-277,322
1573,162,-1380,13524,6032,-440,-299,286
1574,167,-1228,13584,5924,-415,-333,274
1575,170,-1360,13620,5992,-411,-277,312
1576,173,-1352,13536,5776,-374,-335,278
1577,177,-1200,13504,5860,-359,-326,266
1578,180,-1232,13572,6060,-338,-313,219
1579,189,-1140,13544,6120,-214,-251,179
1580,192,-1036,13424,6080,-176,-136,132
1581,195,-1044,13440,6124,-120,-59,117
1582,199,-1188,13424,6164,-81,-9,87
1583,202,-1380,13596,5904,-34,-21,99
1584,205,-1416,13544,5708,-42,-58,133
1585,209,-1524,13624,5820,-45,-75,131
1586,212,-1432,13592,5796,-25,-101,135
1587,216,-1460,13564,5624,-51,-67,146
1588,219,-1624,13684,5508,-76,-65,187
1589,222,-1736,13544,5488,-110,-81,239
1590,225,-1644,13576,5380,-152,-177,288
1591,229,-1572,13612,5528,-218,-219,303
1592,232,-1664,13608,5376,-266,-257,314
1593,235,-1480,13532,5524,-278,-340,345
1594,244,-1360,13540,5604,-334,-307,409
1595,247,-1456,13636,5668,-322,-354,397
1596,252,-1368,13528,5576,-348,-385,438
1597,255,-1332,13604,5580,-355,-383,419
1598,258,-1444,13604,5672,-367,-422,398
1599,262,-1248,13560,5696,-383,-494,406
1600,265,-996,13544,5908,-367,-472,383
1601,268,-816,13476,6108,-349,-386,340
1602,271,-924,13372,6184,-259,-307,277
1603,275,-764,13476,6316,-197,-180,236
1604,278,-1024,13504,6304,-150,-139,151
1605,281,-916,13564,6156,-66,-113,122
1606,284,-876,13576,6072,-39,-65,77
1607,288,-1072,13504,5992,-6,5,53
1608,291,-1060,13632,5944,33,62,49
1609,314,-1424,13780,5504,8,218,82
1610,318,-1620,13488,5728,-7,123,110
1611,321,-1984,13524,5648,-31,-4,177
1612,324,-1480,13584,5604,-41,-27,250
1613,327,-1412,13640,5592,-30,-119,251
1614,330,-688,13472,5336,-90,-78,208
1615,334,-1444,13584,5772,-128,9,184
1616,338,-1864,13536,5696,-122,-96,263
1617,341,-1392,13628,5884,-104,-153,279
1618,344,-860,13620,5872,-49,-78,241
1619,347,-944,13364,6124,-33,-35,196
1620,351,-960,13548,6272,14,71,179
1621,354,-704,13436,6352,100,91,127
1622,357,-816,13524,6348,172,248,94
1623,360,-968,13516,6312,278,326,52
1624,369,-1216,13644,6172,467,399,72
1625,372,-1212,13524,5968,480,557,83
1626,375,-1784,13660,5640,518,556,112
1627,379,-2184,13656,5564,511,386,230
1628,383,-2968,14168,5776,607,293,636
1629,386,-5288,14620,6116,798,-585,1499
1630,389,-9980,15180,6228,1137,-2010,3216
1631,393,-1480,14084,4704,765,-2823,2743
1632,396,12028,12152,3584,73,-508,-154
1633,399,24,13540,5904,22,1801,-107
1634,402,-5392,14600,6716,332,963,374
1635,406,-19028,17720,9068,1316,-953,3859
1636,409,-8612,13828,5328,1409,-5283,5268
1637,412,8896,11824,2560,744,-4599,3211
1638,416,-1544,15492,5368,732,-1071,3099
1639,425,-2868,12860,5764,934,-2926,4035
1640,429,2616,12788,5272,933,-3334,4015
1641,432,-1200,14532,5216,1094,-2465,4139
1642,435,-3800,16104,7712,1392,-1712,4530
1643,439,-556,13056,5500,1371,-3707,5233
1644,442,-40,14188,5408,1380,-3325,4821
1645,445,3460,13528,5676,1373,-2184,4355
1646,449,-6712,13528,5408,1558,-3667,6063
1647,452,-124,15208,6836,1716,-3822,5562
1648,456,-928,12508,3564,1563,-4594,5841
1649,459,-3240,13848,5504,1755,-4944,7020
1650,462,1912,14632,4472,1496,-4791,6235
1651,467,384,13216,5740,1712,-4321,6357
1652,475,444,14604,5860,1578,-3529,6299
1653,479,3476,13652,6324,1637,-3301,5641
1654,482,-4704,13564,5260,1807,-4671,6721
1655,485,-4452,14908,6068,2121,-4172,7620
1656,489,-2000,14064,7088,2488,-5220,8070
1657,492,3640,13116,4508,2508,-5707,8040
1658,496,4384,13204,5152,2622,-4828,7524
