,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1507,2,288,12300,7808,-401,514,-36
1508,5,304,12264,7888,-428,567,-52
1509,8,172,12244,7964,-413,629,-25
1510,11,332,12212,7856,-398,642,-32
1511,14,288,12256,7992,-397,571,-46
1512,18,372,12180,7984,-371,587,-74
1513,22,376,12196,8032,-341,609,-86
1514,25,312,12304,8040,-307,596,-103
1515,28,172,12248,8128,-282,540,-83
1516,31,124,12336,7968,-271,475,-113
1517,34,96,12200,7972,-247,387,-90
1518,37,-28,12196,8032,-241,342,-74
1519,41,-104,12292,7768,-232,214,-47
1520,44,-132,12228,7892,-226,179,19
1521,47,-216,12288,7824,-246,131,57
1522,50,-260,12256,7664,-248,77,94
1523,60,-200,12300,7812,-282,-167,229
1524,63,-24,12232,7896,-269,-295,256
1525,66,76,12340,7820,-297,-378,281
1526,69,136,12264,7904,-293,-431,247
1527,73,224,12244,7856,-262,-435,269
1528,76,176,12236,8000,-271,-416,247
1529,79,292,12324,7884,-239,-433,275
1530,82,552,12252,7892,-231,-419,213
1531,85,508,12264,7912,-226,-387,196
1532,88,336,12248,8036,-212,-372,174
1533,92,260,12260,7924,-199,-340,157
1534,95,340,12172,7856,-196,-296,159
1535,98,344,12184,7892,-190,-211,152
1536,102,492,12336,7900,-164,-163,113
1537,105,420,12260,7912,-180,-130,130
1538,114,408,12256,7712,-215,-185,48
1539,117,304,12312,7924,-232,-240,18
1540,121,156,12224,7896,-217,-318,31
1541,124,240,12272,7708,-226,-316,27
1542,127,292,12280,7772,-249,-299,36
1543,130,256,12284,7640,-273,-324,53
1544,133,40,12236,7620,-277,-420,46
1545,136,-108,12276,7540,-298,-505,64
1546,140,204,12184,7692,-326,-534,65
1547,144,256,12176,7608,-330,-514,89
1548,147,196,12200,7820,-353,-470,113
1549,150,152,12212,7824,-354,-357,134
1550,153,152,12196,7740,-369,-435,128
1551,157,224,12168,7840,-382,-468,109
1552,160,416,12228,7952,-353,-422,129
1553,163,396,12352,7952,-322,-332,88
1554,172,632,12160,8048,-267,-156,10
1555,175,740,12248,7936,-251,-62,-24
1556,178,488,12268,7984,-227,41,-45
1557,181,476,12156,7952,-212,31,-91
1558,185,624,12280,7992,-210,68,-135
1559,189,712,12240,7896,-206,114,-164
1560,192,592,12240,7936,-178,135,-217
1561,195,484,12140,7824,-199,225,-217
1562,198,392,12192,7844,-208,319,-253
1563,202,324,12188,7784,-185,390,-258
1564,205,324,12356,7920,-184,420,-249
1565,208,152,12372,7752,-206,411,-235
1566,211,48,12292,7648,-221,419,-233
1567,214,-8,12320,7728,-242,403,-201
1568,218,108,12260,7624,-270,422,-168
1569,226,-36,12232,7676,-345,320,-133
1570,231,-44,12292,7516,-377,285,-96
1571,234,-92,12264,7508,-456,246,-40
1572,237,-352,12300,7320,-492,171,8
1573,240,-44,12320,7284,-555,169,41
1574,243,424,12344,7408,-606,277,58
1575,246,788,12232,7340,-678,409,35
1576,250,1056,12312,7320,-712,439,-52
1577,253,1004,12232,7688,-752,515,-173
1578,256,828,12084,7980,-765,737,-232
1579,259,1540,12260,7868,-703,915,-351
1580,263,1696,12268,7944,-670,967,-496
1581,266,1676,12144,8116,-628,1144,-705
1582,269,1400,12208,8200,-579,1176,-862
1583,273,796,12140,8180,-504,1031,-969
1584,282,-9840,13832,8912,1771,-10731,7913
1585,286,11552,11752,6500,1217,-8742,6171
1586,289,4876,12096,7188,1211,-6828,5690
1587,292,4712,12444,7132,960,-4446,4570
1588,296,-1464,11736,7464,1166,-4235,5418
1589,299,-1076,12948,8240,1237,-4127,5486
1590,302,692,11776,7632,1256,-4235,5150
1591,306,512,13720,7312,1090,-2936,4588
1592,309,-192,11944,7356,1459,-3737,5772
1593,312,4608,12984,6940,1301,-3032,5106
1594,317,-2528,11944,7584,1625,-2800,5966
1595,320,-1532,13020,8292,1903,-3663,6789
1596,323,3720,11672,6316,1655,-3754,6572
1597,327,-1052,12168,7088,1753,-3190,7051
1598,336,856,13684,8880,2331,-1576,8049
1599,339,3488,12644,8200,2693,-1396,8671
1600,342,584,13392,8452,2934,-1064,9223
1601,346,1712,12368,7688,3164,-75,9846
1602,349,-1628,12472,8816,3553,217,10880
1603,352,4700,12284,6292,3617,398,10714
1604,355,9136,11508,5880,3398,2084,9896
1605,360,6196,11720,6348,3383,3661,9176
1606,363,5928,11740,6528,3422,4249,9120
1607,366,6100,12400,7588,3446,5725,8327
1608,370,-232,12648,9976,4136,5763,9410
1609,373,2856,9572,7464,4074,5267,9308
1610,376,4316,10924,8024,3952,5841,7740
1611,380,9732,11700,5776,2925,7026,4722
1612,388,-2388,11852,8024,3342,6070,5734
1613,392,4868,12212,7036,3055,6104,4872
1614,395,5244,11324,5672,2314,5898,3332
1615,398,3160,11824,5248,1820,6497,2034
1616,403,-2196,14264,8380,1527,6031,1757
1617,406,-6656,13364,7388,1942,5063,3802
1618,409,2972,11480,5536,1597,4084,3160
1619,413,-6312,12716,7412,1615,4557,3618
1620,416,-276,12152,5652,1133,4409,2295
1621,419,-1820,12984,7852,1126,4306,2823
