,time,accX,accY,accZ,gyrX,gyrY,gyrZ
3049,2,2828,12556,7292,-131,288,1
3050,5,2776,12480,7184,-135,307,28
3051,8,2704,12528,7172,-152,296,-21
3052,11,2440,12504,6924,-167,165,-7
3053,14,2520,12592,6972,-176,66,-24
3054,18,2576,12580,6976,-226,80,22
3055,21,2592,12484,7040,-249,124,21
3056,24,2456,12528,7252,-259,126,33
3057,27,2320,12592,6984,-289,61,38
3058,30,2568,12524,6932,-282,26,50
3059,33,2556,12576,7052,-351,53,55
3060,36,2476,12684,7076,-375,60,63
3061,40,2476,12612,7224,-357,76,70
3062,43,2452,12576,7312,-371,-12,104
3063,47,2516,12460,7340,-359,-30,119
3064,50,2536,12612,7424,-346,28,124
3065,59,2528,12420,7292,-311,-46,115
3066,62,2348,12592,7372,-308,-34,144
3067,65,2428,12528,7428,-291,-16,176
3068,68,2468,12580,7380,-289,-25,156
3069,71,2872,12500,7460,-254,-11,145
3070,74,2828,12560,7392,-244,35,139
3071,78,2820,12584,7400,-212,91,113
3072,82,2524,12472,7404,-214,91,116
3073,85,2440,12560,7288,-210,72,134
3074,88,2568,12628,7284,-217,85,122
3075,91,2540,12536,7212,-244,102,147
3076,94,2428,12592,7160,-263,40,153
3077,97,2404,12604,7120,-291,-37,171
3078,101,2532,12504,7168,-299,19,184
3079,104,2728,12620,7108,-285,57,174
3080,107,2576,12500,7116,-339,130,183
3081,116,2308,12516,7060,-378,58,250
3082,119,2516,12608,7164,-389,20,277
3083,123,2432,12512,7204,-394,9,289
3084,126,2568,12532,7436,-392,-7,302
3085,130,2736,12456,7352,-388,-19,298
3086,133,2768,12472,7428,-350,-13,241
3087,136,2900,12452,7508,-327,1,221
3088,139,2864,12496,7372,-273,28,197
3089,142,2920,12596,7508,-258,46,159
3090,145,2964,12520,7340,-224,115,102
3091,149,2840,12424,7452,-228,156,91
3092,152,2892,12464,7380,-195,248,31
3093,155,2680,12588,7344,-200,246,33
3094,158,2576,12532,7136,-208,269,30
3095,161,2564,12616,7220,-221,294,9
3096,166,2632,12532,7164,-237,259,8
3097,174,2464,12460,7184,-276,295,17
3098,177,2296,12524,7108,-297,177,72
3099,181,2632,12636,7020,-306,56,33
3100,184,2740,12540,6956,-364,168,34
3101,187,2864,12524,7216,-381,285,32
3102,190,2232,12488,7244,-359,259,15
3103,193,1692,12424,7584,-345,-87,111
3104,197,2208,12492,7356,-326,-201,167
3105,200,2568,12452,7348,-322,-105,163
3106,203,2356,12432,7320,-320,-129,163
3107,206,2244,12488,7336,-286,-184,186
3108,211,2384,12432,7308,-298,-240,245
3109,214,2300,12572,7348,-300,-268,245
3110,217,2448,12464,7328,-282,-296,273
3111,220,2380,12504,7332,-279,-356,293
3112,229,2608,12568,7380,-258,-482,319
3113,232,2728,12604,7324,-247,-529,290
3114,236,2964,12548,7280,-248,-414,278
3115,239,2856,12488,7216,-259,-270,235
3116,242,2996,12504,7356,-258,-168,189
3117,246,3480,12512,7288,-266,26,122
3118,249,3424,12528,7320,-269,170,24
3119,253,3096,12548,7440,-241,274,-46
3120,256,2908,12504,7504,-234,254,-76
3121,259,2868,12460,7472,-230,202,-129
3122,263,2648,12568,7388,-225,67,-149
3123,266,2584,12628,7040,-245,189,-149
3124,269,2440,12596,7032,-245,295,-88
3125,272,2320,12572,7160,-296,226,-73
3126,275,1984,12560,7124,-314,93,-46
3127,299,-612,12560,8080,-1402,2507,-4086
3128,303,-4772,11652,9652,-1340,1432,-2607
3129,306,-2864,12576,8404,-875,-634,-1967
3130,309,-1140,12408,8224,-861,-1211,-1175
3131,313,2268,12712,7916,-667,-2126,-1208
3132,316,2768,12808,7624,-660,-2264,-922
3133,320,6464,12212,5960,-840,-2304,-1955
3134,323,5648,12444,6568,-939,-1324,-2485
3135,326,3604,12936,7380,-1029,-827,-2817
3136,330,1660,12164,7676,-908,-937,-2656
3137,333,44,13096,7636,-769,-1089,-1949
3138,337,1412,12356,7392,-579,-1978,-1717
3139,341,248,12712,7296,-659,-1735,-1074
3140,350,2272,12736,7756,-761,-1050,-1305
3141,353,2900,12452,6376,-874,-1273,-1851
3142,357,5536,13584,7152,-940,-864,-2450
3143,360,4144,13212,6052,-1119,-94,-2994
3144,363,2604,12456,7420,-1026,457,-3029
3145,367,4340,12212,6624,-1187,-268,-3519
3146,370,1200,12964,7228,-1111,204,-3100
3147,373,3328,12704,7092,-1034,-398,-3124
3148,377,3912,13344,7572,-1091,-282,-3219
3149,381,5340,12904,6564,-1225,-587,-3832
3150,384,2856,13268,6844,-1220,113,-3996
3151,388,4444,12500,6428,-1214,-402,-4688
3152,391,4484,12916,8320,-1166,-235,-4965
3153,394,5848,13188,6224,-1249,-141,-6330
3154,403,3820,11708,7504,-1213,553,-7350
3155,407,3048,12912,7100,-1210,1368,-7092
3156,410,3828,12232,8308,-1047,1312,-7279
3157,414,948,12636,8360,-986,1618,-6612
3158,417,3220,11280,7508,-988,1026,-7154
3159,420,3688,11428,6396,-1214,1915,-7628
3160,425,-320,12736,8336,-1030,2576,-7035
3161,428,120,12248,6432,-1306,2261,-6791
3162,431,1968,11768,8220,-1091,1732,-6609
3163,435,-1140,13132,8364,-946,1784,-5599
3164,438,1108,11952,8348,-886,883,-5532
3165,441,4548,11140,6932,-1330,698,-5956
3166,445,396,13224,8748,-1034,1318,-5652
3167,448,2404,12160,6260,-1281,1298,-6603
3168,457,996,12380,7964,-1289,2249,-6373
3169,460,-2088,12232,8044,-1147,1785,-5152
3170,465,-344,11128,7288,-1089,359,-5197
3171,468,388,13640,7880,-1123,405,-5180
3172,471,3712,11976,5792,-1369,255,-6316
3173,475,2776,13316,7880,-1248,1071,-6813
3174,478,2716,11936,6144,-1615,1076,-7595
3175,481,1928,12708,6284,-1807,1175,-8102
3176,485,3268,12936,7236,-1829,1639,-8823
3177,488,1792,12232,7484,-1768,1910,-9316
3178,491,2024,11356,6184,-1841,1969,-10347
3179,495,228,13088,9476,-1578,2820,-10002
3180,498,-164,12088,7708,-1454,1996,-9574
3181,508,1668,11640,7888,-1857,3160,-10607
3182,512,588,13012,8372,-1675,4069,-9893
3183,515,-2272,11920,9920,-1463,3967,-9051
3184,518,-2048,11008,8120,-1431,3218,-7815
3185,522,-1732,11576,8604,-1049,2751,-6357
3186,525,-1408,13384,10220,-839,2664,-5350
3187,529,-596,12200,8904,-720,2875,-4770
3188,532,4000,10088,7736,-834,2458,-5061
3189,535,3852,12112,8084,-938,3596,-5338
3190,539,1168,12204,8240,-812,4703,-4998
3191,542,-2956,12384,8384,-804,4726,-4327
3192,545,-2616,12456,8904,-698,4158,-3203
3193,550,-4992,12640,8908,-633,3036,-1531
3194,553,-3580,12492,8496,-527,1245,-457
3195,562,116,12712,8452,-168,1821,-439
3196,565,-444,12752,8132,-6,1548,-361
3197,568,-900,12780,7988,146,1140,-266
3198,572,-1200,12868,7652,202,780,-114
3199,575,-780,12668,6924,130,547,-38
3200,578,-384,12676,6668,-16,631,-6
3201,581,-368,12488,6684,-151,709,39
3202,584,-428,12356,6668,-259,789,46
3203,588,-376,12436,6672,-366,742,46
