,accX,accY,accZ,gyrX,gyrY,gyrZ
3006.0,1540.0,12528.0,7568.0,-359.0,-397.0,94.0
3007.5791583166333,1549.0501002004003,12617.282565130265,7480.6332665330665,-316.83767535070047,-404.37474949899934,121.32464929859907
3009.1583166332666,1384.8336673346676,12524.464929859729,7433.995991983989,-283.7915831663331,-451.25651302606184,156.91583166333112
3010.7374749499,1359.1503006012008,12617.8997995992,7538.653306613209,-268.8256513026017,-539.3126252505003,182.03807615230153
3012.3166332665332,1707.9278557114521,12572.064128256527,7433.6032064128085,-257.9338677354681,-471.454909819613,246.28456913826994
3013.8957915831666,1888.0801603206583,12620.416833667334,7400.248496993996,-272.9779559118301,-257.2344689378474,192.3346693386702
3015.4749498997994,1736.5130260521528,12578.100200400802,7340.0,-250.8016032064188,-200.92384769538648,179.05010020040118
3017.0541082164327,1550.164328657309,12615.134268537076,7334.909819639302,-277.4869739478945,-288.89178356713455,165.72945891783638
3018.633266533066,1570.268537074151,12574.669338677359,7140.537074148302,-312.59719438877346,-262.9358717434907,182.53106212424518
3020.2124248496993,1404.3126252505099,12582.340681362719,7193.322645290562,-363.9438877755556,-292.86573146290175,270.9619238476862
3021.7915831663327,1366.9899799599189,12638.837675350702,7555.991983967935,-289.08416833667343,-736.6993987975943,421.45691382765517
3023.370741482966,1663.6312625250575,12562.068136272545,7511.903807615236,-253.6192384769529,-771.629258517034,399.9559118236466
3024.9498997995993,1719.8076152304548,12510.204408817632,7626.59719438878,-231.2505010020036,-822.2945891783611,386.10020040080144
3026.5290581162326,1840.2324649298607,12492.23246492986,7563.278557114234,-213.0,-854.366733466929,359.60521042083565
3028.108216432866,1980.8657314629272,12540.641282565119,7544.641282565119,-193.75350701402294,-766.9579158316396,320.2424849699387
3029.687374749499,2007.246492985978,12469.002004008013,7418.012024048076,-177.9979959919874,-599.0080160320504,276.1943887775433
3031.266533066132,2047.190380761509,12491.198396793585,7382.941883767548,-126.26653306613207,-458.8136272545289,222.93787575150964
3032.8456913827654,2164.272545090169,12516.913827655308,7292.0240480962,-137.99398797594995,-207.25050100203543,171.7835671342732
3034.4248496993987,2167.7114228456994,12549.490981963922,7312.6012024048105,-127.54308617233983,132.51903807613053,114.23446893788241
3036.004008016032,1643.6793587174398,12604.08016032064,7200.448897795584,-407.036072144288,419.8396793587199,33.08817635270407
3037.5831663326653,1524.3446893787586,12621.667334669339,7258.348697394791,-429.99599198396754,349.09218436873834,67.2464929859716
3039.1623246492986,1678.0521042084165,12615.454909819638,7261.659318637281,-428.2144288577151,252.99398797595086,62.40280561122199
3040.741482965932,1786.6372745491099,12544.545090180356,7447.102204408817,-417.5170340681361,249.43486973948166,67.53707414829842
3042.3206412825652,1790.4368737474724,12549.803607214437,7454.845691382789,-404.6853707414766,332.7494989980014,13.092184368739709
3043.8997995991986,1638.4048096192346,12570.80561122244,7562.80561122244,-354.5030060120216,346.0040080160288,31.398797595191354
3045.478957915832,1643.2625250500878,12572.440881763503,7532.0,-332.60521042084065,305.5470941883714,36.462925851698856
3047.0581162324647,1616.6973947895767,12484.929859719436,7421.394789579153,-314.88376753507055,277.16232464929453,53.53507014028219
3048.637274549098,1844.6733466933329,12581.571142284549,7428.705410821647,-314.2745490981961,345.0701402805489,67.03006012023525
3050.2164328657313,1976.3927855711063,12527.671342685373,7595.759519038089,-265.9318637274623,459.5250501001801,43.222444889790495
3051.7955911823647,2150.8056112224513,12480.176352705414,7498.452905811624,-203.86172344689476,686.5150300601126,-81.32665330660893
