time,accX,accY,accZ,gyrX,gyrY,gyrZ
37,-4704,11860,8288,-280,-35,123
73,-4720,11924,8316,-250,25,113
109,-4616,11904,8520,-243,-30,106
144,-4840,11920,8324,-222,9,69
178,-4684,11804,8440,-229,-14,55
213,-4760,11788,8248,-164,62,123
249,-4788,11808,8284,-298,-27,109
285,-4684,11868,8332,-228,10,116
321,-4748,11828,8320,-294,-35,146
356,-4744,11832,8468,-239,-70,103
393,-4660,11956,8316,-275,-24,165
429,-4668,11880,8532,-212,28,88
464,-4844,11844,8300,-248,-83,101
501,-4668,11920,8520,-224,-141,115
538,-4796,11936,8420,-213,-152,128
576,-4652,11976,8412,-218,-40,131
611,-4664,11896,8328,-308,8,116
646,-4552,11816,8492,-220,20,157
681,-4600,11892,8444,-261,60,112
718,-4668,11804,8412,-272,-34,140
755,-4592,11812,8392,-185,46,34
791,-4872,11868,8240,-320,-87,145
827,-4692,11832,8452,-239,-84,198
865,-4620,11912,8204,-242,42,109
902,-4588,11968,8448,-224,1,49
936,-4696,11908,8344,-226,-27,54
973,-4720,11848,8228,-209,5,138
1008,-4784,11880,8264,-338,-107,113
1047,-4772,11868,8284,-207,8,112
1081,-4732,11852,8252,-295,-49,167
1119,-4656,11928,8328,-336,-138,128
1157,-4684,11832,8288,-209,31,119
1194,-4668,11840,8344,-283,-50,100
1232,-4644,11876,8360,-222,-39,125
1269,-4516,11948,8540,-229,-13,82
1306,-4728,11932,8256,-274,-91,145
1343,-4548,11856,8416,-271,-33,118
1380,-4776,11940,8240,-225,-64,126
1417,-4684,11836,8224,-254,-19,115
1455,-4640,11900,8368,-217,-80,146
1492,-4724,11836,8212,-279,-49,101
1530,-4676,11856,8532,-259,-66,153
1568,-4796,12124,8364,-312,-46,132
1605,-4572,11772,8416,-193,-39,111
1643,-4660,11892,8328,-309,-71,87
1678,-4772,11892,8588,-223,-80,89
1715,-4548,11988,8416,-229,-5,93
1750,-4696,11940,8400,-295,-49,119
1788,-4732,11812,8348,-259,-13,99
1824,-4668,11848,8512,-260,-54,136
1862,-4552,11880,8360,-219,70,105
1899,-4560,11920,8480,-247,-19,102
1935,-4588,11880,8448,-280,-84,119
1973,-4500,11848,8300,-161,50,54
2008,-4788,11884,8256,-284,-73,101
2046,-4620,11880,8368,-265,-77,157
2083,-4544,11872,8300,-269,-38,99
2120,-4660,11908,8232,-248,58,120
2156,-4664,11820,8372,-272,-15,112
2193,-4556,11852,8348,-214,48,100
2230,-4648,11884,8296,-252,101,80
2266,-4752,11960,8384,-276,24,113
2303,-4752,11804,8384,-257,-44,156
2340,-4520,11892,8500,-260,-7,123
2377,-4600,11808,8404,-219,-4,109
2413,-4756,11884,8444,-250,-21,81
2449,-4732,11988,8452,-216,-61,66
2485,-4720,11896,8368,-243,-25,123
2523,-4768,11844,8276,-295,-63,108
2560,-4640,11844,8404,-308,-99,100
2598,-4668,11836,8336,-238,-64,146
2636,-4632,11896,8500,-308,-46,101
2673,-4664,11864,8340,-189,42,68
2709,-4796,11896,8328,-202,16,56
2743,-4668,11840,8452,-201,25,94
2779,-4592,11880,8516,-196,76,53
2814,-4724,11956,8208,-294,-20,61
2851,-4556,11792,8624,-255,-76,98
2887,-4732,11848,8312,-231,-25,77
2924,-4780,11860,8336,-317,-98,84
2959,-4696,11880,8668,-129,-99,82
2996,-4664,11968,8132,-238,-82,21
3033,-4784,11820,8504,-273,-231,51
