time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,-656,12428,9028,-209,-48,93
6,-760,12436,9056,-219,-24,75
10,-736,12316,9004,-218,4,89
13,-752,12372,9056,-233,-28,81
15,-708,12388,9168,-223,-23,70
18,-720,12368,9052,-226,-11,78
21,-724,12384,9048,-213,-35,65
24,-748,12404,9000,-198,19,82
27,-728,12368,9148,-199,-3,61
30,-872,12388,9052,-214,1,75
33,-784,12360,9092,-224,-16,83
36,-836,12316,9044,-222,-21,93
38,-832,12424,8956,-215,-39,86
41,-760,12300,8996,-221,-67,86
44,-832,12404,8988,-230,-49,83
47,-748,12356,9008,-239,-52,98
50,-756,12384,8936,-255,-82,111
54,-860,12508,9032,-238,-91,98
57,-708,12392,8976,-239,-92,109
60,-740,12424,9012,-254,-90,104
63,-716,12400,9000,-226,-92,98
65,-676,12336,9156,-231,-54,127
68,-788,12360,9044,-245,-49,99
71,-676,12288,9080,-214,-43,89
74,-708,12424,9060,-217,-34,106
77,-760,12360,9128,-202,-46,100
80,-696,12416,9176,-196,-19,119
83,-704,12364,9040,-211,-20,87
86,-636,12456,9044,-180,-46,77
89,-660,12376,9036,-199,18,92
92,-804,12416,9140,-190,-5,87
96,-792,12300,9104,-199,25,64
99,-656,12400,8984,-209,50,89
102,-724,12476,9100,-198,35,68
104,-672,12460,9068,-219,55,89
107,-692,12404,9048,-210,58,63
110,-800,12484,8968,-192,27,56
113,-684,12296,8952,-193,29,81
116,-720,12348,9072,-195,40,38
119,-860,12444,9044,-190,29,37
122,-748,12452,9016,-199,26,40
125,-700,12404,8976,-211,47,57
128,-724,12432,9000,-183,43,53
131,-792,12408,9160,-212,17,61
134,-800,12376,9020,-188,26,50
138,-780,12452,9020,-227,23,71
140,-788,12388,8780,-209,31,69
143,-744,12420,9016,-207,23,50
146,-720,12416,9048,-221,19,78
149,-840,12332,8800,-226,24,64
152,-752,12376,8860,-234,35,97
155,-816,12376,9012,-234,30,89
158,-808,12392,8900,-270,27,95
161,-864,12416,8976,-229,-8,79
164,-824,12476,8992,-270,1,110
167,-856,12336,8940,-255,-5,98
170,-928,12496,8984,-270,-14,109
172,-792,12376,9068,-277,-5,117
175,-888,12356,9096,-257,-20,130
178,-852,12364,9172,-264,-20,167
182,-904,12392,8988,-255,-35,130
185,-792,12364,9060,-239,-54,170
188,-832,12476,8896,-272,-81,179
191,-796,12380,9076,-269,-80,172
194,-784,12372,9020,-268,-89,180
197,-688,12312,9156,-277,-85,183
200,-724,12448,9108,-243,-60,159
203,-556,12412,8928,-240,-72,142
206,-760,12416,9080,-248,-70,164
209,-704,12372,9068,-245,-73,147
212,-628,12536,8944,-232,-91,138
215,-712,12344,9092,-234,-85,130
218,-588,12412,9120,-212,-57,97
221,-620,12352,9156,-211,-63,99
225,-720,12400,9036,-210,-33,88
228,-708,12408,9008,-204,-30,99
231,-672,12416,8980,-203,-24,110
234,-732,12440,8896,-198,24,91
237,-724,12416,8908,-216,32,85
239,-732,12384,8952,-220,7,88
242,-832,12404,8916,-239,-7,71
245,-752,12444,9004,-222,-8,107
248,-824,12376,8860,-236,-32,99
251,-876,12340,8992,-256,-49,129
254,-744,12424,8952,-267,-29,116
257,-812,12496,9132,-283,-76,126
260,-872,12452,9132,-275,-66,141
263,-772,12380,9000,-247,-71,129
267,-848,12384,9072,-301,-74,154
270,-828,12408,9016,-278,-46,139
273,-768,12384,8892,-287,-27,134
276,-848,12404,9064,-272,-40,132
279,-720,12444,9128,-272,-31,137
282,-828,12308,9120,-254,-46,158
285,-736,12368,9100,-260,-32,158
288,-720,12424,9136,-250,6,147
291,-704,12456,9136,-229,27,112
294,-632,12328,9008,-242,9,137
296,-744,12404,9024,-238,14,132
299,-684,12288,9096,-214,23,113
302,-708,12424,9076,-217,31,115
305,-632,12372,8924,-208,56,109
309,-728,12360,9036,-209,73,71
312,-684,12332,9100,-210,27,83
315,-688,12316,9056,-223,37,91
318,-748,12476,9020,-205,13,76
321,-700,12316,9048,-206,17,75
324,-792,12392,8980,-230,48,61
327,-748,12476,8948,-231,18,58
330,-640,12360,9060,-216,7,57
333,-736,12504,8992,-240,64,51
336,-812,12480,8948,-262,48,49
338,-864,12432,9040,-236,32,56
341,-772,12388,9024,-234,20,46
344,-808,12384,9072,-230,6,60
347,-808,12416,8976,-240,22,66
351,-816,12404,8952,-242,31,70
354,-852,12484,9048,-243,31,85
357,-848,12324,8928,-261,28,90
360,-720,12456,8884,-244,5,87
363,-672,12420,8972,-262,25,75
366,-760,12352,8992,-253,-19,100
369,-720,12432,9072,-251,-5,96
371,-840,12412,9208,-274,-20,77
374,-732,12372,9080,-254,-7,93
377,-680,12384,8984,-232,-16,97
380,-764,12424,9076,-229,-10,89
383,-780,12372,9120,-211,7,97
386,-676,12396,8896,-234,12,95
389,-632,12404,8984,-214,18,85
392,-728,12420,9088,-192,14,75
396,-624,12348,9056,-203,61,55
399,-748,12380,9048,-200,50,82
401,-736,12424,9040,-198,56,43
404,-788,12460,9012,-213,41,63
407,-728,12432,9088,-210,62,76
410,-728,12376,8912,-185,38,55
413,-800,12472,8964,-233,41,58
416,-788,12376,8968,-208,37,89
419,-732,12444,8972,-229,41,84
422,-868,12384,9020,-236,25,72
425,-796,12476,8876,-232,34,102
428,-792,12396,8976,-232,44,99
431,-796,12444,8824,-277,-1,92
434,-752,12364,8896,-248,5,90
437,-908,12460,8888,-264,-17,84
440,-844,12460,8876,-294,11,93
443,-896,12420,8936,-279,-30,119
446,-776,12448,8972,-301,-17,122
449,-872,12352,8880,-299,-58,145
452,-820,12464,8916,-295,-43,154
455,-880,12436,9024,-314,-65,141
458,-912,12352,9076,-314,-77,172
461,-856,12348,9028,-297,-92,188
464,-716,12264,9060,-286,-76,174
467,-708,12436,9116,-284,-125,193
470,-728,12424,8948,-290,-96,168
473,-708,12340,9116,-239,-60,171
476,-676,12408,9108,-254,-82,175
480,-696,12408,9064,-249,-61,173
483,-696,12392,9056,-247,-59,156
486,-640,12380,9204,-225,-37,157
489,-648,12388,9020,-216,-52,128
492,-636,12396,9008,-220,-32,142
495,-704,12364,9004,-226,-4,142
498,-604,12544,8984,-214,-18,138
501,-768,12336,8996,-207,7,131
504,-636,12484,9080,-243,19,142
507,-652,12448,8928,-227,-14,114
509,-668,12384,8936,-232,-7,116
512,-756,12348,8956,-238,52,113
515,-664,12424,8976,-234,25,104
518,-764,12364,8912,-264,18,89
522,-704,12412,8904,-255,-18,92
525,-724,12544,8928,-266,3,92
528,-792,12360,9084,-272,10,113
531,-748,12416,9020,-286,17,97
534,-660,12484,8968,-267,37,111
537,-772,12484,9044,-265,34,84
540,-852,12468,8964,-287,3,104
543,-732,12384,9136,-286,-7,103
546,-736,12372,9028,-285,-31,85
549,-808,12488,9068,-260,-34,81
551,-680,12444,9056,-266,-13,68
554,-732,12404,9080,-238,-3,104
557,-728,12436,9108,-259,13,79
560,-708,12364,9028,-252,-10,105
563,-736,12428,9032,-230,1,93
567,-776,12352,8988,-233,-1,95
570,-724,12332,9092,-225,-1,111
573,-716,12492,8944,-208,-14,84
576,-740,12328,9000,-223,43,82
579,-780,12312,8928,-231,56,95
582,-752,12384,8992,-208,-5,76
584,-840,12344,8964,-241,13,104
587,-964,12456,8944,-240,-6,106
590,-824,12440,8880,-232,-30,125
593,-800,12376,8880,-252,-31,125
596,-752,12424,9068,-226,-23,117
599,-728,12492,9052,-236,-51,118
602,-792,12424,8944,-248,-42,119
605,-672,12332,9052,-247,-10,99
609,-796,12384,9024,-236,-6,130
612,-764,12372,8960,-234,-16,107
615,-784,12292,9108,-240,9,123
618,-604,12396,8976,-232,-2,117
621,-752,12460,8896,-250,-3,100
624,-740,12452,9156,-246,-42,108
627,-804,12564,9000,-242,-52,111
630,-828,12364,9104,-252,-42,124
633,-768,12400,8960,-262,-85,102
636,-660,12536,9044,-280,-86,127
639,-736,12376,9024,-286,-57,105
642,-800,12476,9064,-258,-51,107
645,-712,12360,9084,-284,-75,105
648,-788,12432,9052,-280,-32,124
651,-864,12388,8928,-277,-48,95
654,-836,12392,8944,-268,-70,116
657,-748,12328,8968,-287,-82,118
660,-808,12396,9000,-268,-67,147
663,-808,12428,8928,-296,-80,139
666,-872,12532,8868,-290,-40,152
669,-708,12232,9024,-292,-39,147
672,-844,12328,8868,-272,-64,149
675,-724,12508,8896,-296,-115,166
678,-708,12592,8712,-338,-64,171
681,-820,12304,8872,-332,-75,152
684,-944,12280,8912,-330,-123,162
687,-940,12448,8976,-323,-206,196
690,-844,12444,8924,-349,-142,206
694,-840,12392,9072,-371,-151,222
697,-760,12488,8884,-368,-150,205
700,-848,12296,9160,-378,-178,209
703,-744,12316,9168,-349,-177,225
706,-684,12464,9184,-334,-152,222
709,-696,12416,9060,-329,-135,217
712,-640,12464,9016,-330,-146,219
715,-656,12420,9152,-334,-134,199
718,-664,12372,9112,-307,-129,225
721,-636,12340,9112,-280,-134,164
724,-628,12304,9104,-295,-104,169
727,-568,12412,9228,-248,-85,146
730,-548,12376,9068,-247,-40,150
