time,accX,accY,accZ,gyrX,gyrY,gyrZ
2,-120,12528,7192,-504,-1601,467
5,-32,12456,7444,-533,-1533,484
8,24,12480,7356,-545,-1665,442
11,316,12356,7484,-528,-1681,427
14,448,12560,7576,-536,-1480,346
18,240,12524,7724,-528,-1302,308
22,-72,12472,7604,-537,-1261,309
25,364,12456,7680,-503,-1158,276
28,556,12548,7824,-469,-1001,238
32,236,12520,7804,-441,-986,219
35,-112,12440,7852,-404,-1049,167
38,-176,12436,7520,-392,-1063,176
41,-324,12552,7344,-424,-1148,212
45,-532,12464,7252,-431,-1302,248
48,-400,12352,7288,-456,-1268,293
109,244,12432,7876,-422,-610,314
112,340,12524,7712,-399,-554,286
115,96,12476,7788,-384,-523,267
118,192,12508,7672,-366,-482,233
122,236,12396,7624,-360,-483,231
125,120,12492,7672,-334,-512,230
128,-64,12372,7512,-314,-564,204
131,20,12316,7552,-308,-592,212
134,-64,12520,7732,-309,-714,210
138,-180,12444,7472,-295,-888,211
141,-116,12560,7280,-329,-888,265
144,-232,12504,7432,-349,-939,299
148,-280,12500,7636,-322,-1058,326
152,80,12432,7628,-344,-1084,368
219,-108,12440,7512,-311,-130,236
222,-48,12604,7548,-309,-222,254
225,-40,12572,7460,-325,-213,236
229,-116,12468,7576,-341,-217,298
232,-44,12500,7596,-316,-226,313
236,112,12540,7440,-339,-203,335
239,228,12512,7476,-315,-100,331
242,20,12532,7608,-323,-107,316
246,68,12524,7516,-343,-161,311
249,228,12532,7484,-331,-123,341
252,-8,12512,7376,-339,-165,313
255,24,12528,7436,-331,-240,324
258,268,12472,7448,-349,-196,352
262,172,12424,7512,-360,-128,282
265,212,12396,7428,-374,-175,303
268,60,12484,7484,-400,-218,312
282,72,12404,7620,-427,-233,347
285,124,12452,7488,-425,-188,364
288,48,12420,7680,-416,-146,369
291,-112,12480,7620,-423,-218,387
295,-128,12448,7456,-401,-228,432
298,88,12396,7680,-373,-220,423
301,132,12484,7492,-401,-198,457
304,180,12524,7620,-355,-117,431
308,92,12404,7552,-387,-183,455
311,60,12436,7556,-383,-235,458
314,116,12540,7676,-368,-262,470
317,160,12476,7724,-330,-236,467
321,240,12460,7760,-350,-328,459
325,392,12460,7688,-318,-340,414
328,272,12388,7740,-288,-347,430
339,128,12476,7700,-277,-298,402
342,112,12440,7700,-260,-312,382
345,140,12404,7636,-259,-356,422
348,192,12552,7536,-249,-374,416
351,328,12524,7396,-271,-380,378
355,336,12392,7436,-280,-322,389
358,360,12452,7348,-299,-338,359
362,304,12540,7284,-353,-251,346
365,-128,12512,7356,-342,-332,387
369,-360,12476,7244,-391,-475,450
372,-304,12460,7084,-444,-658,510
375,-168,12444,7120,-495,-781,543
378,-12,12432,7280,-534,-826,586
382,-316,12500,7332,-543,-767,643
385,-272,12420,7464,-621,-799,702
396,-220,12540,7488,-692,-1388,930
399,-152,12448,7548,-714,-1491,987
402,68,12480,7564,-674,-1589,1007
407,216,12500,7692,-675,-1711,1032
410,36,12412,7852,-636,-1933,1011
413,236,12336,7784,-601,-2066,1019
416,268,12236,7900,-556,-2127,1035
420,388,12392,7860,-493,-2093,1028
423,380,12344,7588,-473,-2091,1042
426,48,12292,7740,-463,-2232,1033
430,-44,12448,7928,-420,-2306,1083
433,308,12440,7792,-360,-2473,1103
436,652,12428,7912,-319,-2492,1074
439,708,12416,7996,-263,-2549,1016
451,216,12456,7448,-251,-2676,1005
455,344,12552,7440,-249,-2887,966
