time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,6088,-1784,12532,-216,-25,504
6,6280,-1872,12496,-272,-77,540
10,6360,-1836,12532,-262,-139,533
13,6400,-1828,12552,-268,-191,492
16,6516,-1888,12644,-267,-174,452
19,6492,-1840,12576,-254,-152,409
22,6560,-1804,12636,-240,-185,352
25,6564,-1752,12740,-268,-232,269
28,6564,-1796,12568,-257,-250,225
31,6600,-1924,12708,-292,-197,145
34,6632,-1960,12508,-326,-96,103
37,6372,-1980,12500,-376,-34,64
40,6384,-2016,12584,-367,36,36
43,6240,-2036,12576,-354,34,14
46,6088,-2024,12564,-373,-30,14
49,6068,-2016,12640,-332,-143,-8
52,6180,-1996,12692,-302,-125,16
55,6228,-2088,12616,-274,18,33
58,6268,-2016,12576,-248,193,109
61,6216,-2116,12608,-248,314,114
64,6244,-2132,12432,-248,370,69
67,6308,-2120,12464,-279,377,54
70,6152,-2084,12448,-302,380,2
73,6228,-2052,12412,-314,361,-45
76,6228,-2072,12388,-337,369,-96
79,6332,-1944,12232,-322,410,-122
82,6292,-1864,12344,-320,500,-150
86,6320,-1860,12276,-307,467,-128
89,6252,-1864,12520,-301,396,-141
92,6148,-1704,12588,-295,209,-140
96,6280,-1628,12744,-243,51,-112
99,6348,-1804,12924,-206,-112,-116
102,6364,-1872,12924,-127,-236,-87
105,6288,-1840,12820,-73,-258,-110
108,6212,-2096,12676,-12,-149,-123
111,6344,-2188,12616,-88,23,-112
114,6204,-2216,12756,-100,167,-110
117,6276,-2068,12760,-147,211,-136
120,6216,-1988,12852,-176,207,-91
123,6188,-1984,12772,-183,172,-92
126,6240,-1912,12884,-192,114,-23
129,6228,-1820,13080,-143,69,15
132,6296,-1860,13072,-109,43,46
135,6044,-1792,13004,-73,-159,79
139,6084,-1960,12704,-124,-214,170
142,5980,-1884,12412,-226,-158,243
145,5952,-2036,12472,-322,-36,361
148,6224,-2016,12676,-404,132,411
151,6384,-1888,12692,-422,178,441
154,6228,-1880,12776,-463,94,461
157,6316,-1796,12556,-504,59,493
160,6520,-1692,12608,-534,103,538
163,6616,-1748,12616,-549,272,566
166,6752,-1928,12708,-525,439,519
169,7008,-1972,12852,-522,537,437
172,7160,-2036,12952,-515,603,332
176,6996,-1888,12892,-528,638,207
180,6856,-1860,12916,-546,642,115
183,6792,-1716,12860,-604,547,13
186,6584,-1772,12892,-638,421,-45
189,6560,-1792,12768,-652,387,-50
192,6492,-1812,12948,-691,428,-58
195,6416,-1720,12804,-702,520,-29
198,6352,-1764,12884,-715,531,19
201,6232,-1772,12904,-768,435,10
204,6164,-1820,12848,-775,311,43
207,6156,-1852,12852,-760,169,101
210,6132,-1752,12980,-755,109,116
213,6228,-1868,12900,-706,11,138
216,6136,-1872,13132,-640,-57,215
219,6128,-1924,13232,-539,-182,276
223,6056,-1972,13152,-422,-319,293
226,6116,-1912,13188,-265,-449,327
229,5920,-2132,13096,-167,-555,375
232,6084,-2148,12956,-27,-614,344
235,5952,-2204,12796,66,-705,406
238,5980,-2196,12600,148,-773,354
241,6036,-2132,12356,204,-744,412
244,6056,-2168,12404,243,-607,389
247,6048,-1976,12300,217,-479,439
250,6104,-1936,12100,163,-413,446
253,6176,-1908,12024,111,-291,483
257,6364,-1924,12096,-35,-94,471
260,6472,-1988,11916,-121,9,430
262,6544,-2052,12012,-245,83,350
267,6472,-1988,11964,-372,135,237
270,6632,-2108,12096,-477,238,152
273,6740,-1892,12276,-507,339,58
276,6752,-1936,12372,-526,382,-7
279,6564,-1868,12524,-545,431,-86
282,6548,-2100,12540,-516,438,-235
285,6536,-2188,12520,-531,463,-312
288,6384,-2228,12756,-552,523,-406
291,6212,-2332,12632,-632,566,-434
294,6076,-2228,12544,-614,643,-457
297,5968,-2148,12672,-634,684,-398
300,5904,-2132,12784,-601,708,-322
303,5908,-2248,12752,-570,633,-292
306,5712,-2212,12796,-503,505,-237
310,5772,-2180,12792,-410,375,-160
313,5920,-2192,12868,-318,298,-98
316,6008,-2144,12952,-201,258,-47
319,6160,-1988,12796,-95,225,-4
322,6188,-1908,12824,8,130,66
325,6124,-2000,12792,100,10,90
328,6140,-1968,13000,173,-101,108
331,6300,-1988,12824,238,-196,119
334,6444,-1908,12684,261,-145,100
337,6520,-2036,12564,248,-87,64
340,6452,-2076,12684,178,-105,23
343,6300,-2016,12488,119,-173,-47
346,6464,-1888,12476,43,-205,-61
350,6352,-1912,12496,-27,-179,-96
353,6096,-1880,12484,-129,-213,-97
356,6292,-1828,12336,-232,-196,-54
359,6196,-1832,12432,-318,-8,2
362,6100,-1952,12412,-386,133,41
365,6392,-2064,12592,-434,342,61
368,6272,-2148,12788,-446,515,74
371,6304,-2052,12640,-486,610,71
374,6280,-2044,12780,-542,622,26
377,6292,-2064,12944,-578,649,13
380,6444,-1968,12920,-603,732,-35
383,6536,-1900,12880,-583,828,-57
386,6504,-1868,13024,-541,871,-59
389,6484,-1724,13068,-512,835,-92
393,6464,-1848,13188,-499,790,-128
396,6372,-1788,12856,-474,722,-143
400,6384,-1820,13036,-487,664,-157
403,6268,-1864,13036,-481,557,-187
406,6140,-1744,13000,-462,436,-178
409,6148,-1836,13108,-457,323,-191
412,6052,-1892,13056,-427,188,-163
415,6016,-1888,13080,-390,88,-143
418,5908,-1996,13076,-299,43,-76
421,6048,-1984,13080,-222,34,-65
424,5752,-2212,12872,-154,26,-24
427,5808,-2188,12800,-105,-15,8
430,5724,-2180,12740,-112,1,50
433,5828,-2056,12528,-108,8,112
437,5876,-2024,12316,-121,28,157
440,6024,-1952,12572,-88,28,241
443,5936,-1756,12560,-148,-3,292
446,6184,-1800,12496,-186,4,351
448,6300,-1688,12720,-191,-34,372
452,6292,-1848,12596,-195,-40,368
455,6352,-1860,12772,-247,-7,385
458,6344,-1912,12564,-231,-22,341
461,6572,-1964,12696,-265,20,291
464,6496,-1952,12692,-242,-11,247
467,6692,-1816,12728,-190,-17,172
470,6532,-1840,12816,-231,92,121
473,6592,-1888,12704,-249,235,42
476,6668,-1996,12616,-356,274,-47
480,6400,-1932,12608,-420,326,-116
483,6300,-2084,12752,-534,292,-179
486,6336,-1952,12704,-605,387,-175
489,6260,-2004,12728,-642,568,-183
492,6168,-2036,12720,-680,663,-172
495,6088,-2008,12604,-697,640,-165
498,6012,-2156,12800,-713,649,-173
501,6024,-2112,12548,-693,593,-172
504,6004,-2248,12724,-681,563,-148
507,5924,-2232,12636,-631,563,-152
510,5976,-2208,12640,-577,493,-123
513,5944,-2136,12572,-527,485,-118
516,5948,-2152,12712,-514,458,-118
521,5824,-2236,12676,-479,486,-95
524,6024,-2120,12536,-438,503,-60
527,6088,-2040,12432,-404,609,-2
530,6068,-2004,12580,-415,660,27
533,6056,-1996,12624,-385,647,68
536,5896,-1836,12568,-358,526,59
539,5876,-1788,12584,-380,332,90
542,5864,-1996,12752,-367,160,137
545,5916,-1976,12856,-288,-76,141
548,6152,-2092,13100,-223,-210,147
551,6124,-2232,13088,-81,-419,115
554,6084,-2212,13012,42,-506,137
557,6048,-2288,12900,150,-592,89
560,5844,-2364,12772,213,-703,73
564,5916,-2520,12804,246,-634,80
567,5760,-2468,12528,260,-602,79
570,5736,-2280,12536,234,-608,102
573,5692,-2276,12332,170,-557,167
576,5608,-2024,12264,74,-510,210
579,5928,-2028,12228,-30,-308,319
582,6068,-2068,12124,-131,-70,407
585,6132,-1844,12036,-273,50,473
588,6212,-1888,12244,-426,92,439
591,5988,-1716,12256,-558,-52,477
594,6260,-1696,12372,-682,-118,494
597,6408,-1668,12464,-800,-31,500
600,6508,-1940,12416,-877,103,507
603,6692,-1912,12728,-961,367,430
607,6724,-1996,12936,-970,514,410
610,6612,-1884,12912,-1033,564,336
613,6652,-1776,13160,-1016,540,281
616,6520,-1872,13416,-985,388,190
620,6464,-1880,13360,-856,261,136
623,6580,-1984,13456,-715,252,58
626,6400,-2080,13524,-547,207,36
629,6188,-2100,13500,-364,120,-16
632,6236,-2140,13560,-202,24,-13
635,6156,-2232,13560,-45,-8,-33
637,6044,-2232,13472,127,-163,-26
640,5848,-2032,13104,227,-356,15
643,5672,-2100,13000,313,-504,46
646,5692,-2052,12788,360,-556,115
651,5828,-2036,12548,366,-534,190
654,5876,-2100,12652,330,-398,249
