time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,-516,11708,8560,-189,-304,173
6,-464,11724,8624,-169,-468,239
9,-284,11632,8428,-188,-545,318
12,-196,11616,8284,-186,-626,348
15,-268,11668,8448,-186,-852,416
19,12,11716,8560,-202,-988,441
22,208,11632,8448,-162,-1007,502
25,396,11620,8400,-199,-931,479
28,604,11824,8572,-159,-864,470
31,668,11716,8672,-156,-796,451
35,500,11724,8712,-153,-650,432
38,592,11768,8716,-118,-547,396
41,828,11748,8700,-105,-498,364
45,700,11736,8548,-110,-521,315
48,864,11748,8532,-92,-484,314
82,256,11820,8300,-283,-298,186
85,332,11808,8180,-319,-384,159
90,216,11732,8260,-346,-505,186
93,384,11812,8400,-394,-534,183
96,660,11732,8176,-384,-447,174
99,788,11672,8276,-422,-365,142
102,796,11780,8116,-439,-350,80
106,744,11640,8276,-484,-410,39
109,764,11600,8464,-520,-447,-8
112,708,11700,8728,-512,-384,4
115,684,11680,8464,-509,-270,-45
118,448,11700,8676,-471,-238,-59
121,324,11660,9000,-473,-217,-30
125,72,11664,8800,-399,-141,-2
128,112,11628,8864,-348,-137,14
139,-80,11592,9060,-156,-514,196
143,88,11596,8784,-97,-606,228
146,160,11624,8692,-90,-751,242
149,-68,11592,8836,-24,-864,247
152,124,11748,8860,41,-945,299
155,260,11708,8660,68,-1070,314
159,364,11616,8596,98,-1149,336
162,472,11620,8416,131,-1320,293
165,580,11700,8320,94,-1466,242
168,704,11704,8520,106,-1528,246
171,560,11744,8504,102,-1648,212
176,396,11668,8268,65,-1830,193
179,96,11768,8264,49,-2008,219
182,-20,11804,8472,51,-2141,276
185,-80,11752,8516,42,-2272,325
188,32,11780,8384,48,-2476,382
199,-108,11704,8472,72,-3716,568
202,-152,11848,8484,57,-4172,602
205,4,11668,8228,46,-4595,623
208,388,11832,7960,22,-4923,643
212,688,11712,7900,-58,-4830,629
216,1004,11864,8088,-80,-4708,615
219,5452,18116,9588,497,-4768,-217
222,1628,15988,6108,1660,-1363,-2868
226,-6348,11424,10612,1645,-4378,-1735
229,-2240,13228,6792,1994,-4290,-2093
233,-292,13580,6088,2048,-4993,-2070
236,1552,14688,8396,2030,-5310,-2271
239,-2460,13196,8572,2028,-6410,-1987
243,-1184,13752,8180,2089,-6625,-1833
254,-816,13620,7840,2265,-7393,-1880
258,892,14056,8968,2567,-7933,-1926
261,-576,14036,8644,2745,-8213,-1971
265,1948,13800,9896,2789,-9709,-1145
268,372,14612,8568,2952,-9027,-1351
271,-720,12628,8588,3036,-9493,-1392
275,1236,13636,8052,3153,-9450,-1670
278,1920,12924,8244,3219,-9391,-1912
282,-1216,11644,7344,3146,-9001,-1794
285,1244,12228,8384,2936,-9039,-1293
288,4,10440,7244,2674,-9303,-807
292,2236,11332,7148,2382,-8880,-602
295,2332,11128,8952,2156,-8719,-275
298,4280,10428,7600,2184,-8013,-259
310,4676,10620,8044,2048,-7474,-183
313,772,9560,7460,1711,-7715,226
317,7772,12004,9204,1865,-7223,-157
320,2312,9908,7136,1541,-6619,-314
323,3968,10712,9036,1641,-6117,-260
327,944,9492,8276,1351,-6186,142
330,4256,11660,9476,1389,-6159,334
333,5548,11288,7956,1015,-5633,11
336,5652,10328,7236,708,-5107,86
340,3628,9568,7780,556,-4799,221
344,7084,11124,8440,454,-3992,136
347,8544,12036,8284,383,-3308,-129
350,6736,12388,9476,211,-3089,-134
354,5488,10712,8712,-74,-2969,313
365,3956,12184,8828,-416,-637,-471
368,2360,12036,9504,-209,-530,-550
371,1556,12076,8776,-79,-570,-562
374,1268,12176,8648,1,-712,-511
378,1132,12132,8468,59,-721,-407
381,1548,12148,7948,86,-492,-345
384,1720,12136,7700,52,-247,-285
388,1756,12172,7664,-3,14,-251
391,1460,12120,7628,-24,363,-183
395,1232,12180,7704,-37,543,-65
398,1284,12128,7616,-75,732,12
401,1456,12232,7116,-129,822,82
404,1876,12240,7192,-243,928,95
407,1960,12240,7280,-339,1149,105
410,1780,12240,7588,-379,1334,124
421,1820,12260,7276,-619,2058,218
425,2124,12232,7148,-731,2231,223
429,2572,12296,7056,-839,2475,145
432,3024,12236,6836,-980,2821,44
435,3000,12292,7084,-1091,3096,-130
439,3140,12172,7228,-1199,3576,-224
442,3108,12224,7120,-1297,4107,-353
445,2708,12200,7400,-1336,4506,-499
449,2016,12124,7952,-1368,4696,-563
452,2012,12176,8072,-1336,4808,-587
455,2160,12116,7956,-1304,4966,-653
459,2668,12160,7928,-1342,5129,-749
462,2928,12136,7536,-1381,5426,-904
465,2440,12160,7576,-1416,5376,-1069
499,-8308,15452,11908,-1258,6191,-486
503,-13220,12420,17560,1821,-2020,5248
506,120,13084,10420,2255,-4495,6424
509,9020,11636,5040,2089,-3580,6495
514,3376,11960,6624,1478,-2889,6371
517,1108,11332,6712,1282,-2246,6425
520,8800,12784,4284,842,52,5005
523,-232,12924,9928,977,-433,5864
527,2252,11912,7580,1027,-195,5833
530,7252,12652,5376,543,1312,4874
533,4120,12488,4752,105,2735,4201
537,1196,11756,8436,392,1985,4899
540,3316,11304,8876,765,1619,5753
543,5660,11420,5708,550,2725,5446
554,3192,11900,6012,1043,1380,6698
558,536,11764,5984,528,2254,6115
562,496,11912,7836,603,3095,5745
565,3596,11388,5392,435,3767,4903
568,4036,12012,6128,273,4147,4277
571,-2652,11500,6476,-382,5144,3292
575,-664,12824,7380,-256,5774,2751
578,-1484,13532,8780,-181,6114,2575
581,388,12576,10236,402,5074,4041
585,3360,11816,7312,451,6027,4516
588,-2608,11772,9112,573,6222,5050
591,-4452,12276,10932,1403,5172,6793
594,7652,12600,5684,1086,6304,6066
599,6984,12924,6600,562,7867,5657
602,9508,12636,5404,-148,10548,4249
613,-1816,12672,8996,-296,10373,4014
616,-2772,12344,8552,46,9170,4292
620,832,12296,7332,-43,8831,3984
623,1688,11944,6520,-294,9346,3426
626,-4296,12008,8628,-307,8679,3675
629,-2448,12260,8720,-268,8434,3347
633,396,12032,10048,177,7169,3605
636,824,12004,7984,-57,6843,2898
639,-716,11976,9348,160,6265,3002
643,6380,12360,6344,-262,7546,1305
647,7900,11576,5760,-720,8333,69
650,-4616,12804,9808,-694,8202,190
653,-4536,13308,11920,-8,6386,1314
657,2132,12560,7064,-215,7108,507
667,-2256,11636,9544,134,6014,1180
671,-3456,12208,10280,497,4891,1898
674,1100,12020,7488,121,5600,1288
677,-2260,12352,7520,-31,5641,1265
681,5624,11912,6832,199,5378,1216
685,628,11964,8084,68,5002,1468
688,1628,11984,9308,410,4056,2230
691,1304,12532,6884,349,4210,1985
695,10452,11204,6180,135,4925,1334
698,4736,11944,7588,-134,5236,1249
701,-1328,11544,10100,4,4357,1870
704,-3432,12720,6592,-242,5007,1319
708,-1256,12028,7112,-355,5000,969
711,-2144,11712,9852,-91,3339,1784
714,3672,11580,6844,-337,3852,973
723,-2824,12860,7344,-663,3788,754
727,4376,11956,5944,-861,5029,-386
731,-2176,12288,6668,-1140,5150,-799
734,-2380,12000,9356,-909,3840,-406
