time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,2148,12784,7168,-269,165,204
6,2092,12568,7252,-276,148,205
10,2132,12648,7164,-291,166,177
13,2180,12612,7200,-277,195,157
16,2188,12668,7180,-267,181,165
19,2256,12740,7216,-289,137,119
22,2312,12772,7296,-278,154,96
26,2068,12664,7160,-268,158,92
29,2068,12632,7328,-245,138,72
32,2020,12628,7260,-229,81,81
35,2016,12680,7216,-227,74,67
38,1972,12736,7192,-231,78,91
42,1752,12720,7180,-223,59,134
45,1640,12652,7268,-182,-2,261
48,100,12824,7728,3,-102,767
51,468,12464,7820,95,-654,1226
54,-4400,12676,9092,925,-1064,3994
57,-348,13712,6816,935,-3511,3966
60,7192,12436,4788,354,-2910,2519
63,5188,12688,6388,263,-1321,2227
68,2588,12584,6976,182,-794,1949
71,3584,12232,6904,108,-860,1589
74,-1360,13148,8436,388,-973,2392
77,-456,12888,7728,648,-1628,3331
80,-1320,12744,8508,1049,-2509,4454
84,5032,11948,5816,850,-3255,4316
87,6004,12764,5556,505,-2698,3263
90,-256,13256,8332,1031,-1258,4320
94,5108,12328,5324,628,-2449,3261
97,2640,12792,7304,661,-1685,3231
100,3960,12776,6712,768,-1796,3361
103,3124,12700,6268,655,-2078,3069
107,2668,12720,7076,735,-1911,3171
111,5108,12744,6248,673,-2208,2795
114,3308,12692,7096,658,-1764,2699
117,1168,12704,7692,1050,-1653,3640
121,4140,12512,6196,972,-2946,3396
124,4080,13192,6876,902,-2439,3080
127,6244,12496,5964,620,-2542,2337
130,172,12428,8776,1053,-1690,3550
134,-2684,12604,8280,1596,-3024,4607
137,2500,12960,6512,1375,-4681,4290
140,1864,12876,7524,1481,-3953,4614
143,4108,13104,6792,1512,-4080,4584
147,3368,12808,8260,1694,-3854,4886
150,1380,12616,8140,1921,-3866,5745
154,1916,12044,7856,2212,-4530,6336
158,3196,12736,6716,2230,-4821,6107
161,2388,12224,7748,2394,-4292,6547
164,5292,12740,6872,2442,-4714,6404
168,2168,11692,7864,2633,-4465,7256
171,4076,13136,6472,2916,-5229,7151
174,2612,11440,8184,3149,-4773,7732
177,1368,11780,7256,3262,-4750,7802
181,5508,12236,5684,3149,-4856,6881
184,5712,12588,5564,2765,-4137,6190
187,6300,13080,6840,2653,-3652,5398
191,7032,13472,5392,2214,-3115,4592
195,4400,12588,6484,1975,-2692,4239
198,3772,13232,6612,2013,-2348,4047
201,3828,12484,6504,2057,-2195,4219
205,4200,12976,6060,1820,-2582,3999
208,3140,13484,5824,1903,-2152,4226
211,4252,13488,6324,1809,-2479,4108
215,2292,12448,7572,1770,-1969,4319
218,3856,13256,5388,1684,-2199,4246
221,2508,12188,6780,1739,-1944,4323
225,4040,13284,6564,1908,-2020,4519
228,4820,12432,4500,1670,-2344,4302
231,3860,12632,6448,1666,-2151,4281
234,3200,12804,7284,1710,-2046,4397
239,3512,12288,7352,1933,-1976,4878
242,3396,12600,6912,2013,-2318,5098
245,4900,12668,7440,2308,-2362,5277
249,4736,12324,7468,2497,-2325,5482
252,4656,12244,5552,2139,-2308,4976
255,2968,11984,7920,2628,-1596,5250
258,5524,13128,6520,2225,-2392,4546
262,6752,12852,5416,2301,-1581,4305
265,5008,12796,7912,2533,-1302,4528
268,4612,12068,4648,2327,-1789,4470
272,5520,12356,6396,2699,-1237,4499
275,5080,12844,6992,2589,-1355,4609
278,6252,12868,6724,2633,-1347,4232
283,6632,13124,6020,2404,-1120,3768
286,5764,12612,5980,2260,-757,3449
289,6960,14032,5180,2238,-883,3010
292,4456,12216,5884,2073,-346,3248
296,5044,13600,5248,2021,-763,3007
299,6196,13868,5360,1976,-905,2860
302,4112,12584,5776,1972,-695,2903
305,5536,13500,4568,1424,-1084,2091
309,560,12292,7732,1872,62,2876
312,3952,13492,4872,1797,-1397,2687
315,3928,12068,6336,1705,-923,2862
318,3504,13132,6856,2029,-745,3099
323,3504,12512,5672,1899,-1324,3137
326,6736,13392,4636,1549,-1373,2532
329,4320,12708,6304,1533,-491,2439
332,3520,12676,6196,1368,-556,2480
336,4792,13104,6060,1479,-719,2476
339,4416,12812,5912,1554,-537,2590
342,3044,12012,7212,1556,-521,2928
345,3608,13008,6828,1784,-924,3420
349,4392,12384,7176,2217,-1010,3839
352,7904,13268,4940,1722,-1460,3211
355,7068,12864,6756,1770,-433,3015
358,7772,13172,4416,1428,-537,2610
362,4760,12356,7536,1699,-39,2930
366,5976,12712,6432,1779,-352,2895
369,5420,12444,5788,1783,-230,2833
372,6448,13720,6144,1714,-500,2574
376,6736,13052,4848,1526,-378,1991
379,3808,12752,6700,1693,-41,2492
382,4880,13032,5380,1712,-725,2395
385,6768,13332,4184,1298,-524,1624
389,5104,13468,5228,1417,-26,1640
392,5580,12940,5992,1346,-162,1516
395,5244,13308,5248,1116,155,1207
398,2488,12456,7228,1430,474,1992
401,4400,13056,4752,1452,-466,1929
405,6140,13124,5008,1264,-253,1683
409,7448,13112,4748,871,-7,1048
412,2608,12476,6108,993,447,1260
415,3908,13416,5412,947,-547,1303
418,2956,11784,7240,1193,-25,2048
422,6008,12652,4724,1009,-168,1935
425,6080,13148,5892,943,245,1700
428,8452,14100,4584,652,108,901
431,7212,13924,4352,411,330,419
434,5712,12960,6172,479,753,576
437,5944,13580,4872,336,113,464
441,3692,12664,6072,410,556,744
444,584,12028,7524,890,501,1733
447,5628,12848,4760,773,-550,1544
451,6916,12952,5536,777,258,1410
454,8040,13244,4904,490,540,794
457,3068,12368,7072,868,1135,1462
461,2500,11912,7068,1256,311,2378
464,6032,13084,5872,1206,-262,2161
467,7152,13012,4788,1106,653,1902
470,9100,13928,4704,787,509,1173
473,7032,13544,5348,652,1080,861
477,2520,12436,6364,816,1117,1480
480,4088,12712,5264,880,116,1683
483,3424,12616,5504,967,162,1969
486,5500,13560,5548,932,-332,1724
489,7596,13808,4340,791,-137,1450
494,7192,13788,3404,402,-391,730
497,5688,13836,3948,47,-654,443
500,3820,12864,5144,-26,-437,626
503,5908,13512,4908,-125,-386,342
506,4872,13224,5008,-291,-222,199
509,4188,13080,5476,-312,-582,380
512,4828,13016,5420,-349,-750,414
516,4592,12864,5496,-346,-697,498
519,4688,12820,5500,-368,-751,603
522,4936,12936,5360,-364,-793,633
525,4824,12928,5500,-388,-913,699
528,5124,13048,5304,-402,-1058,744
531,5448,13032,5404,-431,-1152,695
536,5500,12976,5468,-440,-1240,704
539,5440,13020,5524,-442,-1469,697
542,5632,12844,5516,-434,-1521,641
545,6332,12864,5512,-412,-1496,561
548,7024,12856,5856,-396,-1267,465
552,7212,12808,5956,-325,-951,291
555,7212,12820,6248,-257,-632,123
558,7340,12800,6136,-145,-359,-77
561,7168,12888,6200,-100,-29,-268
564,6496,12964,6064,5,186,-413
567,6044,12964,5824,11,309,-473
570,5612,13092,5580,39,342,-485
573,5484,13000,5464,4,369,-456
576,5332,13060,5508,4,417,-427
580,5264,12992,5524,17,451,-428
584,5264,12996,5520,-14,463,-377
587,5104,12976,5332,-21,449,-368
590,4856,13028,5232,-54,393,-271
593,4776,12976,5280,-100,320,-178
596,4836,12924,5260,-146,243,-142
599,4812,12948,5332,-146,179,-50
602,4624,13060,5380,-194,91,-3
605,4632,12972,5392,-166,24,95
608,4656,13024,5400,-211,-46,167
611,4852,12884,5440,-211,-125,231
615,4988,13040,5512,-223,-167,316
618,5116,13096,5380,-213,-199,344
622,5052,13092,5460,-218,-229,369
625,5116,12944,5608,-219,-275,410
628,5104,12900,5564,-233,-376,424
631,5352,12920,5628,-169,-411,446
634,5420,12872,5672,-190,-446,424
638,5604,13036,5584,-170,-499,419
641,5748,13040,5508,-176,-535,379
644,5892,12880,5544,-181,-535,325
647,5980,12944,5596,-140,-551,253
650,5860,13012,5656,-120,-558,214
653,6076,12964,5624,-112,-622,110
657,6188,12916,5748,-96,-580,39
660,6564,12996,5644,-69,-441,-66
664,6600,13040,5708,-45,-325,-200
667,6440,12932,5952,-17,-232,-313
670,6176,12988,5952,44,-152,-393
673,5960,12968,5880,108,-193,-473
676,5772,13020,5752,104,-188,-539
679,5728,12956,5472,152,-203,-549
683,5464,12924,5512,147,-266,-565
686,5544,13056,5348,112,-272,-597
689,5316,12956,5332,89,-300,-587
692,5232,13064,5384,58,-314,-572
695,5260,13052,5456,48,-346,-545
698,5252,13104,5452,48,-402,-529
701,5296,12964,5344,20,-413,-497
704,5408,13072,5280,29,-405,-520
708,5348,13044,5316,-31,-398,-480
712,5184,13000,5224,-2,-423,-479
715,5160,13000,5272,-59,-403,-441
718,5048,13024,5128,-68,-507,-403
721,4932,13100,5228,-80,-542,-367
724,5100,13080,5324,-89,-571,-282
727,5260,12968,5312,-146,-473,-258
730,5252,12860,5324,-138,-438,-247
733,5348,13028,5428,-134,-400,-241
737,5384,13044,5600,-161,-377,-228
740,5428,13056,5436,-142,-400,-225
743,5716,13016,5520,-147,-348,-214
746,5924,13000,5504,-125,-222,-284
750,5744,13000,5696,-131,-161,-332
753,5516,12904,5672,-76,-184,-324
757,5656,12984,5700,-51,-192,-367
760,5952,12960,5700,5,-206,-431
763,5924,12936,5872,47,-167,-483
766,5960,12984,5968,95,-187,-534
769,6004,13008,5884,209,-105,-611
772,5992,13020,5884,234,-125,-674
775,5904,12872,5788,293,-44,-757
778,6040,12936,5752,337,3,-815
781,5896,12996,5644,353,42,-875
784,5656,13032,5660,418,72,-908
788,5644,13044,5652,445,123,-954
792,5616,13032,5488,452,185,-981
795,5496,13104,5556,488,169,-1046
798,5336,13028,5440,441,179,-1032
801,5076,13104,5340,478,153,-1021
804,5052,13052,5328,465,134,-996
807,5016,12988,5372,428,112,-954
811,4988,13096,5024,438,143,-951
814,4756,13132,4952,399,127,-836
817,4748,13180,5012,332,101,-809
820,4780,13148,4888,285,77,-696
823,4484,13172,4960,212,66,-643
826,4616,13260,4912,177,-6,-567
829,4684,13248,4832,92,-35,-476
832,4780,13124,4996,51,-38,-403
836,4896,13120,5000,35,-55,-377
839,4972,13160,5040,-16,-92,-333
843,5044,13152,5096,-47,-90,-288
846,5140,13072,5160,-65,-93,-289
849,5336,13128,5296,-99,-40,-271
852,5348,13208,5400,-99,25,-263
855,5324,13144,5460,-110,39,-253
858,5176,13100,5508,-122,68,-236
861,5072,13128,5376,-63,-26,-225
864,4984,13156,5356,-75,-137,-185
867,5096,13184,5428,-71,-242,-194
870,5168,13148,5452,-46,-331,-222
873,5476,13432,5952,154,-357,-247
878,5056,13408,5472,334,-396,-350
881,4908,12788,4488,450,-438,-414
884,5312,13260,5296,276,-622,-345
887,6320,13844,6044,623,-624,-566
890,6104,13856,6200,605,-684,-544
893,5604,13184,5828,458,-776,-522
896,6320,13456,5560,843,-619,-813
900,5268,13632,6028,581,-773,-596
903,5596,13540,6168,738,-837,-717
906,4920,12824,5296,588,-778,-665
909,4720,12568,4604,598,-995,-674
912,5016,12856,4836,824,-925,-795
915,4876,13260,4876,608,-1027,-735
920,5088,13180,4592,609,-1181,-700
923,6144,14260,5920,596,-1146,-768
926,6456,14688,6468,917,-1198,-865
929,5208,13644,5252,941,-1202,-940
932,5132,13468,4916,788,-1157,-913
936,6520,14384,6280,686,-1236,-872
939,4692,12436,4324,592,-1189,-955
942,4920,12940,3944,866,-935,-1097
945,4420,12868,4620,588,-1068,-855
948,4904,12728,3864,741,-1056,-1039
952,5280,14172,5964,829,-1159,-924
955,4640,12856,3656,706,-1212,-960
958,5272,13992,5036,583,-1309,-931
962,5472,14196,5380,913,-1277,-1082
966,5004,13816,5176,906,-1404,-917
969,3344,12200,2172,483,-1848,-786
972,5564,13400,3800,962,-1663,-1236
975,6876,15636,8208,1034,-1825,-1096
979,4068,13044,4500,899,-2010,-1177
982,6880,14648,6580,1070,-2091,-1325
985,6544,14716,6460,1098,-2220,-1290
988,5528,13988,4936,1135,-2263,-1391
992,6136,14224,6400,1079,-2341,-1487
995,4840,13772,6068,1009,-2475,-1359
998,4520,12348,3796,977,-2310,-1472
1002,5952,13596,4740,1161,-2446,-1614
1006,6604,13856,4752,1212,-2375,-1825
1009,5244,13356,4652,996,-2524,-1666
1013,3788,12388,2568,826,-2570,-1751
1016,3696,11904,1640,858,-2484,-1885
1019,4588,12260,3280,1080,-2369,-1886
1022,4648,12636,3640,833,-2744,-1838
1026,5404,12956,4280,954,-2612,-1976
1029,6380,14580,7044,970,-2679,-1703
1032,5576,13264,4732,800,-2882,-1926
1035,5008,13420,5368,890,-2509,-1996
1039,6960,14880,7472,968,-3031,-2061
1042,4008,12588,3028,676,-2798,-1813
1045,5876,12644,3036,1234,-2761,-2305
1049,7568,15172,6216,1034,-2910,-2063
1053,7016,14524,6764,1204,-3056,-2056
1056,4532,13664,3784,877,-3047,-1951
1059,4160,12220,3000,1013,-2943,-1906
1063,4928,13556,5616,913,-3117,-1759
1066,4020,12636,3116,699,-2975,-1678
1069,6432,14112,6260,1347,-2872,-1968
1073,4212,14136,4820,664,-3096,-1550
1076,4020,12772,3696,989,-2864,-1639
1079,3820,12452,2236,948,-2836,-1608
1082,7644,14776,6684,1220,-2785,-1650
1086,7524,15096,8256,892,-2999,-1347
1090,2936,12780,2948,712,-2814,-1188
1093,5856,14348,6424,1240,-2878,-1396
1096,4652,14212,6336,710,-2706,-1026
1100,4664,14212,7004,979,-2678,-821
1103,3296,12124,1932,658,-2789,-805
1106,3880,12468,4192,830,-2439,-756
1109,5664,13964,5916,825,-2671,-802
1112,4296,13244,3476,704,-2480,-779
1116,4716,13276,4192,755,-2668,-726
1119,6200,14024,4276,1008,-2563,-981
1122,5040,13832,4724,904,-2430,-947
1125,7180,15136,6688,1106,-2739,-1227
1129,5724,14128,4764,995,-2560,-1236
1133,4516,13388,2752,1106,-2810,-1388
1136,5748,13920,3484,1286,-2752,-1849
1140,5804,14772,5836,1219,-2709,-1666
1143,6572,13604,3400,1087,-2425,-2069
1146,6016,14444,6356,955,-2169,-1851
1149,5464,13496,4168,914,-2077,-2006
1153,4092,12992,3900,692,-1546,-1583
1156,4376,12108,2720,695,-1514,-1692
1159,5544,13700,5052,568,-1266,-1396
1162,3240,11824,2428,366,-1086,-1275
1166,6396,13888,5572,670,-1064,-1304
1169,4544,12988,4572,385,-898,-1055
1172,6804,13992,5104,497,-878,-1161
1176,5196,14064,5860,353,-774,-827
1180,3360,12260,2416,191,-934,-689
1183,6704,14100,5812,536,-836,-920
1186,5260,14700,6048,397,-928,-715
1189,2828,12460,2040,239,-892,-536
1192,2424,12036,1812,255,-919,-491
1195,7544,15024,7352,547,-1140,-602
1199,4096,13896,3808,284,-942,-425
1202,3888,14032,4596,392,-1199,-304
