time,accX,accY,accZ,gyrX,gyrY,gyrZ
1,2824,13180,6604,-198,243,-339
5,2620,13120,6356,-172,235,-376
8,2240,13148,6372,-224,328,-347
11,1868,13136,6248,-251,307,-311
14,1816,13240,6260,-260,236,-193
17,1712,13212,6260,-311,192,-170
21,1676,13168,6276,-345,102,-81
25,1632,13152,6228,-353,25,-1
28,1520,13108,6376,-369,-54,90
31,1596,13196,6304,-390,-24,189
34,1740,13196,6340,-414,-76,275
37,1720,13220,6272,-439,-105,370
41,1764,13180,6320,-461,-184,431
44,1948,13128,6456,-478,-239,532
47,2180,13160,6384,-494,-227,533
58,2800,13160,6592,-535,-3,400
61,2772,13024,6552,-530,66,354
64,2700,13188,6692,-512,136,326
69,2508,13112,6568,-515,166,325
72,2332,13216,6540,-483,211,307
75,2296,13032,6552,-489,240,319
78,2488,13100,6544,-489,307,349
81,2540,13116,6528,-500,372,333
84,2600,13168,6476,-475,317,297
88,2648,13128,6560,-472,274,245
91,2696,13228,6536,-460,204,211
94,2592,13116,6692,-465,253,176
97,2612,13060,6532,-432,200,162
100,2356,13128,6540,-403,166,135
104,2224,13092,6616,-418,111,120
115,2436,13144,6392,-416,-194,181
119,2496,13252,6496,-415,-157,166
122,2360,13236,6404,-447,-121,186
125,2120,13344,6468,-441,-96,223
128,2284,13188,6640,-440,-79,205
131,2364,13180,6692,-431,-56,270
135,2476,13064,6836,-439,-51,241
138,3252,12816,6012,-568,-59,94
141,3760,12640,6084,-664,317,-93
144,3328,13276,7072,-668,677,-185
148,3492,12192,5852,-735,694,-329
152,6044,11008,3200,-1967,1072,-1204
155,4892,15112,8328,-1983,2951,-1602
159,3180,11360,6192,-1674,2556,-1631
162,1060,13836,9248,-889,1786,-1233
173,2192,13336,6376,-1775,1715,-1301
176,2580,13432,7720,-1327,1690,-1262
180,56,15328,8936,-528,1096,-848
183,2212,9012,1724,-1870,938,-1022
186,1748,15304,8556,-1554,1657,-754
189,2120,11920,5752,-1939,1780,-805
194,2256,14260,7484,-1790,1775,-782
197,724,13328,6988,-1327,1214,-603
200,1448,12896,6676,-1231,942,-444
204,1644,8580,1888,-1378,612,-369
207,3084,10208,3796,-2800,2165,-426
210,2484,14980,9272,-1777,1897,-436
214,1712,13732,8472,-1064,645,-437
217,1428,13956,7184,-704,-145,-329
228,2100,12760,6212,-2291,1284,-364
231,1948,13032,7128,-2022,1052,-292
234,2204,13872,8216,-1884,872,-243
239,2192,12856,8384,-2322,1460,-10
242,2508,16572,10612,-1593,164,-147
245,2840,14584,7840,-1902,1167,-67
249,3660,11124,5664,-1993,1058,-327
252,2676,14236,9180,-1334,848,-381
255,2640,11940,8064,-1691,1222,-283
259,2688,11396,6416,-1860,1017,-259
262,2708,18292,10432,-844,-71,-537
265,2632,10360,5680,-1945,1664,-126
269,1492,8508,5092,-2474,1670,196
272,1336,12872,6776,-1923,1213,124
284,2448,12328,7252,-1838,1256,151
287,2120,14636,8880,-1614,1217,290
290,2264,12812,7576,-1772,1044,276
294,1824,14184,9200,-1287,568,431
297,2124,11248,5252,-1748,967,464
300,1380,12772,7844,-1635,1330,745
303,1164,11284,4496,-1332,67,651
307,1344,16696,8136,-996,-99,453
310,1524,12588,6692,-1620,1412,1013
313,1024,14756,6416,-709,-777,641
316,1424,13472,5976,-1359,872,1112
320,944,11856,4504,-1421,200,1180
324,416,13840,7600,-1284,582,1481
327,1556,14276,7144,-1285,154,1516
338,1376,13928,6860,-1387,738,2045
341,1260,14080,6532,-1036,-674,1700
345,2208,14352,7972,-1309,871,2003
348,2012,13160,8288,-1297,429,2230
351,2512,13444,6828,-1044,-522,1884
355,1856,11620,5592,-1290,706,2197
358,1900,14364,7444,-821,-434,1789
361,2564,13796,6084,-931,-248,1727
366,588,12904,8064,-1107,1103,2361
369,1008,12416,6468,-929,-293,2328
372,1600,12196,5844,-1010,378,2463
375,1496,11448,4448,-937,-130,2124
379,1764,14308,7772,-798,510,2338
382,888,13076,8364,-857,497,2969
385,1120,11876,7740,-629,-519,3242
396,3036,12512,7616,-208,-161,3281
399,2960,13288,7532,-89,-954,3009
403,2952,12860,8868,66,-730,3149
407,5536,14724,9048,314,-2277,2469
410,3008,13644,7912,200,-923,3009
413,2440,13028,7960,268,-1482,2992
417,1524,12512,6692,335,-1391,3291
420,1356,12800,7692,514,-1248,3761
423,1788,12596,5932,419,-1752,3701
427,1876,12648,7272,666,-1375,3860
430,1560,12548,7108,805,-1613,3797
433,1264,12424,7596,929,-1419,4059
436,1516,12800,7564,1140,-1696,4170
440,1912,12784,7840,1274,-2053,4465
470,2392,12644,7000,1514,-1479,4566
473,444,13032,6240,1463,-1917,4631
476,2116,13236,6612,1584,-1888,4725
480,3704,13452,5616,1403,-2235,4435
483,3248,12780,5828,1293,-1628,4443
486,2256,12960,6452,1289,-1698,4373
490,2868,12532,6248,1246,-1635,4373
